date,SBIN,HDFCBANK,BAJFINANCE,NEWGEN,IRCTC,AEROFLEX
2024-10-10,797.1,1662.4,7319.7,1314.05,882.65,196.18
2024-10-11,799.75,1651.0,7302.0,1373.3,889.2,191.12
2024-10-14,805.15,1688.1,7208.8,1350.85,885.0,206.2
2024-10-15,804.65,1684.1,7016.9,1296.0,895.3,208.55
2024-10-16,805.45,1699.8,6956.35,1269.55,892.6,203.44
2024-10-17,811.05,1673.15,6899.5,1244.4,871.75,199.83
2024-10-18,820.4,1681.85,6899.55,1257.65,881.0,200.12
2024-10-21,813.95,1728.7,6780.9,1263.85,858.8,190.3
2024-10-22,790.4,1714.55,6677.9,1188.1,831.4,182.96
2024-10-23,786.0,1735.8,6995.8,1234.0,828.65,185.89
2024-10-24,794.55,1749.65,7040.9,1268.3,830.15,189.88
2024-10-25,780.95,1743.4,6910.15,1225.95,812.1,180.15
2024-10-28,792.05,1734.2,6911.35,1230.5,821.05,183.46
2024-10-29,832.7,1751.85,7022.5,1203.85,824.85,183.76
2024-10-30,822.45,1734.6,6955.0,1232.85,839.4,193.56
2024-10-31,820.2,1735.7,6889.75,1283.75,821.3,190.62
2024-11-01,821.2,1737.3,6923.6,1291.45,831.75,194.89
2024-11-04,829.85,1714.1,6843.7,1285.15,816.2,190.13
2024-11-05,849.2,1757.85,6930.35,1279.85,829.1,191.56
2024-11-06,854.8,1755.25,7006.2,1313.4,857.35,201.93
2024-11-07,859.6,1746.55,6904.5,1290.6,844.05,196.9
2024-11-08,843.15,1754.45,6895.95,1263.5,832.5,186.91
2024-11-11,847.65,1766.3,6778.8,1280.15,836.2,186.17
2024-11-12,826.7,1718.2,6638.2,1269.3,811.65,181.94
2024-11-13,808.65,1681.35,6566.0,1199.2,801.4,176.21
2024-11-14,804.25,1692.75,6549.15,1235.1,799.6,176.9
2024-11-18,814.3,1705.1,6567.95,1044.35,797.1,180.28
2024-11-19,803.0,1742.25,6595.3,1109.85,800.1,180.64
2024-11-21,780.75,1741.2,6465.65,1101.8,793.85,180.59
2024-11-22,816.05,1745.6,6683.95,1081.7,808.6,179.49
2024-11-25,844.45,1785.6,6685.4,1119.8,812.1,183.75
2024-11-26,839.4,1785.55,6617.95,1142.95,814.95,186.95
2024-11-27,834.1,1812.3,6705.2,1142.6,822.6,192.96
2024-11-28,838.85,1793.15,6509.4,1130.05,814.35,202.16
2024-11-29,838.95,1796.05,6575.9,1180.5,815.95,213.87
2024-12-02,836.4,1804.7,6650.65,1176.6,816.5,223.92
2024-12-03,853.95,1826.3,6675.45,1211.5,831.85,222.66
2024-12-04,859.7,1860.1,6740.0,1301.5,832.65,222.04
2024-12-05,865.45,1865.75,6850.4,1309.45,836.85,220.86
2024-12-06,863.65,1855.85,6850.3,1352.9,830.6,218.26
