DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-10-11,EQ,195.0,196.55,190.48,196.18,191.0,191.12,193.3,209.9,115.0,600807,116135828.22,11447,AEROFLEX
2024-10-14,EQ,191.12,210.25,191.12,191.12,206.98,206.2,205.77,210.25,115.0,7798612,1604750649.71,78408,AEROFLEX
2024-10-15,EQ,209.0,214.0,206.51,206.2,207.59,208.55,210.04,214.0,115.0,5122924,1076018001.57,54532,AEROFLEX
2024-10-16,EQ,208.5,209.8,202.1,208.55,203.6,203.44,205.2,214.0,115.0,1559006,319906224.49,21426,AEROFLEX
2024-10-17,EQ,203.95,204.69,198.0,203.44,199.97,199.83,200.28,214.0,115.0,1675743,335613864.41,20915,AEROFLEX
2024-10-18,EQ,198.5,203.4,192.38,199.83,200.43,200.12,199.01,214.0,115.0,1472045,292953856.81,21166,AEROFLEX
2024-10-21,EQ,200.35,202.95,187.18,200.12,190.4,190.3,195.45,214.0,115.0,1069395,209013444.24,18987,AEROFLEX
2024-10-22,EQ,190.49,192.83,181.05,190.3,184.39,182.96,186.24,214.0,115.0,1282142,238790795.94,28819,AEROFLEX
2024-10-23,EQ,183.1,193.0,181.02,182.96,186.8,185.89,187.94,214.0,115.0,1487661,279596727.82,27431,AEROFLEX
2024-10-24,EQ,186.0,194.65,183.81,185.89,189.4,189.88,190.05,214.0,115.0,1525437,289911159.29,27298,AEROFLEX
2024-10-25,EQ,190.05,190.95,178.04,189.88,180.0,180.15,182.01,214.0,115.0,1590682,289517588.19,32467,AEROFLEX
2024-10-28,EQ,180.7,186.0,179.01,180.15,183.65,183.46,182.87,214.0,115.0,820459,150034669.4,16509,AEROFLEX
2024-10-29,EQ,184.0,186.5,179.36,183.46,184.39,183.76,183.54,214.0,115.0,806555,148038491.25,13685,AEROFLEX
2024-10-30,EQ,184.0,195.6,182.87,183.76,192.0,193.56,191.58,214.0,115.0,1525131,292180732.1,22737,AEROFLEX
2024-10-31,EQ,194.35,198.49,188.66,193.56,191.2,190.62,191.67,214.0,115.0,1302209,249589340.18,20944,AEROFLEX
2024-11-01,EQ,193.07,196.8,193.0,190.62,194.7,194.89,195.33,214.0,115.0,458342,89526195.2,5451,AEROFLEX
2024-11-04,EQ,194.89,196.23,188.06,194.89,190.0,190.13,190.33,214.0,115.0,851656,162099331.59,15053,AEROFLEX
2024-11-05,EQ,190.0,196.22,189.0,190.13,191.29,191.56,192.7,214.0,115.0,815381,157125133.97,15501,AEROFLEX
2024-11-06,EQ,193.0,203.5,192.01,191.56,201.72,201.93,200.22,214.0,115.0,2762289,553076525.16,36863,AEROFLEX
2024-11-07,EQ,202.4,204.8,196.0,201.93,197.0,196.9,200.19,214.0,115.0,1055848,211364975.8,17866,AEROFLEX
2024-11-08,EQ,197.35,197.85,186.1,196.9,187.9,186.91,190.48,214.0,115.0,1208816,230257817.99,20950,AEROFLEX
2024-11-11,EQ,186.97,190.45,183.5,186.91,186.5,186.17,186.99,214.0,115.0,628379,117502953.76,13154,AEROFLEX
2024-11-12,EQ,187.1,189.5,181.25,186.17,182.01,181.94,185.41,214.0,115.0,549908,101958558.52,11183,AEROFLEX
2024-11-13,EQ,181.5,183.25,175.1,181.94,176.5,176.21,178.29,214.0,115.0,728086,129813542.78,16496,AEROFLEX
2024-11-14,EQ,176.5,182.49,175.2,176.21,177.31,176.9,178.51,214.0,115.0,484302,86451204.43,12326,AEROFLEX
2024-11-18,EQ,177.69,182.0,172.5,176.9,180.5,180.28,178.54,214.0,115.0,617214,110194524.33,15213,AEROFLEX
2024-11-19,EQ,181.9,191.0,177.36,180.28,179.5,180.64,184.74,214.0,115.0,1023873,189152596.47,20209,AEROFLEX
2024-11-21,EQ,181.02,185.0,178.1,180.64,182.5,180.59,181.44,214.0,115.0,595467,108044343.14,14489,AEROFLEX
2024-11-22,EQ,181.7,182.89,179.0,180.59,179.6,179.49,180.41,214.0,115.0,466200,84108713.03,8910,AEROFLEX
2024-11-25,EQ,182.98,185.35,181.39,179.49,184.11,183.75,183.62,214.0,115.0,409471,75186166.16,8070,AEROFLEX
2024-11-26,EQ,184.5,188.0,184.2,183.75,187.3,186.95,186.17,214.0,115.0,453881,84499312.53,8100,AEROFLEX
2024-11-27,EQ,187.94,195.05,186.13,186.95,193.0,192.96,192.46,214.0,115.0,751586,144646770.18,11615,AEROFLEX
2024-11-28,EQ,192.91,208.2,190.98,192.96,202.58,202.16,202.71,214.0,115.0,2935450,595035265.86,39566,AEROFLEX
2024-11-29,EQ,203.6,218.65,202.34,202.16,216.5,213.87,212.84,218.65,115.0,7477298,1591460890.72,84120,AEROFLEX
2024-12-02,EQ,226.0,231.0,218.01,213.87,223.0,223.92,225.53,231.0,115.0,7430041,1675669701.4,74129,AEROFLEX
2024-12-03,EQ,224.1,229.9,221.05,223.92,222.49,222.66,225.16,231.0,115.0,1902015,428258272.84,24271,AEROFLEX
2024-12-04,EQ,224.0,225.7,218.0,222.66,222.4,222.04,221.77,231.0,115.0,1360618,301748704.51,16649,AEROFLEX
2024-12-05,EQ,223.15,225.0,219.5,222.04,221.16,220.86,221.99,231.0,115.0,746723,165763966.65,12797,AEROFLEX
2024-12-06,EQ,220.9,221.52,215.82,220.86,218.0,218.26,218.61,231.0,115.0,757994,165704555.31,16209,AEROFLEX
2024-12-09,EQ,219.29,223.51,214.8,218.26,215.88,215.59,218.59,231.0,115.0,899785,196684879.57,16402,AEROFLEX
2024-12-10,EQ,216.3,222.26,212.2,215.59,212.99,212.76,216.43,231.0,115.0,1022872,221383447.3,15584,AEROFLEX
2024-12-11,EQ,214.45,218.8,213.26,212.76,218.0,216.71,215.51,231.0,115.0,666375,143609263.01,11716,AEROFLEX
2024-12-12,EQ,219.0,234.45,214.97,216.71,231.4,230.61,228.43,234.45,115.0,6170748,1409570523.07,65345,AEROFLEX
2024-12-13,EQ,231.0,232.99,222.4,230.61,227.0,227.3,226.84,234.45,115.0,1831912,415547025.25,28591,AEROFLEX
2024-12-16,EQ,227.3,231.8,217.0,227.3,217.85,218.03,223.16,234.45,115.0,1317947,294114987.92,23509,AEROFLEX
2024-12-17,EQ,218.25,221.5,214.62,218.03,215.9,216.22,217.96,234.45,115.0,871221,189891063.79,14744,AEROFLEX
2024-12-18,EQ,216.8,218.5,206.54,216.22,210.15,209.83,212.03,234.45,115.0,809371,171612049.08,15777,AEROFLEX
2024-12-19,EQ,205.01,222.0,205.01,209.83,219.5,218.5,216.58,234.45,115.0,1826411,395564849.4,26621,AEROFLEX
2024-12-20,EQ,218.9,219.57,203.22,218.5,206.0,204.85,210.24,234.45,115.0,1143830,240473831.14,20032,AEROFLEX
2024-12-23,EQ,209.3,209.8,200.03,204.85,204.9,204.28,203.76,234.45,115.0,781927,159321778.86,17848,AEROFLEX
2024-12-24,EQ,205.29,207.42,202.67,204.28,204.0,205.47,204.87,234.45,115.0,468303,95943489.86,9653,AEROFLEX
2024-12-26,EQ,205.1,206.37,202.0,205.47,202.8,202.39,203.39,234.45,115.0,391394,79607512.55,8812,AEROFLEX
2024-12-27,EQ,203.0,208.42,203.0,202.39,206.8,206.82,206.03,234.45,115.0,677295,139544796.35,10553,AEROFLEX
2024-12-30,EQ,206.89,206.99,198.09,206.82,198.97,198.78,201.94,234.45,115.0,663980,134084090.4,13564,AEROFLEX
