DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-10-11,EQ,7325.0,7330.0,7226.05,7319.7,7300.1,7302.0,7282.11,8173.0,6187.8,361587,2633116713.4,45268,BAJFINANCE
2024-10-14,EQ,7292.7,7313.85,7200.0,7302.0,7210.15,7208.8,7228.14,8159.0,6187.8,445181,3217832712.75,61662,BAJFINANCE
2024-10-15,EQ,7244.9,7256.15,6979.0,7208.8,7029.8,7016.9,7060.92,8159.0,6187.8,1485567,10489472544.35,182002,BAJFINANCE
2024-10-16,EQ,7010.0,7059.35,6920.0,7016.9,6944.95,6956.35,6962.66,8159.0,6187.8,1125698,7837849812.95,122278,BAJFINANCE
2024-10-17,EQ,6980.95,6998.8,6871.0,6956.35,6896.0,6899.5,6916.07,8159.0,6187.8,689755,4770393117.15,79564,BAJFINANCE
2024-10-18,EQ,6893.0,6938.65,6820.7,6899.5,6910.05,6899.55,6891.94,8159.0,6187.8,744929,5134006328.95,87074,BAJFINANCE
2024-10-21,EQ,6909.05,6950.75,6717.25,6899.55,6758.0,6780.9,6774.84,7884.9,6187.8,2209966,14972157576.75,159111,BAJFINANCE
2024-10-22,EQ,6800.0,6833.0,6643.65,6780.9,6645.75,6677.9,6731.9,7884.9,6187.8,1700619,11448391186.35,165569,BAJFINANCE
2024-10-23,EQ,6605.75,7098.85,6601.0,6677.9,7004.85,6995.8,6988.3,7884.9,6187.8,2637391,18430874698.7,222733,BAJFINANCE
2024-10-24,EQ,7012.5,7122.85,6990.6,6995.8,7037.05,7040.9,7041.13,7884.9,6187.8,895125,6302691464.0,110081,BAJFINANCE
2024-10-25,EQ,7040.9,7059.95,6893.3,7040.9,6905.0,6910.15,6966.87,7884.9,6187.8,1022324,7122400380.15,116833,BAJFINANCE
2024-10-28,EQ,6920.0,7045.0,6875.0,6910.15,6916.65,6911.35,6944.13,7830.0,6187.8,714981,4964918555.9,66081,BAJFINANCE
2024-10-29,EQ,6909.1,7060.0,6802.2,6911.35,6999.0,7022.5,6940.7,7830.0,6187.8,1409750,9784648267.7,152135,BAJFINANCE
2024-10-30,EQ,6999.0,7020.45,6932.0,7022.5,6965.0,6955.0,6965.91,7830.0,6187.8,566044,3943012838.65,58711,BAJFINANCE
2024-10-31,EQ,6949.0,6970.8,6879.75,6955.0,6897.35,6889.75,6906.19,7830.0,6187.8,730153,5042576384.0,107692,BAJFINANCE
2024-11-01,EQ,6930.0,6944.55,6902.0,6889.75,6911.05,6923.6,6926.41,7830.0,6187.8,45011,311764802.5,7918,BAJFINANCE
2024-11-04,EQ,6975.0,6975.0,6752.9,6923.6,6832.0,6843.7,6826.16,7830.0,6187.8,716239,4889161003.8,103657,BAJFINANCE
2024-11-05,EQ,6845.0,7014.95,6712.0,6843.7,6896.7,6930.35,6870.96,7830.0,6187.8,1223430,8406138367.9,166177,BAJFINANCE
2024-11-06,EQ,6935.0,7024.1,6892.3,6930.35,6990.0,7006.2,6975.33,7830.0,6187.8,696262,4856655555.4,91030,BAJFINANCE
2024-11-07,EQ,7006.2,7038.95,6870.0,7006.2,6900.0,6904.5,6915.52,7830.0,6187.8,459047,3174549129.75,63793,BAJFINANCE
2024-11-08,EQ,6904.5,6951.55,6841.0,6904.5,6874.0,6895.95,6893.79,7830.0,6187.8,424840,2928759136.0,70304,BAJFINANCE
2024-11-11,EQ,6860.0,6904.2,6752.15,6895.95,6765.0,6778.8,6832.81,7830.0,6187.8,762316,5208756890.9,57687,BAJFINANCE
2024-11-12,EQ,6819.0,6836.85,6615.0,6778.8,6635.15,6638.2,6681.15,7830.0,6187.8,1057233,7063535306.55,123883,BAJFINANCE
2024-11-13,EQ,6635.0,6702.25,6526.6,6638.2,6586.0,6566.0,6601.8,7830.0,6187.8,867347,5726051757.45,101724,BAJFINANCE
2024-11-14,EQ,6572.3,6639.45,6530.0,6566.0,6570.0,6549.15,6565.76,7830.0,6187.8,527703,3464771022.9,83537,BAJFINANCE
2024-11-18,EQ,6633.0,6657.0,6555.0,6549.15,6565.05,6567.95,6589.82,7830.0,6187.8,596535,3931056101.2,66962,BAJFINANCE
2024-11-19,EQ,6594.35,6644.8,6561.0,6567.95,6580.0,6595.3,6598.99,7830.0,6187.8,804046,5305894897.15,89644,BAJFINANCE
2024-11-21,EQ,6614.0,6614.0,6451.0,6595.3,6460.0,6465.65,6486.13,7830.0,6187.8,1101080,7141750733.45,114550,BAJFINANCE
2024-11-22,EQ,6470.0,6722.4,6456.05,6465.65,6720.0,6683.95,6620.57,7830.0,6187.8,969855,6420990288.0,107298,BAJFINANCE
2024-11-25,EQ,6789.9,6863.0,6667.3,6683.95,6700.05,6685.4,6731.31,7830.0,6187.8,1132751,7624900931.65,112207,BAJFINANCE
2024-11-26,EQ,6722.0,6739.8,6608.45,6685.4,6625.35,6617.95,6653.3,7830.0,6187.8,663278,4412990214.25,82239,BAJFINANCE
2024-11-27,EQ,6650.0,6733.3,6612.25,6617.95,6708.0,6705.2,6694.22,7830.0,6187.8,642010,4297756839.05,64396,BAJFINANCE
2024-11-28,EQ,6714.0,6726.25,6495.0,6705.2,6539.0,6509.4,6585.34,7830.0,6187.8,1576882,10384306029.8,144382,BAJFINANCE
