DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-10-11,EQ,1664.45,1664.45,1643.25,1662.4,1651.5,1651.0,1651.51,1794.0,1363.55,11836297,19547719278.0,186378,HDFCBANK
2024-10-14,EQ,1656.05,1692.05,1654.0,1651.0,1689.0,1688.1,1682.72,1794.0,1363.55,9263754,15588285093.55,261742,HDFCBANK
2024-10-15,EQ,1694.0,1698.0,1675.5,1688.1,1686.0,1684.1,1684.09,1794.0,1363.55,9825565,16547093800.1,195771,HDFCBANK
2024-10-16,EQ,1680.1,1707.95,1680.1,1684.1,1700.45,1699.8,1698.75,1794.0,1363.55,10235341,17387334812.9,244836,HDFCBANK
2024-10-17,EQ,1694.95,1697.65,1665.2,1699.8,1672.7,1673.15,1676.22,1794.0,1363.55,7347866,12316627212.9,199044,HDFCBANK
2024-10-18,EQ,1663.1,1691.0,1654.1,1673.15,1684.8,1681.85,1674.9,1794.0,1363.55,12404862,20776848848.9,232916,HDFCBANK
2024-10-21,EQ,1715.0,1748.15,1711.05,1681.85,1725.0,1728.7,1732.82,1794.0,1363.55,23274177,40330032735.8,574448,HDFCBANK
2024-10-22,EQ,1730.05,1740.0,1710.7,1728.7,1714.8,1714.55,1721.78,1794.0,1363.55,19437640,33467338354.45,411821,HDFCBANK
2024-10-23,EQ,1705.05,1746.5,1705.05,1714.55,1736.2,1735.8,1736.32,1794.0,1363.55,19018045,33021503108.55,386048,HDFCBANK
2024-10-24,EQ,1738.1,1768.65,1738.1,1735.8,1750.5,1749.65,1755.99,1794.0,1363.55,15416129,27070510755.6,342755,HDFCBANK
2024-10-25,EQ,1755.0,1757.85,1728.7,1749.65,1745.8,1743.4,1740.64,1794.0,1363.55,13065239,22741861620.4,337950,HDFCBANK
2024-10-28,EQ,1742.0,1751.0,1728.9,1743.4,1737.0,1734.2,1738.17,1794.0,1363.55,11006071,19130422535.5,334425,HDFCBANK
2024-10-29,EQ,1726.15,1764.0,1725.1,1734.2,1749.75,1751.85,1744.14,1794.0,1363.55,17897463,31215711397.75,381375,HDFCBANK
2024-10-30,EQ,1742.0,1754.75,1724.2,1751.85,1737.0,1734.6,1736.38,1794.0,1363.55,16357862,28403432611.95,350916,HDFCBANK
2024-10-31,EQ,1728.0,1738.9,1719.4,1734.6,1734.3,1735.7,1731.49,1794.0,1363.55,11447956,19822046508.9,277300,HDFCBANK
2024-11-01,EQ,1733.0,1744.1,1726.1,1735.7,1737.0,1737.3,1738.79,1794.0,1363.55,879846,1529870165.6,69860,HDFCBANK
2024-11-04,EQ,1745.0,1745.0,1710.9,1737.3,1716.8,1714.1,1723.47,1794.0,1363.55,14044624,24205513156.95,342162,HDFCBANK
2024-11-05,EQ,1703.0,1762.7,1697.9,1714.1,1753.5,1757.85,1736.4,1794.0,1363.55,22116203,38402543188.05,362395,HDFCBANK
2024-11-06,EQ,1771.5,1771.5,1745.35,1757.85,1756.0,1755.25,1753.58,1794.0,1363.55,13893955,24364201740.05,249677,HDFCBANK
2024-11-07,EQ,1744.3,1760.95,1738.0,1755.25,1743.5,1746.55,1746.6,1794.0,1363.55,9447728,16501384112.8,315964,HDFCBANK
2024-11-08,EQ,1752.0,1761.8,1745.85,1746.55,1751.9,1754.45,1754.62,1794.0,1363.55,9951493,17461070459.45,253333,HDFCBANK
2024-11-11,EQ,1754.55,1782.8,1751.2,1754.45,1763.9,1766.3,1768.85,1794.0,1363.55,12282681,21726235735.65,366875,HDFCBANK
2024-11-12,EQ,1772.0,1775.0,1708.65,1766.3,1719.0,1718.2,1731.71,1794.0,1363.55,15697703,27183831491.15,410691,HDFCBANK
2024-11-13,EQ,1716.75,1729.4,1673.0,1718.2,1688.15,1681.35,1699.7,1794.0,1363.55,17864250,30363947641.3,384592,HDFCBANK
2024-11-14,EQ,1673.1,1704.85,1672.1,1681.35,1692.4,1692.75,1692.96,1794.0,1363.55,13573235,22978907908.45,331159,HDFCBANK
2024-11-18,EQ,1700.0,1718.9,1695.0,1692.75,1708.3,1705.1,1707.94,1794.0,1363.55,13540984,23127123855.1,291631,HDFCBANK
2024-11-19,EQ,1714.0,1753.75,1702.7,1705.1,1736.0,1742.25,1739.1,1794.0,1363.55,25490636,44330862947.85,458303,HDFCBANK
2024-11-21,EQ,1749.4,1759.0,1734.2,1742.25,1739.95,1741.2,1743.63,1794.0,1363.55,17858256,31138162734.4,368837,HDFCBANK
2024-11-22,EQ,1743.55,1754.3,1729.55,1741.2,1742.1,1745.6,1743.57,1794.0,1363.55,12386806,21597223792.5,260956,HDFCBANK
2024-11-25,EQ,1785.05,1803.55,1764.9,1745.6,1778.95,1785.6,1784.46,1803.55,1363.55,213868637,381639143690.1,600228,HDFCBANK
2024-11-26,EQ,1810.0,1810.0,1769.8,1785.6,1786.4,1785.55,1784.75,1810.0,1363.55,15467783,27606061237.4,261322,HDFCBANK
2024-11-27,EQ,1789.9,1817.35,1785.15,1785.55,1809.5,1812.3,1801.57,1817.35,1363.55,16357488,29469224217.6,330771,HDFCBANK
2024-11-28,EQ,1819.0,1836.1,1788.0,1812.3,1793.0,1793.15,1808.45,1836.1,1363.55,17861196,32301109888.9,379898,HDFCBANK
2024-11-29,EQ,1801.3,1804.6,1782.9,1793.15,1795.5,1796.05,1793.91,1836.1,1363.55,13834768,24818389358.55,377555,HDFCBANK
2024-12-02,EQ,1803.5,1808.15,1775.0,1796.05,1805.95,1804.7,1791.81,1836.1,1363.55,7555438,13537940498.05,219254,HDFCBANK
2024-12-03,EQ,1822.7,1837.4,1816.1,1804.7,1825.3,1826.3,1827.25,1837.4,1363.55,21705121,39660723545.25,304635,HDFCBANK
2024-12-04,EQ,1838.0,1865.0,1831.15,1826.3,1856.8,1860.1,1854.85,1865.0,1363.55,22334542,41427249107.9,436235,HDFCBANK
2024-12-05,EQ,1860.0,1879.95,1835.2,1860.1,1864.85,1865.75,1862.43,1879.95,1363.55,19841357,36953040114.3,436462,HDFCBANK
2024-12-06,EQ,1857.0,1864.2,1844.0,1865.75,1855.45,1855.85,1856.73,1879.95,1363.55,8891578,16509303748.1,306905,HDFCBANK
2024-12-09,EQ,1853.65,1880.0,1849.0,1855.85,1867.55,1870.0,1871.09,1880.0,1363.55,13473956,25211039597.45,234236,HDFCBANK
2024-12-10,EQ,1877.7,1877.7,1858.55,1870.0,1867.65,1868.1,1867.3,1880.0,1363.55,6662740,12441343169.15,231195,HDFCBANK
2024-12-11,EQ,1861.7,1871.9,1856.75,1868.1,1862.5,1863.1,1864.0,1880.0,1363.55,7022713,13090328471.35,233801,HDFCBANK
2024-12-12,EQ,1851.0,1868.65,1848.7,1863.1,1858.0,1859.25,1858.38,1880.0,1363.55,8646895,16069241440.6,201479,HDFCBANK
2024-12-13,EQ,1862.5,1875.0,1829.25,1859.25,1873.3,1871.75,1858.29,1880.0,1363.55,9504501,17662074120.8,218405,HDFCBANK
2024-12-16,EQ,1865.1,1869.95,1855.25,1871.75,1862.0,1865.2,1863.37,1880.0,1363.55,6553541,12211702096.0,177602,HDFCBANK
2024-12-17,EQ,1856.35,1862.35,1826.5,1865.2,1829.9,1833.25,1840.34,1880.0,1363.55,10539766,19396785094.9,273231,HDFCBANK
2024-12-18,EQ,1829.85,1836.0,1807.15,1833.25,1812.0,1810.7,1817.52,1880.0,1363.55,11711156,21285273596.85,235785,HDFCBANK
