DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-10-11,EQ,880.0,894.65,878.05,882.65,889.0,889.2,888.33,1138.9,635.55,690607,613485167.3,40939,IRCTC
2024-10-14,EQ,889.2,892.8,881.1,889.2,885.35,885.0,885.75,1138.9,635.55,802776,711060189.3,41299,IRCTC
2024-10-15,EQ,885.0,899.0,883.6,885.0,895.0,895.3,893.52,1138.9,635.55,1234903,1103415795.1,51788,IRCTC
2024-10-16,EQ,893.85,900.4,887.65,895.3,892.6,892.6,893.3,1138.9,635.55,716022,639622978.45,41818,IRCTC
2024-10-17,EQ,888.0,893.0,863.0,892.6,870.9,871.75,876.69,1138.9,635.55,1864160,1634284357.0,89008,IRCTC
2024-10-18,EQ,869.35,883.85,862.7,871.75,880.0,881.0,875.25,1138.9,635.55,891309,780115811.55,49813,IRCTC
2024-10-21,EQ,879.65,884.7,851.2,881.0,854.2,858.8,867.35,1138.9,635.55,964444,836511875.4,56679,IRCTC
2024-10-22,EQ,858.8,858.8,829.0,858.8,833.15,831.4,841.64,1138.9,635.55,1690141,1422487696.05,91151,IRCTC
2024-10-23,EQ,827.0,839.85,813.7,831.4,827.5,828.65,830.34,1138.9,635.55,1551853,1288570242.9,76028,IRCTC
2024-10-24,EQ,828.65,843.0,827.15,828.65,830.9,830.15,834.19,1138.9,635.55,739626,616990319.4,39425,IRCTC
2024-10-25,EQ,830.15,832.85,798.1,830.15,814.9,812.1,811.69,1138.9,635.55,1429801,1160552571.05,93074,IRCTC
2024-10-28,EQ,812.1,830.2,809.05,812.1,822.0,821.05,821.14,1138.9,649.7,903462,741868831.35,53017,IRCTC
2024-10-29,EQ,821.05,826.45,806.5,821.05,825.3,824.85,818.42,1138.9,649.7,849115,694931050.25,51332,IRCTC
2024-10-30,EQ,824.05,856.95,819.0,824.85,839.0,839.4,842.12,1138.9,649.7,1597691,1345444514.35,62633,IRCTC
2024-10-31,EQ,839.4,845.1,816.15,839.4,822.5,821.3,825.27,1138.9,649.7,1241687,1024723178.7,62930,IRCTC
2024-11-01,EQ,825.45,833.85,820.15,821.3,833.85,831.75,830.4,1138.9,649.7,353630,293655619.05,20835,IRCTC
2024-11-04,EQ,833.0,833.35,802.45,831.75,815.0,816.2,812.08,1138.9,664.4,1622214,1317373080.75,69643,IRCTC
2024-11-05,EQ,795.0,831.7,792.1,816.2,831.4,829.1,817.19,1138.9,664.4,4430786,3620778826.75,124761,IRCTC
2024-11-06,EQ,835.0,863.3,833.3,829.1,856.7,857.35,855.84,1138.9,664.4,3702637,3168858924.2,106552,IRCTC
