DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,415.0,426.0,412.0,411.55,423.9,423.8,420.33,426.0,203.0,9170159,3854508532.6,100625,ADANIPORTS
2020-12-02,EQ,424.9,442.0,420.35,423.8,437.5,438.2,433.96,442.0,203.0,13049398,5662905957.15,140237,ADANIPORTS
2020-12-03,EQ,442.0,444.5,433.05,438.2,435.85,435.8,439.93,444.5,203.0,10810399,4755825650.0,97802,ADANIPORTS
2020-12-04,EQ,439.7,458.3,439.0,435.8,457.0,453.7,446.64,458.3,203.0,10271034,4587434461.95,104783,ADANIPORTS
2020-12-07,EQ,461.0,474.9,459.0,453.7,470.0,471.5,469.18,474.9,203.0,16140936,7573053470.15,154105,ADANIPORTS
2020-12-08,EQ,472.7,474.7,457.55,471.5,463.5,463.35,463.51,474.9,203.0,9218366,4272776634.55,105341,ADANIPORTS
2020-12-09,EQ,467.65,469.9,458.15,463.35,465.05,463.9,464.92,474.9,203.0,5811412,2701855551.15,67073,ADANIPORTS
2020-12-10,EQ,463.9,474.1,457.0,463.9,471.8,471.0,465.89,474.9,203.0,4785102,2229309469.1,52741,ADANIPORTS
2020-12-11,EQ,471.75,475.0,462.7,471.0,465.0,466.3,467.96,475.0,203.0,4922448,2303495642.95,52997,ADANIPORTS
2020-12-14,EQ,468.6,472.45,463.1,466.3,466.9,467.0,467.52,475.0,203.0,5943652,2778775604.25,69266,ADANIPORTS
2020-12-15,EQ,469.5,479.65,461.45,467.0,475.3,475.75,474.34,479.65,203.0,10973876,5205361291.25,128683,ADANIPORTS
2020-12-16,EQ,480.0,480.45,473.15,475.75,476.0,475.55,476.32,480.45,203.0,5452263,2597018283.35,70859,ADANIPORTS
2020-12-17,EQ,478.0,478.8,465.55,475.55,468.75,467.75,470.81,480.45,203.0,6757703,3181587815.3,102164,ADANIPORTS
2020-12-18,EQ,467.75,472.95,458.5,467.75,462.0,463.3,464.49,480.45,203.0,5980780,2778037927.8,70891,ADANIPORTS
2020-12-21,EQ,459.0,467.0,427.2,463.3,441.4,444.25,457.25,480.45,203.0,8223842,3760329399.1,89880,ADANIPORTS
2020-12-22,EQ,444.25,470.5,435.0,444.25,468.9,468.65,454.42,480.45,203.0,9462053,4299776177.55,113590,ADANIPORTS
2020-12-23,EQ,467.15,476.7,462.5,468.65,470.0,470.75,471.51,480.45,203.0,7943560,3745503472.35,94713,ADANIPORTS
2020-12-24,EQ,474.9,482.9,466.0,470.75,477.45,478.55,475.4,482.9,203.0,7679078,3650637319.6,95603,ADANIPORTS
2020-12-28,EQ,480.0,492.95,480.0,478.55,484.0,483.55,487.06,492.95,203.0,8372924,4078085525.9,85170,ADANIPORTS
2020-12-29,EQ,485.0,489.85,478.2,483.55,482.25,483.4,484.5,492.95,203.0,5866837,2842463017.35,71303,ADANIPORTS
2020-12-30,EQ,484.0,487.6,478.15,483.4,484.75,485.4,483.05,492.95,203.0,3736356,1804834489.8,53291,ADANIPORTS
2020-12-31,EQ,485.4,490.8,480.25,485.4,480.75,483.75,486.21,492.95,203.0,4386328,2132659133.05,62456,ADANIPORTS
2021-01-01,EQ,485.0,508.0,482.55,483.75,505.0,503.85,495.57,508.0,203.0,7815730,3873234425.9,79171,ADANIPORTS
2021-01-04,EQ,507.0,510.9,495.2,503.85,498.1,498.9,501.35,510.9,203.0,9998803,5012948738.45,88263,ADANIPORTS
