DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,127.95,130.0,126.55,125.4,128.75,128.55,128.79,162.2,89.55,1261386,162458399.8,14461,CASTROLIND
2020-12-02,EQ,129.3,131.85,128.95,128.55,130.25,130.75,130.49,162.2,89.55,1457706,190213672.5,19207,CASTROLIND
2020-12-03,EQ,129.45,130.75,128.35,130.75,128.6,128.55,129.03,162.2,89.55,1504939,194180866.2,10611,CASTROLIND
2020-12-04,EQ,129.6,132.3,129.0,128.55,131.0,130.8,130.91,162.2,89.55,1619497,212003098.1,16173,CASTROLIND
2020-12-07,EQ,131.85,135.55,131.5,130.8,134.5,134.65,133.71,162.2,89.55,2116580,283001079.15,23824,CASTROLIND
2020-12-08,EQ,134.9,137.2,133.25,134.65,135.0,135.1,134.92,162.2,89.55,1867844,252018530.2,21857,CASTROLIND
2020-12-09,EQ,135.3,137.25,134.45,135.1,135.0,135.2,135.72,162.2,89.55,1413824,191878059.15,17586,CASTROLIND
2020-12-10,EQ,135.0,135.0,130.5,135.2,131.8,131.95,131.72,162.2,89.55,3057465,402736446.1,28960,CASTROLIND
2020-12-11,EQ,132.3,132.5,129.6,131.95,130.5,130.25,130.95,162.2,89.55,1394015,182547858.55,14533,CASTROLIND
2020-12-14,EQ,130.6,131.7,127.55,130.25,128.0,127.85,129.06,162.2,89.55,1118600,144368107.7,13442,CASTROLIND
2020-12-15,EQ,128.7,128.7,125.5,127.85,125.7,125.85,126.43,162.2,89.55,1117443,141273791.65,11687,CASTROLIND
2020-12-16,EQ,126.9,128.0,125.9,125.85,126.0,126.3,126.86,162.2,89.55,1281397,162551620.2,21139,CASTROLIND
2020-12-17,EQ,126.8,128.8,126.35,126.3,127.5,127.25,127.85,162.2,89.55,1361346,174054410.95,13466,CASTROLIND
2020-12-18,EQ,128.2,128.2,125.4,127.25,126.2,125.8,126.25,162.2,89.55,769035,97092711.25,11813,CASTROLIND
2020-12-21,EQ,125.0,126.9,120.1,125.8,122.9,122.0,123.14,162.2,89.55,2049781,252410974.8,29225,CASTROLIND
2020-12-22,EQ,121.0,124.0,119.35,122.0,120.85,120.8,121.32,162.2,89.55,1587420,192587409.95,23391,CASTROLIND
2020-12-23,EQ,121.35,124.3,121.0,120.8,123.95,123.7,123.06,162.2,89.55,1016358,125069107.75,11514,CASTROLIND
2020-12-24,EQ,124.8,125.9,124.0,123.7,124.55,124.4,124.96,162.2,89.55,838046,104720194.3,12087,CASTROLIND
2020-12-28,EQ,124.85,125.85,121.75,124.4,122.0,121.95,122.83,162.2,89.55,2030970,249460023.35,15455,CASTROLIND
2020-12-29,EQ,122.9,123.3,121.55,121.95,122.1,121.95,122.3,162.2,89.55,885907,108343127.65,10808,CASTROLIND
2020-12-30,EQ,122.9,125.75,121.4,121.95,123.55,123.55,124.21,162.2,89.55,3167185,393404787.75,25143,CASTROLIND
2020-12-31,EQ,123.5,125.15,122.3,123.55,122.8,123.05,123.85,162.2,89.55,1084815,134355949.15,11191,CASTROLIND
2021-01-01,EQ,123.3,124.4,121.8,123.05,122.1,122.0,122.5,162.2,89.55,2217829,271691067.55,16879,CASTROLIND
2021-01-04,EQ,122.7,124.0,122.2,122.0,123.25,123.05,123.1,162.2,89.55,2238367,275540179.5,17960,CASTROLIND
2021-01-05,EQ,123.85,125.1,122.6,123.05,124.6,124.35,124.1,162.2,89.55,1794026,222643163.35,16870,CASTROLIND
2021-01-06,EQ,124.95,127.3,124.95,124.35,125.95,125.85,126.25,162.2,89.55,2909512,367327229.45,24597,CASTROLIND
2021-01-07,EQ,126.55,128.65,126.15,125.85,128.45,128.1,127.51,162.2,89.55,2261978,288417438.0,13743,CASTROLIND
2021-01-08,EQ,129.5,130.0,127.3,128.1,128.5,128.75,128.98,162.2,89.55,1661310,214278377.45,12716,CASTROLIND
2021-01-11,EQ,129.0,129.35,126.4,128.75,127.55,127.55,127.41,162.2,89.55,2809813,358006131.35,13320,CASTROLIND
2021-01-12,EQ,127.55,130.45,127.3,127.55,128.0,128.05,128.6,162.2,89.55,3861716,496603162.35,28178,CASTROLIND
2021-01-13,EQ,129.5,130.65,128.0,128.05,129.5,129.25,129.3,162.2,89.55,1830352,236665112.1,13403,CASTROLIND
2021-01-14,EQ,129.9,131.25,128.4,129.25,131.05,131.05,130.33,162.2,89.55,1592694,207579624.6,12635,CASTROLIND
2021-01-15,EQ,131.8,131.8,128.6,131.05,130.95,129.8,129.76,162.2,89.55,1108864,143885412.6,10495,CASTROLIND
2021-01-18,EQ,129.7,129.95,124.65,129.8,128.6,128.75,127.19,162.2,89.55,1215276,154571115.65,10913,CASTROLIND
2021-01-19,EQ,129.0,129.4,127.55,128.75,128.75,128.5,128.6,162.2,89.55,1173668,150933617.85,15131,CASTROLIND
