DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,2330.0,2450.0,2315.0,2289.2,2430.0,2426.7,2393.74,2560.0,1700.0,912165,2183485310.6,53795,DMART
2020-12-02,EQ,2435.0,2473.0,2380.15,2426.7,2458.0,2456.0,2431.29,2560.0,1700.0,494720,1202809086.15,38277,DMART
2020-12-03,EQ,2460.1,2479.3,2440.0,2456.0,2461.1,2470.85,2464.46,2560.0,1700.0,393025,968593283.95,36873,DMART
2020-12-04,EQ,2469.95,2469.95,2415.55,2470.85,2433.0,2441.9,2437.73,2560.0,1700.0,310934,757971661.6,30692,DMART
2020-12-07,EQ,2441.9,2540.5,2413.0,2441.9,2518.0,2526.45,2506.12,2560.0,1700.0,918509,2301895345.1,53852,DMART
2020-12-08,EQ,2530.0,2689.0,2520.0,2526.45,2678.05,2652.1,2609.18,2689.0,1700.0,2106893,5497253687.65,112437,DMART
2020-12-09,EQ,2652.0,2755.0,2586.0,2652.1,2630.0,2625.3,2680.37,2755.0,1700.0,1254592,3362767738.3,75486,DMART
2020-12-10,EQ,2630.0,2673.5,2575.85,2625.3,2624.0,2622.05,2616.67,2755.0,1700.0,713356,1866620555.55,50390,DMART
2020-12-11,EQ,2647.0,2715.0,2632.0,2622.05,2696.0,2685.1,2666.44,2755.0,1700.0,595814,1588699547.9,45889,DMART
2020-12-14,EQ,2715.0,2745.0,2651.25,2685.1,2660.05,2671.95,2704.09,2755.0,1759.3,486459,1315426956.0,39870,DMART
2020-12-15,EQ,2672.0,2688.9,2624.5,2671.95,2645.0,2640.05,2649.58,2755.0,1759.3,257299,681735231.4,22421,DMART
2020-12-16,EQ,2650.05,2678.45,2605.0,2640.05,2619.0,2627.05,2634.95,2755.0,1759.3,452432,1192136013.95,44658,DMART
2020-12-17,EQ,2645.0,2650.0,2503.0,2627.05,2580.0,2556.05,2574.91,2755.0,1759.3,796303,2050408493.5,61590,DMART
2020-12-18,EQ,2574.0,2650.0,2555.0,2556.05,2640.4,2637.05,2611.49,2755.0,1759.3,681413,1779505547.25,49056,DMART
2020-12-21,EQ,2645.0,2715.0,2460.8,2637.05,2675.0,2682.4,2633.55,2755.0,1780.0,1195766,3149111601.65,81318,DMART
2020-12-22,EQ,2676.0,2678.3,2552.25,2682.4,2628.0,2625.75,2605.22,2755.0,1780.0,744981,1940839798.4,75048,DMART
2020-12-23,EQ,2650.0,2675.0,2621.3,2625.75,2665.0,2661.85,2647.61,2755.0,1780.0,374135,990561752.65,33437,DMART
2020-12-24,EQ,2661.85,2700.0,2604.8,2661.85,2665.0,2673.1,2679.75,2755.0,1780.0,432162,1158088107.15,32319,DMART
2020-12-28,EQ,2685.95,2698.95,2655.0,2673.1,2684.0,2678.0,2682.45,2755.0,1780.0,319378,856714316.35,23440,DMART
2020-12-29,EQ,2690.0,2694.7,2645.0,2678.0,2675.0,2665.7,2673.81,2755.0,1780.0,345136,922826465.45,22700,DMART
2020-12-30,EQ,2666.2,2725.0,2642.35,2665.7,2711.0,2680.3,2670.37,2755.0,1780.0,479318,1279954074.55,37221,DMART
