DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,825.8,834.8,818.0,818.5,829.75,829.8,827.26,1423.0,470.0,416015,344152917.15,28482,HAL
2020-12-02,EQ,832.0,834.95,820.1,829.8,826.0,828.3,826.4,1423.0,470.0,367178,303434634.2,18666,HAL
2020-12-03,EQ,835.0,853.2,830.0,828.3,848.0,847.7,842.99,1423.0,470.0,621321,523769576.85,27772,HAL
2020-12-04,EQ,853.0,859.35,835.7,847.7,843.2,842.65,847.36,1423.0,470.0,452854,383730175.0,18307,HAL
2020-12-07,EQ,846.9,872.0,843.0,842.65,867.4,867.35,860.62,1423.0,470.0,625677,538472995.7,21929,HAL
2020-12-08,EQ,871.7,873.25,854.3,867.35,862.4,863.5,863.0,1423.0,470.0,517672,446751953.25,18151,HAL
2020-12-09,EQ,878.9,894.5,873.5,863.5,878.0,878.05,884.81,1423.0,470.0,1023764,905832789.6,34598,HAL
2020-12-10,EQ,883.0,883.8,848.65,878.05,865.5,866.7,864.41,1423.0,470.0,367866,317988070.9,15532,HAL
2020-12-11,EQ,871.0,877.25,852.0,866.7,857.0,856.8,864.74,1423.0,470.0,282743,244498098.85,12211,HAL
2020-12-14,EQ,862.0,878.8,860.8,856.8,875.0,873.15,869.75,1423.0,470.0,318900,277364295.15,13753,HAL
2020-12-15,EQ,880.0,884.75,866.45,873.15,871.55,871.45,873.92,1423.0,470.0,331245,289481509.45,12262,HAL
2020-12-16,EQ,874.5,885.0,868.3,871.45,882.0,880.05,877.59,1423.0,470.0,386506,339193125.75,16209,HAL
2020-12-17,EQ,870.0,875.7,863.0,880.05,866.0,866.3,870.31,1423.0,470.0,248786,216521225.6,9478,HAL
2020-12-18,EQ,870.0,879.0,856.1,866.3,864.0,863.8,866.37,1423.0,470.0,238339,206489595.4,11579,HAL
2020-12-21,EQ,860.1,871.7,786.5,863.8,795.0,798.95,826.02,1423.0,470.0,472302,390130452.5,22993,HAL
2020-12-22,EQ,798.2,810.45,761.0,798.95,791.5,793.85,786.53,1423.0,470.0,429853,338090360.8,22928,HAL
2020-12-23,EQ,797.55,807.8,793.85,793.85,804.05,804.9,802.96,1423.0,470.0,183950,147704583.4,8829,HAL
2020-12-24,EQ,811.65,826.45,808.95,804.9,825.0,822.25,820.11,1423.0,470.0,334943,274688851.8,29081,HAL
2020-12-28,EQ,825.0,830.0,818.1,822.25,821.3,821.5,823.6,1423.0,470.0,127045,104633923.8,6489,HAL
2020-12-29,EQ,824.0,845.0,818.0,821.5,835.25,836.3,834.14,1423.0,470.0,404732,337604386.0,22671,HAL
2020-12-30,EQ,840.0,840.0,823.0,836.3,830.0,831.05,830.16,1423.0,470.0,193476,160616806.8,9770,HAL
2020-12-31,EQ,841.0,854.5,839.95,831.05,843.5,846.25,847.58,1423.0,470.0,443762,376123695.2,18598,HAL
2021-01-01,EQ,849.0,863.0,847.6,846.25,857.25,856.8,856.9,1423.0,470.0,262623,225041597.05,16540,HAL
2021-01-04,EQ,861.95,891.0,856.8,856.8,887.5,886.9,877.32,1423.0,470.0,739340,648636196.9,36424,HAL
2021-01-05,EQ,879.8,926.95,864.5,886.9,925.05,921.55,908.03,1423.0,470.0,1492650,1355369751.2,55820,HAL
2021-01-06,EQ,934.0,960.45,930.0,921.55,942.0,943.8,946.88,1423.0,470.0,1650561,1562884377.95,60674,HAL
2021-01-07,EQ,960.0,963.95,925.5,943.8,929.0,930.5,941.88,1423.0,470.0,506239,476814849.2,20586,HAL
2021-01-08,EQ,932.1,940.45,910.0,930.5,915.05,912.5,924.08,1423.0,470.0,355307,328333796.7,17503,HAL
2021-01-11,EQ,936.0,936.0,904.5,912.5,907.5,907.95,915.79,1423.0,470.0,449386,411543145.15,20262,HAL
2021-01-12,EQ,912.0,914.85,897.0,907.95,902.0,901.6,904.84,1423.0,470.0,292230,264422752.3,20751,HAL
2021-01-13,EQ,908.45,940.0,900.05,901.6,919.95,921.6,922.38,1423.0,470.0,806377,743784631.6,41674,HAL
2021-01-14,EQ,1005.0,1048.0,983.3,921.6,1008.95,1009.25,1010.54,1423.0,470.0,7542690,7622221988.95,299819,HAL
2021-01-15,EQ,1019.0,1019.0,950.0,1009.25,970.0,967.1,989.49,1423.0,470.0,1786029,1767265674.35,82686,HAL
2021-01-18,EQ,970.0,974.7,941.25,967.1,960.0,961.45,955.64,1423.0,470.0,839442,802202199.4,35974,HAL
2021-01-19,EQ,979.0,989.45,966.0,961.45,970.4,970.15,974.26,1423.0,470.0,364521,355136797.65,16572,HAL
2021-01-20,EQ,973.0,981.0,951.8,970.15,971.2,970.05,969.78,1423.0,470.0,383011,371438016.15,16989,HAL
2021-01-21,EQ,974.5,978.7,966.0,970.05,970.0,968.6,970.59,1423.0,470.0,344248,334124028.8,18173,HAL
2021-01-22,EQ,970.0,975.0,943.5,968.6,948.4,948.0,951.57,1423.0,470.0,340687,324188552.7,16559,HAL
2021-01-25,EQ,964.0,968.45,931.2,948.0,941.0,943.15,949.47,1423.0,470.0,349909,332227025.35,20513,HAL
2021-01-27,EQ,946.0,946.3,912.0,943.15,914.0,915.95,927.92,1423.0,470.0,248759,230827733.8,17557,HAL
2021-01-28,EQ,911.05,929.45,901.7,915.95,926.8,923.8,918.49,1423.0,470.0,233835,214775162.25,13520,HAL
2021-01-29,EQ,933.9,942.5,922.0,923.8,925.0,925.3,931.25,1423.0,470.0,327418,304909289.95,16870,HAL
