DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,37.1,37.3,36.55,36.75,37.1,37.1,37.05,47.65,17.65,23224844,860579240.0,51302,IDFCFIRSTB
2020-12-02,EQ,37.3,37.8,36.35,37.1,36.65,36.8,37.0,47.65,17.65,33101193,1224681751.85,58197,IDFCFIRSTB
2020-12-03,EQ,37.2,37.4,36.75,36.8,36.95,36.95,37.04,47.65,17.65,22994163,851746797.85,50664,IDFCFIRSTB
2020-12-04,EQ,37.0,37.8,36.4,36.95,37.1,37.1,37.17,47.65,17.65,31749332,1180025776.55,63474,IDFCFIRSTB
2020-12-07,EQ,37.3,37.45,36.6,37.1,36.85,36.75,36.98,46.55,17.65,34565048,1278296285.3,68391,IDFCFIRSTB
2020-12-08,EQ,37.15,37.3,36.45,36.75,37.1,37.05,36.95,46.55,17.65,24302015,898014728.7,49310,IDFCFIRSTB
2020-12-09,EQ,37.35,39.05,37.0,37.05,38.85,38.65,38.0,46.55,17.65,41122932,1562754101.45,69495,IDFCFIRSTB
2020-12-10,EQ,38.7,38.7,36.8,38.65,37.6,37.6,37.53,46.55,17.65,38075316,1429080537.0,66593,IDFCFIRSTB
2020-12-11,EQ,37.8,38.6,37.05,37.6,37.6,37.45,37.84,46.55,17.65,35136784,1329460773.5,51888,IDFCFIRSTB
2020-12-14,EQ,37.9,38.0,37.5,37.45,37.7,37.75,37.76,46.55,17.65,15159919,572366517.7,37514,IDFCFIRSTB
2020-12-15,EQ,37.7,37.95,36.85,37.75,37.65,37.75,37.4,46.55,17.65,19420642,726272614.0,49708,IDFCFIRSTB
2020-12-16,EQ,38.0,38.15,37.55,37.75,37.7,37.75,37.83,46.55,17.65,14987280,566917813.45,43003,IDFCFIRSTB
2020-12-17,EQ,37.75,37.95,37.25,37.75,37.4,37.4,37.53,46.55,17.65,22083576,828860306.65,42366,IDFCFIRSTB
2020-12-18,EQ,37.5,37.55,36.2,37.4,37.0,36.95,36.87,46.55,17.65,22980485,847323878.4,56513,IDFCFIRSTB
2020-12-21,EQ,36.5,36.7,33.65,36.95,34.0,34.25,35.37,46.55,17.65,38446940,1359796724.55,73155,IDFCFIRSTB
2020-12-22,EQ,34.0,34.75,32.9,34.25,34.65,34.6,33.92,46.55,17.65,42476231,1440777514.85,76226,IDFCFIRSTB
2020-12-23,EQ,34.65,36.1,34.4,34.6,36.1,35.9,35.32,46.55,17.65,20477842,723201477.95,55960,IDFCFIRSTB
2020-12-24,EQ,36.15,36.5,35.65,35.9,35.9,35.9,36.12,46.55,17.65,18306842,661291522.95,36519,IDFCFIRSTB
2020-12-28,EQ,36.25,37.2,36.0,35.9,37.05,36.95,36.76,46.55,17.65,22885983,841369192.35,44838,IDFCFIRSTB
2020-12-29,EQ,37.2,37.55,36.25,36.95,36.6,36.7,36.89,46.55,17.65,18963239,699641877.6,42585,IDFCFIRSTB
2020-12-30,EQ,36.85,36.95,35.9,36.7,36.6,36.65,36.34,46.55,17.65,19633682,713457318.85,46206,IDFCFIRSTB
2020-12-31,EQ,36.5,37.5,36.25,36.65,37.0,37.05,37.09,46.55,17.65,25499169,945825504.4,56475,IDFCFIRSTB
2021-01-01,EQ,37.05,37.6,36.85,37.05,37.3,37.4,37.37,46.55,17.65,12858049,480551703.75,35346,IDFCFIRSTB
2021-01-04,EQ,37.95,39.15,37.7,37.4,38.6,38.6,38.52,45.45,17.65,48722834,1876970659.6,91863,IDFCFIRSTB
2021-01-05,EQ,38.25,39.95,37.9,38.6,39.7,39.7,39.11,45.45,17.65,54314659,2124316267.9,90132,IDFCFIRSTB
2021-01-06,EQ,39.75,42.85,38.5,39.7,42.75,41.4,40.53,45.45,17.65,80681106,3269911486.05,117382,IDFCFIRSTB
2021-01-07,EQ,43.5,47.6,42.4,41.4,45.95,45.8,44.89,47.6,17.65,201972764,9066284414.3,279775,IDFCFIRSTB
2021-01-08,EQ,46.8,46.95,43.85,45.8,44.55,44.4,45.07,47.6,17.65,74289673,3348510545.5,133035,IDFCFIRSTB
2021-01-11,EQ,44.75,45.1,43.25,44.4,44.45,44.45,44.33,47.6,17.65,39358606,1744661596.75,76142,IDFCFIRSTB
2021-01-12,EQ,44.0,48.45,43.5,44.45,47.2,47.15,46.83,48.45,17.65,90521255,4239523499.4,146788,IDFCFIRSTB
2021-01-13,EQ,47.75,47.8,45.15,47.15,46.05,46.05,46.46,48.45,17.65,56558691,2627574592.0,95391,IDFCFIRSTB
2021-01-14,EQ,46.25,47.35,45.8,46.05,46.35,46.25,46.62,48.45,17.65,29310346,1366412287.9,63549,IDFCFIRSTB
2021-01-15,EQ,46.4,49.55,45.85,46.25,48.4,48.45,47.97,49.55,17.65,99486620,4772094082.75,151862,IDFCFIRSTB
2021-01-18,EQ,48.65,48.75,45.8,48.45,46.5,46.65,47.02,49.55,17.65,51656962,2428890717.4,93357,IDFCFIRSTB
2021-01-19,EQ,47.1,50.7,47.1,46.65,50.35,50.15,49.04,50.7,17.65,72082670,3534929465.25,110460,IDFCFIRSTB
2021-01-20,EQ,50.75,52.45,49.45,50.15,51.3,51.45,51.13,52.45,17.65,98044307,5012948884.35,148947,IDFCFIRSTB
2021-01-21,EQ,51.95,52.0,48.8,51.45,50.1,49.7,50.85,52.45,17.65,55907468,2842935807.5,110235,IDFCFIRSTB
2021-01-22,EQ,50.0,50.75,48.3,49.7,49.7,49.5,49.51,52.45,17.65,55567022,2751044352.45,109278,IDFCFIRSTB
2021-01-25,EQ,50.3,50.65,47.55,49.5,48.05,48.05,48.72,52.45,17.65,37299052,1817185196.8,80558,IDFCFIRSTB
2021-01-27,EQ,48.0,49.2,46.9,48.05,47.8,47.8,48.01,52.45,17.65,37095806,1780956096.3,69720,IDFCFIRSTB
2021-01-28,EQ,47.1,49.15,46.95,47.8,47.9,47.9,48.02,52.45,17.65,50095946,2405629292.45,85344,IDFCFIRSTB
2021-01-29,EQ,48.5,49.3,46.95,47.9,47.2,47.2,47.85,52.45,17.65,42499626,2033544147.6,76960,IDFCFIRSTB
2021-02-01,EQ,45.8,47.15,43.75,47.2,46.65,46.6,45.25,52.45,17.65,91266329,4129428089.2,176300,IDFCFIRSTB
2021-02-02,EQ,47.15,48.95,46.55,46.6,47.8,47.7,47.56,52.45,17.65,56064941,2666657649.4,91562,IDFCFIRSTB
2021-02-03,EQ,48.2,48.3,47.1,47.7,47.65,47.65,47.86,52.45,17.65,28568238,1367388477.9,52222,IDFCFIRSTB
2021-02-04,EQ,47.7,49.5,47.35,47.65,49.45,49.05,48.51,52.45,17.65,41320998,2004504621.9,71499,IDFCFIRSTB
2021-02-05,EQ,49.5,50.8,48.05,49.05,48.5,48.3,49.39,52.45,17.65,61029118,3013928562.35,107371,IDFCFIRSTB
2021-02-08,EQ,48.95,49.4,48.6,48.3,49.1,49.15,49.01,52.45,17.65,25004704,1225500290.6,52405,IDFCFIRSTB
2021-02-09,EQ,49.4,52.2,48.3,49.15,50.2,50.0,50.46,52.45,17.65,79600142,4016599366.95,126822,IDFCFIRSTB
2021-02-10,EQ,50.45,51.0,49.5,50.0,50.7,50.55,50.27,52.45,17.65,39925669,2006979216.65,75554,IDFCFIRSTB
2021-02-11,EQ,50.6,53.0,50.1,50.55,52.5,52.55,51.9,53.0,17.65,68713073,3566045927.3,127416,IDFCFIRSTB
2021-02-12,EQ,52.85,52.95,51.45,52.55,52.0,52.1,52.24,53.0,17.65,45538017,2378726251.55,94020,IDFCFIRSTB
2021-02-15,EQ,52.6,54.5,52.0,52.1,54.1,54.1,53.6,54.5,17.65,63488266,3403165182.1,108200,IDFCFIRSTB
2021-02-16,EQ,54.45,54.6,52.7,54.1,53.9,53.85,53.6,54.6,17.65,46908035,2514315174.15,88744,IDFCFIRSTB
2021-02-17,EQ,53.8,57.5,52.9,53.85,56.2,56.4,55.98,57.5,17.65,84077529,4706523452.75,156977,IDFCFIRSTB
2021-02-18,EQ,56.8,58.9,55.9,56.4,58.05,58.1,57.76,58.9,17.65,64960498,3752180877.6,129063,IDFCFIRSTB
