DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,1530.0,1571.45,1515.5,1514.15,1560.0,1559.75,1552.46,1743.85,771.3,1581554,2455298285.85,38428,INDIGO
2020-12-02,EQ,1574.25,1605.4,1548.4,1559.75,1599.0,1593.1,1575.25,1743.85,771.3,1640027,2583455731.15,40103,INDIGO
2020-12-03,EQ,1606.0,1653.2,1606.0,1593.1,1646.9,1644.05,1629.37,1743.85,771.3,2060546,3357386607.35,76626,INDIGO
2020-12-04,EQ,1658.0,1752.0,1647.5,1644.05,1738.0,1744.8,1724.0,1752.0,771.3,4860585,8379650548.0,228995,INDIGO
2020-12-07,EQ,1744.0,1768.0,1720.0,1744.8,1745.0,1740.3,1742.13,1768.0,771.3,1563286,2723448803.7,55854,INDIGO
2020-12-08,EQ,1753.7,1787.0,1736.6,1740.3,1740.05,1747.65,1759.13,1787.0,771.3,1616895,2844325927.0,56587,INDIGO
2020-12-09,EQ,1749.0,1768.6,1725.1,1747.65,1733.0,1731.65,1741.5,1787.0,771.3,1014150,1766141009.6,33297,INDIGO
2020-12-10,EQ,1740.2,1750.0,1722.0,1731.65,1739.0,1736.35,1735.72,1787.0,771.3,943295,1637292759.4,31269,INDIGO
2020-12-11,EQ,1742.0,1748.95,1699.2,1736.35,1727.0,1729.9,1722.66,1787.0,771.3,1542434,2657087889.7,49386,INDIGO
2020-12-14,EQ,1728.0,1732.5,1697.5,1729.9,1718.0,1715.1,1710.26,1787.0,771.3,1161901,1987147498.0,40702,INDIGO
2020-12-15,EQ,1709.0,1709.0,1650.8,1715.1,1659.4,1659.8,1671.55,1787.0,771.3,1568196,2621322625.45,47275,INDIGO
2020-12-16,EQ,1678.4,1683.75,1637.05,1659.8,1655.45,1655.85,1652.5,1787.0,771.3,1085904,1794457099.05,32556,INDIGO
2020-12-17,EQ,1654.0,1654.0,1625.45,1655.85,1636.9,1642.55,1637.32,1787.0,771.3,1066899,1746859283.95,41549,INDIGO
2020-12-18,EQ,1637.0,1684.55,1626.8,1642.55,1648.3,1651.05,1663.59,1787.0,771.3,1828435,3041769672.75,62212,INDIGO
2020-12-21,EQ,1637.0,1637.0,1487.25,1651.05,1496.0,1507.0,1558.09,1787.0,771.3,2728396,4251091678.8,81210,INDIGO
2020-12-22,EQ,1425.0,1596.95,1425.0,1507.0,1574.65,1570.95,1494.68,1787.0,771.3,6290730,9402657403.7,210212,INDIGO
2020-12-23,EQ,1566.0,1658.9,1547.25,1570.95,1650.0,1649.25,1613.81,1787.0,771.3,2543200,4104234006.95,76420,INDIGO
2020-12-24,EQ,1650.0,1673.0,1615.15,1649.25,1651.15,1643.8,1640.61,1787.0,771.3,1599459,2624087476.1,45542,INDIGO
2020-12-28,EQ,1655.0,1714.35,1655.0,1643.8,1687.0,1687.9,1696.18,1787.0,771.3,2239393,3798423742.65,74508,INDIGO
2020-12-29,EQ,1690.0,1714.0,1669.5,1687.9,1691.7,1692.2,1688.67,1787.0,771.3,1705739,2880429495.0,63256,INDIGO
2020-12-30,EQ,1695.0,1700.45,1677.25,1692.2,1686.8,1689.7,1688.72,1787.0,771.3,1065369,1799109609.4,31631,INDIGO
2020-12-31,EQ,1680.0,1738.9,1673.9,1689.7,1720.0,1723.3,1702.9,1787.0,771.3,1474347,2510672087.1,41486,INDIGO
2021-01-01,EQ,1719.0,1723.85,1692.95,1723.3,1710.25,1713.5,1711.44,1787.0,771.3,1000420,1712160445.15,25733,INDIGO
2021-01-04,EQ,1722.0,1751.0,1718.15,1713.5,1746.0,1744.95,1734.95,1787.0,771.3,864639,1500105005.6,22381,INDIGO
