DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,1930.0,1930.0,1864.55,1907.1,1876.1,1875.85,1886.98,1948.4,1001.0,7955798,15012468288.05,180739,KOTAKBANK
2020-12-02,EQ,1880.0,1883.65,1809.0,1875.85,1813.0,1814.2,1834.13,1948.4,1001.0,7458011,13678926933.9,223059,KOTAKBANK
2020-12-03,EQ,1836.0,1844.0,1811.7,1814.2,1825.0,1821.0,1827.32,1948.4,1001.0,4462528,8154477109.45,159951,KOTAKBANK
2020-12-04,EQ,1828.0,1857.0,1802.4,1821.0,1854.0,1846.25,1828.84,1948.4,1001.0,3989431,7296038745.2,170610,KOTAKBANK
2020-12-07,EQ,1849.45,1856.0,1805.0,1846.25,1821.15,1820.55,1822.94,1948.4,1001.0,6032173,10996315497.95,258826,KOTAKBANK
2020-12-08,EQ,1832.3,1839.0,1817.25,1820.55,1834.0,1833.8,1831.79,1948.4,1001.0,3953436,7241877253.2,117415,KOTAKBANK
2020-12-09,EQ,1836.1,1889.0,1836.1,1833.8,1882.6,1883.55,1865.76,1948.4,1001.0,4370644,8154589765.35,135283,KOTAKBANK
2020-12-10,EQ,1900.0,1919.9,1859.85,1883.55,1905.0,1903.3,1889.6,1948.4,1001.0,4695216,8872093056.7,129345,KOTAKBANK
2020-12-11,EQ,1893.5,1928.7,1893.5,1903.3,1919.65,1920.4,1915.18,1948.4,1001.0,5466598,10469543705.95,160468,KOTAKBANK
2020-12-14,EQ,1934.0,1946.9,1899.0,1920.4,1943.35,1939.35,1923.53,1948.4,1001.0,3456971,6649589694.4,112465,KOTAKBANK
2020-12-15,EQ,1948.0,1958.0,1919.3,1939.35,1945.05,1951.15,1942.2,1958.0,1001.0,4141898,8044408631.85,149161,KOTAKBANK
2020-12-16,EQ,1965.0,1965.0,1936.55,1951.15,1951.0,1952.55,1948.41,1965.0,1001.0,2764698,5386765566.25,117822,KOTAKBANK
2020-12-17,EQ,1965.0,1969.0,1942.55,1952.55,1964.0,1965.45,1954.72,1969.0,1001.0,3460370,6764063345.85,119296,KOTAKBANK
2020-12-18,EQ,1963.8,1963.8,1921.35,1965.45,1941.1,1949.35,1942.1,1969.0,1001.0,3371676,6548128656.2,131696,KOTAKBANK
2020-12-21,EQ,1935.0,1959.0,1907.6,1949.35,1912.4,1920.85,1939.0,1969.0,1001.0,3941511,7642582748.7,130000,KOTAKBANK
2020-12-22,EQ,1930.0,1930.25,1886.1,1920.85,1901.05,1902.95,1908.92,1969.0,1001.0,5073744,9685356091.9,172872,KOTAKBANK
2020-12-23,EQ,1901.0,1924.8,1892.5,1902.95,1919.95,1920.75,1912.02,1969.0,1001.0,2340819,4475684376.85,95575,KOTAKBANK
2020-12-24,EQ,1918.0,1978.0,1917.0,1920.75,1958.0,1960.6,1953.74,1978.0,1001.0,3337164,6519935111.85,103380,KOTAKBANK
2020-12-28,EQ,1963.0,1996.1,1962.1,1960.6,1992.8,1988.9,1982.49,1996.1,1001.0,2743069,5438108518.8,98946,KOTAKBANK
2020-12-29,EQ,1983.0,2017.0,1983.0,1988.9,1998.5,1999.3,2005.96,2017.0,1001.0,3152865,6324522841.0,104972,KOTAKBANK
2020-12-30,EQ,2003.2,2027.0,1999.0,1999.3,2018.45,2017.95,2012.83,2027.0,1001.0,2657431,5348952892.3,88204,KOTAKBANK
2020-12-31,EQ,2016.7,2018.75,1987.0,2017.95,1995.4,1995.6,2002.41,2027.0,1001.0,2794829,5596399042.7,90945,KOTAKBANK
2021-01-01,EQ,1996.9,2007.95,1990.7,1995.6,1993.2,1994.05,1998.31,2027.0,1001.0,1106099,2210330091.35,34245,KOTAKBANK
2021-01-04,EQ,2004.0,2005.95,1955.0,1994.05,1970.0,1965.55,1970.29,2027.0,1001.0,3141429,6189523797.3,123364,KOTAKBANK
2021-01-05,EQ,1959.5,1964.4,1935.0,1965.55,1960.15,1959.75,1949.97,2027.0,1001.0,3263230,6363208069.05,117099,KOTAKBANK
2021-01-06,EQ,1973.9,1979.0,1948.4,1959.75,1969.95,1970.4,1966.12,2027.0,1001.0,3452515,6788054699.95,105749,KOTAKBANK
2021-01-07,EQ,1984.0,1984.0,1947.5,1970.4,1953.55,1952.4,1959.76,2027.0,1001.0,3419317,6701044872.4,84251,KOTAKBANK
2021-01-08,EQ,1972.0,1976.0,1946.25,1952.4,1969.9,1970.7,1962.11,2027.0,1001.0,3262897,6402165060.0,82858,KOTAKBANK
2021-01-11,EQ,1960.0,1966.9,1935.4,1970.7,1939.5,1938.15,1950.73,2027.0,1001.0,2995521,5843446497.75,85280,KOTAKBANK
2021-01-12,EQ,1929.8,1930.1,1895.85,1938.15,1906.8,1903.45,1907.07,2027.0,1001.0,6035580,11510289573.2,209095,KOTAKBANK
2021-01-13,EQ,1911.0,1911.0,1877.0,1903.45,1880.0,1882.1,1885.87,2027.0,1001.0,5583130,10529072640.7,212013,KOTAKBANK
2021-01-14,EQ,1892.0,1905.0,1871.05,1882.1,1894.25,1892.65,1894.8,2027.0,1001.0,4803638,9101955373.75,111548,KOTAKBANK
2021-01-15,EQ,1894.2,1904.0,1854.05,1892.65,1868.0,1863.9,1868.24,2027.0,1001.0,2715164,5072567483.2,106977,KOTAKBANK
2021-01-18,EQ,1870.5,1872.25,1838.85,1863.9,1841.1,1846.95,1848.3,2027.0,1001.0,5004628,9250061676.65,107986,KOTAKBANK
