DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,2.0,2.0,1.95,1.95,1.95,2.0,2.0,4.45,1.05,6813868,13608692.75,1018,RTNPOWER
2020-12-02,EQ,1.95,2.05,1.95,2.0,2.0,2.0,2.0,4.45,1.05,6911902,13799669.05,2845,RTNPOWER
2020-12-03,EQ,2.0,2.1,1.95,2.0,2.1,2.1,2.05,4.45,1.05,25929655,53206380.1,7814,RTNPOWER
2020-12-04,EQ,2.15,2.2,2.1,2.1,2.15,2.15,2.18,4.45,1.05,23995595,52317100.25,3037,RTNPOWER
2020-12-07,EQ,2.3,2.55,2.2,2.15,2.35,2.3,2.38,4.45,1.05,63474220,151307055.2,11332,RTNPOWER
2020-12-08,EQ,2.3,2.4,2.1,2.3,2.2,2.15,2.26,4.45,1.05,40408049,91247628.8,6246,RTNPOWER
2020-12-09,EQ,2.15,2.25,2.0,2.15,2.15,2.1,2.14,4.45,1.05,31966905,68449193.0,8103,RTNPOWER
2020-12-10,EQ,2.15,2.15,1.95,2.1,2.0,2.0,2.03,4.45,1.05,28376286,57603837.85,7070,RTNPOWER
2020-12-11,EQ,2.05,2.35,2.0,2.0,2.05,2.05,2.12,4.45,1.05,86433766,183360422.55,10415,RTNPOWER
2020-12-14,EQ,2.1,2.45,1.95,2.05,2.3,2.3,2.28,4.45,1.05,207769258,474089154.95,48016,RTNPOWER
2020-12-15,EQ,2.3,2.3,2.0,2.3,2.1,2.05,2.11,4.45,1.05,121122918,255026742.6,33064,RTNPOWER
2020-12-16,EQ,2.1,2.25,2.05,2.05,2.2,2.2,2.13,4.45,1.05,76142348,162534950.5,18717,RTNPOWER
2020-12-17,EQ,2.15,2.55,2.15,2.2,2.35,2.35,2.35,4.45,1.05,163745599,385603274.05,28978,RTNPOWER
2020-12-18,EQ,2.4,2.4,2.1,2.35,2.3,2.3,2.24,4.45,1.05,75765622,169369705.9,12726,RTNPOWER
2020-12-21,EQ,2.3,2.4,1.9,2.3,2.1,2.05,2.18,4.45,1.05,139129581,302658057.05,30338,RTNPOWER
2020-12-22,EQ,2.05,2.15,1.95,2.05,2.15,2.15,2.05,4.45,1.05,44004434,90395483.8,16015,RTNPOWER
2020-12-23,EQ,2.15,2.55,2.1,2.15,2.4,2.45,2.43,4.45,1.05,168932166,410543398.75,66357,RTNPOWER
2020-12-24,EQ,2.4,2.6,2.3,2.45,2.4,2.35,2.44,4.45,1.05,74053944,181042492.7,13686,RTNPOWER
2020-12-28,EQ,2.4,2.55,2.25,2.35,2.5,2.45,2.42,4.45,1.05,52570829,127450575.85,27791,RTNPOWER
2020-12-29,EQ,2.5,2.6,2.35,2.45,2.45,2.45,2.48,4.45,1.05,49335286,122221714.25,15625,RTNPOWER
2020-12-30,EQ,2.45,2.5,2.35,2.45,2.4,2.4,2.4,4.45,1.05,16754070,40202062.2,11214,RTNPOWER
2020-12-31,EQ,2.4,2.45,2.3,2.4,2.35,2.35,2.37,4.45,1.05,16805800,39842452.45,17160,RTNPOWER
2021-01-01,EQ,2.35,2.4,2.3,2.35,2.35,2.35,2.37,4.45,1.05,8768578,20767632.65,7536,RTNPOWER
