DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,245.0,248.95,244.25,244.25,247.65,248.05,246.58,344.6,149.45,37003272,9124277406.45,186048,SBIN
2020-12-02,EQ,248.35,250.85,244.1,248.05,246.55,246.95,247.75,344.6,149.45,56723083,14052937533.8,221604,SBIN
2020-12-03,EQ,249.3,259.0,248.0,246.95,256.4,256.3,255.15,344.6,149.45,79266442,20224723033.4,361390,SBIN
2020-12-04,EQ,257.0,264.35,253.55,256.3,264.05,263.5,259.18,344.6,149.45,79252024,20540875199.5,332166,SBIN
2020-12-07,EQ,263.8,271.45,263.0,263.5,269.5,269.6,267.33,339.85,149.45,76053084,20331616535.05,298030,SBIN
2020-12-08,EQ,270.95,273.7,265.25,269.6,270.75,271.9,269.92,339.85,149.45,65617502,17711550023.25,288470,SBIN
2020-12-09,EQ,272.1,274.9,269.2,271.9,270.25,270.35,271.89,339.85,149.45,48495641,13185424469.75,224768,SBIN
2020-12-10,EQ,269.0,271.0,265.55,270.35,270.0,269.55,267.91,339.85,149.45,38676657,10362014086.65,191259,SBIN
2020-12-11,EQ,270.05,276.25,270.05,269.55,272.5,272.45,273.03,339.85,149.45,50255223,13720952520.25,219426,SBIN
2020-12-14,EQ,274.0,276.15,272.35,272.45,274.25,274.2,274.69,339.85,149.45,31946501,8775317446.6,200577,SBIN
2020-12-15,EQ,274.05,274.05,268.15,274.2,270.55,270.65,270.4,339.85,149.45,34890948,9434599246.05,207937,SBIN
2020-12-16,EQ,272.8,273.65,268.5,270.65,269.35,269.4,270.58,339.85,149.45,24844177,6722276269.8,150489,SBIN
2020-12-17,EQ,270.0,272.15,266.7,269.4,267.35,267.7,269.19,339.85,149.45,25904699,6973309847.65,146174,SBIN
2020-12-18,EQ,267.7,271.95,265.0,267.7,271.35,271.45,268.3,339.85,149.45,29816205,7999717685.9,159604,SBIN
2020-12-21,EQ,268.45,269.0,251.05,271.45,254.1,254.7,260.31,339.85,149.45,55160758,14358884778.05,311254,SBIN
2020-12-22,EQ,254.8,258.7,248.25,254.7,257.15,257.45,254.2,339.85,149.45,51189571,13012282126.8,288750,SBIN
2020-12-23,EQ,256.95,263.9,255.6,257.45,263.0,263.0,261.14,339.85,149.45,29056404,7587914568.9,171296,SBIN
2020-12-24,EQ,265.0,268.85,264.65,263.0,266.85,266.85,267.02,339.85,149.45,28585509,7632821262.6,167695,SBIN
