DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,580.85,582.0,560.05,577.95,568.9,568.7,568.03,596.7,212.55,527981,299911406.35,40685,SYNGENE
2020-12-02,EQ,571.8,581.0,568.7,568.7,575.0,575.6,574.96,596.7,212.55,568732,326996117.4,33794,SYNGENE
2020-12-03,EQ,577.4,577.4,565.6,575.6,569.8,569.1,569.07,596.7,212.55,324117,184445602.85,24544,SYNGENE
2020-12-04,EQ,572.5,575.65,567.7,569.1,575.0,572.1,571.14,596.7,212.55,261710,149473037.45,25269,SYNGENE
2020-12-07,EQ,573.7,624.95,572.0,572.1,609.0,609.75,607.42,624.95,212.55,2145220,1303039842.15,98353,SYNGENE
2020-12-08,EQ,616.4,623.8,600.0,609.75,607.0,604.9,610.65,624.95,212.55,862917,526943024.75,56754,SYNGENE
2020-12-09,EQ,607.95,616.0,594.05,604.9,601.0,599.8,601.59,624.95,212.55,532012,320054280.45,33358,SYNGENE
2020-12-10,EQ,600.0,618.0,592.0,599.8,595.0,596.85,605.84,624.95,212.55,881328,533944444.35,44995,SYNGENE
2020-12-11,EQ,603.95,609.1,597.05,596.85,599.9,599.95,602.14,624.95,212.55,1236167,744350307.3,23350,SYNGENE
2020-12-14,EQ,607.2,616.8,603.0,599.95,613.2,612.05,611.84,624.95,212.55,563532,344788793.65,28479,SYNGENE
2020-12-15,EQ,614.0,616.0,605.85,612.05,615.0,613.0,613.31,624.95,212.55,523396,321002450.2,26539,SYNGENE
2020-12-16,EQ,616.4,634.0,608.95,613.0,612.75,616.75,625.12,634.0,212.55,1439355,899772233.5,49733,SYNGENE
2020-12-17,EQ,618.75,624.95,612.0,616.75,618.0,617.9,617.04,634.0,212.55,564398,348258854.85,16687,SYNGENE
2020-12-18,EQ,618.8,624.0,606.0,617.9,609.3,608.0,610.37,634.0,212.55,364424,222433039.6,11620,SYNGENE
2020-12-21,EQ,610.0,618.0,563.85,608.0,570.0,572.0,591.72,634.0,212.55,965242,571156032.85,32135,SYNGENE
2020-12-22,EQ,575.0,607.0,555.15,572.0,599.5,602.05,584.65,634.0,212.55,905111,529177334.5,32557,SYNGENE
2020-12-23,EQ,602.0,623.8,598.85,602.05,617.0,615.3,614.92,634.0,212.55,527854,324587009.4,31223,SYNGENE
2020-12-24,EQ,621.0,622.8,606.0,615.3,610.9,610.5,611.77,634.0,212.55,449119,274757479.1,19820,SYNGENE
2020-12-28,EQ,611.0,622.0,604.2,610.5,610.5,609.2,613.4,634.0,212.55,318751,195521834.4,14902,SYNGENE
2020-12-29,EQ,610.0,616.25,598.0,609.2,598.5,598.8,603.27,634.0,212.55,441649,266432164.65,23867,SYNGENE
2020-12-30,EQ,604.6,616.7,601.0,598.8,611.4,610.4,610.0,634.0,212.55,347359,211888005.9,10297,SYNGENE
2020-12-31,EQ,609.0,644.55,601.8,610.4,638.0,639.6,627.77,644.55,212.55,1632432,1024791088.2,39576,SYNGENE
2021-01-01,EQ,639.0,639.55,628.05,639.6,630.8,632.35,633.18,644.55,212.55,501130,317304686.1,17766,SYNGENE
2021-01-04,EQ,632.8,639.9,626.65,632.35,638.5,637.05,634.46,644.55,212.55,419880,266398524.45,20061,SYNGENE
2021-01-05,EQ,637.0,637.0,621.1,637.05,631.0,630.9,628.08,644.55,212.55,621144,390129902.55,34121,SYNGENE
2021-01-06,EQ,631.0,639.9,614.0,630.9,616.4,616.95,621.86,644.55,212.55,560456,348523756.85,31690,SYNGENE
2021-01-07,EQ,623.05,630.75,610.0,616.95,613.5,615.1,621.16,644.55,212.55,601567,373670310.35,21910,SYNGENE
