DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,1612.0,1638.45,1606.65,1588.25,1628.0,1628.6,1624.15,1710.0,499.95,471067,765083295.35,23877,TATAELXSI
2020-12-02,EQ,1628.0,1697.0,1606.0,1628.6,1690.1,1684.3,1657.72,1710.0,499.95,493488,818066101.1,25505,TATAELXSI
2020-12-03,EQ,1700.0,1715.0,1674.2,1684.3,1686.0,1691.4,1694.54,1715.0,499.95,337606,572087307.8,17986,TATAELXSI
2020-12-04,EQ,1692.0,1696.95,1650.0,1691.4,1674.1,1669.8,1677.32,1715.0,499.95,311097,521807741.15,19297,TATAELXSI
2020-12-07,EQ,1679.95,1721.0,1672.15,1669.8,1698.0,1698.1,1705.05,1721.0,499.95,500920,854095634.25,25242,TATAELXSI
2020-12-08,EQ,1702.0,1725.0,1680.0,1698.1,1685.0,1686.6,1699.5,1725.0,499.95,289588,492154730.65,18070,TATAELXSI
2020-12-09,EQ,1695.0,1700.0,1650.0,1686.6,1664.55,1657.45,1672.39,1725.0,499.95,344622,576340946.55,22784,TATAELXSI
2020-12-10,EQ,1665.0,1667.0,1598.0,1657.45,1612.95,1610.4,1618.9,1725.0,499.95,314240,508723806.8,19464,TATAELXSI
2020-12-11,EQ,1623.0,1642.8,1596.05,1610.4,1610.0,1605.85,1620.45,1725.0,499.95,253651,411028447.55,16060,TATAELXSI
2020-12-14,EQ,1613.9,1635.0,1590.0,1605.85,1600.0,1600.15,1615.28,1725.0,499.95,256187,413812519.3,18097,TATAELXSI
2020-12-15,EQ,1600.0,1644.0,1586.5,1600.15,1636.0,1636.4,1626.91,1725.0,499.95,361310,587819228.65,22815,TATAELXSI
2020-12-16,EQ,1642.0,1657.95,1640.5,1636.4,1650.0,1649.2,1650.45,1725.0,499.95,197921,326658630.3,11741,TATAELXSI
2020-12-17,EQ,1652.2,1659.0,1622.6,1649.2,1631.0,1630.65,1636.06,1725.0,499.95,154635,252992500.95,14973,TATAELXSI
2020-12-18,EQ,1638.0,1664.0,1630.0,1630.65,1632.0,1636.1,1646.51,1725.0,499.95,317785,523237253.3,16055,TATAELXSI
2020-12-21,EQ,1640.0,1644.0,1468.0,1636.1,1561.0,1551.55,1583.8,1725.0,499.95,373609,591720840.95,27521,TATAELXSI
2020-12-22,EQ,1549.2,1660.0,1505.0,1551.55,1656.0,1651.25,1611.11,1725.0,499.95,762144,1227895684.5,38891,TATAELXSI
2020-12-23,EQ,1660.5,1807.5,1660.5,1651.25,1775.0,1786.1,1732.29,1807.5,499.95,2102831,3642705991.15,106532,TATAELXSI
2020-12-24,EQ,1790.0,1800.0,1737.1,1786.1,1762.0,1759.65,1763.53,1807.5,499.95,531128,936658891.3,25917,TATAELXSI
2020-12-28,EQ,1774.0,1880.0,1762.0,1759.65,1849.0,1837.75,1845.61,1880.0,499.95,1200589,2215817477.75,54769,TATAELXSI
2020-12-29,EQ,1867.0,1888.0,1839.5,1837.75,1853.0,1855.1,1861.78,1888.0,499.95,503379,937179335.0,28439,TATAELXSI
2020-12-30,EQ,1855.0,1860.0,1821.0,1855.1,1858.05,1851.65,1842.23,1888.0,499.95,245023,451388053.8,13138,TATAELXSI
2020-12-31,EQ,1856.4,1872.0,1802.75,1851.65,1844.0,1835.3,1849.18,1888.0,499.95,403744,746594796.75,23440,TATAELXSI
2021-01-01,EQ,1843.0,1875.0,1837.0,1835.3,1870.0,1867.95,1860.13,1888.0,499.95,254672,473723775.55,13993,TATAELXSI
2021-01-04,EQ,1880.95,1895.0,1866.75,1867.95,1885.0,1881.1,1883.77,1895.0,499.95,400879,755164491.6,17318,TATAELXSI
2021-01-05,EQ,1885.0,1970.0,1881.1,1881.1,1957.7,1957.9,1949.22,1970.0,499.95,1115371,2174106948.55,56202,TATAELXSI
2021-01-06,EQ,1967.0,2018.35,1947.15,1957.9,2000.0,1994.6,1992.78,2018.35,499.95,770176,1534789665.7,40901,TATAELXSI
2021-01-07,EQ,2013.55,2034.95,1990.0,1994.6,2003.95,1998.95,2007.44,2034.95,499.95,349121,700839617.55,18381,TATAELXSI
2021-01-08,EQ,2009.7,2052.8,2009.55,1998.95,2041.95,2043.3,2030.72,2052.8,499.95,381158,774026645.8,20715,TATAELXSI
2021-01-11,EQ,2081.8,2140.0,2070.0,2043.3,2125.0,2117.55,2116.64,2140.0,499.95,998505,2113476549.75,47554,TATAELXSI
2021-01-12,EQ,2142.0,2155.0,2025.0,2117.55,2093.95,2087.6,2114.73,2155.0,499.95,851419,1800520789.95,50171,TATAELXSI
2021-01-13,EQ,2150.25,2424.7,2140.05,2087.6,2398.95,2371.85,2288.93,2424.7,499.95,5367427,12285641144.35,296045,TATAELXSI
