date,UJJIVANSFB,NEWGEN,RVNL,TATACONSUM,DATAPATTNS,BAJFINANCE,AVALON,MCX,INDIGO,IRFC,HDFCBANK,DMART,AXISBANK,CDSL,IRCTC,ADANIPORTS,ZOMATO,INOXINDIA,ACI,MAZDOCK,SWIGGY,SYNGENE,PPL,AEROFLEX,IDFCFIRSTB,VINCOFE,KOTAKBANK,SBICARD,ADANIENT,SBIN,JIOFIN,CASTROLIND,HAPPSTMNDS,HAL,FEDERALBNK,IREDA,WAAREERTL,TATAPOWER,KELLTONTEC,PREMIERENE,CLEAN,COALINDIA,RTNPOWER,BHEL,WHIRLPOOL,VBL,LATENTVIEW,BANDHANBNK,HFCL,AETHER,SPANDANA,SONACOMS,IEX,DCXINDIA,MTARTECH,TATAELXSI,PRINCEPIPE,RAILTEL,MANINDS,COCHINSHIP
2020-12-01,38.05,267.4,22.95,529.3,,4861.1,,1592.25,1559.75,,1433.3,2426.7,603.65,494.3,1358.1,423.8,,,,182.0,,568.7,79.7,,37.1,,1875.85,799.95,421.9,248.05,,128.55,315.9,829.8,65.6,,,68.85,54.2,,,126.4,2.0,34.05,2180.6,835.6,,377.2,19.5,,752.0,,218.0,,,1628.6,264.8,,74.75,369.5
2020-12-02,37.95,267.4,23.1,539.25,,4823.9,,1567.7,1593.1,,1406.95,2456.0,608.1,499.4,1349.9,438.2,,,,180.9,,575.6,87.8,,36.8,,1814.2,796.95,453.75,246.95,,130.75,331.35,828.3,65.05,,,67.95,54.25,,,129.75,2.0,33.8,2161.2,870.3,,372.3,22.95,,751.8,,216.8,,,1684.3,272.7,,75.1,365.7
2020-12-03,37.95,273.8,23.75,550.4,,4867.45,,1571.15,1644.05,,1377.2,2470.85,602.7,526.05,1378.05,435.8,,,,184.75,,569.1,97.45,,36.95,,1821.0,838.65,447.55,256.3,,128.55,327.3,847.7,65.6,,,69.25,53.65,,,133.45,2.1,34.2,2148.55,846.4,,376.6,22.15,,751.3,,215.0,,,1691.4,269.55,,78.4,360.5
2020-12-04,38.05,271.15,24.05,563.5,,4875.35,,1566.05,1744.8,,1385.6,2441.9,614.5,547.05,1570.6,453.7,,,,182.4,,572.1,103.2,,37.1,,1846.25,858.85,445.95,263.5,,130.8,325.8,842.65,66.0,,,71.65,56.3,,,133.3,2.15,34.25,2132.3,835.4,,393.4,21.25,,742.95,,215.5,,,1669.8,265.3,,75.95,365.0
2020-12-07,40.75,273.2,24.65,567.85,,4829.45,,1563.6,1740.3,,1372.25,2526.45,619.25,527.65,1691.55,471.5,,,,191.35,,609.75,100.0,,36.75,,1820.55,846.9,457.55,269.6,,134.65,326.45,867.35,66.35,,,71.65,60.8,,,136.8,2.3,34.95,2142.75,860.15,,411.0,21.8,,729.85,,214.25,,,1698.1,269.5,,86.8,369.65
2020-12-08,40.15,270.85,23.35,562.75,,4792.15,,1594.2,1747.65,,1376.3,2652.1,620.65,523.45,1648.5,463.35,,,,188.7,,604.9,96.55,,37.05,,1833.8,855.65,451.9,271.9,,135.1,323.7,863.5,65.5,,,72.0,60.7,,,134.25,2.15,36.15,2125.55,885.3,,403.9,21.3,,723.55,,214.2,,,1686.6,275.35,,83.4,359.8
2020-12-09,39.35,272.3,22.8,565.5,,4844.15,,1680.15,1731.65,,1407.2,2625.3,634.2,525.65,1617.75,463.9,,,,195.9,,599.8,98.65,,38.65,,1883.55,845.6,449.1,270.35,,135.2,322.65,878.05,66.6,,,73.15,61.8,,,134.7,2.1,36.6,2119.65,907.3,,399.95,22.15,,721.8,,218.55,,,1657.45,277.6,,81.85,358.35
2020-12-10,39.0,269.3,21.9,579.9,,4794.8,,1689.2,1736.35,,1385.85,2622.05,627.05,525.7,1452.75,471.0,,,,191.8,,596.85,96.15,,37.6,,1903.3,831.75,447.25,269.55,,131.95,321.0,866.7,65.5,,,72.65,61.65,,,134.85,2.0,35.65,2099.8,910.85,,414.9,21.7,,729.75,,221.05,,,1610.4,274.35,,80.05,354.75
2020-12-11,38.85,266.2,23.4,576.4,,4843.85,,1668.0,1729.9,,1382.8,2685.1,613.25,523.0,1421.0,466.3,,,,188.75,,599.95,96.65,,37.45,,1920.4,823.2,449.8,272.45,,130.25,322.45,856.8,66.25,,,72.8,61.9,,,138.25,2.05,35.95,2084.6,910.05,,423.2,21.85,,729.65,,217.35,,,1605.85,269.2,,80.5,359.8
2020-12-14,39.05,267.85,23.25,577.0,,4898.65,,1702.4,1715.1,,1372.15,2671.95,615.9,517.75,1479.0,467.0,,,,194.15,,612.05,95.9,,37.75,,1939.35,814.9,455.15,274.2,,127.85,320.7,873.15,68.4,,,73.45,69.55,,,143.35,2.3,36.85,2095.1,901.9,,410.3,22.6,,738.4,,213.2,,,1600.15,269.6,,80.85,359.85
