DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,398.0,423.95,395.1,398.4,422.0,421.9,414.64,423.95,116.4,7846125,3253356352.4,63473,ADANIENT
2020-12-02,EQ,420.55,461.9,419.35,421.9,452.45,453.75,445.42,461.9,116.4,16821595,7492597540.35,136223,ADANIENT
2020-12-03,EQ,453.75,457.0,443.25,453.75,445.9,447.55,448.46,461.9,116.4,6848649,3071335924.75,62819,ADANIENT
2020-12-04,EQ,449.0,456.55,442.0,447.55,446.0,445.95,448.93,461.9,116.4,4131360,1854704555.8,38726,ADANIENT
2020-12-07,EQ,446.0,466.35,445.95,445.95,455.35,457.55,455.56,466.35,116.4,5371039,2446842902.8,50658,ADANIENT
2020-12-08,EQ,457.55,462.3,446.55,457.55,450.8,451.9,454.47,466.35,116.4,3872952,1760146842.2,39842,ADANIENT
2020-12-09,EQ,454.0,458.1,447.3,451.9,449.5,449.1,452.13,466.35,116.4,2798049,1265087102.3,28205,ADANIENT
2020-12-10,EQ,448.0,452.25,438.05,449.1,446.05,447.25,445.49,466.35,116.4,3113868,1387196177.5,30711,ADANIENT
2020-12-11,EQ,447.25,451.8,440.4,447.25,448.85,449.8,447.56,466.35,116.4,2940168,1315901506.25,29698,ADANIENT
2020-12-14,EQ,451.0,462.0,447.0,449.8,454.45,455.15,454.65,466.35,116.4,3762369,1710568818.3,40441,ADANIENT
2020-12-15,EQ,455.5,464.05,446.55,455.15,462.2,462.45,457.24,466.35,116.4,4779869,2185563543.25,53581,ADANIENT
2020-12-16,EQ,462.5,467.55,457.55,462.45,463.0,463.25,462.55,467.55,116.4,4088505,1891126660.9,40984,ADANIENT
2020-12-17,EQ,463.4,473.95,455.1,463.25,461.0,459.3,465.6,473.95,116.4,4912523,2287291582.4,65439,ADANIENT
2020-12-18,EQ,461.0,464.2,450.8,459.3,455.65,455.15,456.21,473.95,116.4,2159692,985272997.4,23249,ADANIENT
2020-12-21,EQ,454.0,460.75,409.65,455.15,427.5,429.2,440.63,473.95,116.4,5350194,2357468171.1,53838,ADANIENT
2020-12-22,EQ,428.2,461.55,418.1,429.2,458.0,458.8,442.35,473.95,116.4,8342699,3690379601.95,91578,ADANIENT
2020-12-23,EQ,458.0,466.8,454.2,458.8,463.7,463.6,460.75,473.95,116.4,4604130,2121362159.55,46272,ADANIENT
