DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,611.0,615.0,596.2,601.6,603.85,603.65,602.41,765.85,286.0,21285697,12822756534.9,207151,AXISBANK
2020-12-02,EQ,607.0,613.5,601.25,603.65,608.85,608.1,606.87,765.85,286.0,19070722,11573354316.15,174255,AXISBANK
2020-12-03,EQ,610.15,611.0,600.35,608.1,602.85,602.7,605.26,765.85,286.0,17746316,10741214118.6,171570,AXISBANK
2020-12-04,EQ,606.6,616.45,603.2,602.7,616.0,614.5,610.34,765.85,286.0,20019707,12218847109.6,202166,AXISBANK
2020-12-07,EQ,616.95,624.4,612.45,614.5,615.0,619.25,618.16,765.85,286.0,24658169,15242722330.7,243133,AXISBANK
2020-12-08,EQ,619.1,623.85,611.6,619.25,620.05,620.65,619.68,765.85,286.0,16005349,9918157440.4,187826,AXISBANK
2020-12-09,EQ,619.15,636.7,619.0,620.65,632.7,634.2,629.27,765.85,286.0,22000284,13844114406.55,280377,AXISBANK
2020-12-10,EQ,624.5,632.45,620.35,634.2,625.9,627.05,626.99,765.85,286.0,16126862,10111337751.0,191871,AXISBANK
2020-12-11,EQ,626.35,631.65,608.35,627.05,612.4,613.25,619.75,765.85,286.0,17950692,11124862045.1,202477,AXISBANK
2020-12-14,EQ,616.0,623.8,612.4,613.25,616.0,615.9,618.06,765.85,286.0,14567480,9003529246.5,166555,AXISBANK
2020-12-15,EQ,615.75,615.75,602.3,615.9,606.9,607.1,606.63,765.85,286.0,22311290,13534765730.25,249122,AXISBANK
2020-12-16,EQ,613.55,614.9,604.8,607.1,605.75,606.1,609.19,765.85,286.0,14860853,9053146227.45,148177,AXISBANK
2020-12-17,EQ,607.25,611.0,603.2,606.1,606.0,605.4,606.34,765.85,286.0,14598759,8851777346.15,158866,AXISBANK
2020-12-18,EQ,604.4,611.0,596.5,605.4,608.6,609.5,604.52,765.85,286.0,17301814,10459330379.85,179046,AXISBANK
2020-12-21,EQ,605.25,607.25,573.4,609.5,578.55,582.5,593.94,765.85,286.0,18580262,11035605505.4,233959,AXISBANK
2020-12-22,EQ,585.0,593.95,568.4,582.5,593.0,589.75,580.38,765.85,286.0,19896386,11547455535.2,239811,AXISBANK
2020-12-23,EQ,589.0,594.5,584.3,589.75,594.0,592.45,590.6,765.85,286.0,12247401,7233277557.55,152748,AXISBANK
2020-12-24,EQ,595.0,614.0,594.15,592.45,609.25,610.2,608.39,765.85,286.0,15488083,9422774985.75,176525,AXISBANK
2020-12-28,EQ,614.0,620.8,614.0,610.2,617.25,617.65,618.16,765.85,286.0,8444506,5220024663.35,113588,AXISBANK
2020-12-29,EQ,620.7,632.4,618.6,617.65,630.4,630.2,627.14,765.85,286.0,13765454,8632918951.7,164055,AXISBANK
2020-12-30,EQ,632.25,634.0,618.2,630.2,623.6,625.1,624.41,765.85,286.0,10262221,6407811682.5,123098,AXISBANK
2020-12-31,EQ,622.4,625.95,616.0,625.1,619.0,620.45,620.51,765.85,286.0,12306502,7636264236.2,135320,AXISBANK
2021-01-01,EQ,620.25,625.45,617.55,620.45,623.4,623.8,622.15,765.85,286.0,6047062,3762202336.05,84795,AXISBANK
2021-01-04,EQ,627.8,633.0,621.3,623.8,625.75,624.7,626.37,760.7,286.0,14068156,8811802334.35,140952,AXISBANK
2021-01-05,EQ,618.0,667.9,618.0,624.7,664.15,664.45,649.82,760.7,286.0,37973963,24676368295.35,393175,AXISBANK
2021-01-06,EQ,662.0,667.15,649.15,664.45,651.55,654.25,659.35,760.7,286.0,20829645,13733935601.45,232735,AXISBANK
2021-01-07,EQ,659.0,676.5,659.0,654.25,670.1,671.1,668.78,760.7,286.0,17887570,11962937455.3,203566,AXISBANK
2021-01-08,EQ,678.0,678.85,668.5,671.1,672.95,672.7,673.19,760.7,286.0,12272794,8261904693.35,136289,AXISBANK
2021-01-11,EQ,676.0,676.65,660.15,672.7,666.9,666.95,665.41,760.7,286.0,7928365,5275574045.15,103383,AXISBANK
2021-01-12,EQ,661.3,685.0,659.25,666.95,674.9,675.7,673.93,760.7,286.0,13301893,8964522024.75,189900,AXISBANK
2021-01-13,EQ,676.0,691.2,669.05,675.7,686.05,687.8,682.48,760.7,286.0,15645903,10678066334.4,202987,AXISBANK
2021-01-14,EQ,678.5,687.8,674.65,687.8,676.5,676.0,680.9,760.7,286.0,9337503,6357912520.8,184285,AXISBANK
2021-01-15,EQ,677.6,682.95,669.6,676.0,674.75,674.85,675.83,760.7,286.0,12339771,8339541605.35,160977,AXISBANK
2021-01-18,EQ,674.45,675.0,651.15,674.85,652.0,657.0,665.06,760.7,286.0,13460603,8952081143.45,171985,AXISBANK
2021-01-19,EQ,663.55,671.95,659.75,657.0,670.5,668.75,667.4,760.7,286.0,9010539,6013607646.1,129722,AXISBANK
2021-01-20,EQ,664.0,680.95,664.0,668.75,673.7,675.75,675.49,760.7,286.0,9980614,6741758864.7,123196,AXISBANK
2021-01-21,EQ,680.75,695.0,669.75,675.75,678.0,675.85,686.3,760.7,286.0,15849438,10877425900.25,239767,AXISBANK
2021-01-22,EQ,670.0,673.9,638.8,675.85,645.55,644.5,650.47,760.7,286.0,21392223,13915078756.15,312423,AXISBANK
2021-01-25,EQ,654.0,668.0,639.35,644.5,658.0,658.4,659.39,760.7,286.0,21325345,14061700824.65,236342,AXISBANK
2021-01-27,EQ,659.95,663.8,627.4,658.4,633.55,632.1,641.63,760.7,286.0,24462588,15695921081.7,374828,AXISBANK
2021-01-28,EQ,622.0,674.7,616.0,632.1,667.1,670.7,651.91,760.7,286.0,64303975,41920707655.45,573501,AXISBANK
2021-01-29,EQ,671.0,675.85,653.0,670.7,666.45,662.9,663.09,760.7,286.0,31273252,20737032240.1,350863,AXISBANK
