DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,33.3,34.4,32.85,32.85,34.4,34.05,33.52,53.8,18.4,49680395,1665111448.45,61588,BHEL
2020-12-02,EQ,34.25,34.5,33.05,34.05,33.8,33.8,33.88,53.8,18.4,52877271,1791450114.7,61073,BHEL
2020-12-03,EQ,34.25,34.8,34.0,33.8,34.25,34.2,34.3,53.8,18.4,42090086,1443709683.45,41520,BHEL
2020-12-04,EQ,34.55,35.4,33.7,34.2,34.25,34.25,34.54,53.8,18.4,58177274,2009401614.8,61542,BHEL
2020-12-07,EQ,34.4,35.35,34.25,34.25,34.95,34.95,34.95,47.75,18.4,39793015,1390909986.25,44052,BHEL
2020-12-08,EQ,35.3,36.8,34.1,34.95,36.65,36.15,35.47,47.75,18.4,83272427,2953896205.4,88297,BHEL
2020-12-09,EQ,36.95,37.6,36.3,36.15,36.7,36.6,36.92,47.75,18.4,69007540,2547527933.7,82222,BHEL
2020-12-10,EQ,36.45,36.65,34.7,36.6,35.75,35.65,35.51,47.75,18.4,55059367,1955112326.35,63145,BHEL
2020-12-11,EQ,35.75,37.0,35.45,35.65,35.95,35.95,36.16,47.75,18.4,45233211,1635555467.85,52183,BHEL
2020-12-14,EQ,36.45,37.2,35.85,35.95,36.85,36.85,36.58,47.75,18.4,47189075,1726171815.75,50461,BHEL
2020-12-15,EQ,36.85,36.85,35.7,36.85,36.3,36.35,36.17,47.75,18.4,44611278,1613493960.3,44537,BHEL
2020-12-16,EQ,36.65,36.95,36.1,36.35,36.35,36.35,36.52,47.75,18.4,31631032,1155032031.75,31451,BHEL
2020-12-17,EQ,36.45,36.8,35.75,36.35,35.9,35.85,36.27,47.75,18.4,31094015,1127863481.9,38807,BHEL
2020-12-18,EQ,35.9,36.15,34.55,35.85,35.8,35.85,35.48,47.75,18.4,40500644,1436840873.7,43266,BHEL
2020-12-21,EQ,35.5,35.7,32.1,35.85,32.45,32.55,33.82,47.75,18.4,55099409,1863435706.15,65323,BHEL
2020-12-22,EQ,32.65,33.3,30.6,32.55,32.8,32.65,31.86,47.75,18.4,57170730,1821303710.1,65618,BHEL
2020-12-23,EQ,32.7,34.15,32.55,32.65,34.0,33.95,33.45,47.75,18.4,35851831,1199132230.65,42008,BHEL
2020-12-24,EQ,34.3,34.55,33.6,33.95,33.75,33.8,34.08,47.75,18.4,29009900,988603481.0,37195,BHEL
2020-12-28,EQ,34.0,35.5,33.9,33.8,35.2,35.25,34.85,47.75,18.4,41052655,1430837861.0,51780,BHEL
2020-12-29,EQ,35.5,35.75,34.3,35.25,35.6,35.4,35.08,47.75,18.4,38681074,1356948486.2,53086,BHEL
2020-12-30,EQ,36.1,36.4,34.95,35.4,35.3,35.4,35.52,47.75,18.4,55267922,1963000332.1,70194,BHEL
2020-12-31,EQ,35.4,36.5,35.15,35.4,35.85,35.9,35.94,47.75,18.4,60457447,2172794495.75,66546,BHEL
2021-01-01,EQ,36.15,39.0,36.0,35.9,38.65,38.7,37.75,47.75,18.4,123660698,4668030711.0,140029,BHEL
2021-01-04,EQ,39.3,40.85,38.75,38.7,40.6,40.65,40.03,47.75,18.4,138885188,5559394676.2,174855,BHEL
2021-01-05,EQ,40.25,40.65,39.6,40.65,40.05,40.15,40.13,47.75,18.4,68178443,2735902323.2,87265,BHEL
2021-01-06,EQ,40.35,40.65,38.25,40.15,39.35,39.4,39.64,47.75,18.4,78478570,3110546398.85,95425,BHEL
2021-01-07,EQ,39.8,40.15,39.1,39.4,39.5,39.3,39.61,47.75,18.4,42199800,1671720984.4,52151,BHEL
2021-01-08,EQ,39.65,40.55,39.0,39.3,39.35,39.35,39.89,47.75,18.4,68394773,2728071123.95,73047,BHEL
2021-01-11,EQ,39.75,40.0,38.3,39.35,39.15,39.0,39.0,47.75,18.4,46504882,1813465245.2,58446,BHEL
2021-01-12,EQ,39.0,40.0,38.6,39.0,39.4,39.35,39.51,47.75,18.4,37860013,1496002434.15,45853,BHEL
2021-01-13,EQ,39.65,42.3,39.65,39.35,40.75,40.75,41.17,47.75,18.4,154573968,6363541457.25,176159,BHEL
2021-01-14,EQ,40.4,40.7,39.6,40.75,40.25,40.2,40.22,47.75,18.4,34995707,1407640681.45,47306,BHEL
2021-01-15,EQ,40.2,40.5,38.85,40.2,39.4,39.4,39.71,47.75,18.4,37081742,1472618769.65,48414,BHEL
2021-01-18,EQ,39.4,39.6,37.25,39.4,37.8,38.05,38.18,46.55,18.4,38159244,1456934648.65,59224,BHEL
2021-01-19,EQ,38.1,40.0,38.1,38.05,39.85,39.75,39.16,46.55,18.4,29092687,1139247731.35,39326,BHEL
2021-01-20,EQ,39.7,40.7,39.4,39.75,40.5,40.5,40.05,46.55,18.4,40633278,1627376437.4,52800,BHEL
2021-01-21,EQ,41.0,41.25,38.5,40.5,38.95,38.75,40.01,46.55,18.4,56574146,2263610873.5,79585,BHEL
2021-01-22,EQ,38.5,39.3,37.1,38.75,37.65,37.65,38.05,46.55,18.4,58968250,2243476952.55,75992,BHEL
2021-01-25,EQ,37.75,38.25,36.0,37.65,36.25,36.25,36.71,45.1,18.4,51673382,1896982130.75,71913,BHEL
2021-01-27,EQ,35.85,36.2,35.4,36.25,35.7,35.7,35.82,45.1,18.4,38751487,1388101177.55,54780,BHEL
2021-01-28,EQ,35.35,36.8,35.1,35.7,36.65,36.6,35.84,45.1,18.4,48537154,1739593467.5,61477,BHEL
2021-01-29,EQ,37.0,37.5,35.8,36.6,36.15,36.05,36.58,45.1,18.4,52158893,1908013660.8,53573,BHEL
2021-02-01,EQ,36.5,38.45,35.4,36.05,38.3,38.2,37.0,44.4,18.4,51185628,1893740421.75,67057,BHEL
2021-02-02,EQ,38.65,39.95,38.05,38.2,38.85,38.9,38.89,44.4,18.4,57099937,2220719655.8,69663,BHEL
2021-02-03,EQ,39.15,41.35,39.1,38.9,39.95,39.7,40.23,44.4,18.4,104638908,4209551295.2,115467,BHEL
2021-02-04,EQ,39.9,42.5,39.6,39.7,42.25,42.2,41.49,44.4,18.4,154097676,6393797196.5,183851,BHEL
2021-02-05,EQ,42.65,44.15,41.25,42.2,43.4,43.55,42.72,44.4,18.4,146833328,6272581073.15,193030,BHEL
2021-02-08,EQ,41.25,41.5,39.55,43.55,39.85,39.85,40.37,44.4,18.4,114554488,4624246176.85,191613,BHEL
2021-02-09,EQ,39.6,39.75,38.4,39.85,38.65,38.75,39.0,44.4,18.4,49601029,1934323154.05,85610,BHEL
2021-02-10,EQ,38.65,39.4,37.8,38.75,38.35,38.25,38.59,44.4,18.4,38714221,1494013291.9,60659,BHEL
2021-02-11,EQ,38.45,39.15,38.15,38.25,38.6,38.75,38.72,44.4,18.4,33240680,1287080863.45,52090,BHEL
2021-02-12,EQ,38.95,39.45,38.6,38.75,38.8,38.8,39.0,44.4,18.4,24770265,966104855.75,43931,BHEL
2021-02-15,EQ,39.05,39.45,38.6,38.8,38.8,38.9,38.9,44.4,18.4,19106327,743320516.45,32317,BHEL
2021-02-16,EQ,39.05,40.0,38.4,38.9,39.95,39.9,39.33,44.4,18.4,46759963,1838841626.8,49009,BHEL
2021-02-17,EQ,40.0,40.8,39.1,39.9,39.95,40.05,39.98,44.4,18.4,71963620,2876752773.05,79465,BHEL
2021-02-18,EQ,40.2,44.05,39.95,40.05,42.6,43.0,42.41,44.4,18.4,166636643,7067187790.3,180105,BHEL
2021-02-19,EQ,42.75,43.25,39.6,43.0,40.5,40.4,41.49,44.4,18.4,74472617,3089703052.9,102992,BHEL
2021-02-22,EQ,40.1,40.55,39.1,40.4,39.45,39.65,39.81,44.4,18.4,38769981,1543269546.0,53718,BHEL
2021-02-23,EQ,39.9,41.45,39.5,39.65,40.7,40.7,40.46,44.4,18.4,43031158,1741207300.25,52571,BHEL
2021-02-24,EQ,41.2,43.35,36.65,40.7,42.95,42.95,42.43,44.4,18.4,61230344,2598018448.1,69003,BHEL
2021-02-25,EQ,43.55,48.0,43.4,42.95,47.2,47.15,46.32,48.0,18.4,328616125,15221674097.25,337115,BHEL
2021-02-26,EQ,46.0,48.8,45.35,47.15,47.3,47.6,47.52,48.8,18.4,206095365,9792957327.5,257259,BHEL
2021-03-01,EQ,48.7,49.6,47.6,47.6,49.0,48.8,48.69,49.6,18.4,123674746,6021722850.65,169415,BHEL
2021-03-02,EQ,49.4,52.2,49.25,48.8,51.55,51.75,51.07,52.2,18.4,152393453,7782188874.15,207045,BHEL
2021-03-03,EQ,52.2,52.65,50.6,51.75,50.95,51.0,51.25,52.65,18.4,65329850,3348466894.9,101883,BHEL
2021-03-04,EQ,50.35,56.1,49.9,51.0,54.3,54.25,54.08,56.1,18.4,213396105,11539414175.1,264368,BHEL
2021-03-05,EQ,54.75,55.9,50.35,54.25,52.75,52.45,53.29,56.1,18.4,112585811,5999725862.75,170332,BHEL
2021-03-08,EQ,53.45,55.5,53.0,52.45,54.35,54.4,54.25,56.1,18.4,79729837,4325004283.95,118964,BHEL
2021-03-09,EQ,54.95,56.5,53.1,54.4,55.1,54.85,54.96,56.5,18.4,108574936,5967807111.85,148598,BHEL
2021-03-10,EQ,55.6,56.5,54.3,54.85,54.6,54.8,55.15,56.5,18.4,85630459,4722718833.5,112310,BHEL
2021-03-12,EQ,55.1,56.35,52.55,54.8,53.25,53.4,54.29,56.5,18.4,126521758,6869322508.3,156466,BHEL
2021-03-15,EQ,56.0,56.0,54.05,53.4,55.2,55.25,54.9,56.5,19.15,107841399,5920135292.05,167100,BHEL
2021-03-16,EQ,55.8,56.2,53.5,55.25,53.7,53.9,54.77,56.5,19.15,67218075,3681407235.35,107769,BHEL
2021-03-17,EQ,54.0,54.0,49.2,53.9,50.1,50.1,51.69,56.5,19.15,60727935,3139269580.9,116644,BHEL
2021-03-18,EQ,52.2,53.8,50.6,50.1,52.5,52.1,52.41,56.5,19.15,158412104,8302331102.85,238551,BHEL
2021-03-19,EQ,51.7,52.5,49.15,52.1,52.05,52.0,51.08,56.5,19.15,108069373,5519951912.4,142753,BHEL
2021-03-22,EQ,52.05,52.8,51.25,52.0,52.2,52.2,52.14,56.5,19.15,48322688,2519777927.35,71068,BHEL
2021-03-23,EQ,52.45,52.65,51.45,52.2,51.5,51.75,52.13,56.5,19.15,42647877,2223406530.95,63183,BHEL
2021-03-24,EQ,51.35,51.7,49.5,51.75,50.2,49.85,50.46,56.5,19.15,42597772,2149654615.15,82196,BHEL
2021-03-25,EQ,49.9,50.0,46.9,49.85,48.3,48.2,48.31,56.5,19.15,66287150,3202309062.2,110101,BHEL
2021-03-26,EQ,49.0,49.5,48.45,48.2,48.7,48.7,48.94,56.5,19.15,40617084,1987780218.35,62047,BHEL
2021-03-30,EQ,49.2,49.6,48.3,48.7,48.9,48.95,48.96,56.5,19.65,41700664,2041778743.35,64310,BHEL
2021-03-31,EQ,48.9,49.75,48.4,48.95,48.65,48.75,49.15,56.5,19.65,28483055,1399956488.4,50929,BHEL
2021-04-01,EQ,49.0,51.2,48.95,48.75,51.1,50.95,50.4,56.5,19.65,52965110,2669460643.9,89354,BHEL
2021-04-05,EQ,51.0,51.1,48.4,50.95,48.95,49.0,49.28,56.5,20.4,49348313,2432110603.5,85377,BHEL
2021-04-06,EQ,49.4,50.5,48.25,49.0,49.35,49.35,49.62,56.5,20.4,38527134,1911813805.55,63286,BHEL
2021-04-07,EQ,49.35,50.8,49.35,49.35,49.85,50.0,50.14,56.5,20.4,35782543,1794296966.5,51733,BHEL
2021-04-08,EQ,49.9,53.05,49.85,50.0,51.8,51.6,51.84,56.5,20.4,85159684,4415029810.5,112904,BHEL
