DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,493.5,499.95,487.2,489.7,493.9,494.3,494.32,514.85,179.8,878829,434418490.35,21078,CDSL
2020-12-02,EQ,494.3,505.2,491.25,494.3,497.1,499.4,500.17,514.85,179.8,1142272,571331629.05,26634,CDSL
2020-12-03,EQ,499.0,528.95,498.4,499.4,526.7,526.05,517.84,528.95,179.8,3913060,2026328360.0,78837,CDSL
2020-12-04,EQ,530.5,566.4,529.6,526.05,544.95,547.05,547.35,566.4,179.8,5331458,2918177490.95,123288,CDSL
2020-12-07,EQ,544.95,546.0,525.05,547.05,527.95,527.65,534.37,566.4,179.8,1389573,742544937.1,35409,CDSL
2020-12-08,EQ,530.5,543.9,520.5,527.65,525.0,523.45,530.51,566.4,179.8,1430143,758708378.6,47610,CDSL
2020-12-09,EQ,526.1,536.0,522.0,523.45,524.8,525.65,527.89,566.4,179.8,1367198,721725929.2,43538,CDSL
2020-12-10,EQ,524.0,536.6,516.8,525.65,526.1,525.7,527.37,566.4,179.8,1697426,895179525.45,49798,CDSL
2020-12-11,EQ,528.0,535.0,518.3,525.7,521.9,523.0,527.27,566.4,179.8,1006959,530939506.4,31414,CDSL
2020-12-14,EQ,526.7,528.6,516.05,523.0,517.9,517.75,519.7,566.4,179.8,705502,366650508.35,19239,CDSL
2020-12-15,EQ,519.7,520.9,511.15,517.75,514.5,514.3,515.18,566.4,179.8,728363,375238427.85,17434,CDSL
2020-12-16,EQ,518.4,522.0,512.75,514.3,516.3,516.95,516.97,566.4,179.8,800742,413957294.35,20757,CDSL
2020-12-17,EQ,519.0,534.3,516.0,516.95,526.35,525.3,529.01,566.4,179.8,1923123,1017346562.7,43725,CDSL
2020-12-18,EQ,526.7,529.75,514.0,525.3,519.6,518.8,519.09,566.4,179.8,758373,393661214.3,19196,CDSL
2020-12-21,EQ,518.0,527.5,475.0,518.8,503.95,497.7,504.71,566.4,179.8,1479176,746558411.7,42725,CDSL
2020-12-22,EQ,500.55,509.85,477.0,497.7,501.0,500.25,492.68,566.4,179.8,1217404,599784868.6,45533,CDSL
2020-12-23,EQ,503.9,518.0,501.0,500.25,514.8,514.65,512.24,566.4,179.8,834862,427650961.35,19510,CDSL
2020-12-24,EQ,519.5,522.85,513.15,514.65,516.25,517.85,518.09,566.4,179.8,556662,288402639.85,14159,CDSL
2020-12-28,EQ,522.0,528.85,521.0,517.85,524.5,525.0,524.39,566.4,179.8,639570,335386588.7,16617,CDSL
2020-12-29,EQ,529.0,530.0,517.05,525.0,520.8,520.75,522.87,566.4,179.8,436039,227992688.15,17397,CDSL
2020-12-30,EQ,521.9,527.5,515.45,520.75,523.0,524.8,522.95,566.4,179.8,545847,285450865.7,21194,CDSL
2020-12-31,EQ,523.0,538.5,521.2,524.8,531.0,533.1,533.22,566.4,179.8,1468958,783272790.05,50962,CDSL
2021-01-01,EQ,538.0,538.0,530.0,533.1,531.0,531.6,533.2,566.4,179.8,419379,223612053.2,15606,CDSL
2021-01-04,EQ,534.2,536.45,525.0,531.6,525.95,526.25,530.33,566.4,179.8,632141,335242215.65,20502,CDSL
2021-01-05,EQ,524.25,536.85,523.05,526.25,527.45,527.65,529.7,566.4,179.8,818749,433691320.45,21147,CDSL
2021-01-06,EQ,529.9,533.0,518.05,527.65,523.9,522.25,526.47,566.4,179.8,564689,297293364.6,21990,CDSL
2021-01-07,EQ,529.0,551.0,525.0,522.25,543.0,540.2,542.87,566.4,179.8,3199768,1737058446.7,85785,CDSL
2021-01-08,EQ,545.0,547.25,535.0,540.2,538.0,538.55,541.0,566.4,179.8,720459,389769812.1,21126,CDSL
2021-01-11,EQ,539.8,544.0,527.0,538.55,529.1,530.25,533.93,566.4,179.8,971659,518797809.4,36289,CDSL
2021-01-12,EQ,532.4,537.05,527.45,530.25,530.55,532.45,533.74,566.4,179.8,531840,283866130.45,20322,CDSL
2021-01-13,EQ,533.8,544.0,524.4,532.45,530.7,529.55,534.31,566.4,179.8,914480,488614006.35,28851,CDSL
2021-01-14,EQ,530.7,532.1,524.0,529.55,527.45,527.65,526.94,566.4,179.8,614942,324034607.5,24254,CDSL
2021-01-15,EQ,527.75,531.0,514.6,527.65,517.0,516.1,520.74,566.4,179.8,532434,277258661.45,18444,CDSL
2021-01-18,EQ,515.0,515.0,500.0,516.1,503.8,505.65,505.98,566.4,179.8,804766,407198951.6,24682,CDSL
2021-01-19,EQ,508.2,524.75,508.0,505.65,522.05,522.85,518.26,566.4,179.8,709630,367776023.2,17739,CDSL
2021-01-20,EQ,524.75,524.75,516.65,522.85,520.0,519.35,520.27,566.4,179.8,288044,149859868.6,8439,CDSL
2021-01-21,EQ,522.5,526.6,511.3,519.35,517.0,515.85,519.76,566.4,179.8,603669,313763580.2,15615,CDSL
2021-01-22,EQ,511.0,513.0,503.0,515.85,504.5,505.4,507.82,566.4,179.8,525402,266812256.15,21067,CDSL
2021-01-25,EQ,509.1,512.6,485.2,505.4,487.0,487.9,495.55,566.4,179.8,1067918,529209500.9,35964,CDSL
2021-01-27,EQ,488.8,493.0,476.35,487.9,490.5,489.7,485.55,566.4,179.8,1164092,565225127.25,31524,CDSL
2021-01-28,EQ,485.0,489.3,481.0,489.7,483.9,484.65,484.47,566.4,179.8,499404,241944215.75,19076,CDSL
2021-01-29,EQ,488.25,494.25,480.0,484.65,481.5,482.7,486.65,566.4,179.8,383457,186608820.85,15186,CDSL
2021-02-01,EQ,484.0,502.75,483.15,482.7,489.0,488.65,492.27,566.4,179.8,1192880,587214573.85,39140,CDSL
2021-02-02,EQ,508.9,508.9,496.0,488.65,505.3,504.9,502.35,566.4,179.8,633238,318108824.45,16123,CDSL
2021-02-03,EQ,506.0,524.0,500.5,504.9,517.75,519.25,514.41,566.4,179.8,980878,504575467.85,23317,CDSL
2021-02-04,EQ,529.95,536.0,524.05,519.25,525.9,526.85,530.68,566.4,179.8,1576873,836810904.85,44522,CDSL
2021-02-05,EQ,526.85,530.25,508.0,526.85,510.95,509.9,515.94,566.4,179.8,810572,418203587.9,18568,CDSL
2021-02-08,EQ,515.0,524.8,512.0,509.9,521.45,519.5,519.13,566.4,179.8,769025,399226563.05,27247,CDSL
2021-02-09,EQ,523.5,523.5,511.0,519.5,512.6,512.45,513.41,566.4,179.8,765241,392880859.5,24083,CDSL
2021-02-10,EQ,514.7,524.3,510.05,512.45,521.5,521.5,517.69,566.4,179.8,553129,286347559.25,13701,CDSL
2021-02-11,EQ,521.5,523.25,515.25,521.5,517.0,518.45,519.95,566.4,179.8,308429,160367512.55,10253,CDSL
2021-02-12,EQ,520.35,540.0,517.1,518.45,538.7,538.05,534.66,566.4,179.8,2312054,1236156204.2,61997,CDSL
2021-02-15,EQ,553.0,584.0,545.0,538.05,571.0,567.95,570.13,584.0,179.8,5673113,3234418034.95,162132,CDSL
2021-02-16,EQ,571.0,578.7,553.2,567.95,556.0,555.25,564.9,584.0,179.8,1440580,813782420.0,37466,CDSL
2021-02-17,EQ,553.9,566.0,553.1,555.25,562.0,561.35,560.01,584.0,179.8,709707,397445193.8,21198,CDSL
2021-02-18,EQ,564.0,564.0,550.55,561.35,556.0,554.35,555.45,584.0,179.8,524783,291490673.6,17123,CDSL
2021-02-19,EQ,554.8,592.9,551.1,554.35,570.5,571.1,576.26,592.9,179.8,2545803,1467033228.0,75552,CDSL
2021-02-22,EQ,575.0,608.0,574.95,571.1,593.2,590.95,593.09,608.0,179.8,3654440,2167413706.6,94606,CDSL
2021-02-23,EQ,606.7,619.0,597.0,590.95,604.95,605.25,608.1,619.0,179.8,2879227,1750864109.45,84676,CDSL
2021-02-24,EQ,605.1,624.45,604.65,605.25,622.95,619.2,614.15,624.45,179.8,1110959,682293174.3,23974,CDSL
2021-02-25,EQ,625.0,632.5,616.2,619.2,620.05,619.45,622.63,632.5,179.8,1201528,748102347.6,34543,CDSL
2021-02-26,EQ,602.55,638.0,602.55,619.45,623.15,624.1,623.67,638.0,179.8,1734602,1081824897.3,56252,CDSL
2021-03-01,EQ,632.0,639.3,621.25,624.1,626.1,627.6,629.83,639.3,179.8,988372,622507131.35,34819,CDSL
2021-03-02,EQ,632.0,632.0,610.0,627.6,612.0,613.85,618.37,639.3,179.8,839092,518869340.5,32089,CDSL
2021-03-03,EQ,615.0,631.4,613.25,613.85,618.0,618.5,622.52,639.3,179.8,840586,523284483.8,26550,CDSL
2021-03-04,EQ,615.0,625.0,611.5,618.5,621.3,618.95,620.52,639.3,179.8,464705,288358687.15,17900,CDSL
2021-03-05,EQ,620.0,620.8,597.2,618.95,599.6,599.9,605.85,639.3,179.8,914993,554351972.05,32840,CDSL
2021-03-08,EQ,602.9,608.95,596.65,599.9,598.5,599.25,601.62,639.3,179.8,509691,306638701.4,22493,CDSL
2021-03-09,EQ,601.35,604.9,583.15,599.25,588.0,589.25,592.18,639.3,179.8,556315,329440189.25,24190,CDSL
2021-03-10,EQ,594.0,598.0,585.25,589.25,589.75,589.85,590.01,639.3,179.8,377183,222540600.6,14547,CDSL
2021-03-12,EQ,595.4,598.7,585.3,589.85,585.75,586.75,590.75,639.3,179.8,461963,272904810.4,19119,CDSL
2021-03-15,EQ,590.6,612.4,565.5,586.75,607.4,607.55,593.94,639.3,179.8,1141112,677754844.55,38041,CDSL
2021-03-16,EQ,608.0,647.0,603.0,607.55,632.0,633.4,628.78,647.0,179.8,2558617,1608816310.65,86835,CDSL
2021-03-17,EQ,630.0,644.8,612.0,633.4,613.0,615.6,627.46,647.0,179.8,1287768,808021896.0,58980,CDSL
2021-03-18,EQ,620.0,631.35,593.2,615.6,604.45,603.2,610.83,647.0,179.8,1124201,686699939.45,40852,CDSL
2021-03-19,EQ,597.0,614.4,579.0,603.2,611.0,609.5,605.31,647.0,179.8,1991910,1205728205.55,39069,CDSL
2021-03-22,EQ,615.0,616.75,604.4,609.5,610.95,609.5,609.37,647.0,179.8,543384,331122965.3,18458,CDSL
2021-03-23,EQ,610.8,643.0,609.0,609.5,638.0,637.7,629.39,647.0,179.8,1690828,1064185722.55,52367,CDSL
2021-03-24,EQ,631.8,653.8,626.25,637.7,636.25,634.2,640.01,653.8,179.8,1351859,865208760.25,48046,CDSL
2021-03-25,EQ,631.5,637.7,614.95,634.2,629.0,627.5,624.36,653.8,179.8,798637,498633761.2,29927,CDSL
2021-03-26,EQ,631.2,656.75,631.2,627.5,646.0,644.8,645.68,656.75,179.8,1106271,714295321.55,42129,CDSL
2021-03-30,EQ,645.0,662.0,645.0,644.8,651.55,653.4,653.46,662.0,201.0,640186,418333589.1,25502,CDSL
