DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,63.2,65.85,62.3,62.8,65.5,65.6,64.76,96.95,35.7,54097063,3503071092.25,106627,FEDERALBNK
2020-12-02,EQ,65.75,66.95,63.8,65.6,65.25,65.05,65.45,96.95,35.7,52003516,3403560354.85,84314,FEDERALBNK
2020-12-03,EQ,65.8,67.0,65.3,65.05,65.55,65.6,66.08,96.95,35.7,40295263,2662824435.55,66966,FEDERALBNK
2020-12-04,EQ,66.25,67.0,64.4,65.6,66.1,66.0,65.81,96.95,35.7,38790878,2552663159.5,67077,FEDERALBNK
2020-12-07,EQ,66.1,67.6,65.95,66.0,66.35,66.35,66.7,96.95,35.7,34167162,2278984154.1,63786,FEDERALBNK
2020-12-08,EQ,66.8,67.2,64.8,66.35,65.65,65.5,65.83,96.95,35.7,38177971,2513088975.95,68403,FEDERALBNK
2020-12-09,EQ,66.2,67.0,65.75,65.5,66.7,66.6,66.51,96.95,35.7,27130749,1804460909.3,47714,FEDERALBNK
2020-12-10,EQ,66.4,66.5,64.85,66.6,65.65,65.5,65.43,96.95,35.7,38211390,2500110118.7,50772,FEDERALBNK
2020-12-11,EQ,66.05,67.2,65.6,65.5,66.25,66.25,66.32,96.95,35.7,31794609,2108688491.95,52408,FEDERALBNK
2020-12-14,EQ,66.55,69.1,66.55,66.25,68.3,68.4,68.37,96.95,35.7,48793541,3336194823.5,86227,FEDERALBNK
2020-12-15,EQ,68.65,68.65,66.7,68.4,67.45,67.4,67.29,96.95,35.7,28751441,1934620738.95,52415,FEDERALBNK
2020-12-16,EQ,68.25,68.5,67.5,67.4,67.85,67.75,68.09,96.95,35.7,19517091,1328839234.9,36217,FEDERALBNK
2020-12-17,EQ,67.9,68.9,67.0,67.75,67.15,67.1,67.99,96.95,35.7,25152667,1710216596.0,44303,FEDERALBNK
2020-12-18,EQ,67.5,67.65,65.3,67.1,66.2,66.35,66.28,96.95,35.7,21800372,1444983207.2,36743,FEDERALBNK
2020-12-21,EQ,66.05,66.05,59.5,66.35,60.45,60.4,62.47,96.95,35.7,53156785,3320496597.05,93241,FEDERALBNK
2020-12-22,EQ,60.45,62.15,57.65,60.4,61.85,61.8,60.28,96.95,35.7,67432435,4064558351.95,101499,FEDERALBNK
2020-12-23,EQ,62.15,64.75,61.25,61.8,64.2,64.25,63.59,96.95,35.7,34846873,2215908419.15,58124,FEDERALBNK
2020-12-24,EQ,64.3,66.05,64.3,64.25,65.2,65.2,65.42,96.95,35.7,27730531,1814232620.7,51982,FEDERALBNK
2020-12-28,EQ,65.85,67.65,65.85,65.2,67.4,67.4,67.14,96.95,35.7,28813310,1934404013.7,60702,FEDERALBNK
2020-12-29,EQ,67.7,68.25,66.35,67.4,67.45,67.4,67.44,96.95,35.7,29998634,2022962962.15,54778,FEDERALBNK
2020-12-30,EQ,67.65,68.0,66.3,67.4,67.0,67.25,66.92,96.95,35.7,19496396,1304748521.6,31793,FEDERALBNK
2020-12-31,EQ,67.2,67.2,66.25,67.25,66.8,66.7,66.83,96.95,35.7,17910330,1196911401.15,31899,FEDERALBNK
2021-01-01,EQ,67.0,68.2,66.8,66.7,68.0,68.05,67.63,96.95,35.7,14471914,978669945.25,29730,FEDERALBNK
2021-01-04,EQ,69.0,71.4,68.8,68.05,70.55,70.55,70.36,96.95,35.7,45809327,3223215384.15,83878,FEDERALBNK
2021-01-05,EQ,70.0,72.5,69.25,70.55,72.4,72.3,71.15,96.95,35.7,41838390,2976931484.45,74520,FEDERALBNK
2021-01-06,EQ,73.1,74.2,71.45,72.3,72.5,72.7,72.85,96.95,35.7,42551006,3099899819.0,75777,FEDERALBNK
2021-01-07,EQ,74.9,76.5,73.25,72.7,75.65,75.65,74.76,96.95,35.7,51330375,3837378051.5,93179,FEDERALBNK
2021-01-08,EQ,76.4,76.8,75.4,75.65,75.7,75.75,76.1,96.95,35.7,25199203,1917555835.6,45624,FEDERALBNK
2021-01-11,EQ,76.25,76.45,73.6,75.75,74.75,74.8,74.75,96.95,35.7,23281709,1740362271.55,38434,FEDERALBNK
2021-01-12,EQ,74.0,76.85,73.5,74.8,76.2,76.2,75.27,96.95,35.7,29285428,2204458823.15,45937,FEDERALBNK
2021-01-13,EQ,77.0,78.0,74.35,76.2,74.75,74.8,76.34,96.95,35.7,41785200,3189830407.3,74188,FEDERALBNK
2021-01-14,EQ,75.2,75.9,74.25,74.8,75.1,75.05,75.13,96.95,35.7,21212153,1593755728.45,47930,FEDERALBNK
2021-01-15,EQ,74.85,75.3,71.8,75.05,73.25,73.35,73.91,96.95,35.7,28983879,2142181849.5,59863,FEDERALBNK
2021-01-18,EQ,72.95,73.4,71.1,73.35,71.3,71.6,72.02,96.95,35.7,23791895,1713435752.35,59950,FEDERALBNK
2021-01-19,EQ,72.0,75.6,72.0,71.6,75.35,75.4,74.23,96.95,35.7,28261556,2097961545.35,52574,FEDERALBNK
2021-01-20,EQ,75.8,78.0,74.65,75.4,77.3,77.3,76.28,96.95,35.7,71372249,5444180838.5,124869,FEDERALBNK
2021-01-21,EQ,78.85,78.85,75.25,77.3,76.85,76.25,77.6,96.95,35.7,48996022,3802025768.9,102518,FEDERALBNK
2021-01-22,EQ,76.3,77.0,72.9,76.25,73.3,73.3,74.44,96.95,35.7,37307932,2777339815.15,89648,FEDERALBNK
