DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,18.5,20.1,18.4,18.45,19.45,19.5,19.46,20.1,8.1,15489307,301390112.45,16604,HFCL
2020-12-02,EQ,20.0,23.4,19.65,19.5,22.8,22.95,21.99,23.4,8.1,48476583,1065796045.7,41419,HFCL
2020-12-03,EQ,23.0,23.3,21.95,22.95,22.05,22.15,22.52,23.4,8.1,22349295,503395312.5,27420,HFCL
2020-12-04,EQ,22.0,22.4,20.05,22.15,21.2,21.25,21.26,23.4,8.1,11568085,245918888.55,18509,HFCL
2020-12-07,EQ,21.2,22.5,21.15,21.25,21.8,21.8,21.92,23.4,8.1,8354742,183166922.7,12568,HFCL
2020-12-08,EQ,22.0,22.2,20.6,21.8,21.3,21.3,21.48,23.4,8.1,5236056,112469670.2,9064,HFCL
2020-12-09,EQ,21.55,23.0,21.05,21.3,22.15,22.15,22.31,23.4,8.1,11780466,262811509.45,15215,HFCL
2020-12-10,EQ,22.2,22.25,20.95,22.15,21.55,21.7,21.5,23.4,8.1,5573149,119798879.5,8152,HFCL
2020-12-11,EQ,21.75,22.75,21.25,21.7,21.95,21.85,22.04,23.4,8.1,6674341,147114434.15,12426,HFCL
2020-12-14,EQ,22.5,23.2,21.7,21.85,22.65,22.6,22.54,23.4,8.1,11143550,251126802.9,17507,HFCL
2020-12-15,EQ,22.75,24.85,21.85,22.6,24.0,24.05,23.8,24.85,8.1,25718698,612073573.1,34707,HFCL
2020-12-16,EQ,24.2,24.55,23.6,24.05,24.0,23.95,24.0,24.85,8.1,10341141,248182160.45,13201,HFCL
2020-12-17,EQ,24.2,25.7,23.75,23.95,24.1,24.25,24.74,25.7,8.1,24320533,601679868.2,29895,HFCL
2020-12-18,EQ,24.35,24.55,23.2,24.25,24.5,24.3,24.07,25.7,8.1,11541053,277830875.8,15733,HFCL
2020-12-21,EQ,24.35,26.4,21.4,24.3,22.6,22.9,24.78,26.4,8.1,33697409,835141948.1,32228,HFCL
2020-12-22,EQ,23.4,24.25,22.1,22.9,24.05,24.05,23.45,26.4,8.1,15453403,362443326.25,18500,HFCL
2020-12-23,EQ,24.1,26.2,24.1,24.05,25.85,25.95,25.29,26.4,8.1,13767949,348140623.8,15982,HFCL
2020-12-24,EQ,26.2,26.45,25.15,25.95,25.35,25.4,25.85,26.45,8.1,11642916,300942287.55,16358,HFCL
2020-12-28,EQ,25.6,27.25,25.45,25.4,26.4,26.5,26.36,27.25,8.1,19305455,508920650.75,24187,HFCL
2020-12-29,EQ,26.5,27.1,25.75,26.5,26.1,26.05,26.41,27.25,8.1,9532944,251807365.65,13754,HFCL
2020-12-30,EQ,26.1,26.35,25.4,26.05,25.6,25.6,25.89,27.25,8.1,8309094,215154929.5,12022,HFCL
2020-12-31,EQ,25.6,26.3,25.4,25.6,25.7,25.8,25.84,27.25,8.1,5864060,151527824.15,7942,HFCL
2021-01-01,EQ,25.95,26.35,25.75,25.8,25.95,25.9,26.0,27.25,8.1,5264257,136856450.7,12067,HFCL
2021-01-04,EQ,26.15,27.75,25.6,25.9,27.0,26.9,26.79,27.75,8.1,17285013,463030027.95,22266,HFCL
2021-01-05,EQ,26.8,27.65,26.5,26.9,27.15,27.1,27.15,27.75,8.1,12337639,334927850.7,16917,HFCL
2021-01-06,EQ,27.3,27.65,25.9,27.1,26.7,26.75,26.93,27.75,8.1,12116337,326330727.9,15371,HFCL
2021-01-07,EQ,27.1,28.3,27.0,26.75,27.5,27.55,27.69,28.3,8.1,16827656,466035082.3,19932,HFCL
2021-01-08,EQ,27.9,30.55,27.6,27.55,30.3,30.1,29.38,30.55,8.1,30710292,902237379.9,37764,HFCL
2021-01-11,EQ,31.1,33.8,30.6,30.1,33.3,33.2,32.34,33.8,8.1,47160630,1525170513.25,56041,HFCL
2021-01-12,EQ,33.0,33.55,32.0,33.2,32.35,32.25,32.7,33.8,8.1,21850087,714498182.3,29477,HFCL
2021-01-13,EQ,32.6,32.8,30.65,32.25,31.9,31.85,31.95,33.8,8.1,18702694,597567452.9,24007,HFCL
2021-01-14,EQ,32.1,33.65,31.4,31.85,33.2,33.25,32.68,33.8,8.1,22151154,723940743.0,28348,HFCL
