DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,219.5,223.5,214.15,217.7,219.1,218.0,217.54,223.5,116.0,1787783,388917331.3,72411,IEX
2020-12-02,EQ,220.0,222.8,214.15,218.0,215.3,216.8,217.85,223.5,116.0,834253,181742283.0,33234,IEX
2020-12-03,EQ,220.1,221.0,214.05,216.8,215.5,215.0,215.93,223.5,116.0,673704,145472146.85,27523,IEX
2020-12-04,EQ,216.3,218.0,212.15,215.0,216.0,215.5,214.77,223.5,116.0,492624,105798877.45,14743,IEX
2020-12-07,EQ,216.4,218.05,213.9,215.5,214.25,214.25,214.95,223.5,116.0,498517,107158567.0,17733,IEX
2020-12-08,EQ,216.9,219.05,212.8,214.25,215.0,214.2,216.08,223.5,116.0,1205594,260510758.15,34116,IEX
2020-12-09,EQ,216.4,222.5,214.35,214.2,218.9,218.55,219.43,223.5,116.0,1605849,352365511.55,49946,IEX
2020-12-10,EQ,218.5,223.65,214.7,218.55,222.4,221.05,219.03,223.65,116.0,1209379,264894269.75,46244,IEX
2020-12-11,EQ,223.25,225.0,216.55,221.05,216.95,217.35,219.93,225.0,116.0,757607,166621041.2,30176,IEX
2020-12-14,EQ,218.35,220.3,211.55,217.35,213.0,213.2,215.61,225.0,116.0,1021428,220234904.9,13950,IEX
2020-12-15,EQ,213.4,220.5,208.35,213.2,218.9,219.0,214.85,225.0,116.0,788003,169305149.85,13548,IEX
2020-12-16,EQ,220.0,221.9,217.3,219.0,219.4,219.65,220.25,225.0,116.0,923782,203461365.8,28642,IEX
2020-12-17,EQ,218.05,224.55,218.05,219.65,219.3,219.3,220.75,225.0,116.0,583337,128771305.8,20030,IEX
2020-12-18,EQ,219.3,220.0,214.3,219.3,217.9,217.4,217.09,225.0,116.0,633881,137607892.7,10855,IEX
2020-12-21,EQ,218.0,219.9,199.7,217.4,206.0,205.75,210.5,225.0,116.0,659410,138804537.0,18573,IEX
2020-12-22,EQ,206.0,214.0,202.6,205.75,213.3,213.2,207.11,225.0,116.0,933063,193244429.35,24134,IEX
2020-12-23,EQ,215.2,216.3,212.9,213.2,214.0,214.05,214.6,225.0,116.0,188194,40387252.35,4675,IEX
