DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,72.8,77.4,72.45,71.55,74.7,74.75,74.95,78.5,29.75,937745,70285936.0,8069,MANINDS
2020-12-02,EQ,75.35,77.4,73.95,74.75,74.75,75.1,75.67,78.5,29.75,336381,25452713.35,3252,MANINDS
2020-12-03,EQ,75.6,79.45,75.1,75.1,77.95,78.4,78.31,79.45,29.75,726871,56922767.25,7540,MANINDS
2020-12-04,EQ,79.0,80.25,75.1,78.4,76.4,75.95,76.94,80.25,29.75,320371,24650190.85,3980,MANINDS
2020-12-07,EQ,76.05,88.7,75.45,75.95,88.2,86.8,85.32,88.7,29.75,3297665,281354013.7,18600,MANINDS
2020-12-08,EQ,89.0,89.0,82.55,86.8,83.2,83.4,85.55,89.0,29.75,1104074,94451246.85,10958,MANINDS
2020-12-09,EQ,84.95,84.95,81.4,83.4,81.9,81.85,83.13,89.0,29.75,243150,20212239.2,3352,MANINDS
2020-12-10,EQ,82.0,82.9,79.1,81.85,79.85,80.05,80.16,89.0,29.75,218968,17552177.8,2302,MANINDS
2020-12-11,EQ,80.0,84.9,80.0,80.05,80.6,80.5,82.31,89.0,29.75,405202,33350319.5,3875,MANINDS
2020-12-14,EQ,81.5,83.0,80.5,80.5,81.2,80.85,81.42,89.0,29.75,176769,14393346.75,2380,MANINDS
2020-12-15,EQ,80.3,82.3,79.95,80.85,81.4,80.95,80.7,89.0,29.75,170320,13744665.9,2156,MANINDS
2020-12-16,EQ,83.6,92.65,83.05,80.95,86.75,86.1,89.3,92.65,29.75,3113864,278073299.65,24857,MANINDS
2020-12-17,EQ,88.4,88.5,84.0,86.1,84.9,84.25,85.14,92.65,29.75,243942,20768323.95,4125,MANINDS
2020-12-18,EQ,84.95,84.95,80.8,84.25,81.6,81.45,82.23,92.65,29.75,290511,23889188.1,3353,MANINDS
2020-12-21,EQ,81.5,82.75,72.8,81.45,74.2,74.4,77.66,92.65,29.75,463287,35978659.3,6000,MANINDS
2020-12-22,EQ,72.1,76.45,68.1,74.4,75.0,74.6,72.51,92.65,29.75,459854,33343663.35,5616,MANINDS
2020-12-23,EQ,75.0,80.75,74.35,74.6,79.7,79.9,78.27,92.65,29.75,379258,29685956.4,4573,MANINDS
2020-12-24,EQ,80.7,81.8,78.0,79.9,78.75,78.55,79.63,92.65,29.75,309540,24649424.45,4881,MANINDS
2020-12-28,EQ,82.0,85.0,81.1,78.55,83.5,83.8,83.03,92.65,29.75,598309,49679904.15,6034,MANINDS
2020-12-29,EQ,84.8,84.8,81.0,83.8,82.0,82.1,82.69,92.65,29.75,236439,19552310.85,3457,MANINDS
2020-12-30,EQ,81.6,82.1,80.7,82.1,81.3,81.2,81.24,92.65,29.75,137466,11167666.05,1612,MANINDS
2020-12-31,EQ,81.5,83.7,81.5,81.2,81.75,81.75,82.34,92.65,29.75,169453,13952193.15,1843,MANINDS
2021-01-01,EQ,81.75,83.05,81.55,81.75,81.55,82.1,82.25,92.65,29.75,124138,10210921.5,1137,MANINDS
2021-01-04,EQ,82.1,84.1,82.1,82.1,84.0,83.35,83.27,92.65,29.75,223334,18596724.7,2014,MANINDS
2021-01-05,EQ,83.85,86.6,82.5,83.35,83.8,84.35,84.6,92.65,29.75,442334,37420853.45,3256,MANINDS
2021-01-06,EQ,86.9,87.9,81.9,84.35,84.4,84.75,85.57,92.65,29.75,607225,51957354.4,5860,MANINDS
2021-01-07,EQ,86.9,86.9,83.5,84.75,84.25,83.9,84.94,92.65,29.75,252151,21416926.4,3101,MANINDS
2021-01-08,EQ,84.7,86.5,83.25,83.9,84.3,83.7,84.86,92.65,29.75,196579,16681382.6,2671,MANINDS
2021-01-11,EQ,84.05,84.95,79.3,83.7,81.35,81.05,81.24,92.65,29.75,414888,33704078.85,4218,MANINDS
2021-01-12,EQ,81.25,83.2,80.35,81.05,80.6,80.85,81.87,92.65,29.75,209066,17115684.55,2731,MANINDS
2021-01-13,EQ,81.5,82.9,79.85,80.85,80.15,80.4,81.09,92.65,29.75,166622,13511495.7,1746,MANINDS
2021-01-14,EQ,81.0,83.3,80.75,80.4,82.0,82.0,82.13,92.65,29.75,198979,16341268.25,1841,MANINDS
2021-01-15,EQ,82.1,85.8,81.2,82.0,83.0,83.0,83.61,92.65,29.75,498438,41676648.7,4470,MANINDS
2021-01-18,EQ,83.45,84.7,81.7,83.0,82.0,82.55,82.85,92.65,29.75,179913,14904901.45,2063,MANINDS
2021-01-19,EQ,85.5,86.3,84.0,82.55,85.2,85.45,85.27,92.65,29.75,543495,46344127.85,4942,MANINDS
2021-01-20,EQ,86.2,86.4,84.55,85.45,85.7,85.75,85.6,92.65,29.75,233827,20014471.2,3084,MANINDS
2021-01-21,EQ,86.45,90.0,81.55,85.75,82.1,82.45,85.91,92.65,29.75,2002980,172073351.2,20725,MANINDS
2021-01-22,EQ,82.45,85.5,80.0,82.45,82.0,82.6,83.36,92.65,29.75,533645,44483322.35,6726,MANINDS
2021-01-25,EQ,83.0,83.9,78.4,82.6,79.65,79.55,80.71,92.65,29.75,295938,23884990.4,4220,MANINDS
2021-01-27,EQ,79.95,81.9,79.1,79.55,79.5,79.95,80.47,92.65,29.75,187299,15072601.75,2428,MANINDS
2021-01-28,EQ,79.5,81.9,78.4,79.95,80.0,80.4,80.45,92.65,29.75,289990,23329828.1,4513,MANINDS
2021-01-29,EQ,80.9,81.75,77.55,80.4,79.0,78.7,79.7,92.65,29.75,158033,12594849.55,1531,MANINDS
2021-02-01,EQ,78.9,81.7,76.95,78.7,80.3,80.5,79.64,92.65,29.75,299435,23847165.05,4288,MANINDS
2021-02-02,EQ,80.5,82.5,79.15,80.5,79.75,79.55,80.72,92.65,29.75,193456,15615084.45,2864,MANINDS
2021-02-03,EQ,80.2,80.7,79.0,79.55,79.0,79.25,79.88,92.65,29.75,161812,12925201.05,1520,MANINDS
2021-02-04,EQ,79.55,81.7,79.45,79.25,80.2,80.0,80.65,92.65,29.75,153482,12378824.85,1306,MANINDS
2021-02-05,EQ,81.0,81.4,77.95,80.0,78.6,78.65,79.28,92.65,29.75,209271,16590194.9,2695,MANINDS
2021-02-08,EQ,78.95,80.2,77.55,78.65,77.7,77.9,78.67,92.65,29.75,145968,11483302.95,1897,MANINDS
2021-02-09,EQ,78.4,78.45,76.05,77.9,76.05,76.45,77.37,92.65,29.75,190309,14724410.55,1793,MANINDS
2021-02-10,EQ,76.9,77.55,73.75,76.45,75.9,75.95,75.94,92.65,29.75,224372,17039009.9,2549,MANINDS
2021-02-11,EQ,75.9,76.7,73.85,75.95,74.5,74.35,74.91,92.65,29.75,223332,16730169.3,6990,MANINDS
2021-02-12,EQ,74.5,75.2,72.8,74.35,73.0,73.05,73.93,92.65,29.75,214108,15828442.2,2641,MANINDS
2021-02-15,EQ,73.4,74.35,73.4,73.05,73.6,73.65,73.92,92.65,29.75,177878,13148897.5,5353,MANINDS
2021-02-16,EQ,74.05,77.5,74.05,73.65,75.95,75.85,75.93,92.65,29.75,262355,19921159.15,2064,MANINDS
2021-02-17,EQ,75.45,76.0,74.45,75.85,74.85,74.85,75.21,92.65,29.75,145000,10906157.05,1448,MANINDS
2021-02-18,EQ,75.4,75.4,72.9,74.85,73.6,73.6,73.69,92.65,29.75,304536,22441904.4,2639,MANINDS
2021-02-19,EQ,73.6,74.8,71.1,73.6,72.25,71.95,72.9,92.65,29.75,453473,33058096.25,4008,MANINDS
2021-02-22,EQ,72.0,73.5,71.65,71.95,72.0,71.9,72.58,92.65,29.75,131463,9541202.8,1266,MANINDS
2021-02-23,EQ,72.4,73.4,71.6,71.9,72.25,72.4,72.32,92.65,29.75,93261,6744838.55,1108,MANINDS
2021-02-24,EQ,72.75,75.5,72.45,72.4,73.95,73.7,73.76,92.65,29.75,115877,8547046.9,1410,MANINDS
2021-02-25,EQ,74.0,77.95,73.3,73.7,77.0,77.0,75.89,92.65,29.75,450684,34203988.85,3615,MANINDS
2021-02-26,EQ,74.55,76.3,72.95,77.0,73.95,73.85,74.23,92.65,29.75,296843,22033228.4,2423,MANINDS
2021-03-01,EQ,74.5,78.05,74.5,73.85,76.6,76.5,76.63,92.65,29.75,233036,17858418.15,2037,MANINDS
2021-03-02,EQ,76.95,77.65,75.75,76.5,76.45,76.6,76.67,92.65,29.75,138666,10632203.65,1305,MANINDS
2021-03-03,EQ,77.25,80.4,76.8,76.6,78.9,78.9,79.21,92.65,29.75,517550,40994578.35,4624,MANINDS
2021-03-04,EQ,78.35,81.65,75.5,78.9,80.0,79.95,79.96,92.65,29.75,459813,36768580.1,4675,MANINDS
2021-03-05,EQ,80.15,85.9,79.95,79.95,81.9,82.0,83.61,92.65,29.75,1547334,129375773.2,15233,MANINDS
2021-03-08,EQ,82.9,88.75,82.5,82.0,86.05,85.5,86.48,92.65,29.75,2243190,194000637.9,21137,MANINDS
