DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,1622.0,1623.95,1588.0,1614.95,1593.25,1592.25,1596.28,1875.0,815.0,245398,391722910.95,31041,MCX
2020-12-02,EQ,1594.95,1598.8,1550.5,1592.25,1566.0,1567.7,1570.03,1875.0,815.0,277605,435848619.3,28592,MCX
2020-12-03,EQ,1581.0,1596.75,1568.0,1567.7,1574.0,1571.15,1580.33,1875.0,815.0,192950,304924993.6,21336,MCX
2020-12-04,EQ,1574.25,1583.0,1560.0,1571.15,1567.0,1566.05,1569.85,1875.0,815.0,156315,245391408.3,12549,MCX
2020-12-07,EQ,1560.0,1594.85,1551.9,1566.05,1563.1,1563.6,1569.05,1875.0,815.0,228560,358620928.2,17629,MCX
2020-12-08,EQ,1565.0,1615.0,1565.0,1563.6,1590.0,1594.2,1594.18,1875.0,815.0,365203,582198259.65,25469,MCX
2020-12-09,EQ,1601.1,1700.0,1592.75,1594.2,1695.8,1680.15,1661.1,1875.0,815.0,1346553,2236760118.35,62788,MCX
2020-12-10,EQ,1695.0,1713.5,1650.0,1680.15,1685.0,1689.2,1680.24,1875.0,815.0,456217,766554226.5,26114,MCX
2020-12-11,EQ,1689.2,1700.0,1655.0,1689.2,1658.0,1668.0,1679.17,1875.0,815.0,221117,371292132.8,14905,MCX
2020-12-14,EQ,1678.0,1710.4,1663.0,1668.0,1708.5,1702.4,1690.75,1875.0,815.0,313099,529371142.2,16759,MCX
2020-12-15,EQ,1714.55,1718.85,1692.0,1702.4,1704.0,1708.95,1706.98,1875.0,815.0,391653,668543778.1,19605,MCX
2020-12-16,EQ,1711.0,1730.0,1696.0,1708.95,1706.0,1705.8,1711.19,1875.0,815.0,229649,392972476.0,10820,MCX
2020-12-17,EQ,1705.8,1751.1,1702.0,1705.8,1708.8,1713.3,1729.88,1875.0,815.0,268322,464165859.7,13717,MCX
2020-12-18,EQ,1717.9,1724.0,1691.65,1713.3,1708.8,1703.25,1705.28,1875.0,815.0,113437,193441570.35,7634,MCX
2020-12-21,EQ,1704.0,1724.0,1633.25,1703.25,1650.9,1652.1,1691.13,1875.0,815.0,396092,669843896.65,12671,MCX
2020-12-22,EQ,1654.0,1668.8,1622.45,1652.1,1654.3,1650.2,1647.09,1875.0,815.0,157239,258987194.0,9309,MCX
2020-12-23,EQ,1650.95,1690.0,1650.95,1650.2,1669.9,1672.45,1669.42,1875.0,815.0,459495,767091170.35,20568,MCX
2020-12-24,EQ,1678.0,1742.0,1678.0,1672.45,1728.0,1731.7,1722.38,1875.0,815.0,326932,563100186.55,23551,MCX
2020-12-28,EQ,1744.9,1779.9,1733.0,1731.7,1743.9,1744.3,1762.38,1875.0,815.0,355431,626404689.4,19458,MCX
2020-12-29,EQ,1750.0,1769.9,1724.0,1744.3,1756.0,1757.7,1755.78,1875.0,815.0,129388,227176867.6,10340,MCX
2020-12-30,EQ,1760.1,1775.0,1739.3,1757.7,1756.0,1756.2,1758.67,1875.0,815.0,163291,287174515.8,13313,MCX
2020-12-31,EQ,1764.0,1764.0,1715.0,1756.2,1723.0,1730.7,1746.59,1875.0,815.0,89347,156052570.05,7834,MCX
2021-01-01,EQ,1740.0,1755.0,1728.55,1730.7,1748.75,1748.25,1743.1,1875.0,815.0,76577,133481003.35,7765,MCX
2021-01-04,EQ,1757.0,1794.7,1746.9,1748.25,1780.0,1784.3,1774.74,1875.0,815.0,215222,381963816.25,16654,MCX
2021-01-05,EQ,1780.0,1797.7,1746.45,1784.3,1771.0,1768.35,1766.24,1875.0,815.0,183057,323322013.3,12295,MCX
2021-01-06,EQ,1773.0,1782.5,1710.0,1768.35,1749.0,1739.8,1747.36,1875.0,815.0,172471,301369419.7,11961,MCX
2021-01-07,EQ,1758.0,1773.95,1736.0,1739.8,1748.95,1750.45,1754.64,1875.0,815.0,242573,425627640.75,8595,MCX
2021-01-08,EQ,1762.0,1762.0,1706.8,1750.45,1719.0,1715.45,1727.35,1875.0,815.0,195953,338480223.65,9817,MCX
2021-01-11,EQ,1730.0,1747.65,1703.0,1715.45,1709.0,1711.5,1727.41,1875.0,815.0,320464,553571547.8,10250,MCX
2021-01-12,EQ,1710.0,1716.95,1682.0,1711.5,1686.5,1686.5,1691.15,1875.0,815.0,162875,275446613.25,14133,MCX
2021-01-13,EQ,1690.0,1703.95,1687.3,1686.5,1696.0,1690.45,1691.2,1875.0,815.0,191015,323045315.4,11884,MCX
2021-01-14,EQ,1699.0,1730.0,1675.25,1690.45,1690.4,1690.9,1702.22,1875.0,815.0,199851,340190526.65,13877,MCX
2021-01-15,EQ,1695.0,1697.95,1664.9,1690.9,1674.0,1676.25,1677.15,1875.0,815.0,111449,186916404.9,8083,MCX
2021-01-18,EQ,1674.9,1675.0,1626.05,1676.25,1637.4,1638.4,1639.94,1875.0,815.0,116888,191689095.5,12008,MCX
2021-01-19,EQ,1640.8,1657.0,1632.05,1638.4,1651.95,1646.4,1641.95,1875.0,815.0,87713,144020400.8,6600,MCX
2021-01-20,EQ,1649.7,1690.25,1649.7,1646.4,1670.0,1673.15,1674.26,1875.0,815.0,118558,198496500.5,9182,MCX
2021-01-21,EQ,1678.3,1715.0,1663.0,1673.15,1680.5,1680.25,1689.13,1875.0,815.0,215157,363429023.6,14696,MCX
2021-01-22,EQ,1688.0,1698.0,1663.0,1680.25,1668.15,1674.8,1677.33,1875.0,815.0,189367,317630104.05,12364,MCX
2021-01-25,EQ,1680.0,1689.95,1650.0,1674.8,1665.0,1665.35,1661.72,1875.0,815.0,118182,196384882.45,11470,MCX
2021-01-27,EQ,1665.35,1681.05,1625.0,1665.35,1654.0,1651.65,1642.18,1875.0,815.0,182008,298890699.1,13513,MCX
2021-01-28,EQ,1645.0,1682.0,1630.0,1651.65,1670.0,1672.35,1648.82,1875.0,815.0,175330,289087619.75,8665,MCX
2021-01-29,EQ,1672.35,1689.1,1638.05,1672.35,1645.0,1643.45,1653.97,1875.0,815.0,114242,188952604.2,12901,MCX
2021-02-01,EQ,1649.8,1664.0,1590.0,1643.45,1605.0,1598.25,1615.48,1875.0,815.0,244606,395155853.45,19832,MCX
2021-02-02,EQ,1625.1,1626.65,1602.25,1598.25,1606.1,1610.95,1616.89,1875.0,815.0,278261,449917973.55,8854,MCX
2021-02-03,EQ,1614.95,1627.55,1572.0,1610.95,1576.5,1574.7,1590.15,1875.0,815.0,453462,721074267.15,31264,MCX
2021-02-04,EQ,1582.0,1605.85,1575.05,1574.7,1582.95,1582.35,1588.37,1875.0,815.0,156839,249118339.25,16834,MCX
2021-02-05,EQ,1599.95,1617.95,1572.0,1582.35,1585.0,1585.25,1595.15,1875.0,815.0,198076,315961289.2,13300,MCX
2021-02-08,EQ,1594.0,1596.15,1541.0,1585.25,1553.95,1554.3,1567.3,1875.0,815.0,318777,499619609.45,23260,MCX
2021-02-09,EQ,1558.0,1586.0,1540.0,1554.3,1545.0,1550.95,1571.32,1875.0,815.0,284597,447191766.85,19937,MCX
2021-02-10,EQ,1552.0,1559.0,1491.2,1550.95,1498.0,1495.8,1512.79,1875.0,815.0,773408,1170001194.1,46723,MCX
2021-02-11,EQ,1498.0,1533.5,1485.5,1495.8,1493.95,1492.35,1507.28,1875.0,815.0,532553,802706709.15,23748,MCX
2021-02-12,EQ,1500.0,1575.0,1500.0,1492.35,1566.0,1564.6,1544.72,1875.0,815.0,728680,1125604771.55,35686,MCX
2021-02-15,EQ,1583.0,1594.6,1528.35,1564.6,1535.7,1535.9,1565.49,1875.0,815.0,270890,424076248.4,16630,MCX
2021-02-16,EQ,1549.95,1588.0,1511.9,1535.9,1537.8,1535.45,1537.8,1875.0,815.0,456825,702504251.4,47734,MCX
2021-02-17,EQ,1535.0,1542.05,1495.25,1535.45,1506.05,1502.7,1516.34,1875.0,815.0,345921,524534830.4,20212,MCX
2021-02-18,EQ,1508.0,1518.85,1490.4,1502.7,1502.0,1501.15,1501.54,1875.0,815.0,220514,331111440.65,12662,MCX
2021-02-19,EQ,1502.95,1519.3,1494.95,1501.15,1502.85,1501.4,1502.62,1875.0,815.0,155337,233412866.2,11372,MCX
2021-02-22,EQ,1501.0,1521.95,1478.5,1501.4,1481.0,1489.9,1503.02,1875.0,815.0,177677,267052484.25,13541,MCX
2021-02-23,EQ,1499.0,1514.0,1490.1,1489.9,1502.0,1501.45,1501.48,1875.0,815.0,118410,177790435.4,13229,MCX
2021-02-24,EQ,1507.95,1531.55,1500.5,1501.45,1519.0,1519.05,1520.57,1875.0,815.0,150085,228214583.45,8182,MCX
2021-02-25,EQ,1530.0,1531.5,1505.5,1519.05,1517.55,1520.0,1520.19,1875.0,815.0,149375,227078894.3,11634,MCX
2021-02-26,EQ,1501.05,1524.0,1491.0,1520.0,1515.0,1511.85,1505.54,1875.0,815.0,215860,324986876.4,14513,MCX
2021-03-01,EQ,1520.0,1534.5,1498.0,1511.85,1498.25,1503.95,1513.37,1875.0,815.0,194963,295052112.25,17011,MCX
2021-03-02,EQ,1518.0,1521.0,1496.0,1503.95,1504.9,1502.65,1504.51,1875.0,815.0,210276,316361679.0,9667,MCX
2021-03-03,EQ,1510.0,1567.4,1508.1,1502.65,1536.05,1542.55,1546.81,1875.0,815.0,390228,603608093.95,31036,MCX
2021-03-04,EQ,1538.0,1559.9,1531.3,1542.55,1536.1,1535.8,1544.03,1875.0,815.0,124243,191835450.65,8433,MCX
2021-03-05,EQ,1536.1,1538.1,1505.0,1535.8,1508.6,1508.6,1517.06,1875.0,815.0,116981,177467439.15,9900,MCX
2021-03-08,EQ,1515.0,1557.7,1506.3,1508.6,1534.55,1533.35,1539.29,1875.0,815.0,281087,432673324.0,45904,MCX
2021-03-09,EQ,1540.0,1544.35,1500.0,1533.35,1518.2,1515.65,1520.24,1875.0,815.0,160702,244304925.8,22749,MCX
2021-03-10,EQ,1525.0,1532.95,1505.1,1515.65,1514.45,1516.4,1517.4,1875.0,815.0,165787,251564785.2,33111,MCX
2021-03-12,EQ,1526.0,1546.95,1505.5,1516.4,1526.3,1522.25,1523.23,1875.0,815.0,295044,449418772.55,34231,MCX
2021-03-15,EQ,1527.0,1549.9,1515.55,1522.25,1540.05,1539.7,1527.08,1875.0,815.0,276240,421839339.0,27360,MCX
2021-03-16,EQ,1538.1,1597.8,1532.9,1539.7,1579.95,1580.9,1574.64,1875.0,815.0,551861,868979872.4,47172,MCX
2021-03-17,EQ,1585.0,1633.9,1585.0,1580.9,1607.0,1605.8,1612.44,1875.0,815.0,582354,939012167.3,68113,MCX
2021-03-18,EQ,1628.0,1633.75,1577.0,1605.8,1590.0,1587.1,1617.98,1875.0,815.0,771073,1247578286.05,39557,MCX
2021-03-19,EQ,1574.0,1619.9,1545.0,1587.1,1605.0,1604.75,1589.11,1875.0,815.0,250163,397535924.15,24506,MCX
2021-03-22,EQ,1607.95,1639.5,1596.55,1604.75,1618.6,1612.45,1616.13,1875.0,815.0,274525,443667168.2,29807,MCX
2021-03-23,EQ,1615.0,1620.0,1525.7,1612.45,1556.4,1555.1,1577.75,1875.0,815.0,312331,492780624.25,15463,MCX
2021-03-24,EQ,1560.95,1563.4,1526.0,1555.1,1540.0,1546.05,1539.72,1875.0,815.0,291115,448234148.05,19288,MCX
2021-03-25,EQ,1546.05,1546.05,1506.1,1546.05,1520.95,1519.95,1520.6,1875.0,815.0,270308,411029630.9,11631,MCX
2021-03-26,EQ,1530.0,1574.0,1514.05,1519.95,1561.05,1567.85,1547.08,1875.0,815.0,122784,189956064.95,8192,MCX
2021-03-30,EQ,1570.0,1579.15,1525.0,1567.85,1529.85,1529.45,1540.55,1875.0,951.1,131205,202128380.5,10335,MCX
2021-03-31,EQ,1530.5,1544.95,1505.0,1529.45,1509.9,1512.95,1525.3,1875.0,951.1,142728,217702620.85,7670,MCX
2021-04-01,EQ,1520.95,1544.9,1506.85,1512.95,1515.05,1518.05,1522.49,1875.0,951.1,156833,238776723.2,11601,MCX
2021-04-05,EQ,1521.9,1528.8,1443.05,1518.05,1454.25,1451.0,1469.36,1875.0,951.1,353676,519678020.15,26262,MCX
2021-04-06,EQ,1456.0,1483.95,1432.3,1451.0,1465.0,1464.4,1463.31,1875.0,951.1,311861,456349949.55,29363,MCX
2021-04-07,EQ,1465.8,1501.0,1465.8,1464.4,1485.0,1484.6,1486.29,1875.0,951.1,224982,334387850.8,14172,MCX
2021-04-08,EQ,1494.0,1526.7,1490.0,1484.6,1506.4,1505.0,1512.62,1875.0,951.1,276755,418624303.1,17589,MCX
2021-04-09,EQ,1509.0,1544.0,1507.0,1505.0,1517.0,1516.5,1524.12,1875.0,951.1,197959,301712934.75,14965,MCX
2021-04-12,EQ,1505.1,1510.0,1438.0,1516.5,1484.95,1489.4,1468.24,1875.0,951.1,247001,362657858.5,28975,MCX
2021-04-13,EQ,1495.0,1502.75,1458.0,1489.4,1470.0,1472.9,1477.77,1875.0,951.1,141922,209728774.1,17286,MCX
2021-04-15,EQ,1475.0,1481.0,1453.0,1472.9,1474.0,1474.9,1466.0,1875.0,951.1,73651,107972069.2,6782,MCX
2021-04-16,EQ,1500.0,1504.15,1471.7,1474.9,1495.0,1494.85,1494.86,1875.0,951.1,157842,235951150.75,12868,MCX
2021-04-19,EQ,1475.0,1508.0,1456.05,1494.85,1488.6,1491.85,1488.83,1875.0,951.1,259475,386314280.0,16213,MCX
2021-04-20,EQ,1505.5,1528.0,1440.0,1491.85,1458.0,1460.95,1495.95,1875.0,951.1,260438,389601056.95,18236,MCX
2021-04-22,EQ,1468.0,1479.0,1452.0,1460.95,1457.5,1455.95,1459.49,1875.0,951.1,177031,258374927.35,18139,MCX
2021-04-23,EQ,1458.9,1468.95,1451.05,1455.95,1459.0,1459.05,1458.18,1875.0,951.1,126316,184192071.1,10164,MCX
2021-04-26,EQ,1472.0,1491.8,1455.0,1459.05,1482.3,1483.15,1470.29,1875.0,1020.0,225397,331398428.3,9560,MCX
2021-04-27,EQ,1496.1,1549.9,1495.1,1483.15,1544.0,1537.95,1529.45,1875.0,1020.0,470863,720163420.2,25240,MCX
2021-04-28,EQ,1549.0,1551.95,1521.85,1537.95,1533.25,1530.45,1535.7,1875.0,1020.0,182650,280494818.25,12100,MCX
2021-04-29,EQ,1545.0,1554.5,1527.0,1530.45,1533.0,1532.1,1539.93,1875.0,1020.0,131478,202467236.35,10297,MCX
2021-04-30,EQ,1520.0,1534.45,1471.0,1532.1,1477.9,1476.25,1496.82,1875.0,1020.0,252288,377630764.85,16374,MCX
2021-05-03,EQ,1481.15,1509.0,1470.0,1476.25,1490.0,1493.2,1494.21,1875.0,1020.0,100218,149746562.95,7806,MCX
2021-05-04,EQ,1504.9,1509.0,1475.0,1493.2,1485.1,1486.55,1491.85,1875.0,1020.0,98251,146576044.1,7822,MCX
2021-05-05,EQ,1494.7,1494.7,1473.2,1486.55,1480.0,1479.65,1479.4,1875.0,1020.0,71579,105893761.8,6848,MCX
2021-05-06,EQ,1489.0,1489.0,1465.05,1479.65,1478.0,1479.2,1477.0,1875.0,1020.0,90430,133564771.75,6990,MCX
2021-05-07,EQ,1487.9,1524.8,1481.0,1479.2,1502.0,1501.65,1504.12,1875.0,1020.0,264473,397798821.3,16040,MCX
2021-05-10,EQ,1523.0,1600.0,1506.2,1501.65,1589.0,1590.05,1571.3,1875.0,1100.85,875749,1376066885.85,50415,MCX
2021-05-11,EQ,1584.9,1615.8,1560.0,1590.05,1565.0,1567.35,1588.81,1875.0,1100.85,460226,731213842.7,32157,MCX
2021-05-12,EQ,1570.0,1589.6,1542.3,1567.35,1558.0,1556.25,1566.36,1875.0,1100.85,176487,276442445.45,6547,MCX
2021-05-14,EQ,1569.7,1574.8,1510.25,1556.25,1518.5,1517.55,1532.85,1875.0,1100.85,146719,224898076.15,11116,MCX
2021-05-17,EQ,1535.0,1600.05,1528.2,1517.55,1550.0,1553.7,1564.85,1875.0,1103.0,427531,669020005.3,25539,MCX
2021-05-18,EQ,1567.5,1625.0,1555.3,1553.7,1608.0,1612.9,1603.03,1875.0,1103.0,529833,849338988.75,27733,MCX
2021-05-19,EQ,1611.0,1633.3,1608.0,1612.9,1615.0,1615.25,1617.28,1875.0,1103.0,250498,405126254.05,14963,MCX
2021-05-20,EQ,1626.2,1645.0,1618.95,1615.25,1627.45,1625.95,1628.84,1875.0,1103.0,259598,422844204.05,12386,MCX
2021-05-21,EQ,1643.0,1664.85,1615.0,1625.95,1620.05,1626.85,1641.55,1875.0,1103.0,292476,480113477.8,17654,MCX
2021-05-24,EQ,1545.55,1604.0,1545.55,1626.85,1587.0,1587.0,1585.53,1875.0,1127.0,396145,628099281.35,24103,MCX
2021-05-25,EQ,1578.2,1600.9,1537.0,1587.0,1548.35,1542.95,1567.5,1875.0,1127.0,302352,473936297.85,21708,MCX
