DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,269.15,273.65,266.65,271.15,267.45,267.4,269.7,289.3,96.0,68292,18418394.0,2666,NEWGEN
2020-12-02,EQ,268.75,270.0,265.45,267.4,268.9,267.4,267.63,289.3,96.0,44395,11881287.0,1917,NEWGEN
2020-12-03,EQ,268.75,280.0,268.0,267.4,272.5,273.8,274.46,289.3,96.0,139262,38222278.25,4815,NEWGEN
2020-12-04,EQ,273.8,278.7,270.0,273.8,271.05,271.15,273.83,289.3,96.0,80970,22171900.85,3253,NEWGEN
2020-12-07,EQ,272.0,277.45,270.5,271.15,273.9,273.2,274.49,289.3,96.0,36176,9929894.55,1987,NEWGEN
2020-12-08,EQ,274.6,275.15,268.2,273.2,271.0,270.85,272.01,289.3,96.0,45148,12280507.25,2749,NEWGEN
2020-12-09,EQ,272.25,274.0,269.35,270.85,272.05,272.3,271.9,289.3,96.0,59476,16171454.25,2620,NEWGEN
2020-12-10,EQ,272.3,272.3,267.3,272.3,270.0,269.3,268.89,289.3,96.0,27760,7464458.4,1336,NEWGEN
2020-12-11,EQ,270.65,273.75,265.0,269.3,266.65,266.2,268.74,289.3,96.0,40985,11014216.8,2127,NEWGEN
2020-12-14,EQ,270.35,270.35,266.35,266.2,268.9,267.85,268.32,289.3,96.0,36994,9926192.8,2117,NEWGEN
2020-12-15,EQ,269.2,272.7,260.1,267.85,269.0,269.45,267.05,289.3,96.0,79792,21308360.95,3463,NEWGEN
2020-12-16,EQ,270.0,273.5,261.95,269.45,265.0,265.05,267.57,289.3,96.0,70881,18965708.15,2380,NEWGEN
2020-12-17,EQ,266.35,269.1,261.0,265.05,263.0,263.15,265.02,289.3,96.0,45040,11936370.65,1606,NEWGEN
2020-12-18,EQ,264.5,273.0,260.1,263.15,267.5,269.5,268.49,289.3,96.0,106120,28492166.7,4015,NEWGEN
2020-12-21,EQ,267.5,282.0,241.4,269.5,259.0,254.65,271.62,289.3,96.0,233020,63292067.25,8027,NEWGEN
2020-12-22,EQ,255.95,265.0,241.75,254.65,258.85,259.05,255.42,289.3,96.0,131182,33507002.0,4951,NEWGEN
2020-12-23,EQ,265.5,275.0,265.5,259.05,271.5,272.8,271.24,289.3,96.0,101593,27556251.25,5128,NEWGEN
2020-12-24,EQ,275.4,277.0,266.75,272.8,269.7,269.9,271.94,289.3,96.0,52484,14272707.4,2283,NEWGEN
2020-12-28,EQ,271.25,280.0,270.7,269.9,273.7,273.75,275.62,289.3,96.0,78487,21632203.15,2278,NEWGEN
2020-12-29,EQ,273.9,278.45,271.95,273.75,273.0,273.05,274.18,289.3,96.0,46005,12613752.0,1961,NEWGEN
2020-12-30,EQ,272.0,275.95,270.2,273.05,271.0,271.75,272.75,289.3,96.0,32823,8952624.4,2542,NEWGEN
2020-12-31,EQ,270.7,276.0,268.0,271.75,268.0,268.4,271.77,289.3,96.0,41064,11159787.25,1989,NEWGEN
2021-01-01,EQ,268.5,275.9,268.5,268.4,272.4,272.75,273.92,289.3,96.0,47412,12987018.8,1719,NEWGEN
2021-01-04,EQ,277.7,277.75,266.65,272.75,274.95,273.3,273.16,289.3,96.0,51144,13970522.65,2753,NEWGEN
2021-01-05,EQ,273.45,281.05,270.0,273.3,277.75,276.95,276.15,289.3,96.0,136865,37795945.15,6908,NEWGEN
2021-01-06,EQ,276.95,293.8,276.95,276.95,286.95,288.3,287.0,293.8,96.0,363110,104211151.55,17102,NEWGEN
2021-01-07,EQ,290.1,300.0,290.1,288.3,293.05,293.3,295.12,300.0,96.0,196754,58066683.4,17444,NEWGEN
2021-01-08,EQ,297.0,316.2,293.95,293.3,306.0,306.4,307.81,316.2,96.0,512693,157811857.5,24621,NEWGEN
2021-01-11,EQ,308.9,313.0,291.15,306.4,299.0,297.6,300.08,316.2,96.0,212496,63766433.15,9927,NEWGEN
2021-01-12,EQ,297.0,297.7,292.0,297.6,295.5,295.05,294.46,316.2,96.0,69130,20355685.75,3657,NEWGEN
2021-01-13,EQ,295.0,316.0,293.0,295.05,303.0,301.85,307.99,316.2,96.0,388843,119761572.8,19204,NEWGEN
2021-01-14,EQ,307.95,309.95,299.35,301.85,303.1,305.4,305.23,316.2,96.0,93112,28420538.45,3988,NEWGEN
2021-01-15,EQ,306.95,308.75,302.05,305.4,306.75,305.8,305.68,316.2,96.0,103142,31528070.65,4385,NEWGEN
2021-01-18,EQ,305.8,308.85,278.4,305.8,299.9,299.45,293.89,316.2,96.0,179301,52694816.6,7769,NEWGEN
2021-01-19,EQ,302.35,311.1,302.0,299.45,307.9,306.7,307.39,316.2,96.0,108247,33273926.8,5556,NEWGEN
2021-01-20,EQ,306.1,333.15,306.1,306.7,316.6,317.7,321.49,333.15,96.0,1114036,358155788.85,28783,NEWGEN
2021-01-21,EQ,324.95,324.95,293.55,317.7,299.9,299.3,307.7,333.15,96.0,316058,97251262.2,14418,NEWGEN
2021-01-22,EQ,299.5,308.3,294.0,299.3,295.5,298.65,302.03,333.15,96.0,104495,31560970.5,4681,NEWGEN
2021-01-25,EQ,298.2,301.05,282.5,298.65,289.0,288.8,291.81,333.15,96.0,80298,23431597.3,3776,NEWGEN
2021-01-27,EQ,289.5,297.9,285.45,288.8,291.25,289.45,291.07,333.15,96.0,88218,25677662.0,7331,NEWGEN
2021-01-28,EQ,286.05,292.3,282.25,289.45,287.3,288.6,288.7,333.15,96.0,52238,15081092.5,2669,NEWGEN
2021-01-29,EQ,290.05,294.85,290.0,288.6,291.15,291.6,292.3,333.15,96.0,55310,16167383.2,2138,NEWGEN
2021-02-01,EQ,291.6,302.35,288.15,291.6,299.0,297.6,296.58,333.15,96.0,96267,28550777.6,3983,NEWGEN
2021-02-02,EQ,297.6,304.9,294.25,297.6,295.0,296.55,300.57,333.15,96.0,74790,22479585.7,3355,NEWGEN
2021-02-03,EQ,298.55,303.9,293.9,296.55,295.0,296.0,299.3,333.15,96.0,45245,13541665.15,2123,NEWGEN
2021-02-04,EQ,301.4,301.4,289.75,296.0,291.0,291.05,294.58,333.15,96.0,69627,20510613.25,3526,NEWGEN
2021-02-05,EQ,292.5,293.75,285.35,291.05,286.0,286.2,289.91,333.15,96.0,35421,10268992.25,1674,NEWGEN
