DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,554.0,554.0,525.3,538.0,529.9,529.3,536.24,591.95,213.7,5105352,2737677757.05,69180,TATACONSUM
2020-12-02,EQ,532.0,541.8,530.1,529.3,538.35,539.25,537.7,591.95,213.7,3694795,1986698266.85,57247,TATACONSUM
2020-12-03,EQ,541.0,552.9,540.0,539.25,550.0,550.4,547.47,591.95,213.7,3859218,2112820332.95,60636,TATACONSUM
2020-12-04,EQ,552.0,566.9,549.75,550.4,563.0,563.5,560.83,591.95,213.7,4170295,2338837478.5,72617,TATACONSUM
2020-12-07,EQ,563.95,570.0,561.0,563.5,567.0,567.85,566.7,591.95,213.7,3707125,2100811318.0,53120,TATACONSUM
2020-12-08,EQ,570.0,570.0,558.0,567.85,563.1,562.75,564.16,591.95,213.7,2866169,1616971832.6,81437,TATACONSUM
2020-12-09,EQ,564.0,570.0,560.35,562.75,566.2,565.5,566.47,591.95,213.7,2567264,1454278922.9,55588,TATACONSUM
2020-12-10,EQ,562.0,584.7,560.2,565.5,583.0,579.9,574.13,591.95,213.7,4578520,2628678259.6,58382,TATACONSUM
2020-12-11,EQ,584.8,589.35,570.55,579.9,575.0,576.4,579.25,591.95,213.7,3441778,1993666794.35,57735,TATACONSUM
2020-12-14,EQ,579.8,583.0,572.1,576.4,577.0,577.0,578.0,591.95,213.7,2482828,1435069013.65,46273,TATACONSUM
2020-12-15,EQ,577.0,580.65,566.5,577.0,572.65,571.3,574.06,591.95,213.7,3411634,1958471594.9,61306,TATACONSUM
2020-12-16,EQ,574.9,585.2,573.7,571.3,584.0,583.6,580.4,591.95,213.7,3686970,2139899009.05,63090,TATACONSUM
2020-12-17,EQ,584.95,593.4,575.55,583.6,577.65,577.3,583.45,593.4,213.7,3608243,2105230913.4,62208,TATACONSUM
2020-12-18,EQ,578.0,581.9,567.5,577.3,573.5,573.55,572.83,593.4,213.7,5068565,2903400891.8,53275,TATACONSUM
2020-12-21,EQ,574.0,579.95,553.7,573.55,560.0,562.75,567.26,593.4,213.7,4816486,2732200662.1,85360,TATACONSUM
2020-12-22,EQ,559.8,578.05,551.0,562.75,575.5,576.0,567.3,593.4,213.7,3264707,1852066528.0,77281,TATACONSUM
2020-12-23,EQ,577.8,606.85,573.05,576.0,606.6,605.3,594.28,606.85,213.7,7582654,4506208420.95,100716,TATACONSUM
2020-12-24,EQ,615.0,616.1,597.05,605.3,601.0,601.0,605.99,616.1,213.7,5295707,3209134925.0,74792,TATACONSUM
2020-12-28,EQ,607.7,611.95,599.2,601.0,604.1,602.45,605.04,616.1,213.7,2351027,1422475482.2,42471,TATACONSUM
2020-12-29,EQ,607.7,607.7,593.2,602.45,599.0,598.6,597.8,616.1,213.7,2114428,1264005998.7,41133,TATACONSUM
2020-12-30,EQ,598.8,604.0,590.05,598.6,593.65,594.35,594.42,616.1,213.7,2297999,1365968158.75,36023,TATACONSUM
2020-12-31,EQ,597.45,599.75,587.0,594.35,590.5,589.9,591.78,616.1,213.7,2322873,1374635965.25,44920,TATACONSUM
2021-01-01,EQ,593.0,606.8,591.0,589.9,601.75,601.5,602.38,616.1,213.7,3606724,2172626903.2,51714,TATACONSUM
2021-01-04,EQ,606.95,606.95,597.5,601.5,605.4,604.0,603.55,616.1,213.7,2120531,1279843164.4,36080,TATACONSUM
2021-01-05,EQ,604.0,614.3,601.1,604.0,608.65,609.55,609.01,616.1,213.7,3813409,2322409394.7,67056,TATACONSUM
2021-01-06,EQ,613.0,613.8,595.4,609.55,605.75,604.95,606.23,616.1,213.7,2167700,1314128414.35,51037,TATACONSUM
2021-01-07,EQ,609.7,610.3,598.55,604.95,601.95,600.85,603.71,616.1,213.7,2195640,1325530120.55,49781,TATACONSUM
2021-01-08,EQ,606.8,612.5,602.6,600.85,607.95,609.55,607.91,616.1,213.7,3458752,2102612715.45,57544,TATACONSUM
2021-01-11,EQ,613.0,632.8,609.5,609.55,632.5,629.0,621.63,632.8,213.7,6360644,3953939456.3,94959,TATACONSUM
2021-01-12,EQ,632.6,634.9,620.0,629.0,623.45,624.3,626.09,634.9,213.7,4562628,2856594777.45,80565,TATACONSUM
2021-01-13,EQ,626.8,633.0,611.3,624.3,619.95,620.4,623.76,634.9,213.7,3660044,2282986621.75,74518,TATACONSUM
2021-01-14,EQ,622.9,623.0,608.65,620.4,613.5,614.0,615.5,634.9,213.7,3576000,2201039942.05,60830,TATACONSUM
2021-01-15,EQ,610.0,613.5,595.0,614.0,602.0,602.4,602.72,634.9,213.7,4492648,2707811033.1,103868,TATACONSUM
2021-01-18,EQ,601.5,601.5,581.0,602.4,582.8,584.75,589.52,634.9,213.7,3346718,1972949731.5,68749,TATACONSUM
2021-01-19,EQ,590.0,591.0,577.35,584.75,582.4,582.7,582.29,634.9,213.7,5743934,3344654201.6,105986,TATACONSUM
2021-01-20,EQ,588.0,602.7,583.6,582.7,598.0,596.65,595.91,634.9,213.7,6156865,3668947018.05,102282,TATACONSUM
2021-01-21,EQ,603.4,612.75,590.05,596.65,599.3,595.25,604.53,634.9,213.7,4506198,2724139314.4,64521,TATACONSUM
2021-01-22,EQ,599.2,606.9,582.6,595.25,585.5,584.75,595.98,634.9,213.7,4307126,2566973908.05,62947,TATACONSUM
2021-01-25,EQ,587.8,589.85,570.0,584.75,573.55,573.6,578.74,634.9,213.7,2016556,1167058870.35,42891,TATACONSUM
2021-01-27,EQ,573.0,588.55,566.55,573.6,573.0,572.65,578.75,634.9,213.7,3662455,2119647818.45,72804,TATACONSUM
2021-01-28,EQ,571.9,576.0,561.5,572.65,565.5,564.6,566.14,634.9,213.7,4769073,2699966124.95,79782,TATACONSUM
2021-01-29,EQ,574.0,574.0,554.25,564.6,555.0,559.8,565.14,634.9,213.7,3593336,2030736747.7,85816,TATACONSUM
2021-02-01,EQ,563.0,588.75,554.35,559.8,588.5,584.15,571.02,634.9,213.7,4707518,2688071446.75,79921,TATACONSUM
2021-02-02,EQ,590.0,596.4,567.15,584.15,575.95,575.35,576.38,634.9,213.7,5713446,3293127783.45,85412,TATACONSUM
2021-02-03,EQ,589.0,598.0,571.0,575.35,579.8,580.15,585.43,634.9,213.7,10599727,6205367264.25,153279,TATACONSUM
2021-02-04,EQ,585.0,590.0,577.55,580.15,588.6,588.05,584.37,634.9,213.7,3816120,2230037918.7,49090,TATACONSUM
2021-02-05,EQ,593.9,600.0,589.2,588.05,592.95,592.5,595.49,634.9,213.7,5918498,3524388973.6,98195,TATACONSUM
2021-02-08,EQ,595.0,604.8,594.9,592.5,598.0,597.1,600.29,634.9,213.7,3970852,2383678616.9,99098,TATACONSUM
2021-02-09,EQ,597.0,607.5,594.55,597.1,598.75,598.7,601.94,634.9,213.7,3072281,1849323900.5,54668,TATACONSUM
2021-02-10,EQ,600.75,605.95,597.3,598.7,602.0,600.75,601.81,634.9,213.7,2435907,1465949464.7,39565,TATACONSUM
2021-02-11,EQ,603.3,622.0,598.35,600.75,611.0,610.35,614.53,634.9,213.7,7033762,4322476064.2,90860,TATACONSUM
2021-02-12,EQ,616.2,616.2,603.5,610.35,607.0,607.5,607.93,634.9,213.7,3621853,2201822584.05,45177,TATACONSUM
2021-02-15,EQ,608.0,625.5,607.4,607.5,625.5,623.1,616.32,634.9,213.7,3234989,1993794979.65,55471,TATACONSUM
2021-02-16,EQ,629.9,634.95,617.55,623.1,628.15,628.35,627.15,634.95,213.7,6418986,4025691649.05,115263,TATACONSUM
2021-02-17,EQ,636.0,645.7,624.25,628.35,632.85,632.15,633.9,645.7,213.7,8556599,5424049396.5,140067,TATACONSUM
2021-02-18,EQ,637.45,643.4,621.15,632.15,623.95,624.0,630.86,645.7,213.7,4457424,2812011709.0,60277,TATACONSUM
2021-02-19,EQ,624.0,626.1,610.45,624.0,617.7,616.95,618.82,645.7,213.7,3013104,1864556914.7,52868,TATACONSUM
2021-02-22,EQ,619.0,623.55,612.0,616.95,618.95,618.3,617.83,645.7,213.7,3020000,1865855682.1,45404,TATACONSUM
2021-02-23,EQ,619.9,635.0,616.0,618.3,629.0,627.5,628.22,645.7,213.7,4222282,2652523890.45,61689,TATACONSUM
2021-02-24,EQ,654.0,654.0,615.0,627.5,624.0,625.95,636.57,654.0,213.7,10479819,6671093211.35,174846,TATACONSUM
2021-02-25,EQ,628.9,639.15,624.35,625.95,629.0,628.5,629.57,654.0,213.7,4977348,3133581454.5,80771,TATACONSUM
2021-02-26,EQ,625.0,625.9,604.5,628.5,606.0,609.15,614.79,654.0,213.7,5547291,3410395483.3,112396,TATACONSUM
2021-03-01,EQ,614.9,628.5,609.2,609.15,627.05,624.55,618.76,654.0,213.7,2530243,1565603834.65,51929,TATACONSUM
2021-03-02,EQ,628.5,636.0,622.0,624.55,631.35,632.35,629.65,654.0,213.7,3051386,1921308201.5,54560,TATACONSUM
2021-03-03,EQ,635.0,648.0,633.0,632.35,637.5,636.9,639.74,654.0,213.7,3601961,2304307931.25,71634,TATACONSUM
2021-03-04,EQ,634.9,643.85,628.8,636.9,632.0,631.1,635.89,654.0,213.7,2621353,1666891185.1,44422,TATACONSUM
2021-03-05,EQ,633.7,643.5,618.0,631.1,623.6,622.65,629.58,654.0,213.7,2839628,1787760575.1,63490,TATACONSUM
2021-03-08,EQ,626.9,628.2,615.0,622.65,616.0,616.05,620.19,654.0,213.7,1939925,1203129619.15,39057,TATACONSUM
2021-03-09,EQ,618.8,620.9,602.0,616.05,612.4,611.7,610.46,654.0,213.7,3065358,1871275874.8,67341,TATACONSUM
2021-03-10,EQ,616.8,623.65,615.0,611.7,621.5,620.95,619.18,654.0,213.7,2778304,1720266180.6,73925,TATACONSUM
2021-03-12,EQ,623.0,624.8,613.4,620.95,614.9,615.25,618.56,654.0,213.7,1884687,1165792316.75,36218,TATACONSUM
2021-03-15,EQ,617.1,618.8,602.4,615.25,608.85,607.65,607.85,654.0,213.7,2765589,1681058148.05,60437,TATACONSUM
2021-03-16,EQ,611.55,618.0,608.5,607.65,611.9,610.65,612.24,654.0,213.7,2480801,1518847029.65,51812,TATACONSUM
