DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,65.6,69.45,65.0,64.9,69.05,68.85,67.66,69.45,27.0,70704403,4783756928.25,120710,TATAPOWER
2020-12-02,EQ,69.5,69.65,66.7,68.85,67.9,67.95,68.11,69.65,27.0,46261091,3150935040.9,94970,TATAPOWER
2020-12-03,EQ,68.5,69.7,67.6,67.95,69.7,69.25,68.52,69.7,27.0,37361699,2559883345.55,79081,TATAPOWER
2020-12-04,EQ,71.7,73.6,69.35,69.25,71.5,71.65,71.84,73.6,27.0,97738908,7021313439.3,194472,TATAPOWER
2020-12-07,EQ,72.45,73.35,71.15,71.65,71.7,71.65,72.25,73.6,27.0,39355314,2843417410.2,79247,TATAPOWER
2020-12-08,EQ,73.0,73.1,70.25,71.65,71.85,72.0,71.67,73.6,27.0,43645664,3128061612.8,90143,TATAPOWER
2020-12-09,EQ,72.6,75.0,71.9,72.0,73.45,73.15,73.52,75.0,27.0,58476323,4299269006.6,108417,TATAPOWER
2020-12-10,EQ,73.0,73.45,71.0,73.15,72.75,72.65,72.29,75.0,27.0,29242808,2113929651.25,49953,TATAPOWER
2020-12-11,EQ,72.75,74.1,72.15,72.65,72.7,72.8,73.16,75.0,27.0,36847385,2695646408.35,69662,TATAPOWER
2020-12-14,EQ,73.45,74.1,72.8,72.8,73.6,73.45,73.37,75.0,27.0,20767955,1523769493.25,48115,TATAPOWER
2020-12-15,EQ,73.4,75.5,72.5,73.45,75.15,75.15,73.92,75.5,27.0,38943070,2878796470.15,59227,TATAPOWER
2020-12-16,EQ,75.5,76.45,74.65,75.15,76.05,76.15,75.72,76.45,27.0,36595158,2771144483.05,59773,TATAPOWER
2020-12-17,EQ,76.25,76.7,74.65,76.15,74.7,75.2,75.97,76.7,27.0,28073186,2132708364.55,64598,TATAPOWER
2020-12-18,EQ,75.0,76.45,73.65,75.2,75.55,76.05,75.44,76.7,27.0,49891456,3763717202.5,64768,TATAPOWER
2020-12-21,EQ,75.85,75.85,66.4,76.05,68.55,69.05,71.57,76.7,27.0,51731072,3702271261.45,107444,TATAPOWER
2020-12-22,EQ,69.0,71.9,66.7,69.05,71.65,71.65,69.69,76.7,27.0,46224467,3221454476.55,96576,TATAPOWER
2020-12-23,EQ,72.0,74.45,71.5,71.65,74.25,74.15,73.11,76.7,27.0,30689573,2243691551.55,62574,TATAPOWER
2020-12-24,EQ,74.6,75.6,74.25,74.15,74.35,74.5,74.95,76.7,27.0,23223241,1740586012.75,46453,TATAPOWER
2020-12-28,EQ,75.25,77.95,75.1,74.5,77.7,77.2,76.85,77.95,27.0,35601036,2736094126.0,81156,TATAPOWER
2020-12-29,EQ,78.0,78.8,76.25,77.2,76.55,76.55,77.37,78.8,27.0,28745694,2223979423.15,60734,TATAPOWER
