DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-12-01,EQ,900.0,900.0,821.85,871.4,835.0,835.6,846.78,924.0,482.2,679159,575096184.4,33366,VBL
2020-12-02,EQ,835.6,885.0,823.0,835.6,866.1,870.3,852.25,924.0,482.2,446312,380368258.9,17396,VBL
2020-12-03,EQ,860.0,885.0,840.0,870.3,844.35,846.4,857.27,924.0,482.2,268179,229901533.85,17683,VBL
2020-12-04,EQ,850.95,858.9,831.0,846.4,835.0,835.4,841.32,924.0,482.2,205982,173296765.95,13331,VBL
2020-12-07,EQ,840.0,865.0,835.0,835.4,860.0,860.15,851.85,924.0,482.2,230482,196337171.05,13380,VBL
2020-12-08,EQ,864.4,890.0,864.4,860.15,888.0,885.3,884.1,924.0,482.2,690286,610280047.75,37195,VBL
2020-12-09,EQ,893.0,910.0,887.05,885.3,908.0,907.3,903.71,924.0,482.2,653620,590683357.3,60985,VBL
2020-12-10,EQ,908.0,914.0,896.0,907.3,912.9,910.85,907.96,924.0,482.2,389770,353896258.05,24356,VBL
2020-12-11,EQ,920.0,920.5,904.9,910.85,906.0,910.05,914.36,924.0,482.2,471886,431471491.55,14733,VBL
2020-12-14,EQ,914.95,918.8,888.7,910.05,900.9,901.9,907.45,924.0,482.2,542609,492391610.6,32902,VBL
2020-12-15,EQ,907.0,923.0,903.2,901.9,916.1,919.45,914.96,924.0,482.2,264142,241678373.0,13065,VBL
2020-12-16,EQ,925.0,984.0,921.65,919.45,980.0,974.9,957.38,984.0,482.2,685215,656010822.05,39052,VBL
2020-12-17,EQ,980.1,999.75,962.85,974.9,997.0,981.25,978.48,999.75,482.2,745112,729074931.35,31520,VBL
2020-12-18,EQ,988.2,992.0,951.3,981.25,960.0,969.05,970.76,999.75,482.2,230905,224153923.3,10680,VBL
2020-12-21,EQ,966.0,967.6,863.05,969.05,905.0,907.7,930.97,999.75,482.2,304195,283195140.8,17668,VBL
2020-12-22,EQ,907.0,917.0,866.25,907.7,908.5,909.25,889.63,999.75,482.2,212870,189374705.05,13283,VBL
2020-12-23,EQ,912.85,944.9,880.1,909.25,892.95,905.1,919.34,999.75,482.2,240217,220840396.85,15344,VBL
2020-12-24,EQ,905.0,932.0,895.0,905.1,919.5,917.9,916.67,999.75,482.2,234063,214557623.8,18727,VBL
2020-12-28,EQ,919.5,926.0,888.0,917.9,898.0,896.9,908.87,999.75,482.2,144981,131768584.3,8803,VBL
2020-12-29,EQ,904.0,909.0,892.1,896.9,901.5,902.25,900.36,999.75,482.2,139172,125305131.75,12197,VBL
2020-12-30,EQ,904.9,916.9,887.0,902.25,900.0,902.65,903.24,999.75,482.2,357235,322668651.2,18409,VBL
2020-12-31,EQ,907.0,925.0,901.05,902.65,910.0,916.05,915.11,999.75,482.2,259528,237497243.15,19672,VBL
2021-01-01,EQ,912.0,921.85,903.0,916.05,906.9,907.95,909.17,999.75,482.2,192511,175025529.3,13795,VBL
2021-01-04,EQ,910.0,961.0,905.6,907.95,952.2,951.25,937.87,999.75,482.2,586508,550067124.2,32063,VBL
2021-01-05,EQ,955.0,977.7,952.25,951.25,968.0,966.45,966.15,999.75,482.2,281957,272412683.4,14185,VBL
2021-01-06,EQ,968.0,975.0,953.0,966.45,959.75,960.1,967.21,999.75,482.2,171532,165907830.45,10175,VBL
2021-01-07,EQ,972.5,992.0,961.3,960.1,980.25,985.5,983.15,999.75,482.2,307737,302553056.8,14313,VBL
2021-01-08,EQ,985.6,1015.1,972.85,985.5,990.0,990.1,996.45,1015.1,482.2,253110,252211136.0,17771,VBL
2021-01-11,EQ,999.0,1066.4,984.0,990.1,1008.0,996.25,1017.59,1066.4,482.2,544461,554038528.4,32892,VBL
2021-01-12,EQ,1004.25,1008.0,966.0,996.25,968.95,968.4,976.47,1066.4,482.2,292668,285782475.45,21807,VBL
2021-01-13,EQ,994.0,994.0,922.8,968.4,926.65,937.7,957.5,1066.4,482.2,453061,433806355.45,28319,VBL
2021-01-14,EQ,933.0,933.0,907.0,937.7,913.0,911.0,913.77,1066.4,482.2,437195,399494260.9,25002,VBL
2021-01-15,EQ,913.6,928.7,891.0,911.0,899.95,895.65,909.62,1066.4,482.2,374973,341081426.65,19225,VBL
2021-01-18,EQ,895.65,906.0,865.5,895.65,873.85,876.4,876.86,1066.4,482.2,252811,221679465.3,13304,VBL
2021-01-19,EQ,886.4,898.6,868.65,876.4,874.0,874.1,887.8,1066.4,482.2,175775,156052821.1,13018,VBL
2021-01-20,EQ,879.95,926.0,879.95,874.1,920.0,916.9,913.65,1066.4,482.2,346394,316482082.35,18140,VBL
2021-01-21,EQ,928.2,942.95,902.1,916.9,929.0,923.65,928.45,1066.4,482.2,474750,440780510.75,20401,VBL
2021-01-22,EQ,930.0,930.0,900.0,923.65,904.3,904.0,911.37,1066.4,482.2,133684,121835939.55,11348,VBL
2021-01-25,EQ,912.6,917.15,885.4,904.0,899.9,892.75,898.65,1066.4,482.2,139916,125736010.65,18597,VBL
2021-01-27,EQ,895.0,923.0,890.0,892.75,900.0,900.6,907.11,1066.4,482.2,309589,280832777.35,22877,VBL
2021-01-28,EQ,892.0,899.85,854.05,900.6,860.0,862.3,874.1,1066.4,482.2,180834,158066803.2,15255,VBL
2021-01-29,EQ,866.0,909.45,865.0,862.3,892.0,898.6,898.74,1066.4,482.2,505026,453886136.55,29608,VBL
2021-02-01,EQ,897.95,916.0,875.0,898.6,895.5,901.9,903.04,1066.4,482.2,193468,174709656.25,10642,VBL
2021-02-02,EQ,909.4,911.6,866.0,901.9,870.0,870.1,874.75,1066.4,482.2,528139,461987364.55,21308,VBL
2021-02-03,EQ,874.95,904.9,872.05,870.1,897.0,897.0,894.73,1066.4,482.2,327110,292674295.6,11308,VBL
2021-02-04,EQ,900.0,910.0,880.1,897.0,899.5,902.9,898.29,1066.4,482.2,286341,257217781.75,15509,VBL
2021-02-05,EQ,907.0,910.1,891.7,902.9,900.0,901.25,900.0,1066.4,482.2,120319,108286672.25,13951,VBL
2021-02-08,EQ,902.3,909.55,882.0,901.25,887.95,887.3,894.8,1066.4,482.2,183505,164199992.4,13241,VBL
2021-02-09,EQ,895.0,901.5,883.0,887.3,895.0,896.4,891.45,1066.4,482.2,109818,97897724.15,7376,VBL
2021-02-10,EQ,903.45,910.0,880.45,896.4,889.6,890.95,888.77,1066.4,482.2,193969,172393402.8,12523,VBL
2021-02-11,EQ,886.9,925.0,884.8,890.95,905.0,904.45,908.75,1066.4,482.2,643694,584955972.5,28901,VBL
2021-02-12,EQ,908.0,921.9,905.0,904.45,911.35,912.65,912.23,1066.4,482.2,151122,137858452.3,7775,VBL
2021-02-15,EQ,921.65,962.95,916.0,912.65,942.0,944.95,936.38,1066.4,482.2,636320,595835295.0,26692,VBL
2021-02-16,EQ,958.0,960.0,893.0,944.95,902.9,901.6,915.5,1066.4,482.2,1117650,1023213949.5,39172,VBL
2021-02-17,EQ,906.3,950.0,906.0,901.6,945.0,945.35,939.14,1066.4,482.2,973921,914650357.0,47392,VBL
2021-02-18,EQ,955.0,958.0,936.0,945.35,949.0,948.6,946.38,1066.4,482.2,252316,238787232.6,11849,VBL
2021-02-19,EQ,955.0,982.0,944.85,948.6,973.5,974.05,965.06,1066.4,482.2,423112,408328322.1,18603,VBL
2021-02-22,EQ,981.0,1075.0,976.6,974.05,1043.0,1025.1,1030.88,1075.0,482.2,1867081,1924734322.05,84022,VBL
2021-02-23,EQ,1062.0,1130.0,1011.75,1025.1,1033.45,1032.5,1045.56,1130.0,482.2,908037,949403559.35,40382,VBL
2021-02-24,EQ,1034.6,1068.0,1020.0,1032.5,1035.0,1047.6,1041.59,1130.0,482.2,194184,202259660.75,11914,VBL
2021-02-25,EQ,1053.0,1057.55,1020.65,1047.6,1047.0,1042.6,1033.99,1130.0,482.2,412338,426352592.9,18697,VBL
2021-02-26,EQ,1025.55,1059.9,1015.05,1042.6,1058.0,1042.95,1030.65,1130.0,482.2,362246,373347133.6,15392,VBL
2021-03-01,EQ,1070.0,1070.0,1008.1,1042.95,1042.95,1044.95,1037.26,1130.0,482.2,387264,401692205.3,22640,VBL
2021-03-02,EQ,1059.9,1061.0,1035.45,1044.95,1054.0,1054.95,1052.45,1130.0,482.2,245382,258252675.4,11729,VBL
2021-03-03,EQ,1060.8,1065.0,1031.6,1054.95,1052.05,1048.35,1052.69,1130.0,482.2,245955,258915061.65,13492,VBL
2021-03-04,EQ,1039.0,1060.0,1036.3,1048.35,1050.1,1050.05,1052.82,1130.0,482.2,223324,235119620.4,7925,VBL
2021-03-05,EQ,1050.05,1055.55,1029.05,1050.05,1041.0,1043.5,1045.3,1130.0,482.2,225217,235419015.85,12927,VBL
2021-03-08,EQ,1042.0,1042.0,992.0,1043.5,1001.0,998.95,1015.45,1130.0,482.2,471331,478612971.35,23061,VBL
2021-03-09,EQ,1007.0,1010.95,980.0,998.95,993.0,993.2,991.53,1130.0,482.2,440372,436643134.7,20675,VBL
2021-03-10,EQ,995.0,1007.95,986.0,993.2,990.0,989.4,995.69,1130.0,482.2,122907,122377454.8,9248,VBL
2021-03-12,EQ,995.0,1003.55,971.0,989.4,978.0,976.15,985.83,1130.0,482.2,328416,323763323.2,31032,VBL
2021-03-15,EQ,987.1,992.3,958.0,976.15,965.0,963.05,976.46,1130.0,482.2,268268,261954180.8,19874,VBL
2021-03-16,EQ,964.9,1007.95,964.9,963.05,1005.0,995.8,979.51,1130.0,482.2,306905,300615891.7,23320,VBL
2021-03-17,EQ,1005.0,1016.0,1000.0,995.8,1004.5,1006.6,1006.95,1130.0,482.2,245546,247253166.95,15414,VBL
2021-03-18,EQ,1007.0,1025.05,967.3,1006.6,971.5,975.45,995.9,1130.0,482.2,221772,220862743.3,17361,VBL
2021-03-19,EQ,979.15,1010.0,960.15,975.45,973.4,976.05,981.31,1130.0,482.2,1548190,1519256063.0,38479,VBL
2021-03-22,EQ,985.1,1005.0,975.0,976.05,1000.0,999.9,989.54,1130.0,482.2,216625,214358486.9,14431,VBL
2021-03-23,EQ,1009.0,1020.0,984.05,999.9,1000.0,999.1,997.0,1130.0,482.2,202472,201865289.85,18181,VBL
2021-03-24,EQ,1003.95,1024.0,981.85,999.1,994.0,991.5,1006.02,1130.0,482.2,360611,362781300.05,21853,VBL
2021-03-25,EQ,991.9,1015.0,987.85,991.5,999.45,998.65,1004.02,1130.0,482.2,476282,478198204.55,19346,VBL
2021-03-26,EQ,1009.2,1010.0,977.0,998.65,991.5,993.6,989.43,1130.0,482.2,219511,217190304.05,13738,VBL
