model,alpha,VaR,ES
Hist_252,0.95,0.028944001221672462,0.040935955427207724
Hist_1260,0.95,,
Hist_252,0.99,0.041406456154884065,0.06413058177212437
Hist_1260,0.99,,
Normal_EWMA_0.94,0.95,0.01934477908802668,0.024259133414338573
Normal_EWMA_0.94,0.99,0.027359690228866966,0.03134502637198974
Normal_EWMA_0.97,0.95,0.022530014747607675,0.0282535474353139
Normal_EWMA_0.97,0.99,0.03186462980742312,0.03650617581165249
StudentT_252,0.95,0.022298920624103182,0.03505588027743728
StudentT_252,0.99,0.04119424549363261,0.059981373911531057
