,weight,marginal_sigma_daily,component_sigma_daily,pct_of_port_sigma,marginal_sigma_annual,component_sigma_annual
BAJFINANCE,0.050010967317394156,0.0696500367688318,0.0034832657125013484,0.22566762047797675,1.1056600565810022,0.05529512895382067
NEWGEN,0.07929370475981574,0.016497393849023233,0.0013081394771708485,0.08474941260064314,0.2618880084312128,0.020766070420680724
UJJIVANSFB,0.07030050449660012,0.011899592560422851,0.000836547360301716,0.05419674173546066,0.18890017570723924,0.013279777651715325
MCX,0.04672077209914454,0.013909766924038404,0.000649875050410217,0.042102948307312656,0.2208107044552649,0.010316446599905991
AVALON,0.03992103531476201,0.014472242172263,0.0005777468908426993,0.037430037457979556,0.22973972220785457,0.009171447563463376
MTARTECH,0.04003070848870366,0.01390387205633936,0.0005565818491515537,0.03605883440028111,0.22071712633160512,0.008835462942644864
DATAPATTNS,0.029940776486071505,0.017648386500165536,0.0005284063955412581,0.034233453250257645,0.28015945032592554,0.008388191482669189
RVNL,0.027418293485413466,0.018286548212741005,0.000501385945732096,0.032482900431162066,0.2902899534522322,0.007959255139620315
MAZDOCK,0.025115156832638735,0.019189503134481756,0.0004819473807629219,0.03122354927504541,0.30462391846039905,0.007650677487105876
JIOFIN,0.034437376617679316,0.013280715789901174,0.0004573530114091872,0.029630173039263446,0.21082482727804347,0.007260253977331175
ACI,0.04551436718578636,0.009567302369329952,0.0004354497130151272,0.028211141120031216,0.15187621672203652,0.0069125498946748356
CDSL,0.025663522702347,0.016209177624292807,0.0004159845979474135,0.02695006988337652,0.25731271770450914,0.006603550772412275
TATAELXSI,0.036740513270454044,0.010475968043290169,0.0003848924429153549,0.02493572667193704,0.1663008371112343,0.006109978112772921
KELLTONTEC,0.009212546611098923,0.032919784640138054,0.0003032750504246102,0.019648044286151686,0.5225853802296554,0.004814342173644554
ADANIENT,0.019083132265847774,0.012854279336175747,0.0002452999127543957,0.015892054234067667,0.20405535843886474,0.003894015394643833
DCXINDIA,0.014696205308181618,0.015858600148695362,0.00023306124368558659,0.015099157121262495,0.2517474728103592,0.003699732546236909
INDIGO,0.030160122833954812,0.007235653330263057,0.000218228193224648,0.014138179843549727,0.11486243570971413,0.003464265170012216
SPANDANA,0.013380127220881772,0.016227943895506906,0.00021713195385521413,0.014067158638050945,0.2576106230245201,0.003446862909518694
TATACONSUM,0.040469401184470274,0.005125760608241338,0.0002074364624304731,0.01343902439284151,0.08136892709674654,0.003292951754628149
ADANIPORTS,0.019083132265847774,0.010711480998945982,0.00020440860866600142,0.013242861191242706,0.1700394893784287,0.0032448860662257725
AEROFLEX,0.010857644220223733,0.01780792360737845,0.0001933520988298384,0.012526551707138919,0.28269202338935767,0.0030693694138568114
SWIGGY,0.013709146742706733,0.012891678126950643,0.00017673390720210905,0.011449921880187333,0.20464904583721422,0.0028055638001372864
HFCL,0.008444834393507348,0.020023024813519502,0.00016909112860726054,0.010954775140979504,0.31785566491108835,0.002684238451212305
HDFCBANK,0.017109015134898004,0.009599723123394643,0.0001642418082089893,0.010640606000426819,0.15239088023747066,0.002607257876403315
