symbol,weight,n,mu,sigma,skew,kurt,z_last
NEWGEN,0.07929370475981574,780,0.006742335347323597,0.06921667128780168,-0.4601198402249462,3.958553917670325,-0.3822704909296935
UJJIVANSFB,0.07030050449660012,852,0.006020613765038445,0.057821521820053665,0.45189310884905987,1.3110815574881403,3.0694594925557848
BAJFINANCE,0.050010967317394156,852,-0.012104218484671072,0.18236473781068524,-12.115919603495232,152.00790513639228,1.408175724989586
MCX,0.04672077209914454,852,0.009810283082565147,0.05394538426953834,0.005347609367338856,0.5478377454481449,0.040005629090816515
ACI,0.04551436718578636,693,0.0027909811504697167,0.05883561936218561,-0.13415429333178472,1.57109526103351,-0.17055476467917197
TATACONSUM,0.040469401184470274,852,0.0019355683248647385,0.03004066700447146,0.04893914482333668,1.209047193450591,-0.9640369868956111
MTARTECH,0.04003070848870366,852,-0.001271299500704598,0.054159627547323404,0.03734007155124446,1.647725849416752,-0.07985223189344869
AVALON,0.03992103531476201,593,0.006864236765783267,0.06677334896877454,0.16084471769562694,2.6157963810841016,1.9715906202076114
TATAELXSI,0.036740513270454044,852,-0.0028947980932002826,0.045529815589855194,0.4824010539240773,3.377443486815402,1.22190285410086
JIOFIN,0.034437376617679316,497,0.0020416421211583925,0.046400986287905635,0.07056045291122252,1.5050644518233414,0.07586438031844944
INDIGO,0.030160122833954812,852,0.0061301333632776955,0.03855107924432184,-0.11495043216652553,0.46885672617399843,0.015791755428301288
DATAPATTNS,0.029940776486071505,852,0.007250282764874408,0.07105526487713193,0.18587003770778432,0.4847307783453023,0.3599659488900615
RVNL,0.027418293485413466,852,0.013529431647117226,0.08019578471188962,1.4194427776229204,3.7482470305068536,0.26423070625297057
CDSL,0.025663522702347,852,0.0002031998591522035,0.07505697992254114,-3.459412494360157,29.983041636104854,0.7229672874065884
MAZDOCK,0.025115156832638735,852,0.01396802228265139,0.09648596748145113,-2.2435376204373005,21.531352500338603,-0.36506849747108894
ADANIENT,0.019083132265847774,852,0.0007390683274123409,0.07981240840245013,-1.9748062422891444,23.643701948279272,0.4450276732498653
ADANIPORTS,0.019083132265847774,852,0.0031668281183644905,0.055575233994944705,-1.021494773132655,11.14859902481338,1.3312842319412264
AETHER,0.017876727352489578,808,-0.00032457726238576794,0.04321658186172688,0.542866786826168,2.6920182178241823,-0.09902034100786555
INOXINDIA,0.017767054178547927,423,0.0028806683271942564,0.04983235626740333,0.6374120866715336,0.6904605435544244,0.45046758215247995
HDFCBANK,0.017109015134898004,852,-0.002668186017573167,0.06289922654930738,-9.07886525012295,102.21335487628247,0.6246646850161904
DMART,0.01667032243913139,852,0.0009941532037011514,0.041593736898790146,-0.10347475241900371,1.435619765571746,-0.3466846693732318
SYNGENE,0.015025224830006581,852,0.0004576737918173343,0.03823920411491439,-0.5376608018151325,1.363159144162236,0.5842366294486556
DCXINDIA,0.014696205308181618,639,0.0013842594606060846,0.07282740579391753,0.24367285600349606,0.6927929146905414,-0.4694402023106723
SONACOMS,0.014257512612415002,852,-0.002399331022698346,0.0446235280346961,0.08871736729604164,0.16370303823420906,0.11213143975941764
SWIGGY,0.013709146742706733,200,-1.2817295322378187e-05,0.07065450806956453,-0.371152810864838,0.9522725738114883,-0.019232849169971387
SPANDANA,0.013380127220881772,792,-0.0018342839243964506,0.07213787381862531,0.9832713265334497,4.1069666666608065,-0.02907082976827787
AEROFLEX,0.010857644220223733,499,0.0009670429532992103,0.06798551683932544,0.4284806835361578,2.310438725279606,0.2869150276526541
HAL,0.010418951524457116,852,0.006466390316233225,0.07374205397923025,-4.9653310623600895,47.115469142958155,0.3303289326571931
BANDHANBNK,0.00965123930686554,852,-0.003733107840246118,0.04820688557149542,-0.1568820606635796,0.06986634889157006,0.2770291635875784
IREDA,0.009431892958982233,439,0.009601984786493696,0.09578971177615812,1.8715662829269286,7.922494233193168,0.2304945640849365
KELLTONTEC,0.009212546611098923,784,-0.0066341616343833214,0.14346690597344133,-8.445064085393113,92.56915270687513,0.3997655332823945
KOTAKBANK,0.009212546611098923,852,0.0005504266579969277,0.028668940808012657,-0.44774622259721886,2.143576703371173,0.72774154830995
LATENTVIEW,0.00910287343715727,791,-0.00045186040937318173,0.049957684515013624,0.3082947386613702,0.5335154823488977,0.17013045338324123
BHEL,0.008883527089273964,852,0.008361052621870892,0.05943153679371618,0.11312816255791179,0.7621162789398541,0.5951279339458541
IRFC,0.00877385391533231,852,0.0102589685298233,0.06877985578292337,1.7969769531289848,6.203427289834325,0.7687439148357611
ZOMATO,0.008554507567449002,852,0.007942380454109759,0.06587808530803183,-0.2134332162650188,2.131024339847787,-0.3945063488393169
HFCL,0.008444834393507348,852,-0.0005653063819179817,0.06456670904295313,0.27831156815923186,1.130104634013303,0.26988542304270385
IEX,0.007567449001974116,852,-0.002781540300957326,0.05685166377398334,-1.7109296144077344,9.960768485763086,-0.12068199890734839
AXISBANK,0.007457775828032464,852,0.0018867368640487641,0.033705409897006676,0.027568824225005183,1.988983684218328,-0.015128639506413735
IDFCFIRSTB,0.007457775828032464,852,0.0033947649347336644,0.04248640154035896,0.42252761536931566,1.4081118638182946,1.4666134359371321
PREMIERENE,0.007019083132265847,250,0.0018221525289188597,0.07995053463114044,0.5932149891085515,3.3727883522091084,-1.1064856759021262
IRCTC,0.0062513709146742695,852,-0.0006525988097511043,0.0375720651740251,-0.11052581302249623,1.114681598321241,0.33537973949514305
PRINCEPIPE,0.0061416977407326165,852,-0.0040009025980271545,0.05076969711770719,-0.44318517154880555,4.6767965542856125,-0.5443207820268677
VINCOFE,0.006032024566790963,218,0.0019334633686158495,0.061695083664997895,-0.05755496964370688,0.2828052014739755,-0.9314120592522793
WAAREERTL,0.005922351392849309,100,0.005777494128380463,0.07538750905508729,1.3466405104157277,2.539830483474254,0.7100883329816882
VBL,0.005593331871024347,852,-0.003981609211970853,0.10017408867494987,-5.757767708189858,42.55209938595856,-1.4373644854833179
CLEAN,0.005593331871024347,852,-0.003163570187955902,0.04277132876605033,0.050838924955413776,0.6730227745818746,0.3413562115249442
COALINDIA,0.005483658697082693,852,0.0043879554200893095,0.038316885508130887,0.15847193992749942,1.1114536301563613,0.5184596189537412
FEDERALBNK,0.005154639175257731,852,0.003856571791509765,0.03469026641105267,0.06261324221932808,0.3993329026764494,-0.15033807022165127
