,value
2022-03-30,100000.0
2022-03-31,99455.76821812014
2022-04-01,102549.52951637233
2022-04-04,105623.70365235386
2022-04-05,106610.4634975742
2022-04-06,106423.0759006773
2022-04-07,105748.70848557592
2022-04-08,106878.57389812579
2022-04-11,106875.49630181234
2022-04-12,105596.50446000841
2022-04-13,105705.4440853732
2022-04-18,104654.18078181097
2022-04-19,102784.2128964588
2022-04-20,102981.3154589863
2022-04-21,104541.92218266649
2022-04-22,104657.75220904012
2022-04-25,102759.4724120073
2022-04-26,104036.88361900409
2022-04-27,102224.55492896211
2022-04-28,102682.99600352284
2022-04-29,102042.90208199134
2022-05-02,100846.04587904476
2022-05-04,98485.60587600908
2022-05-05,98545.07295698066
2022-05-06,95804.19041567875
2022-05-09,94014.9550593917
2022-05-10,91942.34972475671
2022-05-11,90155.76652880061
2022-05-12,88578.06590940295
2022-05-13,89844.3833724426
2022-05-16,91101.30195572198
2022-05-17,93320.5436738636
2022-05-18,93710.38284267705
2022-05-19,91442.94154539712
2022-05-20,93088.42797009798
2022-05-23,93146.6208956628
2022-05-24,92227.31765644815
2022-05-25,90259.88603470568
2022-05-26,90545.18656654506
2022-05-27,92083.01288708892
2022-05-30,93767.73242399127
2022-05-31,94854.08166890686
2022-06-01,94955.49695717117
2022-06-02,95332.5252018119
2022-06-03,94315.07778532662
2022-06-06,93375.30603246402
2022-06-07,93205.850079945
2022-06-08,92809.3814808712
2022-06-09,92869.78476821967
2022-06-10,91907.73041759423
2022-06-13,89053.49884147887
2022-06-14,89169.51357638152
2022-06-15,89140.36323507359
2022-06-16,86577.15211906839
2022-06-17,85859.99166872748
2022-06-20,83209.97360690586
2022-06-21,85667.44166738992
2022-06-22,84835.60644530384
2022-06-23,85953.16512172991
2022-06-24,86969.37264598867
2022-06-27,87855.39764428609
2022-06-28,87877.00822835963
2022-06-29,86877.81395233984
2022-06-30,86689.77606501529
2022-07-01,86996.8497170069
2022-07-04,87098.57488058199
2022-07-05,87386.12570120876
2022-07-06,88936.35839702038
2022-07-07,89978.25354916236
2022-07-08,90453.01292441956
2022-07-11,91136.6268071991
2022-07-12,90825.44062959324
2022-07-13,90666.35679026968
2022-07-14,90302.85586251535
