date,TATAELXSI,TATAPOWER,UJJIVANSFB,VBL,WHIRLPOOL,ADANIENT,ADANIPORTS,AETHER,AXISBANK,BAJFINANCE,BANDHANBNK,BHEL,CASTROLIND,CDSL,CLEAN,COALINDIA,DATAPATTNS,DMART,FEDERALBNK,HAL,HAPPSTMNDS,HDFCBANK,HFCL,IDFCFIRSTB,IEX,INDIGO,IRCTC,IRFC,KELLTONTEC,KOTAKBANK,LATENTVIEW,MAZDOCK,MCX,MTARTECH,NEWGEN,PPL,PRINCEPIPE,RVNL,SBICARD,SBIN,SONACOMS,SPANDANA,SYNGENE,TATACONSUM
2022-06-03,8433.3,231.05,16.3,1100.45,1635.15,2190.0,739.9,774.4,677.3,6028.2,318.05,50.6,108.2,1196.6,1807.3,197.0,757.95,3820.1,90.15,1897.7,947.75,1380.3,64.5,35.35,182.3,1812.6,665.4,21.4,73.1,1858.65,390.1,285.55,1343.05,1471.75,386.1,177.3,636.05,32.6,773.4,464.5,573.0,376.45,537.75,753.9
2022-06-06,8696.25,232.25,16.2,733.05,1597.3,2225.05,741.25,799.3,672.2,6021.0,326.2,51.0,108.0,1171.3,1764.25,194.85,752.65,3734.75,90.8,1887.85,920.6,1378.45,63.8,35.1,175.25,1819.8,657.9,21.25,72.65,1869.3,381.8,277.55,1332.0,1444.2,375.55,175.2,609.9,32.3,773.85,463.7,578.25,352.35,533.2,763.65
2022-06-07,8618.35,234.75,16.7,743.1,1585.75,2227.55,734.55,791.05,665.85,5878.6,327.85,50.5,106.55,1152.4,1781.2,197.55,746.9,3726.7,91.15,1898.6,918.6,1362.6,64.3,34.7,178.0,1820.65,654.7,21.25,72.25,1858.15,375.15,275.7,1308.95,1449.1,380.45,176.5,614.75,32.25,764.6,463.4,586.85,347.8,531.25,756.6
2022-06-08,8608.95,233.0,16.35,744.75,1581.5,2177.2,728.6,786.15,658.6,5954.3,331.2,50.6,106.3,1135.4,1757.3,197.65,723.35,3739.4,91.1,1842.45,913.1,1367.4,63.75,34.6,175.85,1802.5,647.6,21.25,75.2,1845.5,370.2,270.6,1314.35,1458.6,378.6,177.3,602.25,31.9,784.9,471.3,595.15,361.75,528.7,757.15
2022-06-09,8693.6,233.05,16.3,740.0,1578.15,2219.2,735.5,793.35,661.3,5898.55,333.8,50.7,105.55,1125.25,1742.5,198.75,725.4,3830.35,91.35,1874.1,906.8,1377.7,63.8,34.35,184.8,1793.55,649.5,21.2,77.15,1865.2,369.95,268.45,1315.5,1459.2,374.45,174.3,603.8,31.75,771.0,466.95,594.0,361.75,535.7,754.4
2022-06-10,8602.9,230.25,16.2,754.5,1559.5,2203.1,726.4,786.1,660.7,5667.5,323.6,49.8,105.0,1110.55,1712.1,198.5,721.8,3755.65,91.7,1892.95,893.25,1351.1,63.9,34.05,182.2,1808.9,644.65,21.15,75.1,1791.8,365.15,268.05,1296.4,1426.05,369.8,171.4,606.85,32.0,770.0,461.85,601.55,352.25,535.0,756.6
2022-06-13,8462.0,219.5,15.65,748.05,1532.9,2079.75,695.25,788.9,648.95,5358.25,307.1,47.45,103.0,1090.5,1676.15,191.05,701.75,3661.6,88.7,1854.9,867.95,1326.6,59.95,32.9,177.35,1755.8,626.65,20.8,71.3,1737.35,348.7,253.35,1244.65,1393.55,361.3,168.6,596.8,30.55,740.05,445.85,601.3,335.1,537.2,735.95
2022-06-14,8386.75,220.4,15.35,773.7,1507.9,2196.45,704.7,783.15,650.75,5375.75,314.35,47.55,102.5,1118.0,1659.6,192.2,703.5,3648.3,89.9,1883.85,870.9,1312.0,59.95,32.95,175.7,1742.9,623.2,20.75,70.4,1739.7,345.65,254.0,1262.8,1353.0,363.75,168.0,598.45,30.85,731.6,448.1,597.9,334.6,546.1,735.85
2022-06-15,8159.65,218.95,15.35,786.85,1512.35,2184.6,703.75,795.95,650.5,5484.95,314.0,47.5,103.45,1135.95,1688.0,190.05,702.05,3662.9,89.15,1859.1,875.75,1307.45,61.25,32.7,174.85,1735.5,623.35,20.75,70.6,1736.65,346.8,253.5,1280.35,1343.1,358.85,165.8,600.0,30.65,723.3,451.35,599.6,331.95,557.55,737.75
2022-06-16,7991.9,209.8,15.15,779.15,1480.75,2083.0,681.7,781.1,634.9,5283.9,310.15,45.6,102.1,1107.5,1635.75,179.9,676.55,3682.6,86.9,1797.1,861.35,1281.3,58.6,31.65,168.7,1649.2,600.1,20.2,67.1,1675.8,333.45,245.55,1240.8,1304.35,349.6,163.05,600.05,30.1,707.5,441.6,569.5,307.1,536.05,724.95
