date,ZOMATO,ACI,ADANIENT,ADANIPORTS,AEROFLEX,AETHER,AVALON,AXISBANK,BAJFINANCE,BANDHANBNK,BHEL,CASTROLIND,CDSL,CLEAN,COALINDIA,DATAPATTNS,DCXINDIA,DMART,FEDERALBNK,HAL,HAPPSTMNDS,HDFCBANK,HFCL,IDFCFIRSTB,IEX,INDIGO,INOXINDIA,IRCTC,IREDA,IRFC,JIOFIN,KELLTONTEC,KOTAKBANK,LATENTVIEW,MAZDOCK,MCX,MTARTECH,NEWGEN,PPL,PREMIERENE,PRINCEPIPE,RTNPOWER,RVNL,SBICARD,SBIN,SONACOMS,SPANDANA,SWIGGY,SYNGENE,TATACONSUM,TATAELXSI,TATAPOWER,UJJIVANSFB,VBL,VINCOFE,WAAREERTL,WHIRLPOOL
2022-03-30,85.05,,1995.25,767.4,,,,750.45,7251.85,300.2,50.2,100.0,1452.75,2013.55,182.9,723.5,,3973.4,97.05,1404.6,1075.25,1476.95,73.45,38.85,224.6,1989.35,,789.55,,21.5,,86.5,1763.1,434.25,240.1,1434.35,1766.2,481.75,152.45,,631.7,5.6,32.6,868.9,494.3,677.75,334.2,,599.0,765.85,8996.8,241.7,15.05,960.8,,,1578.05
2022-03-31,82.3,,2014.75,774.2,,,,761.15,7259.95,307.4,49.35,100.95,1480.35,1992.4,183.05,702.9,,4003.35,97.4,1484.9,1056.65,1470.35,78.7,39.7,224.7,2014.15,,774.7,,21.45,,84.05,1753.85,422.75,239.7,1415.45,1753.75,465.65,155.0,,634.25,5.35,32.7,851.7,493.55,679.45,331.9,,597.6,777.4,8840.15,238.65,14.8,941.3,,,1572.85
2022-04-01,84.3,,2043.65,785.75,,,,774.55,7408.1,320.3,53.85,103.3,1496.5,2016.45,186.15,746.5,,4082.2,101.6,1524.3,1084.4,1506.0,81.0,41.7,230.95,1998.6,,798.2,,21.5,,88.25,1776.65,442.55,251.45,1443.45,1752.65,481.9,157.9,,648.2,5.6,33.4,871.45,508.2,656.75,396.75,,597.3,789.8,8912.8,245.45,16.25,938.9,,,1603.65
2022-04-04,86.25,,2065.85,818.55,,,,784.1,7490.65,318.85,54.4,103.5,1512.2,2043.55,187.75,757.25,,4106.65,102.5,1560.95,1110.6,1656.8,82.0,43.65,238.95,2014.55,,832.7,,21.65,,92.65,1836.05,450.3,271.55,1451.5,1784.75,500.1,158.7,,683.45,5.8,33.8,876.15,512.4,663.0,429.3,,614.5,788.1,9009.7,251.95,18.0,952.25,,,1633.3
2022-04-05,83.9,,2139.85,848.05,,,,783.1,7388.45,315.35,56.05,104.25,1521.35,2030.7,187.9,767.9,,4109.7,98.25,1552.75,1136.8,1608.25,82.3,43.4,245.5,1986.4,,822.35,,22.15,,97.25,1802.2,515.7,274.25,1461.55,1780.7,505.6,157.6,,692.95,6.05,34.55,839.0,509.4,677.25,443.45,,614.15,806.65,8878.35,273.6,18.5,954.55,,,1675.45
2022-04-06,84.55,,2160.0,849.85,,,,773.7,7346.95,315.0,56.75,104.6,1502.95,1999.35,193.85,778.6,,4101.9,99.3,1547.8,1127.2,1550.85,83.6,43.45,246.35,1979.25,,791.95,,22.1,,102.1,1779.4,527.25,273.05,1469.85,1773.1,501.6,160.15,,720.1,6.35,34.25,854.1,513.95,667.95,458.05,,609.35,809.25,8893.65,289.8,18.1,973.45,,,1647.3
2022-04-07,82.5,,2099.05,817.4,,,,792.1,7290.2,315.8,56.55,105.55,1462.2,1990.2,190.75,811.65,,4159.7,98.45,1578.2,1145.4,1516.75,79.9,42.45,238.75,1980.4,,787.75,,22.3,,97.1,1766.45,503.25,275.65,1460.8,1793.4,497.45,159.7,,700.05,6.15,34.1,856.85,514.95,649.5,447.8,,610.15,804.9,8747.8,277.8,18.2,960.2,,,1659.0
2022-04-08,83.4,,2170.95,839.3,,,,794.9,7366.6,323.8,56.55,105.7,1460.05,1990.4,194.55,821.2,,4146.25,100.2,1620.2,1142.85,1514.65,81.0,41.9,241.05,2000.15,,790.35,,22.5,,97.5,1784.5,506.7,294.15,1467.85,1783.2,511.65,172.75,,711.3,6.2,34.6,854.35,516.1,654.95,438.25,,648.35,817.7,8685.2,278.1,17.95,962.25,,,1661.6
2022-04-11,84.45,,2180.2,854.55,,,,786.05,7336.65,322.85,56.6,106.55,1449.0,1975.65,196.4,871.85,,4171.6,100.05,1679.4,1124.0,1496.15,81.45,42.4,235.9,1991.55,,801.4,,22.5,,94.55,1783.45,512.15,302.0,1440.25,1771.0,503.5,183.6,,711.05,6.0,34.7,852.35,514.9,647.85,436.7,,663.6,821.5,8711.15,282.9,17.75,953.05,,,1698.2
2022-04-12,81.5,,2196.95,844.9,,,,798.45,7274.5,333.45,55.25,104.75,1427.05,1944.85,186.0,877.85,,4088.7,98.45,1670.95,1096.35,1493.5,79.05,41.6,234.7,1932.85,,783.6,,22.25,,92.7,1801.85,490.85,328.8,1412.25,1736.65,490.35,181.8,,705.7,5.9,34.7,844.95,512.85,630.6,428.5,,646.3,812.1,8409.25,275.15,17.5,983.9,,,1689.25
2022-04-13,83.9,,2199.45,840.5,,,,793.05,7328.45,326.15,54.7,105.5,1435.65,1953.35,186.6,878.8,,4090.9,98.95,1677.65,1089.85,1464.95,80.65,41.35,235.45,1899.2,,780.3,,22.25,,94.8,1779.6,496.0,315.3,1402.2,1750.85,494.05,184.3,,698.55,6.1,34.85,833.55,517.7,620.9,421.0,,637.65,817.6,8383.8,273.1,17.9,1011.05,,,1661.3
2022-04-18,82.9,,2233.85,842.7,,,,798.85,7261.45,322.5,54.4,104.55,1429.35,1932.0,189.45,915.0,,4056.0,96.95,1737.95,1058.0,1395.45,78.6,40.8,231.0,1884.9,,767.2,,22.0,,91.1,1750.4,479.0,331.3,1381.0,1719.35,481.75,182.05,,687.05,5.85,34.35,811.0,509.5,622.55,441.3,,639.4,822.3,7815.95,257.9,17.55,1058.8,,,1624.35
2022-04-19,80.45,,2168.3,819.3,,,,797.8,7259.55,323.6,53.55,104.8,1404.2,1905.55,197.75,881.35,,4008.9,96.3,1690.65,1005.7,1342.2,76.65,40.05,228.25,1869.55,,752.75,,22.0,,91.05,1707.5,460.55,313.15,1338.3,1684.25,472.05,175.05,,674.3,5.8,34.65,794.45,511.8,633.3,428.45,,614.5,791.35,7693.15,246.45,17.6,1046.75,,,1595.9
2022-04-20,80.3,,2183.95,827.65,,,,794.7,7032.5,323.05,53.85,104.9,1418.45,1900.75,199.1,865.55,,4054.8,96.1,1672.4,1015.6,1354.3,77.7,40.1,232.05,1896.35,,747.6,,22.0,,89.0,1721.3,468.05,314.3,1343.25,1680.75,468.85,183.9,,681.3,5.85,35.4,794.55,509.3,661.55,427.7,,627.45,810.45,7807.7,249.65,17.35,1070.2,,,1621.7
2022-04-21,80.8,,2286.35,850.5,,,,801.8,7138.1,336.4,54.7,107.05,1447.2,1910.2,206.9,877.15,,4030.25,96.6,1676.9,1027.95,1374.35,77.3,40.85,234.2,1938.45,,759.65,,22.05,,90.2,1760.85,466.8,327.5,1387.0,1732.5,469.3,179.2,,699.35,5.8,35.95,795.75,516.3,664.7,439.9,,630.05,820.05,7903.85,258.85,17.45,1055.95,,,1634.1
2022-04-22,81.2,,2273.3,874.15,,,,780.6,7110.75,330.25,53.95,108.5,1429.05,1983.05,202.15,856.4,,4028.85,95.75,1678.55,1023.7,1355.6,77.25,40.05,230.2,1916.1,,755.2,,22.4,,88.9,1727.75,462.45,327.45,1384.15,1713.4,480.25,179.9,,688.0,5.75,35.8,815.4,500.6,671.25,453.75,,625.9,815.6,8358.0,253.1,17.45,1039.9,,,1641.3
2022-04-25,78.75,,2284.2,859.55,,,,780.7,7005.5,332.75,51.7,106.45,1395.65,1953.95,188.45,847.5,,3989.2,95.4,1627.15,1007.95,1365.75,75.15,39.3,218.5,1864.9,,745.6,,22.3,,86.4,1728.85,455.9,319.0,1359.35,1681.2,470.3,176.35,,673.65,5.6,34.8,804.6,494.75,666.75,445.7,,633.35,792.75,8009.4,247.35,17.2,1094.8,,,1625.15
2022-04-26,79.6,,2395.3,909.5,,,,775.0,7240.55,339.95,52.95,106.4,1407.2,1926.2,191.4,817.8,,4044.25,97.5,1645.9,1010.4,1372.05,77.15,40.15,226.1,1870.2,,761.05,,22.3,,90.7,1742.7,449.75,315.2,1367.2,1718.25,484.65,194.75,,668.2,5.55,34.75,818.65,505.5,674.6,451.05,,627.5,822.05,7842.35,248.85,17.25,1070.7,,,1619.5
2022-04-27,75.85,,2334.1,887.3,,,,765.9,6714.1,333.65,52.6,105.4,1393.0,1905.0,187.5,817.8,,3977.7,97.05,1641.85,1001.5,1372.55,77.9,39.7,218.8,1791.3,,748.5,,22.35,,88.1,1741.5,440.9,309.9,1349.9,1692.1,476.25,198.85,,657.15,5.35,34.1,827.05,497.25,656.95,461.7,,617.45,798.6,7980.85,247.35,17.1,1036.45,,,1616.65
2022-04-28,73.85,,2378.55,887.1,,,,779.8,6727.65,336.35,53.8,107.1,1399.25,1897.2,190.25,838.1,,4024.55,97.65,1632.35,1011.7,1371.35,75.65,39.7,214.55,1858.6,,757.4,,22.4,,88.1,1765.65,452.8,310.05,1385.85,1704.7,470.35,197.2,,668.75,5.15,33.95,841.7,507.5,652.25,463.55,,624.55,811.65,7843.5,248.25,17.05,1059.6,,,1617.6
2022-04-29,71.75,,2332.0,856.4,,,,728.6,6671.8,334.4,52.65,108.1,1379.5,1945.4,182.85,797.9,,3944.25,96.0,1595.1,999.9,1384.6,74.2,39.5,214.55,1858.1,,745.95,,22.3,,85.4,1790.75,442.2,300.2,1430.2,1680.5,467.9,188.25,,664.45,5.4,33.65,830.85,496.3,635.55,463.2,,626.95,823.75,7746.0,242.35,17.45,1083.55,,,1623.55
2022-05-02,69.5,,2339.5,856.55,,,,727.35,6626.15,336.5,52.4,108.5,1294.85,1900.6,187.65,778.0,,3983.35,94.55,1575.2,986.6,1403.7,67.75,38.85,210.4,1866.85,,737.5,,22.25,,84.3,1774.35,434.5,293.4,1430.6,1651.2,458.05,184.95,,691.4,5.15,33.55,820.15,491.0,633.85,459.2,,620.15,824.4,7672.25,248.5,17.05,1104.85,,,1646.1
