DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,2320,2325,2297,2310.9,2313.8,2311.6,2312.02,3211,2025,369431,854130058.5,25802,ADANIENT
2025-09-08,EQ,2290,2333.9,2286,2281.4,2319,2310.9,2317.98,3211,2025,542811,1258225214.3,33564,ADANIENT
2025-09-05,EQ,2275,2293.5,2248,2278.8,2282.5,2281.4,2273.81,3211,2025,443010,1007321887.5,28096,ADANIENT
2025-09-04,EQ,2309.9,2317.3,2275,2288.7,2280,2278.8,2291.33,3211,2025,392697,899799540,29912,ADANIENT
2025-09-03,EQ,2285,2293,2263.1,2274.2,2292,2288.7,2279.5,3211,2025,443629,1011251185.3,28773,ADANIENT
2025-09-02,EQ,2291,2302,2264,2284.2,2278,2274.2,2283.41,3211,2025,481894,1100361913.1,37899,ADANIENT
2025-09-01,EQ,2259,2288,2252.1,2244.7,2286.6,2284.2,2274.83,3211,2025,425639,968257145.6,29502,ADANIENT
2025-08-29,EQ,2283,2289.7,2240,2275.2,2247.9,2244.7,2257.72,3211,2025,795699,1796467753.5,50217,ADANIENT
2025-08-28,EQ,2271.9,2327.9,2255,2272,2282.1,2275.2,2295.19,3211,2025,907868,2083729401.3,55327,ADANIENT
2025-08-26,EQ,2304,2309.3,2249.4,2302.9,2286,2272,2271.65,3211,2025,1071550,2434185935.9,49449,ADANIENT
2025-08-25,EQ,2335.7,2348.4,2300,2324.9,2302.8,2302.9,2317.89,3211,2025,542455,1257353106.1,28277,ADANIENT
2025-08-22,EQ,2369.9,2376.3,2321,2377.2,2323,2324.9,2338.18,3211,2025,584211,1365992606,34341,ADANIENT
2025-08-21,EQ,2387.1,2397,2371.4,2387.1,2373,2377.2,2384.83,3211,2025,441867,1053778241,24817,ADANIENT
2025-08-20,EQ,2380,2406,2372.1,2388.4,2391,2387.1,2389.93,3211,2025,780025,1864208978.3,34030,ADANIENT
2025-08-19,EQ,2339.9,2395.6,2314.1,2333.6,2380.7,2388.4,2368.18,3211,2025,1069432,2532611818.7,58469,ADANIENT
2025-08-18,EQ,2309.6,2360,2300,2281.6,2325.5,2333.6,2339.34,3211,2025,988629,2312743728,45655,ADANIENT
2025-08-14,EQ,2288,2304,2267.7,2280.1,2280.1,2281.6,2285.6,3211,2025,998109,2281282532.5,39420,ADANIENT
2025-08-13,EQ,2299,2314.9,2245.4,2288.2,2287,2280.1,2278.92,3211,2025,833679,1899884902.7,42397,ADANIENT
2025-08-12,EQ,2280.1,2314.7,2267,2283.4,2294.5,2288.2,2290.14,3211,2025,1075526,2463107533.5,61725,ADANIENT
2025-08-11,EQ,2196,2302,2183,2178.1,2270.2,2283.4,2257.64,3211,2025,2376286,5364800460.4,118272,ADANIENT
2025-08-08,EQ,2247,2260.9,2164.8,2249.8,2179,2178.1,2185.27,3242.65,2025,2552736,5578404691.3,101023,ADANIENT
2025-08-07,EQ,2290,2295,2202.8,2300.3,2245.9,2249.8,2244.12,3242.65,2025,1529410,3432183084.7,72389,ADANIENT
2025-08-06,EQ,2333.9,2347.9,2296,2328.2,2300,2300.3,2311.6,3242.65,2025,631582,1459965783.8,35196,ADANIENT
2025-08-05,EQ,2370,2370,2316,2363.6,2333,2328.2,2333.43,3242.65,2025,576742,1345785609.3,36761,ADANIENT
2025-08-04,EQ,2360,2374.7,2338.2,2350.9,2364.7,2363.6,2358.52,3242.65,2025,576426,1359514762.4,35680,ADANIENT
2025-08-01,EQ,2425,2444.9,2333,2430.7,2341.5,2350.9,2387.3,3258,2025,976341,2330821711.4,50438,ADANIENT
2025-07-31,EQ,2509.9,2520,2422.6,2532.9,2430,2430.7,2466.47,3258,2025,1457616,3595167944,74728,ADANIENT
2025-07-30,EQ,2547.9,2552.6,2525,2547.9,2527,2532.9,2541.06,3258,2025,262063,665916830.1,22733,ADANIENT
2025-07-29,EQ,2529,2557.4,2507.5,2522.3,2545.5,2547.9,2534.72,3258,2025,424781,1076700049.2,32528,ADANIENT
2025-07-28,EQ,2549,2585,2512.6,2550.1,2528,2522.3,2545.55,3258,2025,428409,1090536114.1,33834,ADANIENT
2025-07-25,EQ,2605,2617,2544.1,2608.4,2549.5,2550.1,2568.46,3258,2025,424612,1090598540.7,30247,ADANIENT
2025-07-24,EQ,2615.4,2624.2,2595,2614.5,2608,2608.4,2607.65,3258,2025,253782,661775799,22026,ADANIENT
2025-07-23,EQ,2600.7,2625.9,2593.5,2587.8,2615.5,2614.5,2612.73,3258,2025,316424,826731600.8,24447,ADANIENT
2025-07-22,EQ,2626,2630,2581.6,2619.5,2593.9,2587.8,2599.99,3258,2025,387055,1006340863.6,25897,ADANIENT
2025-07-21,EQ,2596.3,2624.9,2585,2596.1,2615.7,2619.5,2612.22,3258,2025,369782,965953134.9,28077,ADANIENT
2025-07-18,EQ,2612,2626.7,2584.2,2616.6,2594.2,2596.1,2599.8,3258,2025,479942,1247752864.9,32389,ADANIENT
2025-07-17,EQ,2612,2654.5,2605.3,2608.5,2614.9,2616.6,2628.55,3258,2025,785771,2065438554.4,43962,ADANIENT
2025-07-16,EQ,2602.5,2619.5,2595.5,2598.2,2608.2,2608.5,2610.55,3258,2025,686644,1792515079.7,37057,ADANIENT
2025-07-15,EQ,2588,2606.9,2576,2581.3,2603.1,2598.2,2593.15,3258,2025,379425,983907052.2,24377,ADANIENT
2025-07-14,EQ,2555,2604.8,2543.5,2558.7,2578,2581.3,2576.63,3258,2025,536585,1382579729.9,34764,ADANIENT
2025-07-11,EQ,2575,2591.9,2551.9,2581,2562.9,2558.7,2567.75,3258,2025,390645,1003079094.4,26150,ADANIENT
2025-07-10,EQ,2591,2604,2575,2583,2581,2581,2586,3258,2025,306565,792777105.9,24631,ADANIENT
2025-07-09,EQ,2599,2609.9,2570,2591.3,2582.3,2583,2588.47,3258,2025,396880,1027313944.8,25511,ADANIENT
2025-07-08,EQ,2586,2600,2573,2576.1,2588,2591.3,2585.46,3258,2025,357701,924820759.7,24369,ADANIENT
2025-07-07,EQ,2602,2605.4,2572,2599.1,2587.6,2576.1,2582.98,3258,2025,412159,1064598371,30384,ADANIENT
2025-07-04,EQ,2617,2617,2582.2,2611.2,2599,2599.1,2599.15,3258,2025,370305,962478336.9,25138,ADANIENT
2025-07-03,EQ,2634,2644,2605.1,2630.2,2608,2611.2,2618.1,3258,2025,502724,1316181025.7,29883,ADANIENT
2025-07-02,EQ,2634,2646,2613.6,2621.8,2629,2630.2,2630.67,3258,2025,621409,1634720496.7,34383,ADANIENT
2025-07-01,EQ,2624.9,2645,2603,2619.4,2626,2621.8,2625.01,3258,2025,729197,1914151988.6,37539,ADANIENT
2025-06-30,EQ,2650,2653.9,2605.9,2646.3,2624.8,2619.4,2623.16,3258,2025,694815,1822613877.4,51699,ADANIENT
2025-06-27,EQ,2587.7,2681.6,2582,2586.2,2644.8,2646.3,2642.47,3258,2025,4049316,10700180116.5,121691,ADANIENT
2025-06-26,EQ,2535,2593.6,2522.2,2527.2,2580,2586.2,2559.96,3258,2025,1339627,3429392562.9,57666,ADANIENT
2025-06-25,EQ,2519.9,2541.6,2512.1,2505.6,2530,2527.2,2527.87,3258,2025,921346,2329038620,34059,ADANIENT
2025-06-24,EQ,2504,2544.6,2500.2,2472,2505,2505.6,2523.06,3258,2025,996405,2513987078.1,53316,ADANIENT
2025-06-23,EQ,2438,2492.6,2421,2448.4,2466,2472,2467.7,3258,2025,790535,1950802535.1,34421,ADANIENT
2025-06-20,EQ,2428,2461.3,2415,2420.6,2449.6,2448.4,2447.49,3345,2025,3002549,7348711678.3,67242,ADANIENT
2025-06-19,EQ,2466.3,2468.9,2405.1,2459.1,2414,2420.6,2431.18,3345,2025,688209,1673159035.3,46707,ADANIENT
2025-06-18,EQ,2491.9,2495.9,2445.4,2488.5,2456.9,2459.1,2467.9,3345,2025,667044,1646195888.9,40514,ADANIENT
