DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,1354.7,1385,1348.3,1348.3,1382.5,1380.9,1373.22,1494,995.65,3515252,4827197531.3,82527,ADANIPORTS
2025-09-08,EQ,1321.9,1363.4,1321.9,1321.8,1351,1348.3,1351.12,1494,995.65,1445628,1953213621.3,51284,ADANIPORTS
2025-09-05,EQ,1330,1335.7,1312.8,1328.2,1321.1,1321.8,1323.6,1499.5,995.65,1135666,1503171150.1,33571,ADANIPORTS
2025-09-04,EQ,1338,1348,1326,1332.4,1330.1,1328.2,1334.58,1499.5,995.65,1350147,1801875757.9,62736,ADANIPORTS
2025-09-03,EQ,1338,1344.8,1327.6,1336.2,1334,1332.4,1334.58,1499.5,995.65,1774676,2368455893.5,64036,ADANIPORTS
2025-09-02,EQ,1340.9,1348.8,1328.2,1335.3,1337,1336.2,1338.5,1499.5,995.65,1495993,2002391210.5,58052,ADANIPORTS
2025-09-01,EQ,1318.3,1338.5,1316.1,1312.8,1334,1335.3,1331.79,1499.5,995.65,983914,1310363730.8,43998,ADANIPORTS
2025-08-29,EQ,1318,1322.9,1303,1315.4,1313,1312.8,1313.68,1499.5,995.65,1592903,2092559583.6,71354,ADANIPORTS
2025-08-28,EQ,1316.9,1338.8,1311.2,1315.4,1317.5,1315.4,1323.36,1499.5,995.65,1785681,2363094221.7,88036,ADANIPORTS
2025-08-26,EQ,1335.2,1339.9,1310,1340.4,1313.4,1315.4,1321.81,1499.5,995.65,1652272,2183986722.6,65695,ADANIPORTS
2025-08-25,EQ,1341.3,1348.9,1332.5,1341.2,1344.6,1340.4,1339.03,1499.5,995.65,1214246,1625908531.7,46434,ADANIPORTS
2025-08-22,EQ,1364,1364,1338.2,1361.8,1340.9,1341.2,1346.88,1517,995.65,1210284,1630112608.4,50793,ADANIPORTS
2025-08-21,EQ,1371.1,1377.8,1355.3,1370.6,1360,1361.8,1366.94,1517,995.65,1227167,1677462659.6,63316,ADANIPORTS
2025-08-20,EQ,1369.4,1374.6,1358,1369.4,1372,1370.6,1368.3,1517,995.65,1594619,2181919007.3,52389,ADANIPORTS
2025-08-19,EQ,1332,1371.7,1325,1327.2,1370,1369.4,1353.05,1517,995.65,3150673,4263019529.5,100126,ADANIPORTS
2025-08-18,EQ,1321.9,1332,1295,1300.3,1330,1327.2,1305.42,1517,995.65,10225114,13348073921.5,77407,ADANIPORTS
2025-08-14,EQ,1324.8,1329,1290.5,1319.6,1301.4,1300.3,1301.48,1524.25,995.65,2298528,2991477617.6,67064,ADANIPORTS
2025-08-13,EQ,1335.2,1339.3,1316.6,1330.5,1320.9,1319.6,1325.79,1524.25,995.65,1205658,1598447594.2,48099,ADANIPORTS
2025-08-12,EQ,1342,1349.6,1328.2,1339.4,1328.2,1330.5,1338.4,1524.25,995.65,1260241,1686712127.3,53736,ADANIPORTS
2025-08-11,EQ,1325,1348.3,1313.7,1325,1342.8,1339.4,1331.27,1524.25,995.65,2053173,2733329998,90873,ADANIPORTS
2025-08-08,EQ,1345.4,1356.9,1317.7,1345.4,1325,1325,1329.36,1563.45,995.65,1561061,2075207059.8,75429,ADANIPORTS
2025-08-07,EQ,1351,1357.9,1315,1367.1,1347.5,1345.4,1334.1,1563.45,995.65,2857406,3812056221.4,100351,ADANIPORTS
2025-08-06,EQ,1374,1386.9,1358.1,1358.1,1366.9,1367.1,1370.55,1563.45,995.65,2293293,3143065960,81834,ADANIPORTS
2025-08-05,EQ,1392,1394.2,1346,1388.9,1361.9,1358.1,1371.87,1563.45,995.65,3000067,4115698798.1,107444,ADANIPORTS
2025-08-04,EQ,1349.8,1397,1345.2,1347.1,1395,1388.9,1374.61,1563.45,995.65,1368323,1880914721.7,60888,ADANIPORTS
2025-08-01,EQ,1371,1375.9,1342.8,1373.1,1349.8,1347.1,1357.17,1604.95,995.65,1239941,1682813447.5,56673,ADANIPORTS
2025-07-31,EQ,1382.1,1395.8,1370.3,1394,1374,1373.1,1382.79,1604.95,995.65,1412892,1953727761.9,62373,ADANIPORTS
2025-07-30,EQ,1398.8,1403.1,1391.5,1395.9,1395,1394,1396.13,1604.95,995.65,627316,875815742.4,38931,ADANIPORTS
2025-07-29,EQ,1376,1398.7,1373.6,1376,1397,1395.9,1386.45,1604.95,995.65,782760,1085254470.4,38592,ADANIPORTS
2025-07-28,EQ,1396.3,1404.1,1373.5,1396.3,1376.9,1376,1387.45,1604.95,995.65,790020,1096110108.5,53484,ADANIPORTS
2025-07-25,EQ,1411.7,1416.7,1390,1411.6,1390,1396.3,1401.29,1604.95,995.65,744410,1043135404.8,41408,ADANIPORTS
2025-07-24,EQ,1423.2,1426,1405,1420.8,1412.9,1411.6,1412.06,1604.95,995.65,598011,844428994.6,36718,ADANIPORTS
2025-07-23,EQ,1430,1438.5,1419,1420.7,1423.3,1420.8,1423.79,1604.95,995.65,740816,1054763269.1,38118,ADANIPORTS
2025-07-22,EQ,1454.5,1454.5,1417.1,1450.5,1424.8,1420.7,1431.37,1604.95,995.65,976668,1397976254.6,45069,ADANIPORTS
2025-07-21,EQ,1442.1,1453.1,1430,1443.1,1449,1450.5,1442.69,1604.95,995.65,815780,1176918990.6,35557,ADANIPORTS
2025-07-18,EQ,1452.4,1456.5,1429.1,1452.5,1442.1,1443.1,1440.74,1604.95,995.65,1147990,1653953552.7,46483,ADANIPORTS
2025-07-17,EQ,1455,1464,1448.9,1456.7,1450.4,1452.5,1454.99,1604.95,995.65,1168071,1699528162.2,50122,ADANIPORTS
2025-07-16,EQ,1447.5,1474,1442.9,1445.1,1458,1456.7,1461.88,1604.95,995.65,2488981,3638590191,79881,ADANIPORTS
2025-07-15,EQ,1434.4,1449.3,1429,1433,1447,1445.1,1441.02,1604.95,995.65,735108,1059305471.2,44710,ADANIPORTS
2025-07-14,EQ,1432,1446.5,1426.1,1431.7,1433,1433,1434.71,1604.95,995.65,718442,1030754237.9,34508,ADANIPORTS
2025-07-11,EQ,1444,1453.9,1428.3,1443.1,1428.3,1431.7,1437.07,1604.95,995.65,819864,1178199331.1,36885,ADANIPORTS
2025-07-10,EQ,1444,1450.2,1437.2,1443,1442.6,1443.1,1442.83,1604.95,995.65,1035509,1494068081.9,40919,ADANIPORTS
2025-07-09,EQ,1448.4,1455.8,1438.3,1448.5,1444,1443,1447.37,1604.95,995.65,1008636,1459869481.1,38883,ADANIPORTS
2025-07-08,EQ,1438,1449.9,1430,1435.6,1448.3,1448.5,1440.39,1604.95,995.65,824935,1188229565.5,33169,ADANIPORTS
2025-07-07,EQ,1424.4,1437.8,1417,1424.4,1435.6,1435.6,1428.69,1604.95,995.65,764520,1092262439.9,43749,ADANIPORTS
2025-07-04,EQ,1432,1439.9,1416.6,1431.1,1425.5,1424.4,1427.33,1604.95,995.65,608462,868474866.8,28002,ADANIPORTS
2025-07-03,EQ,1444,1451.1,1426.7,1443.9,1429,1431.1,1436.85,1604.95,995.65,978007,1405250740.5,39586,ADANIPORTS
2025-07-02,EQ,1458,1458,1440,1447,1442,1443.9,1446.92,1604.95,995.65,1219600,1764666624.5,53004,ADANIPORTS
2025-07-01,EQ,1450.3,1459.8,1442,1450.2,1443.5,1447,1448.9,1604.95,995.65,2134736,3093011727.3,64757,ADANIPORTS
2025-06-30,EQ,1440.8,1453.5,1432.7,1440.2,1444.1,1450.2,1445.74,1604.95,995.65,1586196,2293228455.9,68918,ADANIPORTS
2025-06-27,EQ,1434.9,1456.8,1427,1429.3,1440,1440.2,1444.84,1604.95,995.65,2888390,4173269176.5,107236,ADANIPORTS
2025-06-26,EQ,1399,1433,1395.2,1393.1,1425.5,1429.3,1421.02,1604.95,995.65,2877806,4089413291.6,87040,ADANIPORTS
