DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,944,949.4,940,944.3,947.5,948.4,946.45,9788,849,5417393,5127311860.4,130035,BAJFINANCE
2025-09-08,EQ,937.6,949.65,935.65,937.6,946,944.3,942.97,9788,849,5657331,5334697442.6,172661,BAJFINANCE
2025-09-05,EQ,942,942.35,932,934.75,936.95,937.6,936.79,9788,849,5467260,5121657436.25,111188,BAJFINANCE
2025-09-04,EQ,915,948,912.25,896.3,933.05,934.75,937.37,9788,849,21738706,20377254605.35,284729,BAJFINANCE
2025-09-03,EQ,892.7,898.85,880.05,890.1,896.8,896.3,893.01,9788,849,5493809,4906044779.55,104136,BAJFINANCE
2025-09-02,EQ,895,899.55,886.15,889.35,890,890.1,893.33,9788,849,6103185,5452175952.45,160813,BAJFINANCE
2025-09-01,EQ,877.85,894.8,877.85,877.85,890,889.35,888.65,9788,849,4101526,3644817964.5,127217,BAJFINANCE
2025-08-29,EQ,870.85,888,870.85,876.85,879,877.85,879.63,9788,849,5672446,4989647554.75,113464,BAJFINANCE
2025-08-28,EQ,870.2,884.5,869.7,876.25,878.1,876.85,878.71,9788,849,8349342,7336655386.8,163523,BAJFINANCE
2025-08-26,EQ,899.95,901.9,873.5,900.8,876,876.25,882.44,9788,849,6712926,5923736385.05,159230,BAJFINANCE
2025-08-25,EQ,902.1,908,898.15,894.5,901.3,900.8,901.77,9788,849,5837876,5264440696.4,105208,BAJFINANCE
2025-08-22,EQ,895,903.9,892,895.6,896.1,894.5,896.67,9788,849,6424895,5761000787.1,104898,BAJFINANCE
2025-08-21,EQ,888,901.3,884,887.8,895.3,895.6,894.73,9788,849,6697533,5992466162.75,142800,BAJFINANCE
2025-08-20,EQ,900.55,902,886.05,902.3,887.7,887.8,888.95,9788,849,5561646,4944006386.3,130954,BAJFINANCE
2025-08-19,EQ,905.95,909.9,890.5,905.2,902,902.3,897.77,9788,849,5764382,5175100521.85,155937,BAJFINANCE
2025-08-18,EQ,875,919.65,875,861.45,905.05,905.2,908.22,9788,849,16277779,14783835815.4,221796,BAJFINANCE
2025-08-14,EQ,860,866.9,855.45,860,862,861.45,860.32,9788,849,5379250,4627878608.5,140455,BAJFINANCE
2025-08-13,EQ,854.55,864,849,853,862.8,860,855.7,9788,849,10117225,8657353497.9,158985,BAJFINANCE
2025-08-12,EQ,877.2,884.9,851.5,877.8,853,853,861.84,9788,851.5,8257312,7116496403.6,172469,BAJFINANCE
2025-08-11,EQ,877.15,888.3,872.75,877.15,876.45,877.8,877.07,9788,867.25,5367926,4708046915.65,121396,BAJFINANCE
2025-08-08,EQ,877,888.3,876,879.1,878,877.15,880.43,9788,867.25,3736916,3290093803.8,100490,BAJFINANCE
2025-08-07,EQ,871,882,867.25,876.65,881.9,879.1,873.9,9788,867.25,5998002,5241665477.65,131629,BAJFINANCE
2025-08-06,EQ,888,895.5,874.6,891.9,876.95,876.65,881.03,9788,868,4212648,3711485491.9,105207,BAJFINANCE
2025-08-05,EQ,889,893.6,882.4,885.3,892.3,891.9,888.57,9788,868,4446791,3951269886.1,103982,BAJFINANCE
2025-08-04,EQ,874,886.75,873.7,875.6,885.8,885.3,882.53,9788,868,3969985,3503618167.35,98005,BAJFINANCE
2025-08-01,EQ,884.8,895.85,873,881.2,877,875.6,883.38,9788,868,5300299,4682166230.3,143881,BAJFINANCE
2025-07-31,EQ,872,887.85,868,884.85,880,881.2,880.19,9788,868,6999179,6160581276,190429,BAJFINANCE
2025-07-30,EQ,890.95,892.6,875,886.55,884,884.85,883.35,9788,873.5,5054496,4464896495.35,125992,BAJFINANCE
2025-07-29,EQ,875.05,894,873.5,880.5,887,886.55,883.99,9788,873.5,11323854,10010120809.55,222148,BAJFINANCE
2025-07-28,EQ,909.25,913.75,879,913.75,881,880.5,893.72,9788,879,14011284,12522150292.5,226120,BAJFINANCE
2025-07-25,EQ,906.4,924.9,898,958.95,912.85,913.75,911.91,9788,886,24415481,22264784976,408925,BAJFINANCE
2025-07-24,EQ,970,970,954,968.3,956.5,958.95,959.86,9788,886,5189112,4980803290.35,110464,BAJFINANCE
2025-07-23,EQ,954,970.95,953.65,952.55,968,968.3,965.48,9788,886,9694991,9360294154.3,203940,BAJFINANCE
2025-07-22,EQ,955,962,940,948.45,954,952.55,950.64,9788,886,6237382,5929492533.55,148038,BAJFINANCE
2025-07-21,EQ,938.9,951,937.35,942,948,948.45,946.55,9788,886,4660232,4411155684.9,106985,BAJFINANCE
2025-07-18,EQ,920.5,944.9,920,923.3,941.5,942,933.5,9788,886,7893820,7368894025.05,119468,BAJFINANCE
2025-07-17,EQ,925.95,926.25,916,921.75,920.5,923.3,921.22,9788,886,4583882,4222779247.85,103691,BAJFINANCE
2025-07-16,EQ,924,927,919.4,928.4,921.9,921.75,923.09,9788,886,3952491,3648486826.9,85125,BAJFINANCE
2025-07-15,EQ,919,930.6,918,918.85,929,928.4,923.62,9788,886,3892075,3594802509.65,104204,BAJFINANCE
2025-07-14,EQ,932,932,911.3,933.5,920,918.85,918.6,9788,886,6657978,6115999935.5,153338,BAJFINANCE
2025-07-11,EQ,938.7,947.15,931.55,947.65,933,933.5,936.79,9788,886,4278038,4007604996.25,111599,BAJFINANCE
2025-07-10,EQ,943,951.7,942.25,940.6,946.85,947.65,946.75,9788,886,5409906,5121843946.35,104507,BAJFINANCE
2025-07-09,EQ,926.5,946,924,927.65,941,940.6,938.41,9788,886,5341529,5012523523.3,114990,BAJFINANCE
2025-07-08,EQ,918.8,929.5,918.8,924.65,928.3,927.65,926,9788,886,3851432,3566440765.75,100320,BAJFINANCE
2025-07-07,EQ,925,929.3,918.1,925.3,923.65,924.65,923.84,9788,886,3383973,3126266090.15,115649,BAJFINANCE
2025-07-04,EQ,922,940.7,919,910.15,926,925.3,930.12,9788,886,10613046,9871436314.7,261905,BAJFINANCE
2025-07-03,EQ,922,924.5,905.2,923,912.5,910.15,911.78,9788,886,7606558,6935520730.6,194868,BAJFINANCE
2025-07-02,EQ,933,939.85,914,936.65,922.7,923,923.98,9788,886,9394493,8680319986.85,152535,BAJFINANCE
2025-07-01,EQ,932.5,941.8,928,936.5,937.9,936.65,934.83,9788,886,5381327,5030611131.55,129199,BAJFINANCE
2025-06-30,EQ,956,956,934,947,937,936.5,940.58,9788,886,6086081,5724463885.5,107672,BAJFINANCE
2025-06-27,EQ,950,959.5,936,951.5,944,947,944.71,9788,886,21637194,20440851086,223354,BAJFINANCE
2025-06-26,EQ,930,953.5,928.5,928,950,951.5,947.22,9788,886,11677790,11061425723,218358,BAJFINANCE
2025-06-25,EQ,918,930,916,916.5,926,928,924.07,9788,886,6623799,6120871749,107014,BAJFINANCE
2025-06-24,EQ,920,936,914.5,915.5,919,916.5,924.44,9788,886,11555634,10682501724,195280,BAJFINANCE
2025-06-23,EQ,899,918,890.5,905,913,915.5,907.46,9788,886,5870597,5327352128,120463,BAJFINANCE
2025-06-20,EQ,897,907.5,886,900.5,902,905,899.65,9788,886,14320241,12883145719,181066,BAJFINANCE
2025-06-19,EQ,919,922.5,894,919,898,900.5,905.42,9788,894,6585940,5963059285.5,144496,BAJFINANCE
2025-06-18,EQ,927,932.5,915,923,918,919,923.12,9788,915,5002923,4618313726.5,92906,BAJFINANCE
2025-06-17,EQ,941.5,943.5,917.5,938,924,923,924.63,9788,917.5,6110175,5649659426.5,129305,BAJFINANCE
2025-06-16,EQ,956,956,925,9331,938.5,938,937.27,9788,925,7016290,6576133322,183091,BAJFINANCE
2025-06-13,EQ,9150,9365.5,9147,9368.5,9340,9331,9284.63,9788,6425,1018202,9453625332.5,112221,BAJFINANCE
2025-06-12,EQ,9449,9533,9355,9425,9369,9368.5,9433.45,9788,6425,1238833,11686471246,111795,BAJFINANCE
2025-06-11,EQ,9490,9570,9404,9497.5,9426,9425,9462.85,9788,6425,1186081,11223706454.5,126406,BAJFINANCE
2025-06-10,EQ,9700,9700,9485.5,9607.5,9490,9497.5,9559.22,9788,6425,904404,8645397528,89278,BAJFINANCE
2025-06-09,EQ,9550,9788,9403,9371.5,9624,9607.5,9625.56,9788,6425,2349601,22616217121.5,207488,BAJFINANCE
2025-06-06,EQ,8945,9434,8876,8934,9372,9371.5,9270.25,9660,6375.7,1978386,18340124005.5,193858,BAJFINANCE
2025-06-05,EQ,8987,8987,8869.5,8987,8925,8934,8927.86,9660,6375.7,785332,7011336928.5,77620,BAJFINANCE
2025-06-04,EQ,8975,9039.5,8964.5,8979,8994.5,8987,8997.21,9660,6375.7,554493,4988888199,63399,BAJFINANCE
2025-06-03,EQ,9106,9128,8970,9118.5,8972,8979,9019.53,9660,6375.7,908027,8189976644,93270,BAJFINANCE
2025-06-02,EQ,9130,9165,9040,9180.5,9119,9118.5,9115.97,9660,6375.7,661963,6034437736.5,80263,BAJFINANCE
2025-05-30,EQ,9170,9203.5,9121,9204,9142,9180.5,9172.46,9660,6375.7,1504174,13796975532,79849,BAJFINANCE
2025-05-29,EQ,9250,9279.5,9160,9267.5,9210,9204,9200.05,9660,6375.7,708175,6515247946.5,77008,BAJFINANCE
2025-05-28,EQ,9245,9294.5,9141,9171,9282,9267.5,9236,9660,6375.7,650740,6010233304.5,77345,BAJFINANCE
2025-05-27,EQ,9270,9290,9143,9269.5,9174,9171,9192.26,9660,6375.7,715000,6572465231.5,87027,BAJFINANCE
