DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,197.43,197.83,196.81,197.43,197.5,197.39,197.31,266.65,162.6,761940,150336586.55,16423,CASTROLIND
2025-09-08,EQ,198,198.63,196,197.77,197.4,197.43,197.43,266.65,162.6,965625,190647641.72,16664,CASTROLIND
2025-09-05,EQ,199.4,199.99,197.11,199.37,198.24,197.77,197.92,278.8,162.6,940857,186217966.97,17963,CASTROLIND
2025-09-04,EQ,199.75,201.06,198.21,198.53,199.4,199.37,199.34,278.8,162.6,1214607,242116596.25,21418,CASTROLIND
2025-09-03,EQ,199,200,197.11,200.5,198.8,198.53,198.05,278.8,162.6,2545651,504168148.95,45721,CASTROLIND
2025-09-02,EQ,199.68,202.2,197.86,199.33,200.25,200.5,200.44,278.8,162.6,1149654,230438867.29,21677,CASTROLIND
2025-09-01,EQ,197.4,200.07,196.55,197.23,199.68,199.33,198.5,278.8,162.6,1055963,209604921.06,26112,CASTROLIND
2025-08-29,EQ,201.65,202.18,196.68,201.55,197.4,197.23,198.84,284.4,162.6,1451760,288675003.23,29942,CASTROLIND
2025-08-28,EQ,201,203,199,200.88,201.5,201.55,201.5,284.4,162.6,935810,188569601.02,20415,CASTROLIND
2025-08-26,EQ,207,207.79,200.51,207.41,201.4,200.88,202.62,284.4,162.6,2069298,419280231.97,40619,CASTROLIND
2025-08-25,EQ,206.25,210.25,206,206.24,207.32,207.41,207.96,284.4,162.6,950167,197601132.21,22738,CASTROLIND
2025-08-22,EQ,208,208.89,206,208.68,206.48,206.24,206.75,284.4,162.6,709653,146721525.62,12270,CASTROLIND
2025-08-21,EQ,209.1,211.4,208.3,208.87,208.65,208.68,209.95,284.4,162.6,1406699,295340605.93,19343,CASTROLIND
2025-08-20,EQ,206.95,209.74,206.37,206.75,208.3,208.87,208.02,284.4,162.6,1248427,259699608.76,28670,CASTROLIND
2025-08-19,EQ,206,207.15,205.5,206.11,206.55,206.75,206.42,284.4,162.6,940769,194191068.28,17703,CASTROLIND
2025-08-18,EQ,207.99,207.99,205.63,205.28,206.5,206.11,206.62,284.4,162.6,1048222,216582671.03,16016,CASTROLIND
2025-08-14,EQ,208.8,209.25,205,208.11,205.79,205.28,206.22,284.4,162.6,1051219,216784019.71,24262,CASTROLIND
2025-08-13,EQ,209.86,212.4,207.8,209.81,208.25,208.11,209.83,284.4,162.6,1018523,213718524.54,20531,CASTROLIND
2025-08-12,EQ,210,211.44,209.4,210.59,209.5,209.81,210.18,284.4,162.6,596894,125457424.87,14886,CASTROLIND
2025-08-11,EQ,210.8,211.41,208.11,213.03,210.96,210.59,209.75,284.4,162.6,1036056,217314768.6,24805,CASTROLIND
2025-08-08,EQ,214.8,215.75,212.5,214.7,212.8,213.03,213.74,284.4,162.6,1366926,292169750.98,25977,CASTROLIND
2025-08-07,EQ,213.27,215.3,209.8,213.27,214.8,214.7,212.33,284.4,162.6,1698710,360679349.48,32901,CASTROLIND
2025-08-06,EQ,222.02,223.29,212.3,222.02,213.5,213.27,216.48,284.4,162.6,2295228,496860436.83,41561,CASTROLIND
2025-08-05,EQ,220,224.8,219.81,219.56,221.9,222.02,222.27,284.4,162.6,2886762,641626516.56,36250,CASTROLIND
2025-08-04,EQ,218.12,220.6,217.11,218.41,219.65,219.56,219.03,284.4,162.6,1080791,236725132.61,19901,CASTROLIND
2025-08-01,EQ,218.94,223.17,217.3,218.11,217.75,218.41,220.44,284.4,162.6,1389042,306207024.35,21954,CASTROLIND
2025-07-31,EQ,218.9,220.45,216.76,220.28,217.94,218.11,218.73,284.4,162.6,1050613,229804947.96,17851,CASTROLIND
2025-07-30,EQ,221,223.45,219.34,222.45,220.29,220.28,220.67,284.4,162.6,962958,212499271.43,19857,CASTROLIND
2025-07-29,EQ,218.57,222.95,218.11,218.57,222.5,222.45,220.58,284.4,162.6,1166531,257318931.74,17892,CASTROLIND
2025-07-28,EQ,221.66,225.5,217.63,222.24,218.88,218.57,221.08,284.4,162.6,1503170,332315893.72,27048,CASTROLIND
2025-07-25,EQ,227.6,229.6,221.3,228,222.6,222.24,224.43,284.4,162.6,1884426,422928471.02,33561,CASTROLIND
2025-07-24,EQ,229.3,231,225.96,228.66,227.48,228,228.64,284.4,162.6,2824023,645679409.35,39774,CASTROLIND
2025-07-23,EQ,220.1,229.7,220.1,220.24,228.78,228.66,226.21,284.4,162.6,5079873,1149097227.84,45893,CASTROLIND
2025-07-22,EQ,219.83,222.89,219.5,219.83,219.55,220.24,220.86,284.4,162.6,1101671,243318000.87,20474,CASTROLIND
2025-07-21,EQ,221,221.75,218.91,221.5,220.13,219.83,219.95,284.4,162.6,989567,217652136.17,22245,CASTROLIND
