DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,1559,1563.7,1540,1554.3,1548.9,1548.9,1552.81,1989.8,1047.45,1320841,2051021630.3,45489,CDSL
2025-09-08,EQ,1523.4,1565,1523.4,1523.4,1555,1554.3,1548.54,1989.8,1047.45,1698162,2629668273,51632,CDSL
2025-09-05,EQ,1508.5,1541,1506.5,1509.4,1525,1523.4,1527.59,1989.8,1047.45,1679391,2565424387.1,55016,CDSL
2025-09-04,EQ,1525.7,1533.6,1501.8,1518.6,1511,1509.4,1514.17,1989.8,1047.45,1287980,1950220190.3,41690,CDSL
2025-09-03,EQ,1508.9,1526.9,1507.1,1508.9,1519.8,1518.6,1516.78,1989.8,1047.45,1183630,1795306836.6,41056,CDSL
2025-09-02,EQ,1479.9,1543.3,1463.3,1476.9,1509,1508.9,1511.07,1989.8,1047.45,3467152,5239125290.5,112076,CDSL
2025-09-01,EQ,1431.5,1480,1431.3,1424.4,1479,1476.9,1463.5,1989.8,1047.45,1785436,2612983554.2,74228,CDSL
2025-08-29,EQ,1453.7,1457,1421,1452,1428.5,1424.4,1434.53,1989.8,1047.45,2043349,2931238788.7,93213,CDSL
2025-08-28,EQ,1491,1498,1448.1,1492.1,1453.7,1452,1472.6,1989.8,1047.45,1952370,2875065108.6,91142,CDSL
2025-08-26,EQ,1535.8,1539.9,1488.8,1541.9,1492,1492.1,1509.33,1989.8,1047.45,2013894,3039637087.2,100535,CDSL
2025-08-25,EQ,1575,1579.3,1539,1574.4,1541,1541.9,1555.97,1989.8,1047.45,1269755,1975699478.1,54342,CDSL
2025-08-22,EQ,1565,1589.5,1565,1569.5,1575,1574.4,1579.36,2989,1047.45,1575909,2488931538.5,50177,CDSL
2025-08-21,EQ,1590,1611.5,1556.1,1583.6,1569,1569.5,1583,2989,1047.45,3472849,5497505575.5,97665,CDSL
2025-08-20,EQ,1581.7,1587.5,1572.4,1581.7,1585,1583.6,1580.14,2989,1047.45,1008227,1593143420.3,34926,CDSL
2025-08-19,EQ,1578.7,1589,1565.5,1575.1,1582,1581.7,1579.03,2989,1047.45,1073753,1695486137.4,46576,CDSL
2025-08-18,EQ,1583,1596.9,1562.4,1559.8,1578.4,1575.1,1581.86,2989,1047.45,1982597,3136196048.1,69992,CDSL
2025-08-14,EQ,1564,1577,1551.2,1564.5,1561,1559.8,1561.48,2989,1047.45,1289206,2013073773.3,45059,CDSL
2025-08-13,EQ,1546,1573,1543.9,1541.7,1566.1,1564.5,1563.72,2989,1047.45,1778979,2781828793.1,57785,CDSL
2025-08-12,EQ,1565,1575,1540,1564.8,1541,1541.7,1554.9,2989,1047.45,1706051,2652742985.1,68719,CDSL
2025-08-11,EQ,1572,1584,1546.1,1567.1,1565,1564.8,1565.28,2989,1047.45,2750081,4304644372.7,90856,CDSL
2025-08-08,EQ,1566,1605.9,1550.1,1564.5,1562,1567.1,1577.83,2989,1047.45,6086096,9602836068.3,163355,CDSL
2025-08-07,EQ,1530,1571,1515,1545.6,1563.8,1564.5,1540.13,2989,1047.45,3084909,4751165402.4,89379,CDSL
2025-08-06,EQ,1565.5,1565.5,1524.2,1566.2,1544.5,1545.6,1544.78,2989,1047.45,2781305,4296491680.3,101284,CDSL
2025-08-05,EQ,1576,1577.4,1543,1572.4,1568,1566.2,1564.12,2989,1047.45,2757011,4312308843,83075,CDSL
2025-08-04,EQ,1480,1577.9,1475.5,1478.8,1572.5,1572.4,1538.4,2989,1047.45,5011132,7709147247.8,144950,CDSL
2025-08-01,EQ,1480,1494,1462.9,1480.8,1481.9,1478.8,1481.96,2989,1047.45,2222837,3294159356.6,85836,CDSL
2025-07-31,EQ,1495,1509.8,1475,1512.8,1478,1480.8,1492.4,2989,1047.45,2862587,4272136437.4,125057,CDSL
2025-07-30,EQ,1542,1549,1509,1539.7,1511,1512.8,1521.28,2989,1047.45,2574925,3917189402.4,93325,CDSL
2025-07-29,EQ,1522.9,1550.7,1516.2,1522.8,1542.2,1539.7,1535.45,2989,1047.45,2790287,4284350589.9,96753,CDSL
2025-07-28,EQ,1550,1596.4,1517.1,1614.7,1524.5,1522.8,1555.16,2989,1047.45,6256943,9730539791.5,250816,CDSL
2025-07-25,EQ,1671,1671.3,1611,1679.3,1616,1614.7,1636.45,2989,1047.45,3021430,4944411625.3,128648,CDSL
2025-07-24,EQ,1698.9,1698.9,1675.6,1697.3,1677,1679.3,1682.91,2989,1047.45,1500102,2524530064.4,52361,CDSL
2025-07-23,EQ,1724,1724,1675,1714.7,1697.9,1697.3,1690.56,2989,1047.45,2624523,4436917177.1,85060,CDSL
2025-07-22,EQ,1745.9,1753.9,1708.5,1731.5,1715,1714.7,1729.93,2989,1047.45,2601526,4500464559.4,95499,CDSL
2025-07-21,EQ,1695,1736,1690.3,1698.5,1732,1731.5,1721.17,2989,1047.45,2168014,3731526518.5,69869,CDSL
2025-07-18,EQ,1714,1717.5,1687.3,1714.1,1699,1698.5,1702.62,2989,1047.45,1669910,2843229419.3,80595,CDSL
2025-07-17,EQ,1724.9,1735,1708,1721.5,1713.2,1714.1,1720.18,2989,1047.45,1721691,2961615919.2,57390,CDSL
2025-07-16,EQ,1703,1732,1695,1701.4,1722.9,1721.5,1717.94,2989,1047.45,2277719,3912994147.2,72051,CDSL
2025-07-15,EQ,1685,1706,1666.6,1677.4,1703,1701.4,1687.87,2989,1047.45,2506938,4231391779.1,85096,CDSL
2025-07-14,EQ,1694,1725.9,1667,1688.7,1679.5,1677.4,1695.47,2989,1047.45,4160928,7054719752.5,112703,CDSL
2025-07-11,EQ,1735,1749,1685,1747.2,1686,1688.7,1708.13,2989,1047.45,3250994,5553123624.5,123276,CDSL
2025-07-10,EQ,1764,1784.8,1743.1,1761.5,1747.2,1747.2,1762.04,2989,1047.45,2045231,3603777399.8,59898,CDSL
2025-07-09,EQ,1755,1769.7,1750.1,1754.1,1762,1761.5,1762.63,2989,1047.45,1846080,3253954885.2,54674,CDSL
2025-07-08,EQ,1783,1794.9,1722.3,1778.5,1754.1,1754.1,1752.21,2989,1047.45,4684269,8207823148.8,136797,CDSL
2025-07-07,EQ,1761.8,1790,1743.4,1762.5,1778.9,1778.5,1775.84,2989,1047.45,2706713,4806689572.7,84880,CDSL
2025-07-04,EQ,1805,1805,1726.7,1804.9,1763.4,1762.5,1762.28,2989,1047.45,5459008,9620281551.4,167259,CDSL
2025-07-03,EQ,1780.5,1809.8,1764.7,1779,1805,1804.9,1795.56,2989,1047.45,3253951,5842664378.4,85499,CDSL
2025-07-02,EQ,1794.6,1814,1763,1797.5,1778.5,1779,1787.57,2989,1047.45,3075273,5497263943,90311,CDSL
2025-07-01,EQ,1804,1809,1773.7,1794,1795.7,1797.5,1794.23,2989,1047.45,3619853,6494862990.3,87295,CDSL
2025-06-30,EQ,1768,1812,1764,1760.5,1796,1794,1793.84,2989,1047.45,5084031,9119947987.5,136943,CDSL
2025-06-27,EQ,1750,1797.5,1750,1746.8,1764.4,1760.5,1775.37,2989,1047.45,4679966,8308685940.7,140044,CDSL
2025-06-26,EQ,1749,1755,1726.1,1744.3,1752,1746.8,1741.78,2989,1047.45,2840860,4948152265.6,87852,CDSL
2025-06-25,EQ,1756.8,1782,1740.7,1748.5,1743.2,1744.3,1765.26,2989,1047.45,4128802,7288424370.2,109597,CDSL
2025-06-24,EQ,1755,1764.2,1728,1723.3,1748.5,1748.5,1748.2,2989,1047.45,5572107,9741129885.9,134899,CDSL
2025-06-23,EQ,1675,1740,1665,1685.8,1724,1723.3,1709.51,2989,1047.45,7333258,12536282301.2,182364,CDSL
2025-06-20,EQ,1636,1688.9,1632.7,1637.8,1688.2,1685.8,1672.04,2989,1047.45,3125164,5225398070.7,93877,CDSL
2025-06-19,EQ,1678.9,1685.9,1635,1680.3,1639.9,1637.8,1656.41,2989,1047.45,2740650,4539645472,90021,CDSL
2025-06-18,EQ,1683.9,1702.6,1672.3,1686.8,1676,1680.3,1686.07,2989,1047.45,2574935,4341517781.5,74237,CDSL
2025-06-17,EQ,1690.3,1723.9,1677,1682.6,1687,1686.8,1700.41,2989,1047.45,5365587,9123700017.7,151321,CDSL
