DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,1188.6,1193.7,1162.5,1188.6,1167,1172.1,1177.91,1643.95,1070.5,278453,327993685.6,38583,CLEAN
2025-09-08,EQ,1189,1199,1166.1,1189.2,1189,1188.6,1181.27,1643.95,1070.5,337565,398755613.4,26216,CLEAN
2025-09-05,EQ,1159,1217.9,1155.4,1155.5,1188,1189.2,1193.86,1643.95,1070.5,1178757,1407276528.7,61912,CLEAN
2025-09-04,EQ,1182.8,1184.9,1151.7,1174,1159,1155.5,1164.51,1643.95,1070.5,268092,312195807.7,13922,CLEAN
2025-09-03,EQ,1165,1178,1162.5,1166.5,1177,1174,1169.67,1643.95,1070.5,240650,281482085.1,13830,CLEAN
2025-09-02,EQ,1186.8,1186.8,1162,1186.7,1167,1166.5,1170.88,1643.95,1070.5,236065,276402837.8,14289,CLEAN
2025-09-01,EQ,1178,1198.6,1167.5,1174.5,1187.9,1186.7,1186.06,1643.95,1070.5,1638105,1942890475.8,56609,CLEAN
2025-08-29,EQ,1171,1188,1162,1156.1,1170.2,1174.5,1177.26,1643.95,1070.5,1373493,1616963342.1,61911,CLEAN
2025-08-28,EQ,1134.5,1163.8,1133,1134.5,1157.1,1156.1,1148.48,1643.95,1070.5,583321,669930679.8,31732,CLEAN
2025-08-26,EQ,1165,1169,1131.1,1169.1,1139.9,1134.5,1146.86,1643.95,1070.5,524813,601887543.3,35926,CLEAN
2025-08-25,EQ,1160.5,1178,1140.2,1153.8,1167.5,1169.1,1164.5,1643.95,1070.5,1405543,1636749239.8,61798,CLEAN
2025-08-22,EQ,1139,1160,1126.1,1149,1155.3,1153.8,1149.19,1643.95,1070.5,2392424,2749349224.9,84091,CLEAN
2025-08-21,EQ,1125,1256.8,1070.5,1180.8,1147.8,1149,1133.99,1643.95,1070.5,30337769,34402759562.3,446960,CLEAN
2025-08-20,EQ,1200,1211,1179,1189.9,1180,1180.8,1190.3,1643.95,1106.45,82310,97973945.2,8723,CLEAN
2025-08-19,EQ,1169.7,1195,1163,1164.9,1189.9,1189.9,1186.09,1643.95,1106.45,72976,86556211.5,6635,CLEAN
2025-08-18,EQ,1184.9,1197.7,1161.5,1180.9,1163,1164.9,1173.96,1643.95,1106.45,139944,164289076.2,13016,CLEAN
2025-08-14,EQ,1230,1231.9,1165.2,1229.9,1173.9,1180.9,1196.55,1664.55,1106.45,104019,124463479.3,9476,CLEAN
2025-08-13,EQ,1162.6,1239.9,1160.4,1159.7,1235,1229.9,1211.68,1664.55,1106.45,173368,210066540.6,17495,CLEAN
2025-08-12,EQ,1175.4,1184.9,1149,1175,1158,1159.7,1161.04,1664.55,1106.45,189566,220093179,20842,CLEAN
2025-08-11,EQ,1188,1193.9,1160,1176.4,1183.2,1175,1176.59,1664.55,1106.45,52540,61818242.7,7109,CLEAN
2025-08-08,EQ,1198,1200.5,1166.9,1196.5,1177,1176.4,1187.98,1688.8,1106.45,54255,64453783.6,6652,CLEAN
2025-08-07,EQ,1190,1200,1173.8,1196.8,1196,1196.5,1190.25,1688.8,1106.45,74824,89058903.4,8942,CLEAN
