DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,2539,2576.3,2537.2,2538.6,2558,2560.8,2558.28,3268.8,1351.15,124075,317418423.2,16434,DATAPATTNS
2025-09-08,EQ,2476.8,2554.6,2470.9,2476.8,2543,2538.6,2523.84,3268.8,1351.15,140013,353370380,15607,DATAPATTNS
2025-09-05,EQ,2454,2520,2415.2,2443.3,2469,2476.8,2462.67,3268.8,1351.15,189754,467301789.1,25578,DATAPATTNS
2025-09-04,EQ,2588,2588,2430.1,2546.5,2449.9,2443.3,2487.9,3268.8,1351.15,193784,482114443.7,24498,DATAPATTNS
2025-09-03,EQ,2545.5,2590.4,2527.9,2545.5,2547.6,2546.5,2555.27,3268.8,1351.15,86930,222129735.5,11987,DATAPATTNS
2025-09-02,EQ,2530,2597,2490.9,2511.8,2543.9,2545.5,2549.45,3268.8,1351.15,181835,463579820.7,24510,DATAPATTNS
2025-09-01,EQ,2407,2522.5,2407,2402.8,2520,2511.8,2478.2,3268.8,1351.15,157657,390705422.8,17169,DATAPATTNS
2025-08-29,EQ,2430,2458.7,2376,2425.8,2397,2402.8,2428.28,3268.8,1351.15,141325,343176742.9,19540,DATAPATTNS
2025-08-28,EQ,2493.9,2498.2,2417,2505.6,2435.3,2425.8,2457.84,3268.8,1351.15,128812,316599079.1,17163,DATAPATTNS
2025-08-26,EQ,2552.1,2593.9,2488,2557.4,2490.5,2505.6,2536.36,3268.8,1351.15,207037,525120592.9,26904,DATAPATTNS
2025-08-25,EQ,2639,2650,2548.7,2590.6,2555.5,2557.4,2581.46,3268.8,1351.15,156906,405046557.6,18188,DATAPATTNS
2025-08-22,EQ,2598,2680.9,2560.1,2599.9,2600,2590.6,2605.25,3268.8,1351.15,252834,658696883.3,26751,DATAPATTNS
2025-08-21,EQ,2560.3,2610.9,2538.1,2560.3,2600.6,2599.9,2586.1,3268.8,1351.15,299982,775784312,28588,DATAPATTNS
2025-08-20,EQ,2552.1,2578.5,2505.6,2541,2553.5,2560.3,2543.12,3268.8,1351.15,222892,566840408.4,20550,DATAPATTNS
2025-08-19,EQ,2598,2599.9,2531,2591.4,2545,2541,2547.3,3268.8,1351.15,190889,486250786.3,23532,DATAPATTNS
2025-08-18,EQ,2561.8,2615.7,2543.1,2517.5,2588.5,2591.4,2586.93,3268.8,1351.15,249491,645414863.1,31595,DATAPATTNS
2025-08-14,EQ,2510,2527.9,2501.6,2506,2520.6,2517.5,2512.23,3268.8,1351.15,121189,304454168.4,13596,DATAPATTNS
2025-08-13,EQ,2537.1,2584,2500,2525.1,2510,2506,2527.84,3268.8,1351.15,238354,602521624,26958,DATAPATTNS
2025-08-12,EQ,2515,2548.2,2480.6,2514.3,2530,2525.1,2520.37,3268.8,1351.15,172009,433525480.8,24875,DATAPATTNS
2025-08-11,EQ,2372.2,2585.7,2372.2,2427.5,2512.5,2514.3,2494.74,3268.8,1351.15,701262,1749469219,66284,DATAPATTNS
2025-08-08,EQ,2400,2480,2351,2569.6,2443,2427.5,2405.25,3268.8,1351.15,1034188,2487482817.9,100592,DATAPATTNS
2025-08-07,EQ,2590,2626.9,2542.1,2596.1,2574,2569.6,2582.46,3268.8,1351.15,192214,496384934.3,30926,DATAPATTNS
2025-08-06,EQ,2686,2710,2585,2661.4,2599.4,2596.1,2624.79,3268.8,1351.15,199422,523440571.4,20998,DATAPATTNS
2025-08-05,EQ,2725,2735,2630,2713.8,2656,2661.4,2674.7,3268.8,1351.15,235919,631013136.6,28089,DATAPATTNS
2025-08-04,EQ,2540.1,2725,2525.7,2550.5,2715,2713.8,2663.18,3268.8,1351.15,410942,1094411820.1,53850,DATAPATTNS
2025-08-01,EQ,2640,2640,2541.4,2640.9,2564.8,2550.5,2582.44,3410.95,1351.15,143700,371095995.3,18212,DATAPATTNS
2025-07-31,EQ,2530,2717.1,2520,2592.9,2635.9,2640.9,2642.85,3410.95,1351.15,308382,815007126.9,36069,DATAPATTNS
2025-07-30,EQ,2600,2610.4,2550.1,2584.4,2589.7,2592.9,2579.07,3410.95,1351.15,138633,357544618.1,18904,DATAPATTNS
2025-07-29,EQ,2558.1,2625,2529.8,2571.6,2584.9,2584.4,2568.33,3410.95,1351.15,186512,479024974.1,26341,DATAPATTNS
2025-07-28,EQ,2670.1,2724.5,2558,2677.4,2571.9,2571.6,2612.94,3410.95,1351.15,262341,685480750.5,33154,DATAPATTNS
2025-07-25,EQ,2780.7,2782,2670.9,2780.7,2676,2677.4,2719.73,3440.95,1351.15,133065,361900692.2,19314,DATAPATTNS
2025-07-24,EQ,2788,2802.9,2753.7,2777.8,2779.1,2780.7,2782.44,3440.95,1351.15,109481,304624031.8,17543,DATAPATTNS
2025-07-23,EQ,2818.5,2830,2746.5,2808.1,2782,2777.8,2777.51,3440.95,1351.15,131953,366500909.8,15824,DATAPATTNS
2025-07-22,EQ,2728.2,2814.9,2726.2,2728.2,2810.2,2808.1,2786.63,3440.95,1351.15,231821,646000304.3,26730,DATAPATTNS
2025-07-21,EQ,2750.7,2752.4,2627.1,2757.5,2737,2728.2,2687.77,3440.95,1351.15,406644,1092964214.3,37211,DATAPATTNS
2025-07-18,EQ,2881.9,2934.7,2735.8,2895.6,2755,2757.5,2813.86,3440.95,1351.15,380903,1071808652.9,43386,DATAPATTNS
2025-07-17,EQ,2895,2909.9,2880,2893.2,2900,2895.6,2893.53,3440.95,1351.15,111067,321376133.8,12397,DATAPATTNS
2025-07-16,EQ,2870,2909.4,2848,2872.2,2900,2893.2,2881.57,3440.95,1351.15,152962,440771229.4,15302,DATAPATTNS
2025-07-15,EQ,2862.7,2909.9,2852,2862.7,2880.9,2872.2,2883.1,3440.95,1351.15,144830,417559010.1,16445,DATAPATTNS
2025-07-14,EQ,2854.1,2890,2811,2849.1,2860,2862.7,2856.12,3440.95,1351.15,228593,652888687.3,24830,DATAPATTNS
2025-07-11,EQ,2959.9,2968,2835.7,2945.7,2854.1,2849.1,2876.47,3525,1351.15,248556,714962819,25783,DATAPATTNS
2025-07-10,EQ,3030,3030.3,2921.2,3025.3,2948,2945.7,2967.32,3525,1351.15,218156,647338566.6,20438,DATAPATTNS
2025-07-09,EQ,2980,3038,2975.4,2989.7,3025,3025.3,3012.22,3525,1351.15,245805,740417776.3,26414,DATAPATTNS
2025-07-08,EQ,2962.9,2999,2921,2962.9,2982.6,2989.7,2972.65,3525,1351.15,264428,786051895.7,25549,DATAPATTNS
2025-07-07,EQ,2972,2980,2916.5,2981.5,2956,2962.9,2951.32,3525,1351.15,177750,524596979.3,17435,DATAPATTNS
2025-07-04,EQ,3000,3025.5,2971.6,2966.8,2981,2981.5,2994.18,3655,1351.15,355175,1063458572.8,28522,DATAPATTNS
2025-07-03,EQ,2960,3006.3,2931,2953.7,2964.6,2966.8,2974.89,3655,1351.15,242977,722830628.7,22974,DATAPATTNS
2025-07-02,EQ,2936.9,2962.4,2913,2929.1,2962.4,2953.7,2941.35,3655,1351.15,244991,720604552.5,21989,DATAPATTNS
2025-07-01,EQ,2900,2964.9,2895,2900.7,2930.8,2929.1,2930.76,3655,1351.15,265534,778216875.4,27293,DATAPATTNS
