DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,4726.1,4778,4691.5,4714.2,4765,4759.8,4749.35,5484.85,3340,184352,875551286.6,28635,DMART
2025-09-08,EQ,4810,4814.9,4690.6,4793.3,4712,4714.2,4738.11,5484.85,3340,214159,1014708099.6,35786,DMART
2025-09-05,EQ,4850,4898.5,4767.2,4829.3,4800,4793.3,4814.42,5484.85,3340,247794,1192985232.9,29614,DMART
2025-09-04,EQ,4949,4949.5,4781.5,4758.5,4835,4829.3,4829.01,5484.85,3340,999705,4827589427.9,80534,DMART
2025-09-03,EQ,4680,4780,4675.5,4680,4761.9,4758.5,4735.07,5484.85,3340,406023,1922548919.5,41184,DMART
2025-09-02,EQ,4749.9,4772,4670,4734.9,4672.9,4680,4694.81,5484.85,3340,395168,1855237799.3,37423,DMART
2025-09-01,EQ,4753,4829,4720,4755.6,4748,4734.9,4782.78,5484.85,3340,564620,2700452408,59900,DMART
2025-08-29,EQ,4720,4800.5,4680,4699.9,4752,4755.6,4743.04,5484.85,3340,591567,2805827113,56851,DMART
2025-08-28,EQ,4805,4805,4671.4,4716.4,4720,4699.9,4726.81,5484.85,3340,648948,3067454955.7,58693,DMART
2025-08-26,EQ,4751.8,4799.1,4696.2,4725.3,4725,4716.4,4734.45,5484.85,3340,911518,4315538822.4,70891,DMART
2025-08-25,EQ,4714.5,4750.5,4700.1,4698.8,4721.6,4725.3,4726.72,5484.85,3340,853238,4033017841.3,37395,DMART
2025-08-22,EQ,4708,4730,4636.8,4691.9,4694.3,4698.8,4688.68,5484.85,3340,449652,2108272839.1,48752,DMART
2025-08-21,EQ,4737.9,4749.6,4673,4737.9,4694,4691.9,4702.84,5484.85,3340,873600,4108403687.2,38833,DMART
2025-08-20,EQ,4651.5,4759.9,4630.1,4653.2,4727.9,4737.9,4713.25,5484.85,3340,1269103,5981600292.4,64683,DMART
2025-08-19,EQ,4584.9,4661.6,4561.3,4558,4656,4653.2,4624.84,5484.85,3340,856309,3960290132.4,71610,DMART
2025-08-18,EQ,4446,4592.9,4401.5,4358.2,4556.9,4558,4550.56,5484.85,3340,1589953,7235174150.9,105017,DMART
2025-08-14,EQ,4334.6,4394.9,4327.1,4334.6,4347.8,4358.2,4366.55,5484.85,3340,646059,2821049004.4,52281,DMART
2025-08-13,EQ,4255,4340,4247.3,4252.5,4328,4334.6,4304.15,5484.85,3340,470225,2023918750.7,40244,DMART
2025-08-12,EQ,4184.5,4273.4,4184.5,4184.5,4252,4252.5,4247.29,5484.85,3340,278164,1181442518.7,28217,DMART
2025-08-11,EQ,4150.1,4222.8,4150.1,4170.1,4183.8,4184.5,4189.49,5484.85,3340,244806,1025613247.1,32084,DMART
2025-08-08,EQ,4220,4280,4163,4263.5,4168.7,4170.1,4212.93,5484.85,3340,281763,1187047328.3,44650,DMART
