DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,190.99,192.05,189.91,190.62,191.7,191.63,191,220,172.66,3712535,709088156.1,34002,FEDERALBNK
2025-09-08,EQ,190,191.97,189.28,190.52,191.06,190.62,190.78,220,172.66,9815612,1872589272.41,119197,FEDERALBNK
2025-09-05,EQ,191,191.09,189.11,189.9,190.56,190.52,190.11,220,172.66,4068142,773397384.51,50000,FEDERALBNK
2025-09-04,EQ,194.47,194.67,188.4,193.23,190.32,189.9,190.35,220,172.66,7767020,1478435331.84,65355,FEDERALBNK
2025-09-03,EQ,193.5,194.67,192.76,193.56,193.7,193.23,193.44,220,172.66,8091723,1565253970.09,87917,FEDERALBNK
2025-09-02,EQ,193.58,195.41,193.04,193.58,193.45,193.56,193.92,220,172.66,3069260,595186947.48,67703,FEDERALBNK
2025-09-01,EQ,191.71,194.1,191.71,191.71,193.05,193.58,193.1,220,172.66,4546443,877940688.74,50239,FEDERALBNK
2025-08-29,EQ,191.3,193.86,191.12,191.76,192.08,191.71,192.36,220,172.66,4184028,804855616.78,43825,FEDERALBNK
2025-08-28,EQ,191.5,192.68,190.5,192.46,192.37,191.76,191.78,220,172.66,7746254,1485602330.91,68772,FEDERALBNK
2025-08-26,EQ,194.79,195.99,191.91,195.01,192.3,192.46,192.67,220,172.66,6681812,1287372777.28,55190,FEDERALBNK
2025-08-25,EQ,196.34,197.9,194.57,196.34,195,195.01,195.67,220,172.66,6443184,1260710573.1,38806,FEDERALBNK
2025-08-22,EQ,198.99,199.42,196,199.43,196.5,196.34,197.05,220,172.66,2466153,485950098.28,30794,FEDERALBNK
2025-08-21,EQ,199.5,201,199,199.71,199.63,199.43,199.96,220,172.66,6033820,1206524661.17,50025,FEDERALBNK
2025-08-20,EQ,200.5,201.24,199.22,200.05,199.24,199.71,200.01,220,172.66,5498900,1099843519.3,45179,FEDERALBNK
2025-08-19,EQ,196.69,200.55,195.3,195.79,200.05,200.05,198.23,220,172.66,5129740,1016853438.89,46476,FEDERALBNK
2025-08-18,EQ,197.4,197.65,194.84,195.86,196.24,195.79,196.18,220,172.66,6237845,1223732746.91,40969,FEDERALBNK
2025-08-14,EQ,196.39,196.68,194.99,196.19,195.9,195.86,195.82,220,172.66,2679922,524769612.43,33625,FEDERALBNK
2025-08-13,EQ,197,197.9,195.44,195.98,196.35,196.19,196.53,220,172.66,6992167,1374202850.02,52171,FEDERALBNK
2025-08-12,EQ,197,197.25,195.57,196.69,195.87,195.98,196.15,220,172.66,5218014,1023529987.6,53298,FEDERALBNK
2025-08-11,EQ,196.35,198,195.65,196.35,196.7,196.69,197.08,220,172.66,8062362,1588899827.09,42757,FEDERALBNK
2025-08-08,EQ,198.6,199.73,195.76,198.63,195.8,196.35,197.82,220,172.66,7038453,1392334549.19,47049,FEDERALBNK
2025-08-07,EQ,195.61,199.27,195,197.37,198.93,198.63,196.83,220,172.66,6357907,1251412976.95,67155,FEDERALBNK
2025-08-06,EQ,196.48,197.76,194.6,196.04,197.54,197.37,196.2,220,172.66,7011622,1375665623.09,43283,FEDERALBNK
2025-08-05,EQ,195.48,196.9,194.08,196.46,195.9,196.04,195.56,220,172.66,5819712,1138120817.18,50046,FEDERALBNK
2025-08-04,EQ,185.8,197.04,185.11,196.06,196.45,196.46,193.77,220,172.66,39513112,7656442314.31,151106,FEDERALBNK
2025-08-01,EQ,202.68,202.92,194.41,202.43,195.61,196.06,197.85,220,172.66,10948324,2166145605.13,121926,FEDERALBNK
2025-07-31,EQ,203,204.73,201.14,204.68,203.44,202.43,203.1,220,172.66,8617317,1750204241.1,55377,FEDERALBNK
2025-07-30,EQ,205.21,205.76,202.76,205.21,204.8,204.68,204.59,220,172.66,5616031,1148963402.68,40008,FEDERALBNK
2025-07-29,EQ,205.67,207.1,203.63,206,205.08,205.21,205.04,220,172.66,10354388,2123081698.99,72808,FEDERALBNK
2025-07-28,EQ,207.9,210.43,205.7,208.14,206,206,207.78,220,172.66,8456565,1757131755.25,66980,FEDERALBNK
2025-07-25,EQ,212.25,213.09,207.25,212.7,207.78,208.14,209.54,220,172.66,6563450,1375281258.48,66646,FEDERALBNK
2025-07-24,EQ,212.97,215.18,212.22,212.81,212.7,212.7,213.78,220,172.66,6465529,1382216550.03,55106,FEDERALBNK
2025-07-23,EQ,212.49,213.5,211.7,212.4,212.5,212.81,212.66,220,172.66,5401894,1148743601.61,53184,FEDERALBNK
2025-07-22,EQ,213.25,214,211.61,212.78,212.5,212.4,212.89,220,172.66,5385123,1146422098.32,61399,FEDERALBNK
2025-07-21,EQ,212.45,213.5,209.84,212.47,212.74,212.78,211.48,220,172.66,4607473,974391166.63,76687,FEDERALBNK
2025-07-18,EQ,212.58,213.32,211.1,212.59,212.47,212.47,212.16,220,172.66,6478635,1374504191.84,56209,FEDERALBNK
2025-07-17,EQ,214.67,216.8,211.97,214.69,212.01,212.59,213.19,220,172.66,5632702,1200834175.12,64096,FEDERALBNK
2025-07-16,EQ,211.67,215.4,211.67,211.67,213.9,214.69,213.8,220,172.66,8125748,1737283138.7,81382,FEDERALBNK
2025-07-15,EQ,211,212.78,210.2,210.57,211.74,211.67,211.84,220,172.66,5149486,1090841483.9,60339,FEDERALBNK
2025-07-14,EQ,207,211.4,206.39,207.38,210.7,210.57,209.33,220,172.66,5690671,1191222469.81,49763,FEDERALBNK
2025-07-11,EQ,210.98,211.8,206.76,210.98,206.97,207.38,208.31,220,172.66,4009049,835133008.07,42171,FEDERALBNK
2025-07-10,EQ,213.15,214.68,210.2,213.89,211.18,210.98,211.85,220,172.66,3952305,837286634.69,39832,FEDERALBNK
2025-07-09,EQ,213.61,214.58,212.72,213.5,214,213.89,213.62,220,172.66,4586061,979684052.03,41366,FEDERALBNK
2025-07-08,EQ,215.5,215.6,213.03,215.05,213.89,213.5,214.03,220,172.66,5404402,1156710751.12,47421,FEDERALBNK
2025-07-07,EQ,215.51,217.2,214.78,215.32,214.84,215.05,215.65,220,172.66,4643396,1001348727.2,81943,FEDERALBNK
2025-07-04,EQ,216.99,218.25,214.05,216.99,215.5,215.32,215.82,220,172.66,5120183,1105030478.61,66868,FEDERALBNK
2025-07-03,EQ,217.75,217.95,216.06,217.75,216.98,216.99,216.92,220,172.66,4618576,1001881336.94,52518,FEDERALBNK
2025-07-02,EQ,220,220,216.17,218.72,217.16,217.75,217.3,220,172.66,11463228,2490956216.99,72785,FEDERALBNK
2025-07-01,EQ,214.35,219.45,211.6,213.12,218.82,218.72,216.57,219.45,172.66,16637063,3603090761.92,141064,FEDERALBNK
2025-06-30,EQ,211.5,214.4,210.01,208.39,212.7,213.12,212.93,217,172.66,13990271,2978972628.38,107993,FEDERALBNK
2025-06-27,EQ,210.98,210.98,207.28,210.02,209.29,208.39,208.62,217,172.13,31963885,6668152604.33,104809,FEDERALBNK
2025-06-26,EQ,211.68,211.68,205.76,210.4,209.8,210.02,208.59,217,172.13,12688408,2646641246.11,125348,FEDERALBNK
2025-06-25,EQ,210,211.6,209.26,209.22,210.47,210.4,210.69,217,172.13,8025612,1690895900.67,88184,FEDERALBNK
2025-06-24,EQ,208.49,209.95,207.4,206.95,209.1,209.22,208.8,217,172.13,4740437,989819731.41,71316,FEDERALBNK
2025-06-23,EQ,205.33,208.4,205.33,207.51,206.95,206.95,207.07,217,172.13,3500913,724928478.33,38379,FEDERALBNK
2025-06-20,EQ,204.75,208,203.55,203.92,207.23,207.51,206.36,217,172.13,9350809,1929669157.63,64194,FEDERALBNK
2025-06-19,EQ,207.3,209.53,203.26,207.08,204.11,203.92,205.96,217,172.13,10671945,2198001664.39,86920,FEDERALBNK
2025-06-18,EQ,204.77,208.4,204.6,204.77,206.8,207.08,206.58,217,172.13,7999769,1652583586.11,51927,FEDERALBNK
2025-06-17,EQ,205.89,207,204.13,205.61,205.09,204.77,204.88,217,172.13,9087952,1861934409.07,61346,FEDERALBNK
2025-06-16,EQ,205.3,206,202.34,205.3,205.75,205.61,204.48,217,172.13,3650155,746397650.85,39826,FEDERALBNK
2025-06-13,EQ,203.5,206,203.13,206.46,205.6,205.3,204.93,217,162.77,3620233,741911019.26,30987,FEDERALBNK
2025-06-12,EQ,208.6,208.6,205.87,208.12,206.36,206.46,206.78,217,162.77,4136067,855272082.15,45744,FEDERALBNK
2025-06-11,EQ,211.2,211.49,207.7,211.01,208.3,208.12,209.33,217,162.77,8873836,1857553489.6,47026,FEDERALBNK
2025-06-10,EQ,213.1,214.45,210.42,212.7,211.09,211.01,212.34,217,162.77,11160547,2369779894.91,54627,FEDERALBNK
2025-06-09,EQ,208.99,213.75,208.01,207.78,213.05,212.7,211.86,217,162.77,9749033,2065453318.76,84996,FEDERALBNK
2025-06-06,EQ,207.07,212.51,203.69,207.07,207.99,207.78,208.19,217,148,17931531,3733159747.79,72101,FEDERALBNK
