DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,4450,4474,4427.7,4443.6,4454,4454,4455.31,5165,3046.05,888000,3956310928.6,55852,HAL
2025-09-08,EQ,4424,4470,4420.1,4404.8,4449,4443.6,4448.43,5165,3046.05,599045,2664809176.8,48758,HAL
2025-09-05,EQ,4444,4475,4389,4436.9,4415,4404.8,4420.1,5165,3046.05,721098,3187324894.2,45156,HAL
2025-09-04,EQ,4479,4479,4425.1,4451,4431.8,4436.9,4450.09,5165,3046.05,1018902,4534204464.7,61568,HAL
2025-09-03,EQ,4451.5,4480.7,4428.4,4451.5,4449,4451,4451.8,5165,3046.05,764001,3401176253.2,66289,HAL
2025-09-02,EQ,4438.5,4495,4431.3,4429.6,4449,4451.5,4458.48,5165,3046.05,871222,3884321941,59521,HAL
2025-09-01,EQ,4341,4448.6,4323,4332.6,4435,4429.6,4386.15,5165,3046.05,803109,3522557700.5,64562,HAL
2025-08-29,EQ,4344.7,4415,4320,4344.7,4343,4332.6,4360.72,5165,3046.05,1036537,4520052531.6,69694,HAL
2025-08-28,EQ,4384,4430,4338.5,4383.6,4353.8,4344.7,4375.79,5165,3046.05,1163967,5093279179,93052,HAL
2025-08-26,EQ,4456,4457,4370,4457.6,4384,4383.6,4395.36,5165,3046.05,1118397,4915753835.2,101268,HAL
2025-08-25,EQ,4510,4513,4451.6,4473,4458.2,4457.6,4486.72,5165,3046.05,1205292,5407807861.5,92047,HAL
2025-08-22,EQ,4485.2,4532,4463,4474,4480,4473,4503.86,5165,3046.05,1422976,6408887559.8,98871,HAL
2025-08-21,EQ,4490,4526.8,4430.7,4468.4,4478.7,4474,4484.73,5165,3046.05,1833004,8220522275.9,97255,HAL
2025-08-20,EQ,4600,4605,4460,4452.6,4470,4468.4,4520.28,5165,3046.05,3108635,14051901196.9,162531,HAL
2025-08-19,EQ,4510,4510,4425.1,4514.3,4453,4452.6,4451.62,5165,3046.05,1264131,5627431217.2,116789,HAL
2025-08-18,EQ,4590.6,4600,4502.4,4555.1,4511.7,4514.3,4544.45,5165,3046.05,1132386,5146067502.2,83193,HAL
2025-08-14,EQ,4537,4568.5,4472.4,4524.4,4543.9,4555.1,4523.86,5165,3046.05,1265929,5726882391.4,93553,HAL
2025-08-13,EQ,4439,4568.6,4425,4409.4,4526.3,4524.4,4514.33,5165,3046.05,2711914,12242476143.4,128586,HAL
2025-08-12,EQ,4467,4489.6,4325,4444.9,4420,4409.4,4399.09,5165,3046.05,2942539,12944504888.4,203187,HAL
2025-08-11,EQ,4460,4545,4439,4440.6,4444,4444.9,4474.49,5165,3046.05,1022011,4572979403.5,81635,HAL
2025-08-08,EQ,4542,4549.9,4433.5,4550.6,4439,4440.6,4470.98,5165,3046.05,659530,2948745274.5,51901,HAL
2025-08-07,EQ,4502.9,4560,4483,4538.6,4549,4550.6,4529.05,5165,3046.05,719816,3260083993.8,56261,HAL
2025-08-06,EQ,4619,4619,4509.5,4578.2,4527,4538.6,4547.06,5165,3046.05,880916,4005577181.2,70540,HAL
2025-08-05,EQ,4537,4586,4500,4537.9,4575,4578.2,4540.5,5165,3046.05,776247,3524549371.7,71729,HAL
2025-08-04,EQ,4438.7,4544.9,4424.2,4438.7,4544,4537.9,4517.07,5165,3046.05,742464,3353760936,59011,HAL
2025-08-01,EQ,4533.9,4540.9,4428,4533.9,4431,4438.7,4472.31,5165,3046.05,649120,2903067759.3,60807,HAL
2025-07-31,EQ,4464,4577.4,4464,4545,4532.7,4533.9,4537.54,5165,3046.05,770343,3495464908.7,61929,HAL
2025-07-30,EQ,4525,4560,4500.9,4498,4546,4545,4536.06,5165,3046.05,727643,3300632252.2,55398,HAL
2025-07-29,EQ,4470.1,4519,4401,4506.6,4517,4498,4463.52,5165,3046.05,1431472,6389396761.3,125423,HAL
