DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,560,570.4,560,561.45,566.35,567.1,565.72,833,519.3,207499,117386717.45,13774,HAPPSTMNDS
2025-09-08,EQ,565,569,560.9,568.4,560.9,561.45,563.46,833,519.3,192131,108257298.85,14051,HAPPSTMNDS
2025-09-05,EQ,570.95,570.95,564.4,569.5,566.5,568.4,567.41,833,519.3,143375,81352529,11467,HAPPSTMNDS
2025-09-04,EQ,575,577,568,573.4,570.7,569.5,570.68,833,519.3,136901,78127157.3,12303,HAPPSTMNDS
2025-09-03,EQ,573.35,577.1,567.05,570.4,573.3,573.4,573.86,833,519.3,196395,112703263.65,9989,HAPPSTMNDS
2025-09-02,EQ,566.9,576.5,563,566.2,571,570.4,571.59,833,519.3,186253,106460997.85,11252,HAPPSTMNDS
2025-09-01,EQ,569.05,571.9,562.75,565.05,567.6,566.2,566.44,833,519.3,179479,101663244.8,11395,HAPPSTMNDS
2025-08-29,EQ,572.35,572.4,561.7,566.75,565.05,565.05,565.47,833,519.3,139319,78780340.6,10963,HAPPSTMNDS
2025-08-28,EQ,581.6,581.6,564,581.6,568,566.75,571.01,833,519.3,270936,154708439,17535,HAPPSTMNDS
2025-08-26,EQ,591.55,596,577.3,595.8,581.6,581.6,586.08,833,519.3,341937,200404071.1,18105,HAPPSTMNDS
2025-08-25,EQ,595,604,591,591.8,595,595.8,596.79,833,519.3,356513,212763406.55,19320,HAPPSTMNDS
2025-08-22,EQ,601.05,601.05,590.15,597.25,590.95,591.8,593.58,833,519.3,216856,128721153.45,12854,HAPPSTMNDS
2025-08-21,EQ,591.75,635,591.6,591.75,595.8,597.25,618.75,833,519.3,2932055,1814204757.05,104769,HAPPSTMNDS
2025-08-20,EQ,589.05,596.3,585,589.05,590.35,591.75,591.22,833,519.3,162920,96321934.35,13976,HAPPSTMNDS
2025-08-19,EQ,585.15,590.1,582.55,584.7,589.25,589.05,586.88,833,519.3,148138,86939891.05,9574,HAPPSTMNDS
2025-08-18,EQ,583.05,589.7,582.2,582.2,584.95,584.7,584.8,833,519.3,135317,79133380.8,9892,HAPPSTMNDS
2025-08-14,EQ,579.2,592.25,579.2,580.15,580.65,582.2,585.37,833,519.3,203270,118987495.7,12023,HAPPSTMNDS
2025-08-13,EQ,582,585,578.65,579.55,579.2,580.15,581.12,833,519.3,102385,59498040.3,7904,HAPPSTMNDS
2025-08-12,EQ,579.55,585.55,577.6,576.6,579.85,579.55,580.98,833,519.3,114475,66507860.05,9393,HAPPSTMNDS
2025-08-11,EQ,592.1,593.5,575,592.8,576.05,576.6,580.91,833,519.3,219575,127552778.7,19353,HAPPSTMNDS
2025-08-08,EQ,598.95,598.95,590.1,594,593.5,592.8,592.74,833,519.3,115737,68601571.6,6849,HAPPSTMNDS
