DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,974,974.4,962.7,966,966.45,965.15,967.81,2037.7,940,13985539,13535396477.2,181800,HDFCBANK
2025-09-08,EQ,969,973.15,960.45,963.4,967.35,966,967.58,2037.7,940,11711307,11331677355.7,193535,HDFCBANK
2025-09-05,EQ,967.5,967.5,954.05,961.25,962.6,963.4,960.7,2037.7,940,11602111,11146202039.65,210037,HDFCBANK
2025-09-04,EQ,960.2,965.7,956.25,954.45,960.95,961.25,961.34,2037.7,940,17597657,16917300954.6,212281,HDFCBANK
2025-09-03,EQ,945,956.3,940,944.5,953.95,954.45,947.66,2037.7,940,16083481,15241746460.65,288240,HDFCBANK
2025-09-02,EQ,951,954.8,944,950.6,944.7,944.5,948.8,2037.7,944,14196320,13469417784.7,343637,HDFCBANK
2025-09-01,EQ,949.6,957.45,946.35,951.6,950.8,950.6,950.62,2037.7,946.35,20178344,19181919082.15,410933,HDFCBANK
2025-08-29,EQ,954,963.3,950.1,957.8,953.4,951.6,955.24,2037.7,950.1,14823813,14160314228.1,260839,HDFCBANK
2025-08-28,EQ,967,972.2,955,973.4,961.8,957.8,962.09,2037.7,955,25438255,24473886027.8,377835,HDFCBANK
2025-08-26,EQ,979.5,985.7,968,1964.1,972.3,973.4,973.26,2037.7,968,16917731,16465410030.9,296302,HDFCBANK
2025-08-25,EQ,1960.2,1977.4,1957,1964.6,1969.2,1964.1,1967.27,2037.7,1613,8759022,17231388424.4,217503,HDFCBANK
2025-08-22,EQ,1989.9,1996,1957.1,1991.2,1965.5,1964.6,1968.66,2037.7,1613,9916751,19522714269.1,253318,HDFCBANK
2025-08-21,EQ,1997.5,1997.5,1983.2,1988.2,1990.5,1991.2,1991.62,2037.7,1613,6219925,12387722464,160599,HDFCBANK
2025-08-20,EQ,1987,1992,1979,1991.1,1988.3,1988.2,1985.13,2037.7,1613,4975114,9876263155.3,173424,HDFCBANK
2025-08-19,EQ,1998.3,2006.1,1986.7,2003.6,1990,1991.1,1995.49,2037.7,1613,6176219,12324574114.9,170899,HDFCBANK
2025-08-18,EQ,2010,2026.6,1995.6,1991.1,2005,2003.6,2008.73,2037.7,1613,9642398,19368989917.9,220027,HDFCBANK
2025-08-14,EQ,1978,1996,1971.2,1980.3,1989.5,1991.1,1990.18,2037.7,1601.15,8755858,17425742818.7,174342,HDFCBANK
2025-08-13,EQ,1994,1994,1969.1,1969.9,1979.9,1980.3,1977.14,2037.7,1601.15,6788698,13422176534.1,177703,HDFCBANK
2025-08-12,EQ,1991.9,1996,1967.5,1995.6,1969.7,1969.9,1978.54,2037.7,1601.15,6468901,12798999218.2,237925,HDFCBANK
2025-08-11,EQ,1975.9,1997.6,1973.1,1973.9,1992,1995.6,1986.89,2037.7,1601.15,4552927,9046155578.7,165998,HDFCBANK
2025-08-08,EQ,1987.1,1992.8,1970,1995.4,1972,1973.9,1978.99,2037.7,1593.3,6947632,13749288126.4,178320,HDFCBANK
2025-08-07,EQ,1980.1,2001.6,1976.8,1985.3,1998,1995.4,1986.09,2037.7,1593.3,6540593,12990237207.7,223527,HDFCBANK
2025-08-06,EQ,1971.1,1988,1970,1977.6,1987,1985.3,1978.39,2037.7,1593.3,7040102,13928074705.9,211058,HDFCBANK
2025-08-05,EQ,1986.5,1994.4,1965.5,1992,1981,1977.6,1975.61,2037.7,1593.3,11989029,23685633703.6,194332,HDFCBANK
2025-08-04,EQ,2010.1,2018.5,1988.1,2012.2,1994.4,1992,1997.96,2037.7,1593.3,6966973,13919756957.2,248150,HDFCBANK
2025-08-01,EQ,2014,2028.3,2009.3,2018.2,2016.9,2012.2,2015.24,2037.7,1593.3,5658629,11403473962.3,138595,HDFCBANK
2025-07-31,EQ,2014.6,2031.4,2008,2025.8,2018,2018.2,2020.81,2037.7,1593.3,11091516,22413795872.2,199191,HDFCBANK
2025-07-30,EQ,2028,2032.6,2017,2021.6,2025.9,2025.8,2023.94,2037.7,1593.3,7577018,15335457713.7,152763,HDFCBANK
2025-07-29,EQ,1999.9,2026.5,1996.3,2008.5,2023,2021.6,2015.07,2037.7,1593.3,9947848,20045635384.9,234546,HDFCBANK
2025-07-28,EQ,2003,2021.4,2000.5,2004.6,2009.9,2008.5,2011.08,2037.7,1593.3,6029790,12126412272.8,219624,HDFCBANK
2025-07-25,EQ,2015,2015,1999,2014.2,2005,2004.6,2005.63,2037.7,1588.05,4653299,9332802398.8,163735,HDFCBANK
2025-07-24,EQ,2037.7,2037.7,2008.4,2024.3,2011.7,2014.2,2019.12,2037.7,1588.05,9553588,19289876404.2,183573,HDFCBANK
2025-07-23,EQ,2011,2029.8,2003,2007.1,2024.5,2024.3,2019.97,2029.8,1588.05,6817458,13771089884.7,191989,HDFCBANK
