DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,71.5,71.8,69.85,70.97,70,70.06,70.51,171,68.56,11176292,788006397.69,30493,HFCL
2025-09-08,EQ,71.01,71.78,69.7,69.84,71.65,70.97,70.7,171,68.56,19859380,1404123863.68,56915,HFCL
2025-09-05,EQ,70.24,70.71,69.05,69.99,70,69.84,69.88,171,68.56,9246925,646209796.62,26135,HFCL
2025-09-04,EQ,72.25,72.56,69.86,71.68,69.99,69.99,70.88,171,68.56,7005387,496537168.73,24136,HFCL
2025-09-03,EQ,70.49,71.84,70.35,70.28,71.7,71.68,71.28,171,68.56,5871614,418502291.21,19053,HFCL
2025-09-02,EQ,71.41,71.87,70,71.33,70.41,70.28,70.9,171,68.56,11083136,785764747.71,42302,HFCL
2025-09-01,EQ,70.6,71.75,70.11,70.23,71.3,71.33,71.16,171,68.56,7052642,501834053.96,26372,HFCL
2025-08-29,EQ,69.9,70.7,68.56,69.71,69.9,70.23,69.77,171,68.56,22471463,1567721837.57,50131,HFCL
2025-08-28,EQ,71.82,72.15,69.3,71.82,69.7,69.71,70.81,171,69.3,11171055,791006207.63,44520,HFCL
2025-08-26,EQ,74.08,74.14,71.51,74.24,71.68,71.82,72.52,171,70.35,6414011,465116586.15,28916,HFCL
2025-08-25,EQ,73.95,74.75,73.51,73.62,74.15,74.24,74.15,171,70.35,6994479,518652757.12,25266,HFCL
2025-08-22,EQ,72.8,74.59,72.7,72.8,73.67,73.62,73.58,171,70.35,6243020,459343336.3,19934,HFCL
2025-08-21,EQ,75.27,76.25,72.61,75.27,72.79,72.8,74.35,171,70.35,16568740,1231909855.22,34053,HFCL
2025-08-20,EQ,74.38,75.73,74.05,74.38,75.29,75.27,75.14,171,70.35,4714243,354227135.83,17174,HFCL
2025-08-19,EQ,73.03,74.95,72.93,72.93,74.61,74.38,74.19,171,70.35,7859206,583068699.93,30232,HFCL
2025-08-18,EQ,71.98,73.27,71.75,71.09,73.03,72.93,72.65,171,70.35,5410484,393079461.41,25452,HFCL
2025-08-14,EQ,71.95,72.46,70.35,71.6,71.1,71.09,71.18,171,70.35,7160882,509701896.96,31285,HFCL
2025-08-13,EQ,72,72.8,71.41,71.99,71.66,71.6,71.9,171,71.41,5095065,366348882.47,21824,HFCL
2025-08-12,EQ,73.54,73.84,71.8,73.19,71.94,71.99,72.71,171,71.6,4513554,328162958.63,20907,HFCL
2025-08-11,EQ,73,73.87,72.25,72.95,73.19,73.19,73.08,171,71.6,4495272,328516739.86,23235,HFCL
2025-08-08,EQ,73.95,74.47,72.6,73.96,72.75,72.95,73.62,171,71.6,3733818,274872877.49,16094,HFCL
2025-08-07,EQ,72.65,74.28,72.15,72.86,74.23,73.96,73.18,171,71.6,6686300,489316415.05,23702,HFCL
2025-08-06,EQ,74.11,74.6,72.57,74.02,72.87,72.86,73.15,171,71.6,10562288,772623700.19,32506,HFCL
2025-08-05,EQ,75.15,75.54,73.65,75.01,74.11,74.02,74.3,171,71.6,4677682,347531827.92,20160,HFCL
2025-08-04,EQ,73.5,75.29,73.26,73.26,75.29,75.01,74.28,171,71.6,11714562,870132666.16,25190,HFCL
2025-08-01,EQ,75.6,76.1,72.94,75.57,73.16,73.26,74.48,171,71.6,7440393,554169122.95,28282,HFCL
2025-07-31,EQ,76.47,77.05,75.41,77,75.9,75.57,75.94,171,71.6,11844443,899422596.8,29155,HFCL
2025-07-30,EQ,78.75,79.1,76.75,78.67,76.85,77,77.74,171,71.6,5860749,455612745.32,25683,HFCL
2025-07-29,EQ,76.38,78.99,75.92,76.38,78.45,78.67,77.8,171,71.6,10464692,814185641.81,41080,HFCL
2025-07-28,EQ,75.91,79,75.46,75.94,76.29,76.38,77.43,171,71.6,13112568,1015305669.17,47345,HFCL
2025-07-25,EQ,79.29,79.78,75.4,79.25,75.9,75.94,77.09,171,71.6,19087592,1471383772.36,61520,HFCL
2025-07-24,EQ,81,81.32,79.05,80.71,79.18,79.25,79.79,171,71.6,7223726,576414503.72,31804,HFCL
2025-07-23,EQ,80.64,81.62,79.87,80.32,80.85,80.71,80.61,171,71.6,6175205,497752733.99,25349,HFCL
2025-07-22,EQ,82.13,82.94,80.01,81.73,80.85,80.32,81.08,171,71.6,7137619,578685490.47,28531,HFCL
2025-07-21,EQ,81.56,82.29,80.93,81.56,81.9,81.73,81.75,171,71.6,4551018,372033652.24,17979,HFCL
2025-07-18,EQ,82.63,83,81.08,82.61,81.55,81.56,81.82,171,71.6,5234128,428264889.68,20750,HFCL
2025-07-17,EQ,83.5,83.67,82.51,83.37,82.63,82.61,83.02,171,71.6,4235645,351655327.62,16483,HFCL
