DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,142.55,143.7,141.75,142.3,142.81,142.86,142.97,244.4,130.26,2870738,410433481.98,53660,IEX
2025-09-08,EQ,143.9,144,141.55,141.95,142.35,142.3,142.74,244.4,130.26,2833263,404417297.14,41891,IEX
2025-09-05,EQ,142.65,144.09,140,142.65,142.02,141.95,141.8,244.4,130.26,4808605,681870848.64,32384,IEX
2025-09-04,EQ,144,144.25,141.92,142.07,142.31,142.65,142.87,244.4,130.26,4500009,642911600.21,56912,IEX
2025-09-03,EQ,141.19,142.3,140.48,141.19,142,142.07,141.68,244.4,130.26,3303329,468004876.82,23348,IEX
2025-09-02,EQ,143,143.75,140.85,142.21,141.1,141.19,142.15,244.4,130.26,3872440,550480840.07,34265,IEX
2025-09-01,EQ,139.8,143.1,139.52,139.8,142.29,142.21,141.87,244.4,130.26,4039519,573071962.45,29757,IEX
2025-08-29,EQ,140,141.29,139.26,139.76,139.65,139.8,140.18,244.4,130.26,3949076,553587671.06,38389,IEX
2025-08-28,EQ,141.26,141.85,139.09,141.26,139.9,139.76,140.57,244.4,130.26,5592044,786052385.38,42708,IEX
2025-08-26,EQ,144.3,144.45,140.86,143.87,141.54,141.26,142.21,244.4,130.26,6441292,915989083.94,52069,IEX
2025-08-25,EQ,143.86,148.8,142.64,143.92,143.83,143.87,145.21,244.4,130.26,10187666,1479377217.86,59603,IEX
2025-08-22,EQ,144,146.07,143.43,144.62,143.86,143.92,144.94,244.4,130.26,6706865,972059731.27,39559,IEX
2025-08-21,EQ,143.15,146.1,142.8,143.15,144.33,144.62,144.81,244.4,130.26,8787145,1272429804.89,68606,IEX
2025-08-20,EQ,141.99,144.15,140.73,141.59,143,143.15,142.82,244.4,130.26,7543910,1077443451.6,52173,IEX
2025-08-19,EQ,140.77,141.99,138.66,141.01,141.91,141.59,140.7,244.4,130.26,7788677,1095852656.94,47882,IEX
2025-08-18,EQ,140.25,141.5,138.66,140.27,141.02,141.01,140.5,244.4,130.26,8400424,1180296532.34,80730,IEX
2025-08-14,EQ,141,141.63,139.03,141.17,140.18,140.27,140.35,244.4,130.26,5839144,819538637.45,72817,IEX
2025-08-13,EQ,138,142.29,137.81,138.08,141.1,141.17,141.01,244.4,130.26,16615911,2343071194.98,102917,IEX
2025-08-12,EQ,137.37,139.13,135.9,137.9,138,138.08,138.04,244.4,130.26,10917993,1507166712.21,70520,IEX
2025-08-11,EQ,138.45,139.04,135.2,138.04,137.37,137.9,137.26,244.4,130.26,11473028,1574754914.11,68644,IEX
2025-08-08,EQ,133.46,139.8,132.64,133.46,138.04,138.04,137.81,244.4,130.26,29027613,4000385790.27,129256,IEX
2025-08-07,EQ,131.8,134.05,130.26,132.18,133.86,133.46,131.77,244.4,130.26,14214767,1873039411.76,128675,IEX
2025-08-06,EQ,133.49,133.53,131.1,133.49,132.4,132.18,132.27,244.4,130.65,11870382,1570123238.51,68457,IEX
2025-08-05,EQ,135,135.3,131.71,133.98,133.66,133.49,133.37,244.4,130.65,18708771,2495262290.36,93799,IEX
2025-08-04,EQ,133.3,134.45,130.65,132.09,133.97,133.98,133.12,244.4,130.65,12654592,1684542039.65,75836,IEX
2025-08-01,EQ,135.44,136.47,131.72,135.3,132.14,132.09,134.05,244.4,131.5,13337730,1787905767.18,82568,IEX
2025-07-31,EQ,135,141.5,133.75,136.05,135.88,135.3,137.53,244.4,131.5,28369765,3901685230,153950,IEX
2025-07-30,EQ,135.89,138.4,133.05,134.65,135.98,136.05,135.8,244.4,131.5,38434079,5219341815.49,233277,IEX
2025-07-29,EQ,137.3,138.54,132,139.12,134.99,134.65,134.42,244.4,131.5,46588839,6262677316.1,253687,IEX
2025-07-28,EQ,146.4,146.4,132.16,145.02,138.79,139.12,138.53,244.4,131.5,84489906,11704371940.82,354076,IEX
2025-07-25,EQ,137.8,149.4,136.41,132.32,144.8,145.02,144.56,244.4,131.5,298471535,43146751880.3,851665,IEX
2025-07-24,EQ,169.1,169.1,131.5,187.89,135.49,132.32,136.25,244.4,131.5,127736986,17404316930.18,282807,IEX
2025-07-23,EQ,192.7,193.41,186.61,192.56,187.9,187.89,188.41,244.4,151,9214590,1736092029.4,61591,IEX
2025-07-22,EQ,196.94,200,191.54,195.99,192.95,192.56,195.43,244.4,151,9707232,1897043715.12,66620,IEX
2025-07-21,EQ,202.01,205,195.18,203.14,197.39,195.99,199.62,244.4,151,7836870,1564405070.84,63727,IEX
2025-07-18,EQ,205.6,206.47,202.66,205.75,202.95,203.14,204.04,244.4,151,1939814,395806944.76,22175,IEX
2025-07-17,EQ,208.01,208.99,204.6,208.31,205.6,205.75,206.18,244.4,151,4645862,957880812.83,39066,IEX
2025-07-16,EQ,208.5,209.99,207.32,208.98,208.4,208.31,208.57,244.4,151,3661850,763763388.8,36893,IEX
2025-07-15,EQ,207.06,209.4,206.3,207.13,208.8,208.98,208.29,244.4,151,3061720,637713776.61,27997,IEX
2025-07-14,EQ,205.7,208.6,205.1,206.43,207.06,207.13,206.71,244.4,151,4396685,908835948.89,39145,IEX
2025-07-11,EQ,205.5,208,203.2,206.38,206.25,206.43,205.88,244.4,151,3543960,729621458.54,38043,IEX
2025-07-10,EQ,208,209.7,205.51,207.96,206.47,206.38,207.43,244.4,151,5122463,1062560962.39,41000,IEX
2025-07-09,EQ,201,211.75,199.05,200.99,207.35,207.96,208.02,244.4,151,23167001,4819118775.97,124956,IEX
2025-07-08,EQ,198.92,202.5,198,199.33,201,200.99,200.49,244.4,151,8012831,1606519874.03,62361,IEX
2025-07-07,EQ,197.5,199.6,196.22,197.63,198.92,199.33,198.39,244.4,151,3414788,677475085.55,30741,IEX
2025-07-04,EQ,198.8,200.69,196.01,197.75,197.5,197.63,198.6,244.4,151,5507326,1093744923.9,41429,IEX
2025-07-03,EQ,195.9,199,194.2,195.24,197.91,197.75,197.3,244.4,151,5983801,1180617215.48,38828,IEX
2025-07-02,EQ,193.09,196.8,192.96,193.09,194.8,195.24,195.25,244.4,151,7017146,1370109503.91,54994,IEX
2025-07-01,EQ,194,194.11,191.61,193.11,192.92,193.09,192.82,244.4,151,5051293,973991637.83,58257,IEX
2025-06-30,EQ,190.01,193.5,189.75,189.28,193.12,193.11,191.7,244.4,151,5838078,1119168389.24,47438,IEX
2025-06-27,EQ,190.2,192.1,187.6,190.14,189.03,189.28,189.91,244.4,151,7150860,1357988443.18,76488,IEX
2025-06-26,EQ,188,191,186.06,189.01,189.8,190.14,188.77,244.4,151,7789161,1470392959.03,61718,IEX
2025-06-25,EQ,189,194.34,188.15,187.77,188.66,189.01,191.25,244.4,151,8160730,1560710999.27,48182,IEX
2025-06-24,EQ,184.5,189.52,184.15,182.58,187.65,187.77,187.53,244.4,151,9357972,1754924374.93,60543,IEX
2025-06-23,EQ,181.1,183.38,180,182.51,182.17,182.58,181.87,244.4,151,2886661,524988301.59,26773,IEX
2025-06-20,EQ,179,183,178.86,178.85,182.6,182.51,181.21,244.4,151,4394466,796331694.15,30891,IEX
2025-06-19,EQ,183.4,185.9,178.5,183.31,178.76,178.85,181.96,244.4,151,5713629,1039659051.36,48108,IEX
2025-06-18,EQ,186.76,188,182.78,186.76,183.39,183.31,184.67,244.4,151,5428591,1002511509.55,35872,IEX
2025-06-17,EQ,190.19,190.9,185.58,190.1,186.39,186.76,187.74,244.4,151,7294833,1369530128.41,45078,IEX
2025-06-16,EQ,187.22,191.08,183.7,187.22,190.08,190.1,187.75,244.4,151,7804072,1465229475.52,48243,IEX
2025-06-13,EQ,187.01,189,186,190.21,186.99,187.22,187.64,244.4,151,7101481,1332535716.12,50049,IEX
2025-06-12,EQ,195,196.33,188.93,193.68,190.5,190.21,192.05,244.4,151,22026039,4229991276.74,121064,IEX
2025-06-11,EQ,211.6,214.2,188.59,210.01,193.28,193.68,195.35,244.4,151,71166193,13902545704.16,341901,IEX
2025-06-10,EQ,210.9,212,207.7,209.31,210.1,210.01,209.61,244.4,151,12648712,2651331324.54,72964,IEX
2025-06-09,EQ,203.65,215.4,203.5,202.13,209.99,209.31,210.87,244.4,151,35814295,7552238183.26,201929,IEX
2025-06-06,EQ,200.19,204.35,198.57,199.33,202.51,202.13,201.73,244.4,134.15,12286701,2478636821.29,54768,IEX
2025-06-05,EQ,203,203.59,195.62,202.01,199.44,199.33,198.75,244.4,134.15,10137602,2014874841.66,67143,IEX
2025-06-04,EQ,202,204.5,197,201.17,202.2,202.01,201.27,244.4,134.15,17829093,3588485324.56,73281,IEX
2025-06-03,EQ,201,203,199.1,200.63,200.8,201.17,201.23,244.4,134.15,4776429,961158728.38,41268,IEX
2025-06-02,EQ,200.5,203.35,198.67,200.55,199.7,200.63,201.11,244.4,134.15,7869316,1582563185.92,35937,IEX
2025-05-30,EQ,199.81,203.19,197.52,199.81,199.92,200.55,200.52,244.4,134.15,10105269,2026327674.8,52227,IEX
2025-05-29,EQ,197.81,200.5,197.21,197.81,199.9,199.81,199.04,244.4,134.15,5167254,1028503687.49,57458,IEX
2025-05-28,EQ,199.45,201.33,197.34,199.45,197.8,197.81,199.13,244.4,134.15,4606287,917270020.15,41424,IEX
2025-05-27,EQ,194.5,199.99,194.42,194.5,199.48,199.45,198.26,244.4,134.15,5954518,1180523561.77,37556,IEX
2025-05-26,EQ,195.98,197.77,193.59,195.03,194.5,194.5,194.94,244.4,134.15,2182375,425440062.57,17501,IEX
2025-05-23,EQ,195.5,195.95,193.25,194.83,194.71,195.03,195.01,244.4,134.15,2027729,395431017.95,18345,IEX
2025-05-22,EQ,199,199.23,192.72,199.18,194.95,194.83,195.38,244.4,134.15,3789004,740296404.56,37321,IEX
2025-05-21,EQ,197.45,200.77,195.33,197.45,198.88,199.18,198.25,244.4,134.15,3691869,731920644.17,27806,IEX
2025-05-20,EQ,198.1,200.43,197.11,197.63,197.76,197.45,198.7,244.4,134.15,4117067,818046305.6,40884,IEX
2025-05-19,EQ,200.9,202.39,197,199.86,197.6,197.63,199.51,244.4,134.15,5216563,1040777633.11,46913,IEX
2025-05-16,EQ,196.79,201,194.76,197.48,199.4,199.86,198.45,244.4,134.15,7133581,1415663275.05,66735,IEX
2025-05-15,EQ,199,200.89,196.26,197.25,197.75,197.48,198.38,244.4,134.15,4898463,971743392.69,64228,IEX
2025-05-14,EQ,194.99,197.69,193.25,194.8,197,197.25,196.5,244.4,134.15,7080077,1391268888.5,111426,IEX
2025-05-13,EQ,195,195.7,193.4,194.95,194.75,194.8,194.67,244.4,134.15,3698819,720042979.89,26905,IEX
2025-05-12,EQ,196,196.5,192.6,189.38,194.94,194.95,195.19,244.4,134.15,5491611,1071901343.66,45558,IEX
2025-05-09,EQ,182,190.05,182,189.9,189.2,189.38,187.78,244.4,134.15,4682343,879233285.32,37425,IEX
2025-05-08,EQ,196.47,197.86,187.2,196.46,188.49,189.9,193.67,244.4,134.15,3495893,677065412.1,35455,IEX
2025-05-07,EQ,187,197.8,186.63,190.99,195.81,196.46,195.21,244.4,134.15,9443756,1843534281.26,63191,IEX
2025-05-06,EQ,199,200,190.24,195.14,190.63,190.99,193.76,244.4,134.15,8886830,1721954212.71,59704,IEX
2025-05-05,EQ,191.5,196.49,190.25,190.69,195,195.14,194.74,244.4,134.15,6172085,1201930234.79,48702,IEX
2025-05-02,EQ,190.35,193.99,189.13,190.35,190.9,190.69,191.42,244.4,134.15,4236466,810926358.22,43469,IEX
2025-04-30,EQ,193.5,194.65,188.52,192.82,191,190.35,191.77,244.4,134.15,5244268,1005706335.3,35770,IEX
2025-04-29,EQ,195.47,196.5,192.03,195.21,193.5,192.82,194.01,244.4,134.15,5621470,1090644632.43,42782,IEX
2025-04-28,EQ,190,196.9,190,190.5,195,195.21,194.04,244.4,134.15,11359210,2204097248.55,68281,IEX
2025-04-25,EQ,194.79,201.35,189.46,190.84,190,190.5,195.96,244.4,134.15,63450190,12433969625.62,269189,IEX
2025-04-24,EQ,191.33,192.92,189.23,191.33,191.25,190.84,191.6,244.4,134.15,4623926,885949794.9,32274,IEX
2025-04-23,EQ,191,191.9,187.06,189.7,191.3,191.33,189.65,244.4,134.15,3918207,743081630.7,35053,IEX
2025-04-22,EQ,190.15,192.8,188.34,189.97,189.6,189.7,190.82,244.4,134.15,3570060,681221376.45,30133,IEX
2025-04-21,EQ,187.62,190.71,187.26,187.62,190.15,189.97,189.82,244.4,134.15,2993780,568270269.96,25472,IEX
2025-04-17,EQ,186.61,189.53,185.61,186.61,187.5,187.62,187.88,244.4,134.15,4374184,821828740.72,36740,IEX
2025-04-16,EQ,184.3,186.99,183.5,184.01,186.99,186.61,185.74,244.4,134.15,3694080,686144882.33,34181,IEX
2025-04-15,EQ,181,184.49,180.26,179.03,184.21,184.01,182.67,244.4,134.15,4531924,827858530.04,34166,IEX
2025-04-11,EQ,180,181.24,177.08,177.4,179,179.03,179.15,244.4,134.15,2959611,530211333.19,24755,IEX
2025-04-09,EQ,176.8,179.51,173.45,176.9,177.1,177.4,177.07,244.4,134.15,3130795,554364643.14,30212,IEX
2025-04-08,EQ,175.2,179.5,174.2,173.8,176.84,176.9,177.26,244.4,134.15,3039914,538851092.81,35419,IEX
2025-04-07,EQ,160.66,176,160.66,178.52,173.7,173.8,172.77,244.4,134.15,6931298,1197550254.85,52248,IEX
2025-04-04,EQ,182.9,183.44,175.1,182.05,179.1,178.52,178.35,244.4,134.15,7089543,1264418522.26,76632,IEX
2025-04-03,EQ,175.5,182.89,175.5,177.99,182.32,182.05,180.62,244.4,134.15,4238026,765483406.02,30753,IEX
2025-04-02,EQ,176.35,178.3,174.67,176.73,177.8,177.99,176.62,244.4,134.15,3095795,546770084.2,25617,IEX
2025-04-01,EQ,175.15,178.94,174.15,175.77,176.8,176.73,176.4,244.4,134.15,4161026,734012584.06,30659,IEX
