DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,5670,5706.5,5608,5696.5,5640,5637.5,5650.74,6232.5,3780,549536,3105284380,64576,INDIGO
2025-09-08,EQ,5681,5739.5,5660,5670,5683,5696.5,5710.83,6232.5,3780,603400,3445915597.5,52524,INDIGO
2025-09-05,EQ,5705,5710,5637,5695,5673,5670,5669.97,6232.5,3780,820854,4654219837,58786,INDIGO
2025-09-04,EQ,5780,5794,5686,5740,5691,5695,5732.74,6232.5,3780,658347,3774131271,71997,INDIGO
2025-09-03,EQ,5660.5,5747.5,5660.5,5665.5,5740.5,5740,5709.98,6232.5,3780,801254,4575141715.5,68819,INDIGO
2025-09-02,EQ,5679,5690,5646.5,5670,5665,5665.5,5667.88,6232.5,3780,579446,3284229819.5,50734,INDIGO
2025-09-01,EQ,5629.5,5710,5582,5646,5672,5670,5659.32,6232.5,3780,1708748,9670353038.5,116217,INDIGO
2025-08-29,EQ,5715,5739,5610,5727,5615,5646,5672.82,6232.5,3780,1628751,9239605135.5,158469,INDIGO
2025-08-28,EQ,5875,5875,5709.5,6050,5734,5727,5802.26,6232.5,3780,18614885,108008357517.5,269649,INDIGO
2025-08-26,EQ,6100,6101.5,6017,6116,6031,6050,6061.54,6232.5,3780,920406,5579078667,88020,INDIGO
2025-08-25,EQ,6149.5,6149.5,6028.5,6086.5,6118,6116,6090.05,6232.5,3780,478863,2916301573,57869,INDIGO
2025-08-22,EQ,6099,6145,6072.5,6099,6083.5,6086.5,6100.62,6232.5,3780,596200,3637187159,50208,INDIGO
2025-08-21,EQ,6100,6125,6010,6155.5,6094.5,6099,6082.45,6232.5,3780,689343,4192896593,78381,INDIGO
2025-08-20,EQ,6050,6173.5,6026.5,6055.5,6155,6155.5,6127.66,6232.5,3780,501673,3074083081,67110,INDIGO
2025-08-19,EQ,6060,6129,6021,6096.5,6055,6055.5,6056.55,6232.5,3780,499624,3025996512.5,60398,INDIGO
2025-08-18,EQ,6009,6232.5,6009,6002.5,6120,6096.5,6136,6232.5,3780,1148778,7048901657.5,111109,INDIGO
2025-08-14,EQ,5978,6055,5955.5,5969.5,5991.5,6002.5,6007.08,6055,3780,767646,4611309126,112327,INDIGO
2025-08-13,EQ,5886,5993,5886,5927.5,5963,5969.5,5966.57,6018,3780,510227,3044305831,65568,INDIGO
2025-08-12,EQ,5825,5962.5,5824,5878.5,5922,5927.5,5929.5,6018,3780,883247,5237213023.5,78872,INDIGO
2025-08-11,EQ,5742,5905,5734.5,5769.5,5867.5,5878.5,5871.01,6018,3780,799984,4696716504,60289,INDIGO
2025-08-08,EQ,5848.5,5865,5761,5859,5774,5769.5,5806.27,6018,3780,345649,2006930089.5,37935,INDIGO
2025-08-07,EQ,5893.5,5907,5793.5,5893.5,5884,5859,5849.52,6018,3780,483125,2826047752,50167,INDIGO
2025-08-06,EQ,5800,5916,5781.5,5781.5,5871,5893.5,5876.78,6018,3780,980678,5763225819,103516,INDIGO
2025-08-05,EQ,5765.5,5802,5706,5780.5,5766,5781.5,5757.67,6018,3780,929923,5354187394.5,89749,INDIGO
2025-08-04,EQ,5800,5817,5742,5788.5,5770.5,5780.5,5778.99,6018,3780,545636,3153223428.5,48546,INDIGO
2025-08-01,EQ,5870,5913.5,5780.5,5910.5,5789.5,5788.5,5824.5,6018,3780,523408,3048589568.5,49847,INDIGO
2025-07-31,EQ,5625,5930.5,5606.5,5740,5895.5,5910.5,5842.13,6018,3780,2572409,15028351914,181042,INDIGO
2025-07-30,EQ,5800,5805.5,5698,5756,5717.5,5740,5738.73,6018,3780,1217558,6987233800.5,90778,INDIGO
2025-07-29,EQ,5725.5,5795,5703,5762,5765,5756,5753.37,6018,3780,634249,3649071989.5,66575,INDIGO
2025-07-28,EQ,5771,5870.5,5745,5803,5756.5,5762,5794.34,6018,3780,506105,2932543451,53767,INDIGO
2025-07-25,EQ,5815,5857,5760.5,5844,5785,5803,5797.89,6018,3780,877612,5088296261.5,68534,INDIGO
2025-07-24,EQ,5840,5933,5825.5,5897,5838.5,5844,5871.93,6018,3780,343255,2015569100,46306,INDIGO
2025-07-23,EQ,5925,5957,5815,5948,5900,5897,5873.24,6018,3780,585120,3436547997,66258,INDIGO
2025-07-22,EQ,5900,5959.5,5871,5878,5957,5948,5923.66,6018,3780,514262,3046315233.5,71408,INDIGO
2025-07-21,EQ,5900,5910,5820,5861,5890,5878,5873.71,6018,3780,491974,2889711995.5,52386,INDIGO
2025-07-18,EQ,5818,5869,5790,5796.5,5854,5861,5840.96,6018,3780,789730,4612779077.5,68328,INDIGO
2025-07-17,EQ,5931,5958,5770,5950,5800,5796.5,5828.99,6018,3780,1351389,7877227142.5,96583,INDIGO
2025-07-16,EQ,5919.5,5958.5,5865.5,5930.5,5940,5950,5927.81,6018,3780,842097,4991787681.5,62154,INDIGO
