DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,713.1,715.7,710.2,713.1,713,713.2,712.5,957.1,656,287154,204598043.5,15270,IRCTC
2025-09-08,EQ,714,718.5,711.8,714.05,713,713.1,714.84,957.1,656,382250,273249119.5,22568,IRCTC
2025-09-05,EQ,711.3,714.9,706,711.1,714,714.05,712.06,957.1,656,460678,328031366.25,20244,IRCTC
2025-09-04,EQ,715,716.65,709.7,712.85,711.5,711.1,712.35,957.1,656,509597,363009150.45,22779,IRCTC
2025-09-03,EQ,713,713.55,708.35,712,713.25,712.85,711.41,957.1,656,386447,274922219.3,22224,IRCTC
2025-09-02,EQ,703.95,713.6,701.1,703.95,711.5,712,709.97,957.1,656,885201,628467873.1,30120,IRCTC
2025-09-01,EQ,692.5,705.95,691.4,691.95,705.75,703.95,700.3,957.1,656,631745,442410738.1,26161,IRCTC
2025-08-29,EQ,700,702,689.8,699.65,692,691.95,695.44,957.1,656,856066,595341927,36076,IRCTC
2025-08-28,EQ,717,717,697.4,717.25,700.95,699.65,705.08,957.1,656,1668258,1176252768.9,68211,IRCTC
2025-08-26,EQ,720,724.5,715,721.85,716,717.25,719.73,957.1,656,1384604,996541879.25,42715,IRCTC
2025-08-25,EQ,726.75,727.55,721,725,721.4,721.85,722.79,957.1,656,881565,637190198.45,35000,IRCTC
2025-08-22,EQ,725.7,727,720.1,725.7,724,725,723.91,957.1,656,673850,487806031,22574,IRCTC
2025-08-21,EQ,730.9,734.3,724.05,731.2,725.5,725.7,729.62,957.1,656,405628,295954916.85,17470,IRCTC
2025-08-20,EQ,726.4,733.3,726.4,726.4,731,731.2,731.02,957.1,656,521749,381410902.45,24728,IRCTC
2025-08-19,EQ,722.5,727.25,721.15,721.9,727,726.4,725.05,957.1,656,392467,284559281.7,17779,IRCTC
2025-08-18,EQ,730,731.8,720.4,724.8,722.15,721.9,724.96,957.1,656,632805,458757830.45,27550,IRCTC
2025-08-14,EQ,733.5,737.75,721.8,727.35,724.8,724.8,728.46,957.1,656,1074069,782412443.4,33548,IRCTC
2025-08-13,EQ,721.05,729.8,720,720.55,728.9,727.35,724.4,957.1,656,592729,429373407.2,23347,IRCTC
2025-08-12,EQ,724,728.05,720,723.3,720.15,720.55,724.44,957.1,656,275269,199415892.75,15371,IRCTC
2025-08-11,EQ,718.7,725.35,716.25,718.95,723.5,723.3,722.24,957.1,656,447545,323233814.1,22935,IRCTC
2025-08-08,EQ,727.4,730.9,717,727.15,717.8,718.95,722.75,957.1,656,359497,259827019.2,17953,IRCTC
2025-08-07,EQ,725,728.9,716.1,729.65,727.4,727.15,722.89,957.1,656,804696,581709556,30140,IRCTC
2025-08-06,EQ,736,743,724.3,726.25,729,729.65,732.74,957.1,656,1507424,1104543805.4,45325,IRCTC
2025-08-05,EQ,729.9,731.75,721.75,729.9,725.5,726.25,725.51,957.1,656,560776,406850977.9,23772,IRCTC
2025-08-04,EQ,717,732.2,712.7,719.2,729.3,729.9,724.09,957.1,656,551240,399147184.9,26054,IRCTC
2025-08-01,EQ,725,725,716,726.05,717,719.2,719.88,1000.8,656,1040532,749056418.6,37509,IRCTC
2025-07-31,EQ,730,732.45,723.1,736.15,726.8,726.05,727.69,1000.8,656,704978,513005146.1,27731,IRCTC
2025-07-30,EQ,736,744.3,734.05,735.8,738,736.15,739.69,1000.8,656,774642,572997223.6,33289,IRCTC
2025-07-29,EQ,728,738.5,727,730.1,736,735.8,733.3,1000.8,656,456870,335023066.2,23652,IRCTC
2025-07-28,EQ,746.5,750,728.1,746.25,729.2,730.1,736.86,1000.8,656,523766,385944323.45,31880,IRCTC
2025-07-25,EQ,757,757.05,742.1,757.15,746.4,746.25,747.09,1015.7,656,878236,656122076.6,34086,IRCTC
2025-07-24,EQ,763,765.7,756,761.95,757,757.15,759.69,1015.7,656,384144,291831954.7,18577,IRCTC
2025-07-23,EQ,761.55,762.95,756.8,760.6,761.95,761.95,760.4,1015.7,656,558332,424555831.4,28774,IRCTC
2025-07-22,EQ,770.45,773.3,759,770.45,760.95,760.6,763.76,1015.7,656,485187,370568740.85,19858,IRCTC
2025-07-21,EQ,765.6,771.8,758.65,765.3,771.35,770.45,766.5,1015.7,656,522909,400807377.75,20518,IRCTC
2025-07-18,EQ,774.1,775.7,763.6,774.75,766.3,765.3,767.25,1047.4,656,450648,345759732.45,25903,IRCTC
2025-07-17,EQ,778,781.9,773.3,776.6,774.85,774.75,777.6,1047.4,656,435163,338381182.85,22309,IRCTC
2025-07-16,EQ,773.95,777.9,771.5,773.95,776.6,776.6,775.17,1047.4,656,481239,373043511.3,21280,IRCTC
2025-07-15,EQ,770.3,776.9,769.3,770.3,774.7,773.95,772.89,1047.4,656,405335,313277816.6,20800,IRCTC
2025-07-14,EQ,773.7,777.6,767.25,773.7,771.3,770.3,771.7,1047.4,656,540108,416800872.9,18360,IRCTC
2025-07-11,EQ,781.1,783.7,770.05,784.2,773.3,773.7,776.67,1059.45,656,512434,397994353.9,21235,IRCTC
2025-07-10,EQ,788,790.8,782.9,786.05,784.2,784.2,785.97,1059.45,656,626845,492684211.55,26472,IRCTC
2025-07-09,EQ,787.05,798.6,784.2,785.2,786,786.05,790.94,1059.45,656,1442155,1140659891.8,42375,IRCTC
2025-07-08,EQ,784.7,785.95,780.2,784.35,785.1,785.2,784.2,1059.45,656,791455,620659441.65,27519,IRCTC
2025-07-07,EQ,782.65,786.55,775.05,781.15,784.7,784.35,783.21,1059.45,656,876286,686316803.25,29774,IRCTC
2025-07-04,EQ,779.6,785.9,773.15,778.5,781.25,781.15,779.32,1059.45,656,703398,548170306.15,27417,IRCTC
2025-07-03,EQ,776.9,783.15,774.15,775.5,780,778.5,779.59,1059.45,656,660457,514885325.05,31654,IRCTC
2025-07-02,EQ,776,780.85,768.5,775.5,775.8,775.5,775.73,1059.45,656,1093414,848195009.6,41523,IRCTC
2025-07-01,EQ,784.1,785.25,771.3,781.5,775,775.5,775.69,1059.45,656,886549,687690005.3,49448,IRCTC
2025-06-30,EQ,788.55,789.9,777,785.25,781.7,781.5,783.08,1059.45,656,1037262,812258935.4,46976,IRCTC
2025-06-27,EQ,774,789.2,773.2,773.05,785,785.25,784.16,1059.45,656,1772042,1389572711.8,49242,IRCTC
2025-06-26,EQ,770,774.75,763,767.55,772.4,773.05,769.59,1059.45,656,864747,665497262.35,38110,IRCTC
2025-06-25,EQ,770,772.6,765.5,762,767.95,767.55,768.44,1059.45,656,820300,630354755.6,23799,IRCTC
2025-06-24,EQ,763.1,770.65,761.1,757.85,761.85,762,765.18,1059.45,656,578906,442965063.95,23136,IRCTC
2025-06-23,EQ,746.5,759.75,746.5,756.6,756.7,757.85,755.19,1059.45,656,685543,517712069.55,25049,IRCTC
2025-06-20,EQ,745.55,758.4,743.85,746.8,756,756.6,754.98,1059.45,656,861498,650416917.7,23904,IRCTC
2025-06-19,EQ,760,761.95,743.3,759.7,747,746.8,749.81,1059.45,656,1139746,854590566.65,36248,IRCTC
2025-06-18,EQ,766.45,771.7,757.6,768.7,759,759.7,763.18,1059.45,656,542096,413717011.35,22066,IRCTC
