DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,145.69,146.19,144.36,145.55,145.46,145.09,145.27,240,137.01,2521588,366303087.22,29973,IREDA
2025-09-08,EQ,146.01,147.3,145.28,145.51,145.8,145.55,146.32,240,137.01,2882119,421706272.51,27004,IREDA
2025-09-05,EQ,144.8,146.21,143.2,144.01,145.89,145.51,144.88,241.35,137.01,3657064,529848430.07,25946,IREDA
2025-09-04,EQ,147.69,147.8,143.77,145.7,144.1,144.01,145.71,241.35,137.01,4245679,618656446.23,31880,IREDA
2025-09-03,EQ,144.8,146,144.5,144.14,145.95,145.7,145.32,241.35,137.01,3407827,495211124.33,27720,IREDA
2025-09-02,EQ,143.25,146.75,142.45,142.51,144.2,144.14,144.67,241.35,137.01,6130396,886905745.5,39201,IREDA
2025-09-01,EQ,141.15,142.74,140.76,140.5,142.74,142.51,142,241.35,137.01,4554608,646732516.24,36645,IREDA
2025-08-29,EQ,141.49,142.5,140.01,141.03,140.74,140.5,140.94,262.95,137.01,5708698,804562666.44,39869,IREDA
2025-08-28,EQ,144,144.65,140.63,144.17,141,141.03,142.53,262.95,137.01,7014954,999824615.04,58947,IREDA
2025-08-26,EQ,147.95,148.67,143.8,147.7,144.16,144.17,145.34,262.95,137.01,5093969,740356060.25,43519,IREDA
2025-08-25,EQ,147.98,149.48,146.73,147.48,148.15,147.7,148.22,262.95,137.01,5109249,757269394.22,37733,IREDA
2025-08-22,EQ,147.1,149.2,146.6,147.28,147.4,147.48,148.05,265.8,137.01,3658082,541579109.24,27302,IREDA
2025-08-21,EQ,148.9,151.99,146.61,148.78,147.1,147.28,149.64,265.8,137.01,8194223,1226146479.24,46865,IREDA
2025-08-20,EQ,148.91,149.5,147.79,148.91,148.9,148.78,148.75,265.8,137.01,3377666,502440986.57,32576,IREDA
2025-08-19,EQ,147.9,149.1,146.57,147.39,148.94,148.91,148.03,265.8,137.01,3724924,551405603.25,28735,IREDA
2025-08-18,EQ,145.54,148.4,144.9,143.86,147.5,147.39,146.84,265.8,137.01,6107771,896843842.91,40226,IREDA
2025-08-14,EQ,144.24,145,143,144.24,143.9,143.86,143.81,265.8,137.01,2888240,415358410.29,27511,IREDA
2025-08-13,EQ,144.25,145,143.25,143.57,144.25,144.24,144.14,265.8,137.01,3146940,453594014.79,27930,IREDA
2025-08-12,EQ,144.9,145.94,143.3,144.86,143.5,143.57,144.66,265.8,137.01,2899573,419458855.08,27221,IREDA
2025-08-11,EQ,142.6,145.09,141.55,142.32,144.9,144.86,143.79,265.8,137.01,4381853,630072612.86,40163,IREDA
2025-08-08,EQ,145.01,145.55,142,144.57,142.3,142.32,143.8,265.8,137.01,4286844,616437424.25,45596,IREDA
2025-08-07,EQ,143.8,145.45,140.26,144.36,145.45,144.57,142.75,265.8,137.01,6734089,961257787.95,54321,IREDA
2025-08-06,EQ,146.77,147.32,143.62,146.63,144.38,144.36,145.21,265.8,137.01,4802241,697327163.44,39869,IREDA
2025-08-05,EQ,148.03,149,146,148.03,146.7,146.63,147.26,265.8,137.01,3921938,577540973.73,38354,IREDA
2025-08-04,EQ,146.5,148.49,145.86,145.69,148.46,148.03,147.45,265.8,137.01,5468185,806290541.7,35617,IREDA
2025-08-01,EQ,147.45,148.65,145.2,147.38,146,145.69,147.19,269.95,137.01,5314027,782188539.71,45777,IREDA
2025-07-31,EQ,149,150.16,145,150.22,147.45,147.38,148.59,269.95,137.01,7208345,1071100995.89,55787,IREDA
2025-07-30,EQ,150.92,151.77,150,150.49,150.1,150.22,150.78,269.95,137.01,5136389,774448561.43,32561,IREDA
2025-07-29,EQ,150.49,150.97,147.11,150.49,150.74,150.49,149.22,269.95,137.01,7688547,1147272003.47,60741,IREDA
2025-07-28,EQ,153.25,155.79,149.9,153.25,150.18,150.49,152.72,269.95,137.01,6316214,964625985.63,63522,IREDA
2025-07-25,EQ,156.2,156.35,153,156.21,153.15,153.25,154.32,282.9,137.01,5486698,846704394.16,48435,IREDA
2025-07-24,EQ,156.98,158.07,156,156.91,156.2,156.21,156.88,282.9,137.01,4352512,682806637.12,35694,IREDA
2025-07-23,EQ,156.5,157.5,155.25,156.22,157.3,156.91,156.26,282.9,137.01,4995506,780591876.74,41273,IREDA
2025-07-22,EQ,157.48,158.49,156,157.3,156.22,156.22,157.07,282.9,137.01,4399404,691024868.01,42912,IREDA
2025-07-21,EQ,157.39,158.29,155.61,157.39,157.4,157.3,157.28,282.9,137.01,5457193,858320969.11,38272,IREDA
2025-07-18,EQ,159.59,159.7,157.1,159.24,157.14,157.39,158.07,310,137.01,4930315,779349925.57,48706,IREDA
2025-07-17,EQ,160.5,160.75,159.01,160.03,159.19,159.24,159.63,310,137.01,4479996,715131746.61,36724,IREDA
2025-07-16,EQ,160,160.8,159.5,159.64,160,160.03,160.13,310,137.01,5109899,818225268.58,34843,IREDA
2025-07-15,EQ,160,160.75,158.91,159,159.7,159.64,159.92,310,137.01,7758098,1240708998.87,44641,IREDA
2025-07-14,EQ,160,160,156.5,160,159.1,159,158.5,310,137.01,11904949,1886918916.8,70733,IREDA
2025-07-11,EQ,161,163.55,159.75,169.64,160,160,161.25,310,137.01,40559918,6540101760.48,218997,IREDA
2025-07-10,EQ,167,170.16,167,165.91,169.88,169.64,168.96,310,137.01,20692786,3496335460.95,89736,IREDA
2025-07-09,EQ,167.1,167.27,164.12,166.48,166.2,165.91,165.46,310,137.01,8823909,1460040335.72,53272,IREDA
2025-07-08,EQ,167.5,167.97,165.2,167.13,166.59,166.48,166.53,310,137.01,4694765,781825425.35,34769,IREDA
