DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,26.2,26.29,25.48,26,25.8,25.8,25.76,177.5,24.8,2565763,66103807.94,7903,KELLTONTEC
2025-09-08,EQ,25.7,28.13,25.7,25.28,25.99,26,26.85,177.5,24.8,11023592,295963551.27,30503,KELLTONTEC
2025-09-05,EQ,25.54,25.79,25.13,25.38,25.5,25.28,25.42,177.5,24.8,1575544,40054324.46,5431,KELLTONTEC
2025-09-04,EQ,25.87,26.09,25.3,25.62,25.4,25.38,25.52,177.5,24.8,1483922,37874182.39,6071,KELLTONTEC
2025-09-03,EQ,25.55,25.98,25.51,25.66,25.69,25.62,25.68,177.5,24.8,1042415,26765390.27,4444,KELLTONTEC
2025-09-02,EQ,25.73,26.1,25.57,25.67,25.74,25.66,25.8,177.5,24.8,1759628,45406507.72,6101,KELLTONTEC
2025-09-01,EQ,25.74,26.15,25.54,25.65,25.63,25.67,25.73,177.5,24.8,1180213,30368206.84,5711,KELLTONTEC
2025-08-29,EQ,25.77,25.98,25.4,25.66,25.73,25.65,25.64,177.5,24.8,1225335,31415909.84,5457,KELLTONTEC
2025-08-28,EQ,25.48,25.82,25.1,25.48,25.73,25.66,25.54,177.5,24.8,1540801,39347709.97,6108,KELLTONTEC
2025-08-26,EQ,25.8,26.06,25.36,25.81,25.49,25.48,25.63,177.5,24.8,1967851,50432769.66,6990,KELLTONTEC
2025-08-25,EQ,26.01,26.3,25.71,25.81,25.76,25.81,25.95,177.5,24.8,1279404,33198430.93,4934,KELLTONTEC
2025-08-22,EQ,25.99,26.15,25.69,25.9,25.87,25.81,25.91,177.5,24.8,1596889,41369417.33,5148,KELLTONTEC
2025-08-21,EQ,26.2,26.29,25.81,25.92,25.98,25.9,26.04,177.5,24.8,1843886,48014784.8,6322,KELLTONTEC
2025-08-20,EQ,25.96,26.56,25.75,25.89,25.93,25.92,26.13,177.5,24.8,3570709,93290664.86,9507,KELLTONTEC
2025-08-19,EQ,26,26.73,25.51,26.03,25.99,25.89,26.1,177.5,24.8,5066064,132227942.47,13831,KELLTONTEC
