DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,2668,2702,2663.1,2665,2690,2684,2682.42,5349,1918.05,601801,1614281862.7,38285,MAZDOCK
2025-09-08,EQ,2675,2692.5,2659.9,2670.7,2668,2665,2676.14,5349,1918.05,660270,1766972453.2,37503,MAZDOCK
2025-09-05,EQ,2670,2696.5,2647,2680.3,2685,2670.7,2672.7,5349,1918.05,795647,2126522998.9,40484,MAZDOCK
2025-09-04,EQ,2740,2748.7,2675.1,2715.8,2685.3,2680.3,2702.86,5349,1918.05,922825,2494264941.9,48763,MAZDOCK
2025-09-03,EQ,2740,2779,2703.5,2731,2716,2715.8,2737.73,5349,1918.05,1275347,3491552928.7,64441,MAZDOCK
2025-09-02,EQ,2655,2756.9,2636,2653.3,2733,2731,2712.54,5349,1918.05,1849519,5016887032.3,89412,MAZDOCK
2025-09-01,EQ,2610,2661.4,2589,2603.1,2659.4,2653.3,2631.77,5349,1918.05,1360542,3580638048.3,72532,MAZDOCK
2025-08-29,EQ,2628.5,2660,2596.7,2628.1,2605,2603.1,2627.39,5349,1918.05,1141973,3000412968.9,69532,MAZDOCK
2025-08-28,EQ,2664,2695.8,2620.1,2687.8,2628,2628.1,2658.2,5349,1918.05,1008768,2681510017.3,66365,MAZDOCK
2025-08-26,EQ,2732,2732,2672,2755.7,2684.9,2687.8,2697.54,5349,1918.05,1371398,3699403395,73929,MAZDOCK
2025-08-25,EQ,2798.9,2798.9,2736.1,2700.3,2751.1,2755.7,2761.16,5349,1918.05,2516925,6949633764.3,104515,MAZDOCK
2025-08-22,EQ,2754.9,2757.9,2695.5,2767.8,2700,2700.3,2727.46,5349,1918.05,1126864,3073478585,64328,MAZDOCK
2025-08-21,EQ,2785,2841.4,2748.3,2772.9,2757.5,2767.8,2803.02,5349,1918.05,2116310,5932064939.4,100666,MAZDOCK
2025-08-20,EQ,2748,2796,2722,2747.4,2795,2772.9,2751.4,5349,1918.05,1220000,3356703409.7,57830,MAZDOCK
