DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,7650,7666.5,7480,7631.5,7620,7611.5,7554.42,9115,4408.15,388218,2932759907,48486,MCX
2025-09-08,EQ,7605.5,7745,7573.5,7605.5,7621,7631.5,7650.07,9115,4408.15,324772,2484527631.5,35603,MCX
2025-09-05,EQ,7681.5,7744.5,7575.5,7643.5,7618,7605.5,7651.16,9115,4408.15,253775,1941674233,30347,MCX
2025-09-04,EQ,7760.5,7789.5,7608,7707.5,7608,7643.5,7677.63,9115,4408.15,414502,3182391793.5,40836,MCX
2025-09-03,EQ,7693.5,7720,7528,7645.5,7705,7707.5,7646.66,9115,4408.15,429971,3287842537.5,51454,MCX
2025-09-02,EQ,7831.5,7849,7635,7793,7649.5,7645.5,7703.84,9115,4408.15,504393,3885765389,59076,MCX
2025-09-01,EQ,7444,7819.5,7438,7390,7799,7793,7706.55,9115,4408.15,673651,5191522312.5,81073,MCX
2025-08-29,EQ,7387,7463,7304,7401.5,7380,7390,7380.71,9115,4408.15,644963,4760282668.5,80822,MCX
2025-08-28,EQ,7692,7715.5,7383,7692,7405,7401.5,7506.14,9115,4408.15,455408,3418356730,63107,MCX
2025-08-26,EQ,8000,8000,7672.5,8003,7694,7692,7765.61,9115,4408.15,492826,3827095744,69358,MCX
2025-08-25,EQ,8000,8079.5,7953.5,7960,8002,8003,8020.58,9115,4408.15,305299,2448674568.5,36076,MCX
2025-08-22,EQ,7928,8080,7923,7927,7960.5,7960,8015.9,9115,4408.15,470289,3769788536,47141,MCX
2025-08-21,EQ,8250,8254,7892.5,8224,7928,7927,8069.66,9115,4408.15,680912,5494728331,66429,MCX
2025-08-20,EQ,8295,8303.5,8195,8295,8224.5,8224,8231.14,9115,4408.15,222774,1833685091.5,23790,MCX
2025-08-19,EQ,8310,8339.5,8165,8309,8290,8295,8275.08,9115,4408.15,405089,3352143258.5,48637,MCX
2025-08-18,EQ,8300,8439.5,8250.5,8148.5,8295,8309,8332.77,9115,4408.15,408805,3406480027,55496,MCX
2025-08-14,EQ,8360,8387.5,8076,8339,8150,8148.5,8176.64,9115,4302,440420,3601157101.5,50995,MCX
2025-08-13,EQ,8223.5,8365,8196.5,8151.5,8339,8339,8332.57,9115,4302,446820,3723158473.5,51826,MCX
2025-08-12,EQ,7965,8230,7914.5,7947,8171,8151.5,8116.4,9115,4302,765567,6213644181.5,83257,MCX
2025-08-11,EQ,7724,7966.5,7692.5,7712.5,7930,7947,7866.04,9115,4302,333961,2626951818.5,46193,MCX
2025-08-08,EQ,7900,7909.5,7655.5,7885,7685,7712.5,7777.36,9115,4130.05,323672,2517312464,45325,MCX
2025-08-07,EQ,7714.5,7899.5,7701,7743,7890,7885,7790.52,9115,4130.05,405677,3160434417,46523,MCX
2025-08-06,EQ,7898,7898,7725,7877,7730,7743,7790.59,9115,4130.05,342792,2670551214,43283,MCX
2025-08-05,EQ,7981,7981,7680,7977.5,7870,7877,7792.51,9115,4130.05,882130,6874009514,89908,MCX
2025-08-04,EQ,7809.5,8060,7757,7595.5,7983,7977.5,7952.03,9115,4130.05,1376194,10943531800,143560,MCX
2025-08-01,EQ,7694,7720,7534.5,7693,7599.5,7595.5,7638.92,9115,4125,383086,2926363686,47575,MCX
2025-07-31,EQ,7745.5,7846,7650,7787,7664,7693,7745.54,9115,4125,297154,2301618992,41252,MCX
