DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,1417.3,1422.9,1400,1416.8,1412.9,1412.6,1411.4,1841.95,1155.6,51877,73219085.2,8204,MTARTECH
2025-09-08,EQ,1414.6,1423.9,1404.1,1408,1414,1416.8,1415.75,1841.95,1155.6,53076,75142521.6,8665,MTARTECH
2025-09-05,EQ,1415.1,1425.4,1402.1,1414.1,1408,1408,1410.42,1842,1155.6,42661,60169989.9,6021,MTARTECH
2025-09-04,EQ,1456.9,1473.9,1408.4,1453.8,1419,1414.1,1432.65,1842,1155.6,68171,97665176.3,11748,MTARTECH
2025-09-03,EQ,1439.9,1460,1436.6,1439.4,1456.1,1453.8,1451.1,1842,1155.6,55058,79894641.5,7920,MTARTECH
2025-09-02,EQ,1446,1460.2,1430,1445.9,1445,1439.4,1444.57,1842,1155.6,64979,93866897.6,10858,MTARTECH
2025-09-01,EQ,1403.3,1454.8,1402.6,1396,1448,1445.9,1426.93,1842,1155.6,54917,78362526.4,7414,MTARTECH
2025-08-29,EQ,1428.1,1437.9,1390.5,1421,1401,1396,1411.73,1860,1155.6,62464,88182095.4,9779,MTARTECH
2025-08-28,EQ,1457.7,1470,1416.4,1457.8,1423,1421,1439.99,1860,1155.6,67341,96970312.2,10902,MTARTECH
2025-08-26,EQ,1497.1,1501.3,1448,1501.6,1448.1,1457.8,1471.98,1860,1155.6,60814,89516922.3,10000,MTARTECH
2025-08-25,EQ,1530,1532.1,1495,1520.4,1498,1501.6,1510.29,1860,1155.6,41703,62983441.7,5902,MTARTECH
2025-08-22,EQ,1510.3,1531.8,1499,1510.3,1520.4,1520.4,1520.45,1860,1155.6,123555,187858931.3,9285,MTARTECH
2025-08-21,EQ,1510,1535.3,1503.6,1498.4,1512.7,1510.3,1518.25,1860,1155.6,77757,118054734.5,8898,MTARTECH
2025-08-20,EQ,1522,1538,1492,1515.1,1498.9,1498.4,1513.26,1860,1155.6,79050,119623492.1,11034,MTARTECH
2025-08-19,EQ,1540.1,1540.1,1510.2,1540.1,1515.3,1515.1,1522.86,1860,1155.6,54141,82449119.8,7781,MTARTECH
2025-08-18,EQ,1529.5,1549,1507.8,1517.3,1542.1,1540.1,1529.84,1860,1155.6,87159,133339000.8,11920,MTARTECH
2025-08-14,EQ,1467.9,1535.2,1467.9,1465.6,1517.9,1517.3,1518.35,1860,1155.6,196907,298974599.5,24017,MTARTECH
2025-08-13,EQ,1464.9,1488.9,1439.2,1464.2,1461.3,1465.6,1468.62,1860,1155.6,80913,118830679.1,10814,MTARTECH
2025-08-12,EQ,1481.9,1492.1,1460,1483.2,1462.8,1464.2,1474.88,1860,1155.6,44526,65670417.3,7971,MTARTECH
2025-08-11,EQ,1500,1509.6,1463.8,1497.7,1475.1,1483.2,1486.61,1860,1155.6,77077,114583737.9,12340,MTARTECH
2025-08-08,EQ,1500.5,1508.7,1471.3,1488.6,1491,1497.7,1492.21,1871.8,1155.6,67344,100491127.2,11213,MTARTECH
