DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,888,890,875,884.65,878,878,879.43,1798.9,758.2,159869,140593204.95,10334,NEWGEN
2025-09-08,EQ,897.25,897.25,880.65,886.75,884.25,884.65,888.19,1798.9,758.2,224699,199576241.8,16070,NEWGEN
2025-09-05,EQ,901.05,903.2,884,899.1,887.95,886.75,890.09,1798.9,758.2,254993,226966888.7,15080,NEWGEN
2025-09-04,EQ,904.9,925.9,894.1,904.35,900.6,899.1,907.14,1798.9,758.2,424039,384662539.65,22105,NEWGEN
2025-09-03,EQ,891.45,923.2,881.05,891.4,904,904.35,908.2,1798.9,758.2,715607,649911503.8,36632,NEWGEN
2025-09-02,EQ,899,904.7,889.05,891.6,890.8,891.4,894.7,1798.9,758.2,241933,216457913.3,14586,NEWGEN
2025-09-01,EQ,887,898,884,883.2,896.15,891.6,890.06,1798.9,758.2,219788,195624734.25,14180,NEWGEN
2025-08-29,EQ,905,908.45,880,902.45,885.5,883.2,890.67,1798.9,758.2,387535,345163922.7,28352,NEWGEN
2025-08-28,EQ,912,922,883.25,895.6,904.95,902.45,903.53,1798.9,758.2,1396051,1261380149,55787,NEWGEN
2025-08-26,EQ,915,915,889.35,920.75,895,895.6,900.57,1798.9,758.2,702295,632465068.15,29657,NEWGEN
2025-08-25,EQ,870.3,946.75,870.3,866.45,914,920.75,923.45,1798.9,758.2,9248781,8540776990.4,255346,NEWGEN
2025-08-22,EQ,875.6,875.6,863.7,871.1,866.45,866.45,869.57,1798.9,758.2,226951,197350462.25,11363,NEWGEN
2025-08-21,EQ,883.75,885.4,869,878.3,871.6,871.1,876.4,1798.9,758.2,221720,194314652.8,12740,NEWGEN
2025-08-20,EQ,875.75,897.95,866.65,874.9,881.85,878.3,883.15,1798.9,758.2,514620,454488598.1,23436,NEWGEN
2025-08-19,EQ,886.5,889.95,871.05,886.5,877.95,874.9,876.74,1798.9,758.2,336468,294995813.15,18035,NEWGEN
2025-08-18,EQ,886.85,893.65,877.65,886.45,886.05,886.5,886.46,1798.9,758.2,623939,553098423.1,28882,NEWGEN
2025-08-14,EQ,854.7,929.8,854.7,854.7,874,886.45,910.46,1798.9,758.2,9142276,8323721915.45,249740,NEWGEN
2025-08-13,EQ,862.7,867.75,850.1,861.8,856.05,854.7,857.09,1798.9,758.2,220434,188932190.85,15071,NEWGEN
2025-08-12,EQ,868,886,854.3,866.05,858,861.8,869.04,1798.9,758.2,370693,322146046.8,23298,NEWGEN
2025-08-11,EQ,873.05,889.8,859.55,874.4,868,866.05,870.84,1798.9,758.2,337906,294260659.25,24688,NEWGEN
2025-08-08,EQ,901.2,903.35,865,903.35,868.95,874.4,885.07,1798.9,758.2,468509,414665012.05,25025,NEWGEN
2025-08-07,EQ,918,922.8,897,932.15,903,903.35,905.46,1798.9,758.2,1026751,929681290.55,44641,NEWGEN
2025-08-06,EQ,942.05,977,907.7,941.7,917,932.15,953.65,1798.9,758.2,9111891,8689553679.3,213101,NEWGEN
2025-08-05,EQ,840,970,831.65,834.1,934.9,941.7,925.72,1798.9,758.2,19081968,17664594154,396010,NEWGEN
2025-08-04,EQ,821.45,839.85,815.2,818.15,836.15,834.1,828.98,1798.9,758.2,229544,190286438.35,16903,NEWGEN
2025-08-01,EQ,848.9,855.05,815,848.9,820,818.15,830.02,1798.9,758.2,302482,251067307.6,22987,NEWGEN
2025-07-31,EQ,845,858.9,832,852.6,851.6,848.9,848.95,1798.9,758.2,239034,202927284,17943,NEWGEN
2025-07-30,EQ,865.3,876,850,858.1,851.9,852.6,859.26,1798.9,758.2,269503,231573443.1,24058,NEWGEN
2025-07-29,EQ,855,863.8,841.5,853,859.4,858.1,852.95,1798.9,758.2,286878,244693452.4,24332,NEWGEN
2025-07-28,EQ,829.9,878.4,829.9,851.1,857,853,862.79,1798.9,758.2,622589,537163444,40399,NEWGEN
2025-07-25,EQ,872,872.4,848,871.5,854.8,851.1,854.48,1798.9,758.2,624206,533368956.1,38232,NEWGEN
2025-07-24,EQ,878,884.8,865.8,883.2,870,871.5,872.94,1798.9,758.2,413217,360715516.5,22848,NEWGEN
2025-07-23,EQ,916.6,917.1,868.8,912.7,884.9,883.2,886.45,1798.9,758.2,1278824,1133612684.9,69585,NEWGEN
2025-07-22,EQ,917,927.2,907,917.3,915,912.7,913.93,1798.9,758.2,635174,580504833.1,31487,NEWGEN
2025-07-21,EQ,958,958,914,962.6,917,917.3,923.62,1798.9,758.2,1004531,927805130,47134,NEWGEN
2025-07-18,EQ,1020,1020.1,960,1025.6,961,962.6,973.21,1798.9,758.2,1868145,1818102553.9,80667,NEWGEN
2025-07-17,EQ,1094.9,1103.5,1018,1091.4,1025.5,1025.6,1037.33,1798.9,758.2,1467649,1522431455.1,77638,NEWGEN
