DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,323.3,329.2,315,323.25,317.7,317.65,321.03,661,299.45,75134,24119918.95,2292,PPL
2025-09-08,EQ,330,334.55,321.25,332.5,328,323.25,328,661,299.45,67080,22002478.25,2810,PPL
2025-09-05,EQ,325.95,338.65,321.9,323.5,331.6,332.5,330.99,667.95,299.45,58939,19508491.75,3131,PPL
2025-09-04,EQ,334.25,337.05,322,333.25,324.5,323.5,328,667.95,299.45,55744,18284236.95,2486,PPL
2025-09-03,EQ,330,337.5,328,330.1,334.2,333.25,333.37,667.95,299.45,60575,20193840,3102,PPL
2025-09-02,EQ,317.85,333,317,317.85,327.55,330.1,328.53,667.95,299.45,72055,23672363.35,2863,PPL
2025-09-01,EQ,312,319.95,312,313.35,319.5,317.85,316.87,667.95,299.45,32249,10218588.05,1887,PPL
2025-08-29,EQ,311.8,318.6,311.8,314.1,313.45,313.35,315.17,667.95,299.45,34178,10771726.35,2580,PPL
2025-08-28,EQ,318.3,335.4,311,321.95,313.1,314.1,317.3,667.95,299.45,61508,19516248.1,3234,PPL
2025-08-26,EQ,325.15,329.4,321,328.45,323,321.95,324,667.95,299.45,43423,14068989.25,2621,PPL
2025-08-25,EQ,327.6,333.05,324.1,327.6,326.2,328.45,328.49,667.95,299.45,80990,26604327.65,3610,PPL
2025-08-22,EQ,332.55,335.95,326.25,334.6,328.4,327.6,329.37,667.95,299.45,78801,25954302.45,3406,PPL
2025-08-21,EQ,344.6,350.8,329,344.45,333.2,334.6,340.06,667.95,299.45,172755,58747653.1,5334,PPL
2025-08-20,EQ,330.4,346.85,327.8,327.15,344.4,344.45,338.52,667.95,299.45,279159,94501233.55,9081,PPL
2025-08-19,EQ,316.95,333,316.7,317.8,332,327.15,321.35,667.95,299.45,123728,39760321.75,4330,PPL
2025-08-18,EQ,321.95,327.25,299.45,320.15,316.9,317.8,310.46,667.95,299.45,477643,148287499.85,11956,PPL
2025-08-14,EQ,349.25,352,317,346.65,322,320.15,327.4,667.95,317,343635,112507278.9,8138,PPL
2025-08-13,EQ,350.8,353.45,345.1,350.8,346.2,346.65,349.12,667.95,345.1,49119,17148496.3,2701,PPL
2025-08-12,EQ,350.5,356.9,350.1,353.3,350.1,350.8,351.91,667.95,349.85,26960,9487600.05,1424,PPL
2025-08-11,EQ,354,360.95,349.85,353.7,353,353.3,353.92,667.95,349.85,48022,16995908.25,2485,PPL
2025-08-08,EQ,355.5,361.15,351.5,356.25,351.7,353.7,356.55,667.95,351.5,29715,10594915.65,2035,PPL
