DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,323.25,325.8,319.4,323.4,321.5,320.5,321.51,586,229.05,73048,23485629.3,4001,PRINCEPIPE
2025-09-08,EQ,326,330.45,322,325.75,323.95,323.4,325.9,586,229.05,49881,16256094.3,3243,PRINCEPIPE
2025-09-05,EQ,333,333.7,324.55,331.3,326.75,325.75,328.55,596,229.05,73369,24105690.5,4085,PRINCEPIPE
2025-09-04,EQ,333.3,337.35,330,331.6,330.9,331.3,333.73,596,229.05,97753,32622744.7,4690,PRINCEPIPE
2025-09-03,EQ,332,335.45,328.8,334.1,333,331.6,331.79,596,229.05,77305,25649402,3888,PRINCEPIPE
2025-09-02,EQ,336.55,338.35,331.2,336.45,332,334.1,335.07,596,229.05,267787,89726870.85,12361,PRINCEPIPE
2025-09-01,EQ,320,338.45,319.5,318.65,337.9,336.45,330.89,596,229.05,366996,121435272.8,12201,PRINCEPIPE
2025-08-29,EQ,324.85,329,318,324.8,318.6,318.65,322.08,597.7,229.05,95358,30712841.55,6245,PRINCEPIPE
2025-08-28,EQ,333.9,333.9,322.5,334.6,323.1,324.8,327.8,597.7,229.05,95948,31451886.75,7091,PRINCEPIPE
2025-08-26,EQ,338.15,338.85,327.2,338.25,334.5,334.6,333.04,597.7,229.05,97291,32402114.95,5166,PRINCEPIPE
2025-08-25,EQ,348.85,350,335.75,342.65,336.9,338.25,340.97,597.7,229.05,165808,56535730.3,9933,PRINCEPIPE
2025-08-22,EQ,345.45,349.15,332.35,345.45,342.95,342.65,340.06,617.5,229.05,310876,105715842.2,14213,PRINCEPIPE
2025-08-21,EQ,341.8,358,336,328.4,348.5,345.45,348.58,617.5,229.05,1597668,556914863.15,54479,PRINCEPIPE
2025-08-20,EQ,332.1,334.3,327,334.85,330,328.4,329.56,617.5,229.05,110048,36267348.8,6120,PRINCEPIPE
2025-08-19,EQ,328,342.5,322,330.95,335.4,334.85,334.39,617.5,229.05,701772,234669035.5,31508,PRINCEPIPE
2025-08-18,EQ,292.75,348.25,292.75,291.4,328.4,330.95,332.36,617.5,229.05,3419012,1136351862.85,79311,PRINCEPIPE
2025-08-14,EQ,299.65,299.65,290.3,299.65,291.4,291.4,293.14,617.5,229.05,93028,27270261.75,6980,PRINCEPIPE
2025-08-13,EQ,295,301.45,294,294.75,299.25,299.65,298.57,617.5,229.05,140018,41805144.5,9751,PRINCEPIPE
2025-08-12,EQ,292.05,295.9,290.25,292.05,294.9,294.75,292.24,617.5,229.05,170952,49959107.8,8434,PRINCEPIPE
2025-08-11,EQ,292,294.5,288,291.15,292.05,292.05,291.59,617.5,229.05,123314,35957337.75,8057,PRINCEPIPE
2025-08-08,EQ,298.3,298.3,290,298.65,292.45,291.15,292.05,631.15,229.05,264982,77388557.6,15633,PRINCEPIPE
2025-08-07,EQ,306.2,315.85,293,325.7,297.35,298.65,301.13,631.15,229.05,1015640,305840388.1,41151,PRINCEPIPE
2025-08-06,EQ,334.1,339,324.15,337.2,326.25,325.7,329.41,631.15,229.05,100814,33209284.65,5877,PRINCEPIPE
2025-08-05,EQ,337.85,339.6,335,337.85,337.05,337.2,336.55,631.15,229.05,50859,17116573.75,2642,PRINCEPIPE
2025-08-04,EQ,335.6,340,334.3,336.1,339.75,337.85,336.67,631.15,229.05,73233,24655482.15,5469,PRINCEPIPE
2025-08-01,EQ,337.05,340.55,332.9,337.05,335.05,336.1,336.88,680.3,229.05,110617,37264453.55,5952,PRINCEPIPE
2025-07-31,EQ,338.05,338.35,332,342.1,337.5,337.05,336.39,680.3,229.05,83004,27921936.35,5100,PRINCEPIPE
2025-07-30,EQ,336.5,346,336.45,339.55,342,342.1,339.81,680.3,229.05,81205,27594487.25,4024,PRINCEPIPE
2025-07-29,EQ,333.35,340.95,330.35,332.6,339.25,339.55,336.02,680.3,229.05,125585,42199615.8,7987,PRINCEPIPE
2025-07-28,EQ,333,336.75,325.5,329.3,334.65,332.6,331.73,680.3,229.05,177725,58956145.8,7417,PRINCEPIPE
2025-07-25,EQ,344.8,344.8,327.45,343.75,329.1,329.3,334.98,689,229.05,204590,68533887.2,9902,PRINCEPIPE
2025-07-24,EQ,355,355,340.3,353.9,343.6,343.75,346.88,689,229.05,181719,63034751.9,7022,PRINCEPIPE
2025-07-23,EQ,347.5,355.4,343.2,345.65,354,353.9,349.96,689,229.05,175885,61553443.4,6542,PRINCEPIPE
2025-07-22,EQ,346.45,349.15,344,346.45,347.6,345.65,346.37,689,229.05,90072,31197963.15,3355,PRINCEPIPE
2025-07-21,EQ,347,350,344.35,348.15,346.8,346.45,346.85,689,229.05,181098,62813702.4,7576,PRINCEPIPE
2025-07-18,EQ,353.6,353.75,346.1,352.1,349.5,348.15,348.8,705,229.05,140974,49171290.7,6122,PRINCEPIPE
2025-07-17,EQ,356,357.95,351.05,355.1,351.8,352.1,353.48,705,229.05,112786,39867940.1,3883,PRINCEPIPE
2025-07-16,EQ,357.25,359.6,354,356.1,356.2,355.1,355.86,705,229.05,93907,33417401.85,4031,PRINCEPIPE
2025-07-15,EQ,356,359.95,353,355.85,355.85,356.1,356.79,705,229.05,185825,66301023.6,7656,PRINCEPIPE
2025-07-14,EQ,367.2,368.35,354.5,367.2,355.9,355.85,358.56,705,229.05,243593,87343268.3,10791,PRINCEPIPE
2025-07-11,EQ,368,376.2,365.1,366.3,365.1,367.2,370.4,705,229.05,343966,127406661.5,11994,PRINCEPIPE
2025-07-10,EQ,364.95,367.95,363,363.9,367,366.3,365.46,705,229.05,160319,58590772.8,5588,PRINCEPIPE
2025-07-09,EQ,363,368,362.2,362.8,364,363.9,365.16,705,229.05,220329,80454984.3,7187,PRINCEPIPE
2025-07-08,EQ,364.55,367.2,358,364.25,362.75,362.8,362.68,705,229.05,210041,76177080.8,8608,PRINCEPIPE
2025-07-07,EQ,364.8,375.45,362.55,364.75,364.65,364.25,368.51,705,229.05,380485,140213851.1,11500,PRINCEPIPE
2025-07-04,EQ,367,368.9,361,366,365.4,364.75,364.85,710.8,229.05,320022,116759417.55,8634,PRINCEPIPE
2025-07-03,EQ,368.4,371.9,364.15,368.35,365.35,366,368.09,710.8,229.05,236652,87109177.55,7117,PRINCEPIPE
2025-07-02,EQ,370.95,372.8,364.25,371.25,369.7,368.35,367.43,710.8,229.05,391005,143666721.05,10913,PRINCEPIPE
2025-07-01,EQ,368.4,374,364.55,367.5,370.95,371.25,370.11,710.8,229.05,550510,203747151.3,14342,PRINCEPIPE
