DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,333.2,335.85,329.5,332.2,332.3,332.4,333.08,578.8,301.6,3863086,1286735828.8,45507,RVNL
2025-09-08,EQ,330.85,337.2,329.05,329.4,332.65,332.2,333.88,578.8,301.6,4123272,1376670443.45,51312,RVNL
2025-09-05,EQ,326.7,331.05,325.05,326.95,329.9,329.4,328.13,619.5,301.6,4541584,1490211701.6,47372,RVNL
2025-09-04,EQ,333.95,335,325.15,334.6,326.8,326.95,328.99,619.5,301.6,6377015,2097975346.3,69697,RVNL
2025-09-03,EQ,332,337.45,328.6,331.85,334.05,334.6,332.75,619.5,301.6,9498144,3160470746.1,82392,RVNL
2025-09-02,EQ,318,339.5,316,315.7,331.15,331.85,330.59,619.5,301.6,20277592,6703527290.2,146885,RVNL
2025-09-01,EQ,302.95,317.5,301.6,302.6,316.35,315.7,310.87,619.5,301.6,5644181,1754580553.25,57567,RVNL
2025-08-29,EQ,308.4,309,301.75,308.65,303,302.6,305.49,619.5,301.75,4853561,1482698447.95,70345,RVNL
2025-08-28,EQ,316,318.15,307,312.7,308.05,308.65,313.09,619.5,305,7594499,2377779493.1,89153,RVNL
2025-08-26,EQ,321.65,322.45,311.5,321.65,314.35,312.7,314.56,619.5,305,5319362,1673278647.35,81634,RVNL
2025-08-25,EQ,325.45,326.95,321,323.75,321.7,321.65,323.34,619.5,305,2419995,782471270.5,35480,RVNL
2025-08-22,EQ,327.8,327.8,323.1,328.65,323.9,323.75,324.57,619.5,305,3877289,1258469769.4,44786,RVNL
2025-08-21,EQ,330,334.4,327.1,330.8,328,328.65,330.07,619.5,305,5454040,1800236764.35,53775,RVNL
2025-08-20,EQ,328.85,332,324.5,327.75,331,330.8,329.53,619.5,305,4059829,1337823679.75,40044,RVNL
2025-08-19,EQ,325,328.5,321.5,323.8,328.3,327.75,325.6,619.5,305,3483785,1134311895.55,37479,RVNL
2025-08-18,EQ,330,330.75,322.55,324.1,324.15,323.8,326.22,619.5,305,4633408,1511496607.95,48170,RVNL
2025-08-14,EQ,329.5,333.85,322,326.3,324.75,324.1,327.2,619.5,305,5292079,1731549378.6,64499,RVNL
2025-08-13,EQ,323.15,333.85,316.5,329.45,326.2,326.3,325.13,619.5,305,9107823,2961201352.75,114905,RVNL
2025-08-12,EQ,342.75,346.5,320.3,342.5,323.15,329.45,334.84,619.5,305,5392512,1805630532.8,68160,RVNL
2025-08-11,EQ,337.7,346.7,334.4,336.6,342.8,342.5,341.18,619.5,305,3610633,1231865933.7,45798,RVNL
2025-08-08,EQ,346.8,346.8,335,346.5,338,336.6,340.63,619.5,305,2140972,729284414.7,39577,RVNL
2025-08-07,EQ,341.2,348,337.2,346,347.1,346.5,342.29,619.5,305,2924832,1001147096.8,44220,RVNL
2025-08-06,EQ,352,354.45,344.5,351.55,346.55,346,347.69,619.5,305,2282901,793745916,29854,RVNL
2025-08-05,EQ,353,357.3,350,353,351.7,351.55,353.72,619.5,305,2551146,902399772.25,30988,RVNL
2025-08-04,EQ,346.45,354,344.35,345.45,353.6,353,349.75,619.5,305,3431280,1200097035.55,42091,RVNL
2025-08-01,EQ,349.35,350.4,343.3,348.15,347.45,345.45,346.83,626.8,305,3149891,1092472371.75,43586,RVNL
2025-07-31,EQ,353,355.3,345,358.4,348,348.15,351.37,626.8,305,3934940,1382618428.2,52362,RVNL
2025-07-30,EQ,360.15,362.2,356.5,359.5,358,358.4,359.11,626.8,305,2041969,733301358.8,30834,RVNL
2025-07-29,EQ,354,362,352,354.45,360.55,359.5,356.89,626.8,305,4192933,1496432015.6,48030,RVNL
2025-07-28,EQ,363.85,368.25,353.2,365.6,354.5,354.45,360.52,626.8,305,3438508,1239664188.6,57676,RVNL
