DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,807.5,821,802.75,803.85,820.5,819.35,811.37,1027.25,659.8,813502,660053488,23405,SBICARD
2025-09-08,EQ,791.95,808.85,790.2,791.45,803.5,803.85,800.16,1027.25,659.8,487221,389855546.55,20543,SBICARD
2025-09-05,EQ,797.15,799.65,788.25,793.15,794,791.45,792.88,1027.25,659.8,387234,307030083.95,23317,SBICARD
2025-09-04,EQ,813.05,813.9,791.8,795.35,793.35,793.15,801.28,1027.25,659.8,388623,311394469.7,17141,SBICARD
2025-09-03,EQ,794.45,804.65,792.5,793.4,795,795.35,796.59,1027.25,659.8,651891,519292368.2,28537,SBICARD
2025-09-02,EQ,810.85,816.55,791.9,810.85,794.9,793.4,802.2,1027.25,659.8,696472,558708288.15,31413,SBICARD
2025-09-01,EQ,802,813.5,797.75,803.5,810,810.85,805.06,1027.25,659.8,1285724,1035083635,36070,SBICARD
2025-08-29,EQ,799.7,807.1,786.5,803.6,804.1,803.5,798.67,1027.25,659.8,1142474,912458759.65,38738,SBICARD
2025-08-28,EQ,809.65,815.7,795.1,815.7,798.25,803.6,805.33,1027.25,659.8,1692967,1363395860.45,62307,SBICARD
2025-08-26,EQ,821.7,821.7,799.55,822.05,815,815.7,812.28,1027.25,659.8,1470019,1194068240.85,38751,SBICARD
2025-08-25,EQ,817.2,827,816.25,821,821,822.05,822.56,1027.25,659.8,473611,389574891.5,27478,SBICARD
2025-08-22,EQ,825.2,829.8,818,825.2,820.1,821,825.4,1027.25,659.8,303061,250145338.55,17056,SBICARD
2025-08-21,EQ,815,828,815,818.1,825.1,825.2,823.33,1027.25,659.8,601959,495610806.8,22904,SBICARD
2025-08-20,EQ,815.05,821.7,811.45,820.1,816.15,818.1,817.28,1027.25,659.8,386641,315995889.1,14659,SBICARD
2025-08-19,EQ,812.6,821.6,807.25,811.8,820.35,820.1,817.91,1027.25,659.8,561940,459619039.85,28561,SBICARD
2025-08-18,EQ,797.1,815.9,796,789.35,812.05,811.8,810.95,1027.25,659.8,647597,525168063.7,23624,SBICARD
2025-08-14,EQ,786.2,794.75,786.15,790.1,790,789.35,789.46,1027.25,659.8,363454,286932716.65,15809,SBICARD
2025-08-13,EQ,797,797.2,784.3,789.95,788.65,790.1,789.87,1027.25,659.8,264960,209285211.15,15249,SBICARD
2025-08-12,EQ,799.9,803.1,787.25,797.8,790.5,789.95,795.17,1027.25,659.8,869644,691511864.65,27629,SBICARD
2025-08-11,EQ,786.9,801,785.05,786.9,797,797.8,795.97,1027.25,659.8,363831,289598871.75,19314,SBICARD
2025-08-08,EQ,799,799.75,784.1,796.5,786,786.9,789.9,1027.25,659.8,317602,250872641.4,14427,SBICARD
2025-08-07,EQ,787.3,799,784,793,799,796.5,792.5,1027.25,659.8,526708,417417023.85,21080,SBICARD
2025-08-06,EQ,805.65,811,783.6,804.85,793,793,790.7,1027.25,659.8,1239184,979817071.7,51973,SBICARD
2025-08-05,EQ,804.5,808,801.45,804.5,805.9,804.85,804.18,1027.25,659.8,668730,537780516.4,41832,SBICARD
2025-08-04,EQ,801.5,814,801.5,803.95,806,804.5,806.86,1027.25,659.8,933330,753068947.2,43245,SBICARD
2025-08-01,EQ,804,812.3,797.6,807.4,804.3,803.95,804.71,1027.25,659.8,757650,609688307.8,47308,SBICARD
2025-07-31,EQ,810,812,803.05,814.7,807,807.4,808.05,1027.25,659.8,1750487,1414482616.9,58643,SBICARD
2025-07-30,EQ,822.05,825.4,812.35,821.4,815.5,814.7,816.67,1027.25,659.8,740562,604795320.6,29649,SBICARD
2025-07-29,EQ,834.1,837.1,819.05,837.1,819.95,821.4,828.02,1027.25,659.8,1133505,938570262.7,46919,SBICARD
2025-07-28,EQ,832.1,864.8,830,888.5,835.05,837.1,847.03,1027.25,659.8,3524339,2985214018.85,82633,SBICARD
2025-07-25,EQ,885,894,878.35,885.8,891.1,888.5,885.01,1027.25,659.8,642266,568412176.95,24262,SBICARD
2025-07-24,EQ,894.65,895.9,878.55,895.55,885,885.8,886.16,1027.25,659.8,1175233,1041443225.25,42069,SBICARD
2025-07-23,EQ,896.65,898.8,886.55,896.65,895.8,895.55,893.31,1027.25,659.8,507765,453590920.55,30170,SBICARD
2025-07-22,EQ,898.65,902.4,890.2,898.65,896,896.65,897.09,1027.25,659.8,748118,671129283.6,30649,SBICARD
2025-07-21,EQ,892,903,887.55,894.6,900.75,898.65,896.58,1027.25,659.8,723028,648250304.35,30915,SBICARD
2025-07-18,EQ,908.1,908.15,893,908.8,893.25,894.6,897.19,1027.25,659.8,739076,663094161.5,27049,SBICARD
2025-07-17,EQ,899.9,910.5,896.05,897.35,904,908.8,904.36,1027.25,659.8,717366,648759627.05,26655,SBICARD
2025-07-16,EQ,893.4,899.95,885,893.75,896,897.35,893.17,1027.25,659.8,789465,705126970.25,26655,SBICARD
2025-07-15,EQ,900,906.7,888.3,903.5,892.9,893.75,896.47,1027.25,659.8,1585513,1421361597.15,46705,SBICARD
2025-07-14,EQ,1004.75,1004.75,886.35,913.45,901.7,903.5,906.88,1027.25,659.8,3790595,3437596050.9,96101,SBICARD
2025-07-11,EQ,929.05,929.05,910,935.5,912.8,913.45,918.32,1027.25,659.8,544006,499571306.4,30353,SBICARD
2025-07-10,EQ,934.5,939,929.75,934.5,935.2,935.5,934.17,1027.25,659.8,392432,366599780.85,26537,SBICARD
2025-07-09,EQ,924.5,938.5,920.05,918.75,934,934.5,931.49,1027.25,659.8,967120,900861404.55,39199,SBICARD
2025-07-08,EQ,908.95,921,902.65,908.95,921,918.75,912.43,1027.25,659.8,866016,790178426.55,36329,SBICARD
2025-07-07,EQ,909.6,919.85,906.7,909.6,908.05,908.95,912.39,1027.25,659.8,925809,844698531.45,38836,SBICARD
2025-07-04,EQ,915,919.45,906.55,911.4,912,909.6,911.02,1027.25,659.8,809693,737648513.4,27281,SBICARD
2025-07-03,EQ,913.05,917,901.3,913.1,911.05,911.4,909.33,1027.25,659.8,1653406,1503490448.45,85308,SBICARD
2025-07-02,EQ,921.95,927.75,906.8,931.8,914.5,913.1,912.84,1027.25,659.8,2464474,2249682399.5,74666,SBICARD
2025-07-01,EQ,953.1,953.5,921.05,953.1,930.7,931.8,931.9,1027.25,659.8,2693691,2510238503.2,85189,SBICARD
2025-06-30,EQ,976.95,983.9,945.5,991.35,947.8,953.1,965.53,1027.25,659.8,2183255,2107996573.25,76144,SBICARD
2025-06-27,EQ,978,1015,949.5,975.3,977,991.35,985.73,1027.25,659.8,9956566,9814525697.3,156126,SBICARD
2025-06-26,EQ,968.65,982.95,953,969.8,974,975.3,970.9,1027.25,659.8,1435893,1394110151.55,53415,SBICARD
2025-06-25,EQ,991,992,957.5,982.1,961,969.8,976.43,1027.25,659.8,858081,837857878.25,37524,SBICARD
2025-06-24,EQ,970,985.95,964.2,955.9,982.75,982.1,978.72,1027.25,659.8,1179089,1153995990.15,50147,SBICARD
2025-06-23,EQ,946.95,959.4,942.6,945.6,952.5,955.9,952.76,1027.25,659.8,909345,866383731,32223,SBICARD
2025-06-20,EQ,944.4,950.1,934.1,939.7,946.25,945.6,942.41,1027.25,659.8,1168359,1101068981.45,36232,SBICARD
2025-06-19,EQ,968.5,975.9,933.2,972.6,939,939.7,948.15,1027.25,659.8,1496522,1418928396.8,63309,SBICARD
2025-06-18,EQ,984,993,967.25,991,970.05,972.6,976.43,1027.25,659.8,925037,903230765.1,44391,SBICARD
2025-06-17,EQ,1008.7,1009.75,989.5,1008.7,989.75,991,994.97,1027.25,659.8,919708,915078142.75,27329,SBICARD
