DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,812,812.35,805.6,808.8,808,808.85,808.44,875.45,680,4567272,3692346687.1,104998,SBIN
2025-09-08,EQ,808,813.85,806.8,806.6,808,808.8,810.2,875.45,680,4614227,3738454020.95,121620,SBIN
2025-09-05,EQ,811.5,812.5,803.65,809.4,806.95,806.6,807.29,875.45,680,5194842,4193721391,102729,SBIN
2025-09-04,EQ,814.65,816.75,808,812.15,809.85,809.4,811.23,875.45,680,4471950,3627764983.4,96652,SBIN
2025-09-03,EQ,804.3,813.3,803,803.9,813,812.15,810.4,875.45,680,4261589,3453582134.4,87672,SBIN
2025-09-02,EQ,806.3,810.5,802.65,806.05,803.75,803.9,806.45,875.45,680,5075460,4093129116.75,106989,SBIN
2025-09-01,EQ,803.1,808.3,802.65,802.5,805.5,806.05,805.3,875.45,680,5619805,4525656654.45,128697,SBIN
2025-08-29,EQ,800.7,806.7,798.5,801.95,802.4,802.5,803,875.45,680,6861440,5509712391.7,127449,SBIN
2025-08-28,EQ,807.25,811,800.65,807.85,802.9,801.95,806.19,875.45,680,7898436,6367629468,163534,SBIN
2025-08-26,EQ,814.85,815.85,806.75,816.45,808.4,807.85,810.3,875.45,680,6997817,5670332537.1,127200,SBIN
2025-08-25,EQ,817.45,820.5,814.2,816.25,816.5,816.45,817.57,875.45,680,5672898,4637981705.05,176881,SBIN
2025-08-22,EQ,824,826,815.7,825.7,816.8,816.25,819.33,875.45,680,5097647,4176641494.85,141389,SBIN
2025-08-21,EQ,828.95,833.25,824.05,828.95,824.05,825.7,828.67,875.45,680,4402511,3648216255.5,108762,SBIN
2025-08-20,EQ,828.7,831.9,827.4,830.4,828.9,828.95,829.56,875.45,680,4493888,3727970038.65,89785,SBIN
2025-08-19,EQ,827.5,831,825.8,827.65,829.15,830.4,829.06,875.45,680,5076681,4208857802.1,110280,SBIN
2025-08-18,EQ,836,838,825.15,826.55,826.2,827.65,829.82,875.45,680,6138124,5093538559.75,136179,SBIN
