DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,454.9,456,443.6,454.35,445.65,445.5,448.59,768.65,380,1694278,760044610.1,28138,SONACOMS
2025-09-08,EQ,442.5,459.35,442.5,441.1,453.9,454.35,454.62,768.65,380,3317333,1508122536.2,40087,SONACOMS
2025-09-05,EQ,441.55,448.95,438.3,437.95,441.2,441.1,442.55,768.65,380,4301884,1903792985.6,43514,SONACOMS
2025-09-04,EQ,455.9,455.9,436.6,450,438.6,437.95,445.76,768.65,380,3549467,1582215473.9,58636,SONACOMS
2025-09-03,EQ,444.95,452,442.05,444.95,450.05,450,446.56,768.65,380,3590314,1603277529.3,34900,SONACOMS
2025-09-02,EQ,451,453.25,442.9,450.8,445,444.95,446.9,768.65,380,4087210,1826567885.25,47946,SONACOMS
2025-09-01,EQ,443.95,452.3,441.3,443.05,450.4,450.8,448.21,768.65,380,3064165,1373403332.8,36623,SONACOMS
2025-08-29,EQ,450.35,453.7,442.1,450.35,445.5,443.05,445.94,768.65,380,3898250,1738373878.05,54935,SONACOMS
2025-08-28,EQ,453,459.1,446.65,453.7,451.1,450.35,451.58,768.65,380,3245285,1465511568.75,42589,SONACOMS
2025-08-26,EQ,449.8,463.2,441.8,451.15,453,453.7,453.8,768.65,380,58650435,26615716675.5,171068,SONACOMS
2025-08-25,EQ,449.65,455,446.7,449.65,451.45,451.15,450.62,768.65,380,1166650,525716156.55,20479,SONACOMS
2025-08-22,EQ,444.5,451.95,443.4,442.65,449,449.65,448.08,768.65,380,894867,400971856.25,15384,SONACOMS
2025-08-21,EQ,451,456,441.55,450.35,442.4,442.65,448.43,768.65,380,5051564,2265290832.3,36501,SONACOMS
2025-08-20,EQ,456.5,457.75,443.9,455.25,450.1,450.35,449.79,768.65,380,5362350,2411956524.3,72587,SONACOMS
2025-08-19,EQ,445.8,466.65,444.15,444.95,456.15,455.25,458.41,768.65,380,5221932,2393768780.7,57393,SONACOMS
2025-08-18,EQ,454.95,458,443.25,451.85,445.8,444.95,446.83,768.65,380,2572430,1149448666.05,39187,SONACOMS
2025-08-14,EQ,449.85,453,444,448.75,452,451.85,449.91,768.65,380,1321467,594537471.2,18295,SONACOMS
2025-08-13,EQ,442.55,450.55,442.05,440.25,449.1,448.75,447.21,768.65,380,1320587,590576374,16359,SONACOMS
2025-08-12,EQ,446.45,450.55,439.25,445.95,440,440.25,444.68,768.65,380,921533,409787551.55,16933,SONACOMS
2025-08-11,EQ,445.45,449.8,440.45,445,446.2,445.95,444.42,768.65,380,2797929,1243456450.15,22737,SONACOMS
2025-08-08,EQ,443.1,449.3,440.7,448.85,445.6,445,445.44,768.65,380,2163302,963629080.5,48836,SONACOMS
